Date,Open,High,Low,Close,Volume
2005-12-05,19.3939,19.3939,17.2606,17.2606,1087800
2005-12-06,17.3575,17.3575,16.6464,16.6529,1743800
2005-12-07,16.8080,16.8080,16.3232,16.5171,1536400
2005-12-08,16.5042,16.6464,16.2262,16.4137,2100700
2005-12-09,16.4202,16.7757,16.1293,16.5689,2414700
2005-12-12,16.7434,17.0020,16.7434,16.9632,898600
2005-12-13,16.9697,16.9761,16.7628,16.8080,639700
2005-12-14,16.8080,16.8404,16.5818,16.6141,672800
2005-12-15,16.6141,16.6141,16.2909,16.3684,1948400
2005-12-16,16.3749,16.4848,16.2715,16.3555,1023000
2005-12-19,16.3620,16.4202,16.2262,16.3491,362700
2005-12-20,16.3491,16.3491,15.9935,16.2068,385800
2005-12-21,16.2586,16.3555,16.1487,16.3232,673000
2005-12-22,16.3232,16.3232,16.1616,16.2327,274300
2005-12-23,16.2262,16.4977,16.2262,16.4848,667100
2005-12-27,16.5818,16.7628,16.3555,16.5818,511400
2005-12-28,16.6464,16.7046,16.1616,16.1939,821600
2005-12-29,16.2586,16.3232,16.0000,16.1616,776100
2005-12-30,16.1616,16.4848,16.0646,16.4848,3887900
2006-01-03,16.5495,17.7131,16.5495,16.9373,6604500
2006-01-04,16.9826,16.9826,16.7053,16.8080,8900000
2006-01-05,16.8080,17.0925,16.6981,17.0408,8040500
2006-01-06,17.1313,17.6484,17.1054,17.6032,7449100
2006-01-09,17.4545,17.5903,17.3575,17.4739,7858700
2006-01-10,17.5192,17.5644,17.0860,17.1701,9081400
2006-01-11,17.2347,17.2929,16.8404,16.9244,6941200
2006-01-12,16.7175,16.9050,16.4783,16.8016,7687400
2006-01-13,16.7757,16.8080,16.4719,16.4719,4858900
2006-01-17,16.2586,16.5882,16.1680,16.2004,6226600
2006-01-18,16.1616,16.5947,16.0517,16.2132,5522800
2006-01-19,16.5753,16.6206,16.3814,16.5301,5021500
2006-01-20,16.3878,16.6270,16.1099,16.1487,5064800
2006-01-23,16.3555,16.7434,16.1939,16.6917,6361700
2006-01-24,16.8080,17.4545,16.6788,17.3899,8567000
2006-01-25,17.4545,17.4545,16.8662,17.0666,5665700
2006-01-26,17.1636,17.5256,17.1183,17.3317,7545300
2006-01-27,17.2929,17.6808,17.0860,17.3252,7927600
2006-01-30,17.3575,17.7454,17.2606,17.6291,5639100
2006-01-31,17.5644,17.5644,16.8274,16.8921,6437100
2006-02-01,16.8145,17.1701,16.7822,16.8985,4373800
2006-02-02,16.8856,17.0020,16.4654,16.5818,6802800
2006-02-03,16.5495,16.8210,16.4072,16.5882,5411600
2006-02-06,16.5882,16.8598,16.5753,16.7046,3735500
