Date,Open,High,Low,Close,Volume
1972-06-01,3.7622,3.7702,3.7528,3.7702,40400
1972-06-02,3.7702,3.7875,3.7528,3.7875,25400
1972-06-05,3.7875,3.7875,3.7368,3.7528,142800
1972-06-06,3.7528,3.7528,3.7208,3.7368,63000
1972-06-07,3.7368,3.7368,3.6861,3.7208,48000
1972-06-08,3.7208,3.7368,3.7035,3.7035,17800
1972-06-09,3.7035,3.7208,3.6701,3.6861,71600
1972-06-12,3.6861,3.7035,3.6541,3.6541,30600
1972-06-13,3.6541,3.6701,3.6194,3.6367,47800
1972-06-14,3.6367,3.6367,3.5700,3.5700,49400
1972-06-15,3.6034,3.6541,3.6034,3.6367,42400
1972-06-16,3.6367,3.6861,3.6367,3.6541,33800
1972-06-19,3.6541,3.6541,3.6034,3.6367,11400
1972-06-20,3.6367,3.7208,3.6194,3.6861,27600
1972-06-21,3.6861,3.7208,3.6701,3.6701,36200
1972-06-22,3.6701,3.7208,3.6367,3.6701,48400
1972-06-23,3.6701,3.7208,3.6367,3.6367,37800
1972-06-26,3.6367,3.6541,3.5527,3.6034,43000
1972-06-27,3.6034,3.6194,3.5527,3.5700,37400
1972-06-28,3.5700,3.5874,3.5366,3.5527,62200
1972-06-29,3.5527,3.5874,3.5366,3.5874,36200
1972-06-30,3.5874,3.5874,3.5527,3.5700,27400
1972-07-03,3.5700,3.6367,3.5527,3.6367,97200
1972-07-05,3.6367,3.6701,3.6194,3.6541,111000
1972-07-06,3.6541,3.7035,3.6367,3.6701,99200
1972-07-07,3.6701,3.7208,3.6701,3.7208,23600
1972-07-10,3.7208,3.7702,3.6861,3.7368,41400
1972-07-11,3.7368,3.7702,3.6861,3.6861,28800
1972-07-12,3.6861,3.7035,3.6701,3.7035,34800
1972-07-13,3.6861,3.6861,3.6541,3.6861,39800
1972-07-14,3.6861,3.6861,3.6541,3.6541,15800
1972-07-17,3.6541,3.6701,3.6034,3.6194,24800
1972-07-18,3.6194,3.6367,3.5700,3.5874,27800
1972-07-19,3.5874,3.6541,3.5874,3.6034,24200
1972-07-20,3.5874,3.5874,3.5206,3.5700,33800
1972-07-21,3.5700,3.6034,3.5527,3.5874,80800
1972-07-24,3.5874,3.5874,3.5527,3.5874,33200
1972-07-25,3.5874,3.5874,3.5527,3.5874,46000
1972-07-26,3.5874,3.5874,3.5527,3.5700,65600
1972-07-27,3.5700,3.5874,3.5527,3.5527,26200
1972-07-28,3.5527,3.5700,3.5527,3.5700,28400
1972-07-31,3.5700,3.6194,3.5700,3.6034,37400
1972-08-01,3.6034,3.6194,3.5700,3.6194,49400
1972-08-02,3.6194,3.6701,3.6034,3.6034,48600
1972-08-03,3.6034,3.6541,3.6034,3.6367,27800
1972-08-04,3.6367,3.6367,3.6034,3.6367,36600
1972-08-07,3.6367,3.6541,3.6034,3.6367,19600
1972-08-08,3.6194,3.6194,3.5874,3.6034,23200
1972-08-09,3.6034,3.6194,3.5874,3.6034,24600
1972-08-10,3.6034,3.6194,3.5700,3.5874,31200
1972-08-11,3.5874,3.6367,3.5874,3.6194,67200
1972-08-14,3.6194,3.6367,3.6194,3.6367,17000
1972-08-15,3.6367,3.7208,3.6194,3.6861,46200
1972-08-16,3.6861,3.7035,3.6701,3.7035,17400
1972-08-17,3.7035,3.7875,3.7035,3.7875,10600
1972-08-18,3.8196,4.0037,3.8196,3.9530,44000
1972-08-21,3.9530,4.0198,3.9037,3.9530,37000
1972-08-22,3.9530,4.0037,3.9530,4.0037,37200
1972-08-23,4.0037,4.0198,3.9877,4.0037,39600
1972-08-24,4.0037,4.0545,3.9704,3.9704,53200
1972-08-25,3.9704,3.9704,3.9037,3.9210,268200
1972-08-28,3.9210,3.9370,3.8543,3.8543,21400
1972-08-29,3.8543,3.9037,3.8036,3.9037,42400
1972-08-30,3.9037,3.9210,3.8369,3.8863,94200
1972-08-31,3.8863,3.9370,3.8863,3.9210,13600
1972-09-01,3.9210,3.9210,3.8863,3.9210,20000
1972-09-05,3.9210,3.9530,3.8863,3.9370,46000
1972-09-06,3.9370,3.9370,3.9037,3.9210,20400
1972-09-07,3.9210,3.9370,3.9037,3.9037,12000
1972-09-08,3.9037,3.9210,3.9037,3.9210,8200
1972-09-11,3.9210,3.9210,3.8703,3.9037,17800
1972-09-12,3.8863,3.8863,3.8543,3.8863,41200
1972-09-13,3.8863,3.8863,3.8543,3.8543,82800
1972-09-14,3.8543,3.8543,3.7875,3.7875,127600
1972-09-15,3.7875,3.8196,3.7528,3.8036,13200
1972-09-18,3.8036,3.8036,3.7875,3.8036,15000
1972-09-19,3.8036,3.8036,3.7528,3.7875,122400
1972-09-20,3.7875,3.8543,3.7702,3.8036,34600
1972-09-21,3.8036,3.8703,3.8036,3.8369,134600
1972-09-22,3.8369,3.8863,3.8369,3.8863,51800
1972-09-25,3.8863,3.9530,3.8863,3.9037,19800
1972-09-26,3.9037,3.9530,3.8863,3.9037,20000
1972-09-27,3.9037,3.9877,3.8863,3.9877,41800
1972-09-28,3.9877,3.9877,3.9210,3.9704,10600
1972-09-29,3.9530,3.9530,3.9037,3.9210,123800
1972-10-02,3.9210,3.9530,3.9037,3.9210,11200
1972-10-03,3.9210,3.9370,3.8863,3.9370,15600
1972-10-04,3.9370,3.9370,3.8863,3.9210,15800
