Date,Open,High,Low,Close,Volume
1980-01-02,0.9163,0.9283,0.9163,0.9163,61800
1980-01-03,0.9163,0.9283,0.9163,0.9225,82401
1980-01-04,0.9225,0.9283,0.9163,0.9283,41001
1980-01-07,0.9283,0.9283,0.9163,0.9283,36600
1980-01-08,0.9283,0.9345,0.9163,0.9225,46200
1980-01-09,0.9225,0.9283,0.9105,0.9163,288201
1980-01-10,0.9163,0.9225,0.9105,0.9163,35001
1980-01-11,0.9163,0.9225,0.9105,0.9105,59400
1980-01-14,0.9105,0.9225,0.9105,0.9105,52401
1980-01-15,0.9105,0.9163,0.9105,0.9105,62001
1980-01-16,0.9105,0.9163,0.9105,0.9163,72801
1980-01-17,0.9163,0.9225,0.9048,0.9105,218601
1980-01-18,0.9105,0.9105,0.8866,0.8923,157200
1980-01-21,0.8923,0.8986,0.8626,0.8688,132801
1980-01-22,0.8688,0.8866,0.8626,0.8746,86001
1980-01-23,0.8746,0.8866,0.8746,0.8746,46200
1980-01-24,0.8746,0.8808,0.8688,0.8688,83400
1980-01-25,0.8688,0.8746,0.8564,0.8626,239601
1980-01-28,0.8626,0.8808,0.8626,0.8626,127200
1980-01-29,0.8626,0.8808,0.8626,0.8746,80001
1980-01-30,0.8746,0.8746,0.8444,0.8506,314601
1980-01-31,0.8506,0.8564,0.8506,0.8564,62001
1980-02-01,0.8564,0.8626,0.8506,0.8564,55401
1980-02-04,0.8564,0.8688,0.8564,0.8688,220200
1980-02-05,0.8626,0.8626,0.8444,0.8506,178401
1980-02-06,0.8506,0.8564,0.8444,0.8564,54801
1980-02-07,0.8564,0.8626,0.8506,0.8564,142200
1980-02-08,0.8564,0.8746,0.8506,0.8626,129600
1980-02-11,0.8626,0.8626,0.8387,0.8444,115401
1980-02-12,0.8444,0.8444,0.8027,0.8147,169401
1980-02-13,0.8147,0.8329,0.8147,0.8204,289200
1980-02-14,0.8204,0.8267,0.8147,0.8204,57600
1980-02-15,0.8204,0.8204,0.8089,0.8147,161601
1980-02-19,0.8147,0.8147,0.7907,0.7907,209001
1980-02-20,0.7907,0.7970,0.7787,0.7907,179601
1980-02-21,0.7907,0.8027,0.7845,0.7970,145401
1980-02-22,0.7970,0.7970,0.7787,0.7970,150801
1980-02-25,0.7725,0.7725,0.7548,0.7725,112200
1980-02-26,0.7725,0.7787,0.7668,0.7725,88800
1980-02-27,0.7725,0.7725,0.7668,0.7668,183801
1980-02-28,0.7668,0.7725,0.7610,0.7610,99801
1980-02-29,0.7610,0.8147,0.7610,0.8147,98601
1980-03-03,0.8147,0.8147,0.7787,0.7970,88401
1980-03-04,0.7787,0.7787,0.7610,0.7787,112200
1980-03-05,0.7787,0.7845,0.7548,0.7610,174600
1980-03-06,0.7610,0.7610,0.7428,0.7548,97800
1980-03-07,0.7548,0.7610,0.7428,0.7548,103800
1980-03-10,0.7668,0.7907,0.7668,0.7845,98001
1980-03-11,0.7845,0.8147,0.7845,0.8089,83400
1980-03-12,0.8089,0.8204,0.7787,0.7907,237000
1980-03-13,0.7845,0.7845,0.7725,0.7787,88800
1980-03-14,0.7787,0.7970,0.7610,0.7787,113400
1980-03-17,0.7787,0.7907,0.7668,0.7787,69201
1980-03-18,0.7787,0.7970,0.7668,0.7787,82200
1980-03-19,0.7787,0.7970,0.7725,0.7907,122601
1980-03-20,0.7907,0.7970,0.7787,0.7787,58800
1980-03-21,0.7787,0.7970,0.7787,0.7907,57801
1980-03-24,0.7845,0.7845,0.7668,0.7725,87801
1980-03-25,0.7725,0.7787,0.7610,0.7610,64200
1980-03-26,0.7610,0.7725,0.7610,0.7668,63000
1980-03-27,0.7668,0.7668,0.7428,0.7548,180600
1980-03-28,0.7610,0.7787,0.7610,0.7610,76401
1980-03-31,0.7725,0.7970,0.7725,0.7970,139401
1980-04-01,0.7970,0.8147,0.7845,0.8147,161400
1980-04-02,0.8147,0.8267,0.8027,0.8204,117000
1980-04-03,0.8204,0.8387,0.8204,0.8387,89001
1980-04-07,0.8387,0.8444,0.8329,0.8387,53601
1980-04-08,0.8387,0.8506,0.8387,0.8387,53001
1980-04-09,0.8387,0.8688,0.8387,0.8626,310401
1980-04-10,0.8688,0.8808,0.8688,0.8746,229401
1980-04-11,0.8746,0.8746,0.8626,0.8746,55800
1980-04-14,0.8746,0.8808,0.8444,0.8626,123201
1980-04-15,0.8626,0.8626,0.8506,0.8506,61200
1980-04-16,0.8626,0.9048,0.8626,0.8986,345000
1980-04-17,0.8986,0.9048,0.8923,0.9048,85401
1980-04-18,0.9048,0.9105,0.8986,0.9105,208800
1980-04-21,0.9105,0.9283,0.9048,0.9048,343200
1980-04-22,0.9048,0.9283,0.9048,0.9283,186201
1980-04-23,0.9345,0.9527,0.9345,0.9465,300801
1980-04-24,0.9465,0.9824,0.9465,0.9642,407001
1980-04-25,0.9585,0.9585,0.9465,0.9527,86001
1980-04-28,0.9527,0.9642,0.9527,0.9527,74001
1980-04-29,0.9527,0.9585,0.9527,0.9527,81801
1980-04-30,0.9527,0.9585,0.9527,0.9585,52200
1980-05-01,0.9585,0.9642,0.9527,0.9527,162801
1980-05-02,0.9527,0.9585,0.9407,0.9465,114000
1980-05-05,0.9465,0.9585,0.9407,0.9527,1952001
1980-05-06,0.9527,0.9527,0.9465,0.9465,441801
1980-05-07,0.9585,0.9767,0.9585,0.9704,80400
1980-05-08,0.9767,0.9824,0.9767,0.9824,588201
1980-05-09,0.9824,0.9882,0.9767,0.9767,627000
1980-05-12,0.9767,0.9824,0.9767,0.9824,220800
1980-05-13,0.9824,0.9944,0.9767,0.9882,253401
1980-05-14,0.9882,1.0002,0.9882,0.9944,383001
1980-05-15,0.9944,0.9944,0.9824,0.9944,186201
1980-05-16,0.9944,1.0002,0.9824,0.9944,137601
1980-05-19,0.9944,0.9944,0.9585,0.9704,416601
1980-05-20,0.9704,0.9767,0.9585,0.9704,113601
1980-05-21,0.9704,0.9704,0.9527,0.9642,144000
1980-05-22,0.9642,0.9642,0.9527,0.9642,75000
1980-05-23,0.9642,0.9642,0.9527,0.9585,158001
1980-05-27,0.9407,0.9407,0.9225,0.9407,93801
1980-05-28,0.9407,0.9585,0.9407,0.9585,725001
1980-05-29,0.9585,0.9642,0.9465,0.9585,121401
1980-05-30,0.9585,0.9704,0.9527,0.9642,213000
1980-06-02,0.9642,0.9642,0.9465,0.9585,110400
1980-06-03,0.9585,0.9585,0.9465,0.9527,58401
1980-06-04,0.9527,0.9585,0.9465,0.9585,163200
1980-06-05,0.9585,0.9585,0.9465,0.9465,81201
1980-06-06,0.9465,0.9527,0.9407,0.9465,129000
1980-06-09,0.9465,0.9527,0.9345,0.9465,69201
1980-06-10,0.9465,0.9465,0.9283,0.9407,123600
1980-06-11,0.9407,0.9527,0.9283,0.9527,66600
1980-06-12,0.9527,0.9585,0.9527,0.9585,81000
1980-06-13,0.9585,0.9824,0.9585,0.9585,356001
1980-06-16,0.9642,0.9767,0.9642,0.9767,208800
1980-06-17,0.9767,0.9944,0.9704,0.9824,417600
1980-06-18,0.9824,0.9944,0.9824,0.9944,447600
1980-06-19,0.9944,0.9944,0.9767,0.9767,138600
1980-06-20,0.9767,0.9882,0.9704,0.9767,172401
1980-06-23,0.9767,0.9882,0.9704,0.9704,505800
1980-06-24,0.9704,0.9882,0.9704,0.9704,239601
1980-06-25,0.9704,0.9882,0.9704,0.9824,97401
1980-06-26,0.9882,1.0002,0.9882,1.0002,860601
1980-06-27,1.0002,1.0064,0.9944,1.0002,109200
1980-06-30,1.0002,1.0002,0.9882,0.9882,133200
1980-07-01,0.9882,0.9944,0.9882,0.9944,95001
1980-07-02,0.9944,0.9944,0.9585,0.9824,67401
1980-07-03,0.9824,1.0002,0.9767,1.0002,115401
1980-07-07,1.0002,1.0064,0.9944,1.0002,109401
1980-07-08,1.0002,1.0002,0.9944,0.9944,94401
1980-07-09,0.9944,1.0002,0.9882,0.9882,114801
1980-07-10,0.9882,0.9944,0.9882,0.9882,70401
1980-07-11,0.9882,1.0002,0.9882,0.9882,91200
1980-07-14,0.9882,1.0002,0.9882,0.9882,69801
1980-07-15,0.9882,1.0002,0.9882,0.9944,98001
1980-07-16,0.9944,1.0064,0.9882,1.0002,183201
1980-07-17,1.0002,1.0002,0.9642,0.9882,2199000
1980-07-18,0.9882,0.9882,0.9585,0.9824,63801
1980-07-21,0.9824,0.9882,0.9704,0.9767,104601
1980-07-22,0.9767,0.9882,0.9767,0.9882,170601
1980-07-23,0.9824,0.9824,0.9585,0.9642,135000
1980-07-24,0.9642,0.9704,0.9585,0.9704,138801
1980-07-25,0.9704,0.9704,0.9585,0.9585,90600
1980-07-28,0.9585,0.9642,0.9585,0.9585,86400
1980-07-29,0.9585,0.9704,0.9585,0.9642,120600
1980-07-30,0.9642,0.9704,0.9585,0.9585,87801
1980-07-31,0.9585,0.9585,0.9407,0.9585,628200
1980-08-01,0.9527,0.9527,0.9345,0.9465,110601
1980-08-04,0.9407,0.9407,0.9283,0.9283,131601
1980-08-05,0.9283,0.9407,0.9225,0.9225,165000
1980-08-06,0.9225,0.9283,0.9163,0.9163,168000
1980-08-07,0.9163,0.9283,0.9048,0.9105,629601
1980-08-08,0.9105,0.9225,0.9105,0.9163,140001
1980-08-11,0.9163,0.9345,0.9163,0.9225,74400
1980-08-12,0.9225,0.9283,0.9105,0.9225,297801
1980-08-13,0.9225,0.9345,0.9163,0.9225,159801
1980-08-14,0.9225,0.9345,0.9163,0.9283,93201
1980-08-15,0.9283,0.9407,0.9283,0.9345,52200
1980-08-18,0.9345,0.9345,0.9225,0.9225,112200
1980-08-19,0.9225,0.9345,0.9225,0.9345,437001
1980-08-20,0.9345,0.9407,0.9163,0.9283,106800
1980-08-21,0.9283,0.9407,0.9163,0.9283,103401
1980-08-22,0.9283,0.9345,0.9225,0.9345,61800
1980-08-25,0.9345,0.9345,0.9225,0.9345,277800
1980-08-26,0.9345,0.9345,0.9225,0.9225,53400
1980-08-27,0.9225,0.9283,0.9105,0.9225,141000
1980-08-28,0.9225,0.9283,0.9163,0.9283,56400
1980-08-29,0.9283,0.9465,0.9225,0.9465,237201
