Date,Open,High,Low,Close,Volume
1972-06-01,0.2527,0.2529,0.2490,0.2529,2332800
1972-06-02,0.2529,0.2537,0.2490,0.2498,1531200
1972-06-05,0.2498,0.2505,0.2475,0.2490,2452800
1972-06-06,0.2490,0.2559,0.2483,0.2544,2227200
1972-06-07,0.2544,0.2544,0.2505,0.2544,979200
1972-06-08,0.2544,0.2552,0.2529,0.2529,1012800
1972-06-09,0.2529,0.2552,0.2529,0.2544,1483200
1972-06-12,0.2544,0.2590,0.2544,0.2552,1843200
1972-06-13,0.2552,0.2590,0.2537,0.2575,2064000
1972-06-14,0.2575,0.2590,0.2559,0.2575,1963200
1972-06-15,0.2575,0.2597,0.2544,0.2544,2587200
1972-06-16,0.2544,0.2590,0.2513,0.2590,2275200
1972-06-19,0.2590,0.2621,0.2582,0.2621,1608000
1972-06-20,0.2621,0.2636,0.2605,0.2636,2212800
1972-06-21,0.2636,0.2651,0.2605,0.2605,1934400
1972-06-22,0.2605,0.2629,0.2582,0.2613,2313600
1972-06-23,0.2613,0.2621,0.2544,0.2605,1406400
1972-06-26,0.2605,0.2605,0.2544,0.2575,1536000
1972-06-27,0.2575,0.2597,0.2544,0.2575,1944000
1972-06-28,0.2567,0.2567,0.2537,0.2552,1248000
1972-06-29,0.2552,0.2590,0.2537,0.2590,1060800
1972-06-30,0.2590,0.2636,0.2582,0.2597,2774400
1972-07-03,0.2597,0.2621,0.2575,0.2605,782400
1972-07-05,0.2621,0.2682,0.2621,0.2651,2755200
1972-07-06,0.2674,0.2713,0.2674,0.2705,3696000
1972-07-07,0.2705,0.2743,0.2689,0.2743,2011200
1972-07-10,0.2743,0.2781,0.2736,0.2751,2932800
1972-07-11,0.2751,0.2781,0.2751,0.2751,2073600
1972-07-12,0.2751,0.2781,0.2743,0.2759,2558400
1972-07-13,0.2743,0.2743,0.2667,0.2682,1056000
1972-07-14,0.2682,0.2759,0.2674,0.2743,1502400
1972-07-17,0.2743,0.2759,0.2674,0.2721,777600
1972-07-18,0.2713,0.2713,0.2613,0.2689,1449600
1972-07-19,0.2689,0.2728,0.2667,0.2705,2035200
1972-07-20,0.2705,0.2721,0.2659,0.2667,1416000
1972-07-21,0.2667,0.2682,0.2636,0.2682,907200
1972-07-24,0.2682,0.2682,0.2590,0.2621,9235200
1972-07-25,0.2629,0.2689,0.2629,0.2667,2558400
1972-07-26,0.2667,0.2682,0.2651,0.2651,1286400
1972-07-27,0.2651,0.2659,0.2636,0.2636,1075200
1972-07-28,0.2644,0.2659,0.2644,0.2659,1070400
1972-07-31,0.2659,0.2659,0.2636,0.2636,1939200
1972-08-01,0.2636,0.2697,0.2636,0.2689,1713600
1972-08-02,0.2697,0.2736,0.2697,0.2728,2865600
1972-08-03,0.2728,0.2736,0.2674,0.2689,1238400
1972-08-04,0.2689,0.2721,0.2667,0.2705,2035200
1972-08-07,0.2705,0.2713,0.2674,0.2713,1862400
1972-08-08,0.2713,0.2728,0.2697,0.2713,2280000
1972-08-09,0.2713,0.2721,0.2697,0.2721,2352000
1972-08-10,0.2721,0.2751,0.2705,0.2751,1104000
1972-08-11,0.2751,0.2805,0.2736,0.2805,3000000
1972-08-14,0.2805,0.2820,0.2781,0.2805,3144000
1972-08-15,0.2805,0.2805,0.2774,0.2789,1190400
1972-08-16,0.2789,0.2805,0.2751,0.2774,1454400
1972-08-17,0.2774,0.2813,0.2766,0.2781,2587200
1972-08-18,0.2774,0.2774,0.2728,0.2728,2894400
1972-08-21,0.2728,0.2743,0.2689,0.2728,1228800
1972-08-22,0.2728,0.2759,0.2697,0.2713,1358400
1972-08-23,0.2713,0.2743,0.2674,0.2697,1569600
1972-08-24,0.2697,0.2705,0.2636,0.2682,2044800
1972-08-25,0.2682,0.2697,0.2636,0.2651,2678400
1972-08-28,0.2651,0.2674,0.2629,0.2644,1363200
1972-08-29,0.2644,0.2674,0.2629,0.2659,2030400
1972-08-30,0.2659,0.2659,0.2629,0.2644,2116800
1972-08-31,0.2644,0.2651,0.2605,0.2621,2078400
1972-09-01,0.2621,0.2629,0.2590,0.2629,4627200
1972-09-05,0.2629,0.2636,0.2613,0.2636,940800
1972-09-06,0.2629,0.2629,0.2552,0.2567,1819200
1972-09-07,0.2567,0.2575,0.2483,0.2490,2918400
1972-09-08,0.2490,0.2552,0.2490,0.2529,1689600
1972-09-11,0.2529,0.2537,0.2498,0.2513,1320000
1972-09-12,0.2513,0.2537,0.2475,0.2475,1416000
1972-09-13,0.2475,0.2513,0.2460,0.2505,4056000
1972-09-14,0.2505,0.2537,0.2467,0.2483,1963200
1972-09-15,0.2490,0.2529,0.2490,0.2521,1099200
1972-09-18,0.2521,0.2559,0.2498,0.2529,691200
1972-09-19,0.2529,0.2582,0.2513,0.2559,806400
1972-09-20,0.2559,0.2590,0.2529,0.2552,1099200
1972-09-21,0.2552,0.2582,0.2544,0.2559,1272000
1972-09-22,0.2559,0.2575,0.2529,0.2537,1224000
1972-09-25,0.2537,0.2537,0.2483,0.2513,6451200
1972-09-26,0.2513,0.2559,0.2498,0.2559,1915200
