Date,Open,High,Low,Close,Volume
2001-10-23,11.0843,11.5655,11.0302,11.3547,32584000
2001-10-24,12.0035,12.0035,11.3547,11.9765,5847500
2001-10-25,11.8954,11.9765,11.7061,11.8683,2038800
2001-10-26,11.8683,11.8954,11.5709,11.6250,3339100
2001-10-29,11.8954,11.8954,11.3547,11.4628,1758700
2001-10-30,12.0305,12.0305,11.3547,11.9170,2225300
2001-10-31,12.1116,12.9714,11.8683,12.1657,5101800
2001-11-01,12.2360,12.2360,11.7332,11.8683,2747400
2001-11-02,11.9494,12.0305,11.8683,11.9927,1183800
2001-11-05,11.9494,12.0035,11.7602,11.8954,1144000
2001-11-06,11.8521,12.2739,11.8143,12.2198,695100
2001-11-07,12.2468,12.2468,11.7061,11.8143,1002900
2001-11-08,11.8683,11.8954,11.6737,11.7980,1642800
2001-11-09,11.6250,11.7710,11.6250,11.6791,1601000
2001-11-12,11.6845,11.8954,11.5223,11.8845,1101400
2001-11-13,11.8954,11.8954,11.7602,11.8143,687300
2001-11-14,11.9494,11.9494,11.5709,11.7602,1964000
2001-11-15,11.7061,11.8900,11.6791,11.8575,867300
2001-11-16,11.8954,12.3712,11.8845,12.0305,1851600
2001-11-19,11.8954,12.2955,11.8954,12.0738,1231800
2001-11-20,12.0305,12.3009,12.0305,12.2847,1182300
2001-11-21,12.3820,12.3820,12.2468,12.3658,1016400
2001-11-23,12.3712,12.3712,12.0035,12.1008,328800
2001-11-26,11.9494,12.1549,11.8845,12.0738,2417500
2001-11-27,12.0305,12.2198,12.0305,12.1116,1536000
2001-11-28,12.3982,12.3982,12.1549,12.3279,871900
2001-11-29,12.3279,12.4090,12.1657,12.3712,523100
2001-11-30,12.3820,12.4361,12.2739,12.4090,2255100
2001-12-03,12.5442,12.5442,12.0305,12.4090,1037600
2001-12-04,12.4090,12.4307,12.2468,12.4090,578700
2001-12-05,12.4523,12.5983,12.4090,12.5442,1370400
2001-12-06,12.8740,12.8740,12.5009,12.6794,509400
2001-12-07,12.8578,12.8578,12.5442,12.6794,1175600
2001-12-10,12.6740,12.6740,12.5442,12.6253,1396900
2001-12-11,12.6253,12.8957,12.6253,12.7010,1376300
2001-12-12,12.7875,12.9497,12.7064,12.7875,1933800
2001-12-13,12.8416,12.8957,12.6253,12.6956,1813400
2001-12-14,12.6523,13.1660,12.6523,13.0200,2133900
2001-12-17,13.1282,13.3823,12.7172,12.8091,1285500
2001-12-18,12.9227,13.0254,12.7064,12.8091,1949800
2001-12-19,12.9119,13.0416,12.4361,12.7118,3143500
2001-12-20,12.7118,12.8145,12.4361,12.7497,3660000
2001-12-21,12.4901,12.7389,12.4793,12.6361,2871400
2001-12-24,12.6523,12.7010,12.5983,12.6523,1578200
2001-12-26,12.7064,12.8145,12.5712,12.5983,2152100
2001-12-27,12.6794,12.9227,12.5442,12.7334,1772400
2001-12-28,12.7605,13.0038,12.6523,12.7172,1977900
2001-12-31,12.7605,13.0038,12.7334,12.9768,1596000
2002-01-02,13.0038,13.0849,12.6686,12.8848,2708100
2002-01-03,12.9497,12.9497,12.7334,12.8416,1501300
2002-01-04,13.1173,13.1173,12.8416,12.9497,2971800
2002-01-07,12.9768,13.0308,12.6523,12.8957,2623000
2002-01-08,12.8416,13.0579,12.7172,13.0200,2397100
2002-01-09,13.0200,13.0579,12.8254,12.9227,2569100
2002-01-10,13.1390,13.1390,12.9768,13.0849,2023900
2002-01-11,13.0849,13.1390,12.8416,12.9768,1845800
2002-01-14,13.0038,13.0579,12.8686,12.9659,1516500
2002-01-15,12.8957,13.0092,12.7875,12.8686,1548300
