Date,Open,High,Low,Close,Volume
1970-01-02,0.6598,0.6643,0.6590,0.6628,1664000
1970-01-05,0.6628,0.6673,0.6590,0.6658,1036800
1970-01-06,0.6643,0.6643,0.6583,0.6628,960000
1970-01-07,0.6643,0.6749,0.6643,0.6734,1420800
1970-01-08,0.6734,0.6839,0.6719,0.6809,1062400
1970-01-09,0.6809,0.6809,0.6764,0.6794,524800
1970-01-12,0.6794,0.6794,0.6749,0.6749,742400
1970-01-13,0.6749,0.6764,0.6719,0.6719,819200
1970-01-14,0.6749,0.6914,0.6749,0.6749,1190400
1970-01-15,0.6749,0.6779,0.6734,0.6749,780800
1970-01-16,0.6794,0.6930,0.6794,0.6824,819200
1970-01-19,0.6810,0.6810,0.6749,0.6764,1024000
1970-01-20,0.6780,0.6817,0.6780,0.6787,537600
1970-01-21,0.6787,0.6840,0.6749,0.6832,1356800
1970-01-22,0.6832,0.7006,0.6757,0.6990,1804800
1970-01-23,0.6960,0.6960,0.6780,0.6780,5785600
1970-01-26,0.6780,0.6795,0.6689,0.6689,1062400
1970-01-27,0.6704,0.6749,0.6704,0.6704,294400
1970-01-28,0.6704,0.6742,0.6659,0.6659,1651200
1970-01-29,0.6659,0.6659,0.6614,0.6644,832000
1970-01-30,0.6667,0.6742,0.6667,0.6689,870400
1970-02-02,0.6689,0.6704,0.6629,0.6629,4902400
1970-02-03,0.6644,0.6802,0.6644,0.6749,2470400
1970-02-04,0.6749,0.6810,0.6749,0.6764,768000
1970-02-05,0.6764,0.6802,0.6734,0.6780,908800
1970-02-06,0.6780,0.6900,0.6764,0.6870,1062400
1970-02-09,0.6870,0.6960,0.6832,0.6930,1280000
1970-02-10,0.6930,0.6930,0.6900,0.6915,576000
1970-02-11,0.6915,0.6930,0.6870,0.6930,1318400
1970-02-12,0.6945,0.7006,0.6945,0.6990,1587200
1970-02-13,0.6975,0.6975,0.6870,0.6900,3097600
1970-02-16,0.6900,0.7036,0.6900,0.6908,870400
1970-02-17,0.6900,0.6900,0.6599,0.6659,3084800
1970-02-18,0.6652,0.6652,0.6485,0.6508,2598400
1970-02-19,0.6508,0.6538,0.6448,0.6538,4121600
1970-02-20,0.6538,0.6576,0.6523,0.6523,1689600
1970-02-24,0.6523,0.6554,0.6478,0.6554,1971200
1970-02-25,0.6554,0.6584,0.6463,0.6508,5785600
1970-02-26,0.6388,0.6388,0.6358,0.6365,3494400
1970-02-27,0.6388,0.6629,0.6388,0.6584,2342400
1970-03-02,0.6584,0.6704,0.6584,0.6614,3084800
1970-03-03,0.6614,0.6659,0.6569,0.6659,1753600
1970-03-04,0.6659,0.6681,0.6629,0.6644,2150400
1970-03-05,0.6644,0.6659,0.6599,0.6599,3046400
1970-03-06,0.6569,0.6569,0.6508,0.6569,768000
1970-03-09,0.6569,0.6606,0.6569,0.6576,550400
1970-03-10,0.6576,0.6622,0.6576,0.6622,857600
1970-03-11,0.6622,0.6629,0.6606,0.6622,1612800
1970-03-12,0.6622,0.6629,0.6614,0.6629,2022400
1970-03-13,0.6629,0.6659,0.6569,0.6569,3289600
1970-03-16,0.6554,0.6554,0.6358,0.6388,4633600
1970-03-17,0.6388,0.6493,0.6373,0.6395,2278400
1970-03-18,0.6418,0.6523,0.6418,0.6478,1036800
1970-03-19,0.6478,0.6523,0.6388,0.6403,524800
1970-03-20,0.6403,0.6478,0.6395,0.6478,678400
1970-03-23,0.6463,0.6463,0.6403,0.6403,384000
