Date,Open,High,Low,Close,Volume
1986-07-09,0.4596,0.4596,0.4560,0.4596,6112800
1986-07-10,0.4633,0.4633,0.4560,0.4633,1080000
1986-07-11,0.4560,0.4633,0.4560,0.4633,2682000
1986-07-14,0.4596,0.4633,0.4486,0.4486,435600
1986-07-15,0.4449,0.4486,0.4376,0.4449,2707200
1986-07-16,0.4449,0.4449,0.4376,0.4412,748800
1986-07-17,0.4393,0.4412,0.4376,0.4376,4510800
1986-07-18,0.4376,0.4412,0.4339,0.4412,2404800
1986-07-21,0.4412,0.4523,0.4339,0.4449,4359600
1986-07-22,0.4486,0.4633,0.4486,0.4560,752400
1986-07-23,0.4670,0.4743,0.4670,0.4743,1260000
1986-07-24,0.4707,0.4707,0.4633,0.4633,8960400
1986-07-25,0.4707,0.5038,0.4633,0.4964,13906800
1986-07-28,0.5001,0.5038,0.4854,0.4890,2048400
1986-07-29,0.4854,0.4927,0.4854,0.4927,2631600
1986-07-30,0.4890,0.4964,0.4890,0.4927,2703600
1986-07-31,0.4927,0.5074,0.4927,0.5001,4935600
1986-08-01,0.5001,0.5001,0.4854,0.4854,11084400
1986-08-04,0.4854,0.4854,0.4780,0.4854,4298400
1986-08-05,0.4798,0.4890,0.4798,0.4854,1159200
1986-08-06,0.4927,0.4927,0.4854,0.4927,532800
1986-08-07,0.4927,0.4927,0.4854,0.4854,514800
1986-08-08,0.4927,0.4964,0.4927,0.4964,2786400
1986-08-11,0.4964,0.5001,0.4927,0.5001,2826000
1986-08-12,0.5038,0.5185,0.5038,0.5148,1018800
1986-08-13,0.5221,0.5442,0.5221,0.5442,2361600
1986-08-14,0.5442,0.5479,0.5368,0.5479,1256400
1986-08-15,0.5405,0.5479,0.5405,0.5442,471600
1986-08-18,0.5442,0.5552,0.5405,0.5516,885600
1986-08-19,0.5552,0.5663,0.5552,0.5552,3002400
1986-08-20,0.5552,0.5626,0.5516,0.5589,1929600
1986-08-21,0.5626,0.5626,0.5552,0.5626,7300800
1986-08-22,0.5589,0.5626,0.5589,0.5626,4626000
1986-08-25,0.5589,0.5589,0.5442,0.5516,1209600
1986-08-26,0.5516,0.5552,0.5442,0.5552,464400
1986-08-27,0.5552,0.5589,0.5516,0.5589,320400
1986-08-28,0.5516,0.5589,0.5516,0.5516,345600
1986-08-29,0.5589,0.5589,0.5516,0.5552,3877200
1986-09-02,0.5570,0.5589,0.5516,0.5552,572400
1986-09-03,0.5516,0.5516,0.5442,0.5479,2721600
1986-09-04,0.5479,0.5479,0.5442,0.5442,1278000
1986-09-05,0.5479,0.5479,0.5368,0.5368,1692000
1986-09-08,0.5332,0.5442,0.5258,0.5332,4474800
1986-09-09,0.5332,0.5332,0.5258,0.5313,2106000
1986-09-10,0.5295,0.5332,0.5258,0.5295,1180800
1986-09-11,0.5295,0.5332,0.5148,0.5148,3459600
1986-09-12,0.5111,0.5185,0.4854,0.4854,2577600
1986-09-15,0.4927,0.4964,0.4890,0.4927,1778400
1986-09-16,0.4854,0.4854,0.4670,0.4707,1803600
1986-09-17,0.4670,0.4817,0.4670,0.4817,1836000
1986-09-18,0.4817,0.4817,0.4743,0.4743,1879200
1986-09-19,0.4743,0.4890,0.4743,0.4817,1796400
1986-09-22,0.4890,0.5074,0.4817,0.5074,547200
1986-09-23,0.5111,0.5185,0.5074,0.5148,1134000
1986-09-24,0.5185,0.5185,0.5111,0.5148,133200
1986-09-25,0.5148,0.5148,0.5001,0.5001,759600
1986-09-26,0.5055,0.5074,0.5001,0.5074,158400
1986-09-29,0.5001,0.5001,0.4927,0.4964,2401200
1986-09-30,0.5001,0.5038,0.4964,0.5038,2685600
1986-10-01,0.5038,0.5038,0.5001,0.5038,1148400
1986-10-02,0.5038,0.5038,0.5001,0.5038,576000
1986-10-03,0.5038,0.5111,0.5001,0.5111,964800
1986-10-06,0.5111,0.5185,0.5074,0.5185,687600
1986-10-07,0.5111,0.5221,0.5111,0.5148,3027600
1986-10-08,0.5148,0.5221,0.5148,0.5148,856800
1986-10-09,0.5185,0.5185,0.5148,0.5148,716400
1986-10-10,0.5185,0.5185,0.5111,0.5185,1645200
1986-10-13,0.5148,0.5185,0.5148,0.5185,97200
1986-10-14,0.5148,0.5185,0.5148,0.5148,601200
1986-10-15,0.5185,0.5185,0.5148,0.5185,612000
1986-10-16,0.5185,0.5185,0.5148,0.5148,720000
1986-10-17,0.5221,0.5221,0.5148,0.5185,529200
1986-10-20,0.5185,0.5185,0.5148,0.5148,360000
1986-10-21,0.5148,0.5185,0.5148,0.5148,1281600
1986-10-22,0.5185,0.5185,0.5148,0.5185,2642400
1986-10-23,0.5185,0.5221,0.5148,0.5148,1864800
1986-10-24,0.5185,0.5368,0.5185,0.5295,3146400
1986-10-27,0.5295,0.5405,0.5295,0.5368,3081600
1986-10-28,0.5368,0.5368,0.5313,0.5332,5644800
1986-10-29,0.5332,0.5332,0.5221,0.5221,896400
1986-10-30,0.5221,0.5332,0.5221,0.5332,1393200
1986-10-31,0.5332,0.5332,0.4707,0.4817,14731200
1986-11-03,0.4890,0.4890,0.4817,0.4854,3060000
1986-11-04,0.4854,0.4854,0.4670,0.4689,3448800
1986-11-05,0.4670,0.4707,0.4412,0.4412,2394000
1986-11-06,0.4376,0.4449,0.4192,0.4412,4989600
1986-11-07,0.4412,0.4432,0.4376,0.4412,3492000
1986-11-10,0.4339,0.4432,0.4302,0.4339,2563200
1986-11-11,0.4376,0.4376,0.4302,0.4358,2196000
1986-11-12,0.4376,0.4393,0.4118,0.4192,5342400
1986-11-13,0.4118,0.4173,0.4082,0.4082,9720000
1986-11-14,0.4082,0.4082,0.3934,0.4008,5580000
1986-11-17,0.4008,0.4045,0.3934,0.4008,2584800
1986-11-18,0.4062,0.4082,0.4008,0.4008,1011600
1986-11-19,0.3971,0.4045,0.3934,0.3971,2991600
1986-11-20,0.3971,0.3971,0.3934,0.3971,2664000
1986-11-21,0.3971,0.4302,0.3934,0.4265,7394400
1986-11-24,0.4302,0.4412,0.4265,0.4376,1929600
1986-11-25,0.4412,0.4412,0.4339,0.4376,3927600
1986-11-26,0.4376,0.4376,0.4339,0.4376,684000
1986-11-28,0.4412,0.4449,0.4376,0.4449,241200
1986-12-01,0.4412,0.4412,0.4339,0.4412,1929600
1986-12-02,0.4376,0.4486,0.4376,0.4486,1933200
1986-12-03,0.4486,0.4633,0.4412,0.4633,3045600
