Date,Open,High,Low,Close,Volume
1985-07-01,3.2012,3.2853,3.2012,3.2853,200698
1985-07-02,3.2853,3.3210,3.2737,3.3210,271299
1985-07-03,3.3210,3.3336,3.2853,3.2853,263199
1985-07-05,3.2969,3.3461,3.2969,3.3461,102602
1985-07-08,3.3094,3.3094,3.2853,3.3094,72900
1985-07-09,3.3094,3.3094,3.2611,3.2737,137700
1985-07-10,3.2611,3.2611,3.2244,3.2495,81901
1985-07-11,3.2495,3.2853,3.2495,3.2611,136500
1985-07-12,3.2611,3.2853,3.2128,3.2495,610300
1985-07-15,3.2370,3.2370,3.1886,3.2128,392101
1985-07-16,3.2128,3.2370,3.1770,3.2370,353201
1985-07-17,3.2370,3.3094,3.2370,3.2495,374498
1985-07-18,3.2495,3.2737,3.2012,3.2244,125499
1985-07-19,3.2244,3.2611,3.2244,3.2370,222001
1985-07-22,3.2370,3.2370,3.2128,3.2244,82898
1985-07-23,3.2244,3.2370,3.2128,3.2244,180098
1985-07-24,3.2244,3.2244,3.2128,3.2244,64901
1985-07-25,3.2244,3.2370,3.2012,3.2244,599501
1985-07-26,3.2370,3.2611,3.2370,3.2370,107502
1985-07-29,3.2370,3.2737,3.2370,3.2737,148002
1985-07-30,3.2737,3.2737,3.2495,3.2611,58001
1985-07-31,3.2611,3.2737,3.2495,3.2611,54599
1985-08-01,3.2611,3.3094,3.2495,3.2969,191201
1985-08-02,3.2969,3.3336,3.2969,3.2969,64000
1985-08-05,3.2969,3.3094,3.2611,3.2737,173401
1985-08-06,3.2737,3.2969,3.2370,3.2611,373501
1985-08-07,3.2611,3.2853,3.2611,3.2611,193600
1985-08-08,3.2611,3.2969,3.2611,3.2969,155798
1985-08-09,3.2969,3.3210,3.2853,3.2853,64800
1985-08-12,3.2853,3.3094,3.2737,3.2737,98101
1985-08-13,3.2737,3.2737,3.2495,3.2495,118802
1985-08-14,3.2370,3.2370,3.1886,3.2012,158102
1985-08-15,3.2012,3.2128,3.2012,3.2012,38698
1985-08-16,3.2012,3.2128,3.1886,3.1886,38698
1985-08-19,3.1886,3.2244,3.1770,3.2244,257398
1985-08-20,3.2244,3.2244,3.2012,3.2012,45902
