Date,Open,High,Low,Close,Volume
1985-07-01,1.4924,1.5379,1.4924,1.5033,178400
1985-07-02,1.5033,1.5033,1.4687,1.4805,337600
1985-07-03,1.4924,1.5261,1.4924,1.5261,1909600
1985-07-05,1.5261,1.5261,1.5142,1.5142,116800
1985-07-08,1.5142,1.5261,1.5033,1.5261,158400
1985-07-09,1.5261,1.5261,1.4805,1.5033,261600
1985-07-10,1.5033,1.5033,1.4468,1.4687,1311200
1985-07-11,1.4687,1.5261,1.4687,1.5033,1032800
1985-07-12,1.5033,1.5261,1.4924,1.5033,1602400
1985-07-15,1.5033,1.5489,1.5033,1.5489,782400
1985-07-16,1.5489,1.5944,1.5379,1.5944,472800
1985-07-17,1.6053,1.6627,1.6053,1.6509,1344000
1985-07-18,1.6509,1.6627,1.6172,1.6290,608800
1985-07-19,1.6290,1.6627,1.6290,1.6400,1107200
1985-07-22,1.6400,1.6400,1.6172,1.6400,449600
1985-07-23,1.6400,1.6400,1.6053,1.6290,228000
1985-07-24,1.6290,1.6290,1.5835,1.5944,293600
1985-07-25,1.5944,1.5944,1.5716,1.5716,116800
1985-07-26,1.5716,1.5835,1.5489,1.5598,529600
1985-07-29,1.5598,1.5598,1.5033,1.5261,158400
1985-07-30,1.5142,1.5142,1.4350,1.4577,301600
1985-07-31,1.4577,1.4805,1.4468,1.4577,252000
1985-08-01,1.4577,1.4805,1.4468,1.4687,217600
1985-08-02,1.4687,1.4687,1.4468,1.4468,313600
1985-08-05,1.4350,1.4350,1.3776,1.4013,208800
1985-08-06,1.4013,1.4013,1.3101,1.3666,649600
1985-08-07,1.3666,1.3666,1.3557,1.3666,155200
1985-08-08,1.3666,1.3666,1.2755,1.3211,1389600
1985-08-09,1.3320,1.3666,1.3320,1.3666,577600
1985-08-12,1.3666,1.3776,1.3439,1.3439,57600
1985-08-13,1.3439,1.3439,1.3320,1.3320,336800
1985-08-14,1.3320,1.3320,1.3211,1.3211,112800
1985-08-15,1.3211,1.3439,1.3101,1.3320,34400
1985-08-16,1.3320,1.3439,1.2983,1.2983,68800
1985-08-19,1.2983,1.3211,1.2755,1.2755,334400
1985-08-20,1.2755,1.2983,1.2755,1.2755,911200
1985-08-21,1.2755,1.2865,1.2646,1.2755,513600
1985-08-22,1.2755,1.3101,1.2755,1.2865,130400
1985-08-23,1.2865,1.2983,1.2755,1.2983,81600
1985-08-26,1.2983,1.3101,1.2755,1.2755,69600
1985-08-27,1.2755,1.2865,1.2755,1.2865,130400
1985-08-28,1.2865,1.2865,1.2409,1.2409,258400
1985-08-29,1.2409,1.2646,1.2409,1.2527,772000
1985-08-30,1.2755,1.3101,1.2755,1.3101,383200
1985-09-03,1.3101,1.3320,1.2755,1.2983,148800
1985-09-04,1.2983,1.3211,1.2865,1.3101,159200
1985-09-05,1.3101,1.3101,1.2409,1.2755,127200
1985-09-06,1.2646,1.2646,1.2300,1.2646,158400
1985-09-09,1.2527,1.2527,1.2190,1.2409,79200
1985-09-10,1.2409,1.2527,1.2190,1.2300,77600
1985-09-11,1.2190,1.2190,1.1735,1.1735,193600
1985-09-12,1.1735,1.1735,1.1161,1.1161,200800
1985-09-13,1.1161,1.1279,1.0824,1.0933,352000
1985-09-16,1.0824,1.0824,1.0022,1.0478,292800
1985-09-17,1.0478,1.0933,1.0250,1.0933,172000
1985-09-18,1.0933,1.1389,1.0824,1.0933,443200
1985-09-19,1.0933,1.1389,1.0933,1.1279,252800
1985-09-20,1.1279,1.1616,1.1161,1.1161,258400
1985-09-23,1.1161,1.1616,1.1161,1.1389,304800
1985-09-24,1.1389,1.1389,1.1161,1.1279,73600
1985-09-25,1.1279,1.1279,1.1042,1.1042,43200
1985-09-26,1.1042,1.1161,1.1042,1.1161,152000
1985-09-30,1.1161,1.1279,1.0933,1.1279,160800
1985-10-01,1.1042,1.1279,1.1042,1.1161,292800
1985-10-02,1.1279,1.1616,1.1279,1.1498,323200
1985-10-03,1.1498,1.1735,1.1389,1.1389,138400
1985-10-04,1.1389,1.1616,1.1389,1.1616,825600
1985-10-07,1.1498,1.1498,1.1389,1.1498,58400
1985-10-08,1.1498,1.1498,1.1279,1.1389,48000
1985-10-09,1.1389,1.1498,1.1279,1.1389,121600
1985-10-10,1.1389,1.1389,1.0933,1.0933,1608800
1985-10-11,1.0933,1.1042,1.0587,1.0705,104800
1985-10-14,1.0705,1.0824,1.0368,1.0587,352800
1985-10-15,1.0587,1.0705,1.0250,1.0368,174400
1985-10-16,1.0368,1.0824,1.0131,1.0250,161600
1985-10-17,1.0250,1.0250,0.9566,0.9566,1176800
1985-10-18,0.9566,0.9794,0.9457,0.9676,724000
1985-10-21,0.9676,0.9794,0.9566,0.9794,629600
