Date,Open,High,Low,Close,Volume
2000-01-28,5.9697,6.0642,5.9697,5.9697,11192000
2000-01-31,5.9697,5.9995,5.9697,5.9995,1880900
2000-02-01,5.9697,5.9995,5.9697,5.9697,367100
2000-02-02,5.9697,5.9995,5.9697,5.9995,697400
2000-02-03,5.9697,5.9995,5.9697,5.9697,579800
2000-02-04,5.9697,5.9995,5.5966,5.6612,1681900
2000-02-07,5.5319,5.5319,5.2235,5.3777,927200
2000-02-08,5.3478,5.4125,4.8503,4.9150,795400
2000-02-09,4.9150,5.0991,4.8503,5.0344,1710100
2000-02-10,5.2235,5.5966,5.1936,5.2831,571500
2000-02-11,5.3478,5.4423,4.9747,5.0046,1062000
2000-02-14,5.0692,5.1289,4.8503,4.8802,289000
2000-02-15,4.9747,5.2831,4.9449,5.1936,541400
2000-02-16,5.2533,5.2831,5.0991,5.2533,360700
2000-02-17,5.4125,5.4125,5.0991,5.1638,291600
2000-02-18,5.2235,5.3478,5.1289,5.2235,330700
2000-02-22,5.0991,5.2831,4.9150,5.1289,314500
2000-02-23,4.9449,5.1289,4.8802,5.0344,494300
2000-02-24,5.0344,5.1289,4.9150,4.9449,919900
2000-02-25,5.1289,5.2831,4.9747,5.1936,1095500
2000-02-28,5.0991,5.1289,4.9747,5.0344,366800
2000-02-29,5.0344,5.5966,4.9747,5.4125,1652500
2000-03-01,5.4125,5.5966,5.4125,5.4722,266700
2000-03-02,5.4125,5.9398,5.3777,5.7209,890300
2000-03-03,5.7209,5.7209,5.4125,5.4423,160300
2000-03-06,5.2235,5.3777,5.1638,5.3478,242800
2000-03-07,5.2831,5.3478,5.0046,5.0991,393500
2000-03-08,5.0692,5.2235,4.9150,5.1638,424200
2000-03-09,5.1289,5.3777,5.0991,5.2235,310100
2000-03-10,5.2235,5.2235,4.9747,5.0991,168900
2000-03-13,4.9747,5.0344,4.7558,4.8503,1767400
2000-03-14,4.8503,5.0344,4.8503,4.9150,660500
2000-03-15,4.9150,4.9150,4.6016,4.7857,1231100
2000-03-16,4.8802,5.0991,4.7260,4.8503,404100
2000-03-17,4.8503,4.9449,4.6016,4.7558,814800
2000-03-20,4.8205,4.9150,4.7260,4.7857,473200
2000-03-21,4.7558,4.8802,4.7260,4.7857,176200
2000-03-22,4.7857,4.8503,4.7260,4.7558,430300
2000-03-23,4.7260,4.8802,4.7260,4.8205,477400
2000-03-24,4.7558,4.9150,4.7558,4.8503,236700
2000-03-27,4.8503,4.9747,4.8503,4.9150,67600
2000-03-28,4.9150,4.9747,4.8503,4.8802,157900
2000-03-29,4.8802,4.9449,4.8802,4.8802,253000
2000-03-30,4.8802,5.0344,4.8802,4.8802,235200
2000-03-31,4.8802,5.2235,4.8503,5.2235,627300
2000-04-03,5.1638,5.1638,5.0046,5.1289,108400
2000-04-04,5.1638,5.1638,4.9747,5.0046,411000
2000-04-05,4.9449,5.1638,4.9150,5.0991,196100
2000-04-06,5.0991,5.5319,5.0344,5.3777,296700
2000-04-07,5.2235,5.2831,5.0991,5.2235,262800
2000-04-10,5.2235,5.3478,5.0991,5.1289,139400
2000-04-11,5.0991,5.2831,5.0991,5.2533,315000
2000-04-12,5.2533,5.4722,5.2533,5.3777,392000
2000-04-13,5.3180,5.3777,5.2831,5.2831,243200
2000-04-14,5.2235,5.2831,4.9747,5.0344,269900
2000-04-17,4.9747,5.1638,4.9747,5.1638,321300
2000-04-18,5.1638,5.3777,5.0991,5.2831,862200
2000-04-19,5.2235,5.5966,5.2235,5.4423,531900
2000-04-20,5.4423,5.4722,5.2831,5.2831,193500
2000-04-24,5.3478,5.6612,5.3478,5.4125,355700
2000-04-25,5.5020,5.7508,5.4722,5.5966,621900
2000-04-26,5.5966,5.6612,5.4722,5.4722,391800
2000-04-27,5.4722,5.5966,5.3777,5.3777,246300
2000-04-28,5.5319,5.9100,5.4722,5.9100,284100
2000-05-01,5.8453,5.9398,5.6612,5.7806,138900
2000-05-02,5.9100,5.9100,5.7508,5.8453,159200
2000-05-03,5.7806,5.8154,5.7209,5.7508,105600
2000-05-04,5.7508,5.8453,5.7209,5.8453,180500
2000-05-05,5.7806,5.9697,5.7508,5.9398,240000
2000-05-08,5.9100,5.9697,5.8453,5.9100,117900
2000-05-09,5.8453,5.9100,5.7806,5.8751,87000
2000-05-10,5.8453,5.9995,5.7508,5.9697,383700
2000-05-11,5.9100,5.9995,5.8453,5.9697,404400
2000-05-12,5.9697,6.0294,5.9398,5.9697,171600
2000-05-15,5.9697,6.3428,5.9697,6.2781,227300
2000-05-16,6.2184,6.2781,6.0294,6.1587,251500
2000-05-17,6.1239,6.1885,6.0940,6.1587,195300
2000-05-18,6.0940,6.1239,5.9398,5.9697,94500
2000-05-19,5.9697,6.0940,5.9697,6.0294,334900
2000-05-22,5.9995,6.0642,5.8751,5.8751,522400
2000-05-23,5.8453,5.9100,5.6612,5.7806,258000
2000-05-24,5.7209,5.7508,5.5966,5.6612,209300
2000-05-25,5.5966,5.7209,5.5966,5.6911,526000
2000-05-26,5.6911,5.9100,5.6612,5.9100,159000
2000-05-30,5.7209,5.8154,5.5966,5.8154,217400
2000-05-31,5.7508,5.8453,5.7209,5.7209,204900
2000-06-01,5.6612,5.8453,5.4722,5.5966,359100
2000-06-02,5.5966,5.6612,5.4722,5.5020,183500
2000-06-05,5.5020,5.6612,5.4722,5.5319,102800
2000-06-06,5.5319,5.6264,5.5319,5.6264,353700
2000-06-07,5.6264,5.6612,5.4722,5.5966,303500
2000-06-08,5.5667,5.5966,5.5020,5.5020,279300
2000-06-09,5.5020,5.6612,5.4722,5.5966,136600
2000-06-12,5.5319,5.6612,5.4722,5.6612,215100
2000-06-13,5.6612,5.7209,5.5319,5.7209,128400
2000-06-14,5.7209,5.8154,5.6264,5.7508,137200
2000-06-15,5.7508,5.8751,5.5319,5.5966,140000
2000-06-16,5.5319,5.5319,5.3180,5.3180,417700
2000-06-19,5.3478,5.5319,5.2831,5.4722,178200
2000-06-20,5.3777,5.4125,5.0344,5.2235,183500
2000-06-21,5.0991,5.4722,5.0991,5.4722,122900
2000-06-22,5.4125,5.4722,5.0991,5.3180,205200
2000-06-23,5.1936,5.2831,5.1289,5.2235,69700
2000-06-26,5.1638,5.3180,5.0991,5.2831,307100
2000-06-27,5.2235,5.4722,5.2235,5.4722,203500
2000-06-28,5.4125,5.9100,5.3777,5.7806,199200
2000-06-29,5.7806,6.1587,5.6612,6.0294,292900
2000-06-30,6.0940,6.2184,5.0344,5.0344,1202100
2000-07-03,5.4125,5.6612,5.4125,5.6264,174800
2000-07-05,5.6612,5.6612,5.4722,5.5966,161500
2000-07-06,5.5319,5.5966,5.4125,5.5966,58700
2000-07-07,5.5319,5.5966,5.4125,5.5319,82700
2000-07-10,5.5319,5.6264,5.4722,5.4722,103000
2000-07-11,5.4722,5.6264,5.4125,5.5966,206700
2000-07-12,5.5966,5.7209,5.5966,5.7209,54300
2000-07-13,5.6911,5.9100,5.6911,5.8154,146800
2000-07-14,5.7806,5.9398,5.7508,5.9100,173100
2000-07-17,5.8751,5.9697,5.8453,5.9398,148600
2000-07-18,5.9100,5.9697,5.8751,5.9697,123100
2000-07-19,5.9100,5.9100,5.5966,5.7209,143900
2000-07-20,5.8453,5.8453,5.7508,5.7806,80600
2000-07-21,5.7806,5.9100,5.7806,5.7806,118300
2000-07-24,5.7209,5.7209,5.4722,5.5319,259700
2000-07-25,5.4722,5.5667,5.4125,5.4125,32300
2000-07-26,5.4125,5.4423,5.3478,5.3777,38800
2000-07-27,5.3478,5.4722,5.3478,5.4125,195300
2000-07-28,5.3777,5.4423,5.3478,5.3478,97900
2000-07-31,5.3777,5.6612,5.3777,5.6612,55200
2000-08-01,5.5966,5.5966,5.3777,5.4423,57000
2000-08-02,5.4125,5.4722,5.2831,5.4722,105500
2000-08-03,5.4722,5.5020,5.2831,5.3478,99200
2000-08-04,5.3180,5.4423,5.2831,5.4423,40500
2000-08-07,5.4125,5.5966,5.3478,5.5319,40400
2000-08-08,5.5020,5.5667,5.3180,5.3180,52700
2000-08-09,5.3180,5.8453,5.2831,5.7806,151500
2000-08-10,5.7209,5.7209,5.4722,5.4722,68300
2000-08-11,5.4125,5.7209,5.4125,5.7209,53900
2000-08-14,5.6612,5.8453,5.5020,5.6911,92700
2000-08-15,5.7209,5.7209,5.5319,5.6264,59000
2000-08-16,5.6911,5.8453,5.5966,5.7806,87800
2000-08-17,5.7209,5.8154,5.7209,5.7508,160800
2000-08-18,5.6911,5.6911,5.4722,5.5966,69500
2000-08-21,5.5319,5.5319,5.3478,5.3478,337400
2000-08-22,5.4125,5.8453,5.4125,5.7806,78100
2000-08-23,5.7209,5.7209,5.5966,5.6264,74200
2000-08-24,5.6264,5.6612,5.5667,5.5966,104800
2000-08-25,5.6612,5.8453,5.6264,5.8453,270800
2000-08-28,5.9697,5.9697,5.7806,5.9100,178400
2000-08-29,5.8751,5.9100,5.8453,5.8453,95800
2000-08-30,5.8453,5.8453,5.8154,5.8154,106500
2000-08-31,5.8154,5.8453,5.7806,5.8154,131800
2000-09-01,5.9100,5.9995,5.8453,5.9995,141300
2000-09-05,6.0294,6.5617,5.9995,6.3428,535000
