Date,Open,High,Low,Close,Volume
1997-11-21,7.9102,7.9102,7.6578,7.7419,3821400
1997-11-24,7.7419,7.7419,7.4895,7.6578,541600
1997-11-25,7.7015,7.7419,7.6376,7.7419,425000
1997-11-26,7.7419,7.7419,7.6578,7.6578,165200
1997-11-28,7.6578,7.7419,7.6578,7.7419,60500
1997-12-01,7.7621,7.7857,7.7419,7.7621,120300
1997-12-02,7.7857,7.7857,7.7015,7.7419,164200
1997-12-03,7.7621,7.7621,7.7217,7.7419,540000
1997-12-04,7.7419,7.7621,7.7419,7.7419,43800
1997-12-05,7.7015,7.8698,7.7015,7.7621,147500
1997-12-08,7.7419,7.8261,7.7419,7.8059,74900
1997-12-09,7.7857,7.8059,7.7419,7.8059,61000
1997-12-10,7.7857,7.8261,7.7621,7.7621,104500
1997-12-11,7.7419,7.7857,7.7419,7.7621,153600
1997-12-12,7.7621,7.8059,7.7621,7.8059,59900
1997-12-15,7.7857,7.8059,7.7857,7.8059,24400
1997-12-16,7.8501,8.0397,7.8501,7.9991,107900
1997-12-17,8.0397,8.2090,8.0194,8.1887,63900
1997-12-18,8.1683,8.2090,8.1683,8.2090,35700
1997-12-19,8.2090,8.2090,8.0397,8.0837,134400
1997-12-22,8.1040,8.1683,8.0837,8.1243,34400
1997-12-23,8.1243,8.1887,8.1243,8.1243,88500
1997-12-24,8.1040,8.1243,8.0600,8.1243,63300
1997-12-26,8.0837,8.0837,7.9754,8.0194,34600
1997-12-29,8.0837,8.1446,8.0397,8.0600,159600
1997-12-30,8.1243,8.2293,8.0194,8.2293,52400
1997-12-31,8.2530,8.5069,8.2530,8.5069,215700
1998-01-02,8.4628,8.4628,8.3376,8.4222,52000
1998-01-05,8.3782,8.4425,8.3376,8.3376,42300
1998-01-06,8.3782,8.3782,8.3376,8.3579,26900
1998-01-07,8.3579,8.3782,8.2733,8.3376,49500
1998-01-08,8.2936,8.3782,8.2530,8.3139,95700
1998-01-09,8.2936,8.2936,8.1683,8.2530,37800
1998-01-12,8.1683,8.2733,8.0397,8.2733,24500
1998-01-13,8.2936,8.3376,8.2733,8.3139,190300
1998-01-14,8.2936,8.3782,8.2090,8.3782,201800
1998-01-15,8.3782,8.3782,8.2936,8.2936,39200
1998-01-16,8.3139,8.3139,8.2530,8.2936,13600
1998-01-20,8.3376,8.3782,8.3139,8.3376,63200
1998-01-21,8.3579,8.4222,8.3139,8.3782,90400
1998-01-22,8.4222,8.4222,8.3376,8.3579,99600
1998-01-23,8.3782,8.3782,8.2733,8.2733,11200
1998-01-26,8.2293,8.2530,8.1683,8.1683,50500
1998-01-27,8.2090,8.2936,8.1243,8.2090,17300
1998-01-28,8.1683,8.1683,8.0837,8.1243,68700
1998-01-29,8.0397,8.1683,8.0397,8.1243,67700
1998-01-30,8.1243,8.2936,8.1243,8.2936,33000
1998-02-02,8.2936,8.3782,8.2733,8.3782,31000
1998-02-03,8.3376,8.3782,8.2936,8.2936,18300
1998-02-04,8.3139,8.3139,8.2530,8.2530,29200
1998-02-05,8.2530,8.3376,8.2530,8.2936,10900
1998-02-06,8.2936,8.2936,8.1683,8.2090,129200
1998-02-09,8.1887,8.2293,8.1040,8.2293,101100
1998-02-10,8.2530,8.3376,8.2293,8.3376,35000
1998-02-11,8.3376,8.3376,8.2733,8.3376,40400
1998-02-12,8.2936,8.3376,8.2293,8.2936,34500
1998-02-13,8.3139,8.3376,8.2530,8.2936,73100
1998-02-17,8.3376,8.3985,8.2936,8.3985,110500
1998-02-18,8.3579,8.3579,8.0837,8.1683,85500
1998-02-19,8.2090,8.2090,8.1243,8.1243,7900
1998-02-20,8.1243,8.2530,8.1243,8.1887,82700
1998-02-23,8.1683,8.2090,8.1243,8.1446,26300
1998-02-24,8.1446,8.1887,8.0837,8.0837,8700
1998-02-25,8.0837,8.1040,8.0397,8.0397,45600
1998-02-26,8.0397,8.0837,7.9991,7.9991,21300
1998-02-27,7.9991,8.0600,7.9551,7.9551,42700
1998-03-02,8.0397,8.0397,7.9348,7.9348,102800
1998-03-03,7.9348,8.0194,7.9348,7.9754,24500
1998-03-04,7.9991,7.9991,7.9145,7.9145,108100
1998-03-05,7.9145,7.9551,7.9145,7.9348,43100
1998-03-06,7.9348,8.0600,7.9348,7.9551,17400
1998-03-09,7.9551,8.1887,7.9551,8.1243,105300
1998-03-10,8.1683,8.2090,8.1243,8.1243,89800
1998-03-11,8.1243,8.1887,8.1243,8.1887,8200
1998-03-12,8.1887,8.1887,8.1243,8.1243,103000
1998-03-13,8.0600,8.1243,8.0600,8.0837,438900
1998-03-16,8.1154,8.1154,7.9849,8.0913,16000
1998-03-17,8.0501,8.0913,8.0295,8.0707,15300
1998-03-18,8.0707,8.1154,8.0707,8.0707,39800
1998-03-19,8.0707,8.2012,8.0707,8.2012,100200
1998-03-20,8.1772,8.3729,8.1772,8.3283,137800
1998-03-23,8.3283,8.4142,8.3283,8.3729,13400
1998-03-24,8.4142,8.4142,8.3283,8.3283,10800
1998-03-25,8.3729,8.4142,8.3283,8.3489,18700
1998-03-26,8.4588,8.5653,8.4142,8.5000,22800
1998-03-27,8.5000,8.5653,8.4588,8.5653,45500
1998-03-30,8.5653,8.5653,8.4348,8.4588,20000
1998-03-31,8.4142,8.4142,8.2871,8.2871,113200
1998-04-01,8.2630,8.3283,8.1772,8.2871,32600
1998-04-02,8.3283,8.4348,8.2424,8.2424,58100
1998-04-03,8.2218,8.2218,7.9849,8.0707,64100
1998-04-06,8.0707,8.0913,7.9643,7.9849,114700
1998-04-07,7.9437,7.9643,7.8990,7.8990,139600
1998-04-08,7.9643,8.0501,7.9437,8.0501,24700
1998-04-09,8.0707,8.0707,8.0295,8.0707,125900
1998-04-13,8.0707,8.0707,7.9437,7.9643,61300
1998-04-14,7.9196,7.9643,7.8578,7.9643,93300
1998-04-15,7.9437,8.1154,7.9437,8.0707,8100
1998-04-16,8.0295,8.0295,7.8990,7.9437,21100
1998-04-17,7.9196,7.9643,7.8131,7.9196,103200
1998-04-20,7.9849,7.9849,7.8338,7.8578,20600
1998-04-21,7.8131,7.8131,7.7479,7.7925,32700
1998-04-22,7.7479,8.0707,7.7479,8.0295,67900
1998-04-23,8.0295,8.0707,7.9643,8.0295,16500
1998-04-24,8.0295,8.1566,8.0295,8.0707,24700
1998-04-27,8.0295,8.0707,7.9196,7.9196,6800
1998-04-28,8.0295,8.0295,7.8990,7.8990,16400
1998-04-29,7.9643,7.9643,7.9437,7.9437,12500
1998-04-30,7.9849,8.0295,7.8990,7.8990,15900
1998-05-01,7.8990,8.2630,7.8990,8.2630,72100
1998-05-04,8.2871,8.5859,8.2871,8.5000,102900
1998-05-05,8.5447,8.5447,8.3729,8.5000,73300
1998-05-06,8.5000,8.5000,8.3729,8.4142,65800
1998-05-07,8.4142,8.5447,8.4142,8.5447,69100
1998-05-08,8.5447,8.5447,8.3936,8.4142,55600
1998-05-11,8.4142,8.4142,8.0707,8.0707,53400
1998-05-12,8.1154,8.1154,7.9849,8.0501,57700
1998-05-13,8.0913,8.1154,8.0707,8.0707,3300
1998-05-14,8.0707,8.1154,8.0707,8.0707,1600
1998-05-15,8.0707,8.1154,8.0707,8.1154,27300
1998-05-18,8.1360,8.1360,8.0913,8.1360,27000
1998-05-19,8.1360,8.1360,8.0295,8.0295,9600
1998-05-20,8.0707,8.0707,7.9437,8.0055,15300
1998-05-21,8.0501,8.0913,7.9437,7.9437,82800
1998-05-22,7.9437,7.9849,7.9437,7.9849,2500
1998-05-26,7.9849,8.1566,7.9849,8.0295,96500
1998-05-27,7.9437,8.0501,7.9437,8.0501,49200
1998-05-28,8.0295,8.0501,7.9643,7.9849,23200
1998-05-29,7.9849,8.1772,7.9849,8.1772,48000
1998-06-01,8.2218,8.2218,8.0913,8.1154,77300
1998-06-02,8.0707,8.0913,8.0707,8.0913,11400
1998-06-03,8.0913,8.0913,8.0707,8.0707,521600
1998-06-04,8.0707,8.1154,8.0707,8.0913,6000
1998-06-05,8.1360,8.1772,8.1360,8.1360,52400
