Date,Open,High,Low,Close,Volume
2008-03-17,22.4976,23.6899,22.1556,22.2231,1988000
2008-03-18,22.4301,23.3975,21.4852,22.3176,8067600
2008-03-19,22.3176,22.9475,21.1027,22.5426,3007700
2008-03-20,22.5876,22.5876,21.9891,22.1151,3007700
2008-03-24,22.4121,22.9475,22.4121,22.9475,1437000
2008-03-25,23.1275,23.2850,22.7675,23.2850,1100800
2008-03-26,23.2625,23.6089,22.6325,22.6325,2023200
2008-03-27,22.9250,23.4110,22.4976,22.8035,8653300
2008-03-28,23.3165,23.6224,22.7495,22.9745,9961200
2008-03-31,23.6449,24.6123,22.4976,22.7585,19408900
2008-04-01,22.9970,23.4830,22.0521,22.7585,23322500
2008-04-02,23.0555,23.4290,22.5651,23.0420,12944700
2008-04-03,22.9475,23.1725,22.6776,22.9700,12439100
2008-04-04,23.1005,23.1635,22.8575,23.1140,6651000
2008-04-07,23.0825,23.2175,22.7225,22.7990,7099300
2008-04-08,22.5921,22.9520,22.5921,22.7675,8283300
2008-04-09,22.7225,22.7630,22.1151,22.2186,8916200
2008-04-10,22.2681,22.4571,21.8226,21.8946,14321900
2008-04-11,21.8181,21.9981,21.6337,21.7461,11400700
2008-04-14,21.7551,21.7551,21.3412,21.5977,11532500
2008-04-15,21.4987,21.7551,21.4987,21.6877,9603400
2008-04-16,21.8361,22.3221,21.7551,22.2546,14837600
2008-04-17,22.3716,22.4976,22.2366,22.4301,6660700
2008-04-18,22.7180,22.9205,22.2186,22.4796,9630700
2008-04-21,22.5876,22.8980,22.1061,22.7810,6528300
2008-04-22,22.7675,22.9025,22.4616,22.5291,5504900
2008-04-23,22.9475,23.5504,22.9025,23.3975,13532300
2008-04-24,23.3975,23.5909,23.1725,23.3975,5847500
2008-04-25,23.4605,23.4785,22.8350,23.0825,11399700
2008-04-28,22.9205,23.0825,22.8350,22.9790,8382500
2008-04-29,23.1455,23.4875,22.6146,23.4020,12325300
2008-04-30,23.2625,23.4020,22.9051,22.9610,8733100
2008-05-01,22.8710,23.0240,22.7765,22.8350,7120800
2008-05-02,22.9025,22.9925,22.6775,22.9565,9291100
2008-05-05,22.8890,23.2310,22.7810,22.8620,8398500
