Date,Open,High,Low,Close,Volume
1988-09-07,6.2396,6.2567,6.2026,6.2396,3737000
1988-09-08,6.2567,6.2567,6.2026,6.2211,1363600
1988-09-09,6.2396,6.2567,6.2026,6.2396,1143200
1988-09-12,6.2737,6.2737,6.2026,6.2396,57600
1988-09-13,6.2026,6.2026,6.1145,6.1685,242400
1988-09-14,6.1685,6.1856,6.0789,6.1145,201400
1988-09-15,6.1145,6.1500,6.0434,6.1145,235800
1988-09-16,6.0434,6.1685,6.0434,6.1685,323800
1988-09-19,6.1500,6.1685,6.0974,6.1500,57000
1988-09-20,6.1500,6.2026,6.1500,6.1856,70600
1988-09-21,6.1856,6.1856,6.1315,6.1315,239800
1988-09-22,6.0789,6.0974,6.0434,6.0974,164800
1988-09-23,6.1145,6.1685,6.0789,6.1145,101800
1988-09-26,6.0974,6.1856,6.0789,6.0974,136800
1988-09-27,6.1315,6.1500,6.0974,6.1315,128600
1988-09-28,6.1145,6.1500,6.0974,6.1145,153600
1988-09-29,6.1500,6.2026,6.1500,6.1685,240400
1988-09-30,6.2026,6.2567,6.1500,6.1500,309600
1988-10-03,6.2211,6.2211,6.1500,6.1856,155200
1988-10-04,6.2211,6.2211,6.1315,6.1315,115000
1988-10-05,6.1500,6.1500,6.0974,6.1315,185800
1988-10-06,6.1145,6.1315,6.0789,6.0789,59000
1988-10-07,6.0974,6.2026,6.0434,6.2026,313400
1988-10-10,6.2211,6.2211,6.1685,6.2026,50200
1988-10-11,6.2026,6.2026,6.1500,6.1856,195600
1988-10-12,6.1856,6.1856,6.0263,6.1685,148800
1988-10-13,6.1685,6.2211,6.1145,6.2211,154200
1988-10-14,6.2211,6.2211,6.0789,6.1145,134400
1988-10-17,6.1145,6.1145,6.0434,6.0974,71400
1988-10-18,6.1145,6.2211,6.0434,6.1856,93800
1988-10-19,6.2211,6.2211,6.0263,6.1145,1322400
1988-10-20,6.1145,6.1315,6.0604,6.1145,91600
1988-10-21,6.0789,6.1145,6.0789,6.0974,256400
1988-10-24,6.0434,6.0604,5.9723,5.9723,257400
1988-10-25,5.9723,5.9723,5.8471,5.9182,180600
1988-10-26,5.9552,5.9723,5.9012,5.9723,1345200
1988-10-27,5.9552,6.0263,5.9182,5.9182,117200
1988-10-28,5.9552,6.0263,5.9367,5.9367,125200
1988-10-31,5.9552,6.0078,5.9367,5.9367,129800
1988-11-01,5.9552,6.0078,5.9367,6.0078,88200
1988-11-02,6.0078,6.0263,5.9367,6.0078,149000
1988-11-03,6.0263,6.0434,5.9893,5.9893,152000
1988-11-04,6.0263,6.0789,6.0078,6.0078,200000
1988-11-07,6.0078,6.0078,5.9012,5.9012,152200
1988-11-08,5.9012,5.9893,5.9012,5.9723,1334600
1988-11-09,5.9367,5.9723,5.8656,5.9367,294600
1988-11-10,5.9367,5.9552,5.9012,5.9367,169800
1988-11-11,5.9367,5.9367,5.8656,5.8656,149000
1988-11-14,5.8656,5.8841,5.7590,5.7760,180000
1988-11-15,5.7760,5.9012,5.7760,5.8471,98400
1988-11-16,5.8301,5.8471,5.7590,5.7945,213800
1988-11-17,5.8301,5.8301,5.7234,5.7945,105800
1988-11-18,5.7945,5.8130,5.7590,5.7590,130400
1988-11-21,5.7760,5.8130,5.7234,5.8130,98600
1988-11-22,5.8130,5.8301,5.7590,5.7945,79800
1988-11-23,5.7590,5.7945,5.6879,5.6879,77600
1988-11-25,5.6879,5.6879,5.5997,5.6339,95000
1988-11-28,5.7192,5.7551,5.7005,5.7192,1343800
1988-11-29,5.7192,5.8818,5.7192,5.8443,154800
1988-11-30,5.8818,6.0429,5.8271,5.8990,1156800
1988-12-01,5.8818,5.9350,5.8630,5.9350,1208800
1988-12-02,5.9350,5.9350,5.8443,5.8818,2496800
1988-12-05,5.8443,6.0069,5.8443,5.8990,141600
1988-12-06,5.8818,5.9537,5.8630,5.9350,249000
1988-12-07,5.9350,5.9537,5.8990,5.9537,123600
1988-12-08,5.9163,5.9710,5.9163,5.9537,305000
1988-12-09,5.9537,5.9882,5.9537,5.9882,147200
1988-12-12,6.0069,6.0602,5.9350,5.9350,177000
1988-12-13,5.9537,5.9710,5.9163,5.9350,93600
1988-12-14,5.9537,5.9537,5.8990,5.9163,115600
1988-12-15,5.8990,5.9350,5.8818,5.8818,180600
1988-12-16,5.8990,5.8990,5.8271,5.8630,396800
1988-12-19,5.8271,5.9350,5.8271,5.8990,124400
1988-12-20,5.8630,5.8990,5.6832,5.7192,211000
1988-12-21,5.7551,5.8818,5.7005,5.8098,222400
1988-12-22,5.8271,5.8271,5.7379,5.7551,411000
1988-12-23,5.8098,5.8098,5.7551,5.7551,132200
1988-12-27,5.7551,5.7911,5.7551,5.7551,101600
1988-12-28,5.7551,5.8098,5.7379,5.7911,157000
1988-12-29,5.7551,5.8271,5.7551,5.7911,169800
1988-12-30,5.7911,5.7911,5.7192,5.7192,114200
1989-01-03,5.7551,5.7551,5.6113,5.6472,189600
1989-01-04,5.6832,5.7192,5.6659,5.7005,235800
1989-01-05,5.7005,5.7005,5.6659,5.6832,124600
1989-01-06,5.7192,5.7379,5.6472,5.6659,275800
1989-01-09,5.7379,5.7551,5.6832,5.7379,1371600
1989-01-10,5.7379,5.7379,5.6832,5.7192,406000
1989-01-11,5.6832,5.7379,5.6832,5.7379,293800
1989-01-12,5.7379,5.8098,5.7192,5.7551,371000
1989-01-13,5.7551,5.7911,5.7005,5.7551,134800
1989-01-16,5.7551,5.7724,5.7192,5.7724,81200
1989-01-17,5.7724,5.8271,5.7551,5.7911,1400200
1989-01-18,5.8098,5.8818,5.7724,5.8443,125200
1989-01-19,5.8818,5.8818,5.8098,5.8271,184200
1989-01-20,5.8098,5.8271,5.7724,5.8098,219600
1989-01-23,5.8271,5.8630,5.7911,5.8098,332600
1989-01-24,5.8098,5.8630,5.7724,5.8271,210600
1989-01-25,5.8443,5.8818,5.8098,5.8818,1436200
1989-01-26,5.8630,5.8630,5.8098,5.8098,250400
1989-01-27,5.8271,5.9710,5.8271,5.9350,477000
1989-01-30,5.9537,6.0256,5.9537,5.9882,212200
1989-01-31,6.0069,6.1321,6.0069,6.0789,151600
1989-02-01,6.0976,6.1868,6.0976,6.1148,1349600
1989-02-02,6.1148,6.1508,6.0602,6.1321,124200
1989-02-03,6.1148,6.1868,6.0789,6.0976,112800
1989-02-06,6.1321,6.1695,6.1148,6.1148,127600
1989-02-07,6.1148,6.2760,6.1148,6.2414,259400
1989-02-08,6.2760,6.2947,6.2227,6.2414,194800
1989-02-09,6.2414,6.2587,6.1321,6.1321,1354600
1989-02-10,6.1148,6.1695,6.0069,6.0429,129600
1989-02-13,6.0602,6.0976,6.0069,6.0256,188400
1989-02-14,6.0429,6.0602,6.0069,6.0256,105600
1989-02-15,6.0429,6.1148,6.0256,6.0976,144000
1989-02-16,6.1321,6.1321,6.0789,6.1148,109200
1989-02-17,6.1148,6.2040,6.1148,6.2040,115600
1989-02-21,6.1868,6.2227,6.1321,6.2040,96400
1989-02-22,6.1868,6.1868,6.0256,6.0429,181800
1989-02-23,6.0429,6.0429,5.9537,5.9710,607200
1989-02-24,5.9882,5.9882,5.8990,5.8990,190600
1989-02-27,5.9309,5.9847,5.9120,5.9120,58800
1989-02-28,5.9498,6.0037,5.9120,5.9498,186600
1989-03-01,6.0037,6.0037,5.8217,5.8217,177600
1989-03-02,5.8217,5.9309,5.8217,5.9120,3253200
1989-03-03,5.9498,5.9847,5.9120,5.9847,104800
1989-03-06,5.9673,6.1128,5.9498,6.1128,203400
1989-03-07,6.1128,6.1128,6.0226,6.0400,102000
1989-03-08,6.0764,6.0954,6.0400,6.0400,49000
1989-03-09,6.0764,6.0764,6.0226,6.0575,84600
1989-03-10,6.0764,6.0764,6.0037,6.0575,106800
1989-03-13,6.0954,6.1681,6.0764,6.0764,102800
1989-03-14,6.0954,6.0954,5.9673,6.0400,99200
1989-03-15,6.0226,6.0575,5.9673,5.9847,100400
1989-03-16,6.0037,6.1303,5.9673,6.0954,140200
1989-03-17,6.0037,6.0575,5.9673,6.0226,380600
1989-03-20,6.0226,6.0226,5.8945,5.9309,179800
1989-03-21,5.9847,5.9847,5.9120,5.9673,137600
1989-03-22,5.9847,6.0037,5.9309,6.0037,199200
1989-03-23,6.0037,6.0226,5.9498,5.9673,73400
1989-03-27,5.9673,5.9847,5.8945,5.8945,149600
1989-03-28,5.9120,5.9498,5.8945,5.9120,143200
1989-03-29,5.9309,5.9498,5.7664,5.7853,298000
1989-03-30,5.7853,5.9309,5.7853,5.8581,335200
1989-03-31,5.8945,6.0037,5.8945,5.9673,175000
1989-04-03,6.0037,6.0037,5.9498,6.0037,567600
1989-04-04,6.0400,6.0400,5.9847,6.0226,120200
1989-04-05,6.0400,6.0954,6.0226,6.0764,74000
1989-04-06,6.0954,6.0954,5.9847,6.0400,177600
1989-04-07,6.0400,6.0954,6.0226,6.0400,120200
1989-04-10,6.0400,6.0764,6.0400,6.0764,92800
1989-04-11,6.0575,6.1492,6.0575,6.1303,131400
1989-04-12,6.1128,6.2409,6.1128,6.2220,139800
1989-04-13,6.2220,6.2409,6.0954,6.1128,187600
1989-04-14,6.1681,6.2409,6.1303,6.2409,841200
1989-04-17,6.2409,6.2409,6.1492,6.2409,797200
1989-04-18,6.2409,6.3311,6.2409,6.3137,219200
1989-04-19,6.3311,6.3311,6.2220,6.2758,365000
1989-04-20,6.3137,6.3137,6.1856,6.1856,262800
1989-04-21,6.2031,6.3137,6.2031,6.3137,124600
1989-04-24,6.2758,6.3311,6.2584,6.3311,717200
1989-04-25,6.3486,6.3864,6.2758,6.3137,769200
1989-04-26,6.3486,6.5494,6.3311,6.3486,542600
1989-04-27,6.4214,6.4403,6.3486,6.3864,345200
1989-04-28,6.3864,6.4039,6.3137,6.3864,269800
1989-05-01,6.3675,6.4767,6.3486,6.4767,233800
1989-05-02,6.4403,6.4767,6.4403,6.4403,732600
1989-05-03,6.4767,6.4767,6.4039,6.4592,768200
1989-05-04,6.4403,6.4592,6.4039,6.4403,208400
1989-05-05,6.4767,6.5131,6.4214,6.4767,227000
1989-05-08,6.4592,6.4592,6.4039,6.4403,102800
1989-05-09,6.4214,6.4403,6.3311,6.3486,123200
1989-05-10,6.3311,6.3486,6.2584,6.3137,217400
1989-05-11,6.3137,6.3675,6.3137,6.3675,140800
1989-05-12,6.4039,6.4941,6.4039,6.4941,229600
1989-05-15,6.5131,6.5669,6.5131,6.5494,187000
1989-05-16,6.5320,6.6586,6.5320,6.6586,372800
1989-05-17,6.6775,6.6775,6.6222,6.6775,235000
1989-05-18,6.6775,6.7314,6.6586,6.6950,328200
1989-05-19,6.7125,6.7314,6.6950,6.6950,229600
1989-05-22,6.7125,6.7678,6.6950,6.6950,113400
1989-05-23,6.6586,6.6950,6.6222,6.6586,219600
1989-05-24,6.6222,6.6586,6.6222,6.6397,123000
1989-05-25,6.6222,6.6775,6.6222,6.6397,130200
1989-05-26,6.6627,6.7172,6.6259,6.6819,193800
1989-05-30,6.6819,6.7732,6.6819,6.7364,511400
1989-05-31,6.7732,6.9028,6.7732,6.8468,1567600
1989-06-01,6.8836,6.9572,6.8645,6.9204,3425400
1989-06-02,6.9572,6.9940,6.9204,6.9204,2519400
1989-06-05,6.9572,7.0117,6.9204,6.9204,203200
1989-06-06,6.9572,7.0677,6.9381,7.0677,208400
1989-06-07,7.0500,7.0677,6.9940,7.0677,536600
1989-06-08,7.0500,7.0853,6.9940,7.0677,705600
1989-06-09,7.0500,7.1236,7.0309,7.1045,141400
1989-06-12,7.1045,7.1413,7.0500,7.1045,494400
1989-06-13,7.0853,7.1045,7.0117,7.0309,1020800
1989-06-14,6.9940,6.9940,6.6259,6.7732,2694400
1989-06-15,6.6819,6.6819,6.5346,6.5700,846600
1989-06-16,6.5523,6.6436,6.5523,6.6436,529800
1989-06-19,6.6819,6.7364,6.6259,6.7364,308600
1989-06-20,6.8100,6.8100,6.7172,6.7364,206000
1989-06-21,6.7555,6.7732,6.6627,6.6996,305000
1989-06-22,6.6996,6.7172,6.6083,6.7172,521800
