Date,Open,High,Low,Close,Volume
2007-05-15,17.0000,17.0000,15.7700,15.9600,4850000
2007-05-16,15.9500,15.9700,15.0300,15.4500,357600
2007-05-17,15.2900,15.5900,15.0500,15.1300,426700
2007-05-18,15.0500,15.2900,15.0500,15.1800,140600
2007-05-21,15.2300,15.6300,15.1000,15.6300,157200
2007-05-22,15.5900,15.7500,15.3200,15.6200,141900
2007-05-23,15.7500,15.7500,15.0500,15.2500,103400
2007-05-24,15.3400,15.3400,14.8500,15.2200,199700
2007-05-25,15.2300,15.2300,15.1000,15.1700,43800
2007-05-29,15.1500,15.3000,15.0500,15.2700,138500
2007-05-30,15.0000,15.1400,14.9900,15.1000,120200
2007-05-31,14.9000,15.0100,14.5700,14.8200,151600
2007-06-01,15.0000,15.0400,14.8000,15.0000,81700
2007-06-04,14.9900,15.0000,14.8000,15.0000,100600
2007-06-05,15.0000,15.0300,14.6200,14.7600,120100
2007-06-06,14.6000,14.6000,14.2500,14.2800,88900
2007-06-07,14.0300,14.3600,13.8800,14.0000,99800
2007-06-08,13.9200,14.1200,13.9000,14.1000,61400
2007-06-11,14.1400,14.7200,14.1000,14.4900,47700
2007-06-12,14.4800,14.6100,14.2500,14.2500,39700
2007-06-13,14.2600,14.5000,14.2400,14.2500,70300
2007-06-14,14.2500,14.3300,14.0500,14.1700,60900
2007-06-15,14.1600,14.1600,13.9100,13.9100,36900
2007-06-18,13.7800,14.0000,13.7000,13.8500,40600
2007-06-19,13.7000,14.1100,13.6300,13.8400,42800
2007-06-20,14.0700,14.2400,13.8000,14.0600,108800
2007-06-21,14.4000,14.5000,13.9600,14.1200,51000
2007-06-22,13.9000,14.6700,13.8500,13.8500,752600
2007-06-25,14.2400,14.2400,13.9000,14.0600,184700
2007-06-26,14.0900,14.1000,13.8760,13.9900,83400
2007-06-27,13.8900,14.2400,13.8700,14.2100,52000
2007-06-28,14.2600,14.3000,13.8800,14.0100,235700
2007-06-29,14.1700,14.2800,13.9400,14.2000,166100
2007-07-02,14.3000,14.5600,14.0800,14.4500,82900
2007-07-03,14.0500,14.5400,14.0500,14.5000,7100
2007-07-05,15.0000,15.0000,14.6000,14.9700,41800
2007-07-06,14.8600,15.0900,14.8500,15.0500,30800
2007-07-09,14.8800,14.9900,14.5000,14.8700,10200
2007-07-10,14.7000,15.0500,14.7000,15.0100,30100
2007-07-11,14.9850,15.0500,14.8000,14.8200,13200
2007-07-12,14.9400,14.9700,14.8900,14.9300,15200
2007-07-13,15.0500,15.0500,14.6600,14.7900,14000
2007-07-16,14.8300,14.8300,13.8800,14.0400,28400
2007-07-17,14.1300,14.2100,13.9900,13.9900,15600
2007-07-18,14.0000,14.0600,13.8400,14.0000,97200
2007-07-19,14.0000,14.3400,13.6800,14.0000,156200
2007-07-20,14.0000,14.0700,13.9100,14.0100,32000
2007-07-23,14.0500,14.2800,13.8800,13.9800,12300
2007-07-24,13.7700,13.9700,13.2800,13.6800,45000
2007-07-25,13.7600,14.1300,13.7440,14.1300,61900
2007-07-26,13.8600,14.7000,13.8600,14.5700,58400
2007-07-27,14.4600,14.4800,13.9600,14.1100,72500
2007-07-30,14.0400,14.1900,13.9400,14.0000,9700
2007-07-31,14.0900,14.0900,13.9600,14.0200,19200
2007-08-01,13.9800,14.2100,13.8500,14.2100,54400
2007-08-02,14.1100,14.4000,13.8500,14.3900,15300
2007-08-03,14.0000,14.2300,13.8900,13.9700,65800
2007-08-06,13.9500,14.2700,13.9500,13.9900,78200
2007-08-07,14.0100,14.4500,13.7500,14.2300,574000
2007-08-08,14.4200,15.5700,14.4200,15.0200,72600
2007-08-09,15.2500,16.0000,14.5000,14.5000,66100
2007-08-10,14.5000,15.0100,13.8600,14.4800,82700
2007-08-13,14.8500,15.7500,14.6900,15.1900,65700
2007-08-14,15.3400,15.4899,14.5500,15.0000,47300
2007-08-15,15.0000,15.5900,14.5400,15.0000,93000
2007-08-16,15.0100,16.9800,14.9200,16.9800,80800
2007-08-17,17.3000,17.8000,16.6800,16.9700,164100
2007-08-20,16.9800,17.3700,16.8500,17.0000,40000
2007-08-21,17.0600,17.0600,16.8100,16.8700,118700
2007-08-22,17.0700,17.1300,16.7500,16.9900,151600
2007-08-23,17.2600,17.5000,16.9600,17.0600,60600
2007-08-24,17.1800,17.2400,16.8080,17.1000,18900
2007-08-27,17.1300,17.1600,16.7900,16.9700,158700
2007-08-28,16.8500,17.6400,16.7900,17.5700,62800
2007-08-29,17.7500,19.0000,17.7500,18.5600,47200
2007-08-30,18.2600,18.5100,17.6900,18.1900,47600
2007-08-31,18.4500,18.4500,17.3500,17.6200,21900
2007-09-04,17.6100,18.0400,17.6100,18.0000,101400
2007-09-05,17.9000,18.0000,17.2400,17.4300,30800
2007-09-06,17.4500,18.0000,17.4500,17.9900,22000
2007-09-07,18.0000,18.0000,17.3300,17.4900,26400
2007-09-10,17.6300,18.0600,17.1400,17.8200,36900
2007-09-11,18.0600,20.2400,18.0600,19.0800,268900
2007-09-12,19.0900,20.2900,18.9700,20.2900,175900
2007-09-13,20.1700,21.4900,19.7600,20.9800,231700
2007-09-14,20.9400,21.6400,20.9400,21.5000,116500
2007-09-17,21.5600,22.5500,21.5000,22.4900,135300
2007-09-18,22.6000,24.0000,22.2500,22.6000,347100
2007-09-19,22.7600,23.0000,21.7000,22.5800,90300
2007-09-20,22.4700,22.6000,21.7900,21.9000,50300
2007-09-21,21.9000,22.2500,20.6101,21.3700,148500
2007-09-24,21.4300,21.9900,20.8600,21.9000,151100
2007-09-25,21.7200,21.7900,21.3000,21.6900,86600
2007-09-26,21.7500,21.7500,21.0650,21.3300,39700
2007-09-27,21.4500,21.7500,20.9700,21.3400,80000
2007-09-28,21.4500,21.8700,21.1200,21.7500,249900
2007-10-01,21.7000,22.5099,21.0900,21.2500,82800
2007-10-02,21.5400,23.1800,21.5399,22.5000,133900
2007-10-03,22.4700,23.0300,22.3700,22.6800,130700
2007-10-04,22.8100,23.9699,22.3100,23.4600,175400
2007-10-05,23.7000,24.2900,23.4500,23.5100,234900
2007-10-08,23.4000,23.7600,22.7500,22.9800,60900
2007-10-09,23.1400,24.5200,22.9900,24.2600,88700
2007-10-10,24.2900,25.1000,23.3900,24.6000,100200
2007-10-11,24.7800,25.7700,24.2500,25.0600,281200
2007-10-12,25.1100,25.8300,25.1099,25.7700,91000
2007-10-15,25.8200,25.9900,24.3700,24.8900,125100
2007-10-16,24.7500,25.3300,24.5600,25.1500,146900
2007-10-17,25.3700,27.1200,23.9800,24.2000,266400
2007-10-18,24.0100,24.3500,22.7900,23.7700,132900
2007-10-19,23.7700,24.5000,23.0000,23.1400,122200
2007-10-22,22.9600,24.2600,22.1600,24.1600,110800
2007-10-23,24.2500,25.3000,24.1700,25.1700,120500
2007-10-24,25.1300,26.1900,24.7700,25.8500,104800
2007-10-25,26.0000,26.7900,25.7300,25.9000,107000
2007-10-26,26.3200,26.7500,25.4600,26.6200,86400
2007-10-29,25.2800,27.6700,25.0500,26.8900,155400
2007-10-30,26.8000,26.8000,25.1100,25.2100,97500
2007-10-31,25.4400,25.5600,24.4100,25.0400,83400
2007-11-01,24.8900,24.9500,23.7300,23.8300,162000
2007-11-02,23.9400,24.4100,23.1200,23.7900,143700
2007-11-05,23.4500,25.4700,22.9800,24.5700,192100
2007-11-06,24.2900,24.4599,23.2900,23.5000,284000
2007-11-07,23.3000,23.5200,23.1400,23.2500,2575600
2007-11-08,23.2900,23.6400,23.0000,23.4000,457500
2007-11-09,23.2800,23.6500,23.1000,23.4000,132700
2007-11-12,23.4700,23.4700,23.0300,23.2500,185500
2007-11-13,23.2600,23.9500,22.9800,23.8000,268500
2007-11-14,23.9500,23.9500,22.5300,23.3000,190200
2007-11-15,23.1700,23.8900,23.0400,23.4200,170700
2007-11-16,23.4100,24.4750,23.0100,24.0400,149100
2007-11-19,23.7700,25.9900,23.7700,25.4000,200000
2007-11-20,25.5000,25.9000,24.8600,25.4600,92200
2007-11-21,25.4400,25.6400,24.8100,24.9300,67500
2007-11-23,25.2300,25.4300,24.1300,25.0300,40200
2007-11-26,25.1900,25.5000,24.9000,24.9600,115400
2007-11-27,25.1300,25.5000,24.9500,25.1200,75500
2007-11-28,25.4000,26.9100,25.4000,26.4500,159700
2007-11-29,26.4600,26.8000,25.7900,26.6900,143900
2007-11-30,27.0400,27.8499,26.8000,27.4600,264500
2007-12-03,26.9000,26.9900,23.2500,24.3000,1042900
2007-12-04,24.0100,25.0000,23.7400,24.3000,241900
2007-12-05,24.6900,25.2600,24.6500,24.9400,97200
2007-12-06,24.8100,25.5100,24.7500,25.4900,117200
2007-12-07,25.4900,25.4900,24.3300,24.7200,71600
2007-12-10,24.8500,25.1700,24.6700,24.8700,67500
2007-12-11,25.0100,25.1700,24.2600,24.2600,59500
2007-12-12,24.6000,25.0100,23.9800,24.2400,121600
2007-12-13,24.0000,25.3500,24.0000,25.0000,164300
2007-12-14,24.7800,25.1100,24.7100,25.0200,48100
2007-12-17,24.5300,24.9400,23.0800,23.1100,141000
2007-12-18,23.4000,23.5700,20.7300,22.9400,301900
2007-12-19,22.9500,23.0000,22.3200,22.3600,60700
2007-12-20,22.5500,23.2500,22.5500,23.2500,43300
2007-12-21,23.6000,24.4000,23.2900,23.8800,98400
2007-12-24,23.9800,23.9800,23.4000,23.5000,19600
2007-12-26,23.3001,23.6000,22.6500,23.3800,49500
2007-12-27,23.2400,23.7100,22.8600,22.9200,56900
2007-12-28,23.0000,23.7900,23.0000,23.4000,54100
2007-12-31,23.2300,23.7300,23.2300,23.4800,59900
2008-01-02,23.1400,23.8100,23.1400,23.4200,58200
2008-01-03,23.2600,23.6300,23.1000,23.2600,183500
2008-01-04,23.1500,23.4800,23.0000,23.2200,154700
2008-01-07,23.4000,24.5900,23.3100,24.3900,124000
2008-01-08,24.7300,26.7100,24.7200,25.2700,332200
2008-01-09,25.1400,26.2400,24.4200,25.8700,139300
2008-01-10,25.6700,26.2000,24.4300,24.4700,198900
2008-01-11,25.9100,25.9100,24.2200,24.2200,89400
2008-01-14,24.4900,24.6800,23.1500,23.8500,115200
2008-01-15,23.8500,23.8500,22.0400,22.5000,216800
2008-01-16,22.3400,22.5100,21.7300,22.1000,118100
2008-01-17,22.0900,22.1400,21.6900,21.9800,64200
2008-01-18,21.9900,22.4900,20.6000,20.7800,81300
2008-01-22,20.3800,22.0000,18.5800,20.5500,222400
2008-01-23,20.0200,21.9100,20.0200,21.7100,171300
2008-01-24,21.8900,23.0100,19.8800,20.2600,346500
2008-01-25,20.3800,20.5100,18.3600,19.0500,306600
2008-01-28,19.0500,19.4000,18.1400,18.3400,252100
