Date,Open,High,Low,Close,Volume
1995-10-13,0.6826,0.7314,0.6826,0.6826,6328301
1995-10-16,0.7151,0.7151,0.6826,0.6911,993103
1995-10-17,0.6826,0.7151,0.6826,0.6826,276302
1995-10-18,0.6501,0.6826,0.6339,0.6501,5321803
1995-10-19,0.6586,0.6664,0.6501,0.6586,1139404
1995-10-20,0.6664,0.7151,0.6501,0.6826,680499
1995-10-23,0.6826,0.6826,0.6664,0.6748,961198
1995-10-24,0.6748,0.6989,0.6664,0.6664,419095
1995-10-25,0.6989,0.6989,0.6664,0.6664,613499
1995-10-26,0.6664,0.6989,0.6586,0.6586,198596
1995-10-27,0.6586,0.6989,0.6586,0.6586,195702
1995-10-30,0.6586,0.6989,0.6586,0.6586,59505
1995-10-31,0.6586,0.6989,0.6586,0.6586,367302
1995-11-01,0.6586,0.6664,0.6586,0.6586,273295
1995-11-02,0.6501,0.6501,0.6501,0.6501,75702
1995-11-03,0.6501,0.6586,0.6501,0.6501,41405
1995-11-06,0.6989,0.6989,0.6501,0.6501,204701
1995-11-07,0.6664,0.7151,0.6664,0.7151,1636195
1995-11-08,0.7151,0.7151,0.6664,0.6826,267304
1995-11-09,0.6911,0.7151,0.6664,0.6664,91296
1995-11-10,0.7151,0.7151,0.6664,0.6664,116697
1995-11-13,0.7151,0.7151,0.6664,0.6911,332196
1995-11-14,0.7151,0.7314,0.6664,0.6989,1973198
1995-11-15,0.6989,0.7151,0.6501,0.6664,373897
1995-11-16,0.7151,0.7314,0.6826,0.6989,1128105
1995-11-17,0.7151,0.7151,0.6989,0.6989,686399
1995-11-20,0.6989,0.6989,0.6501,0.6501,424005
1995-11-21,0.6989,0.6989,0.6501,0.6989,33705
1995-11-22,0.6989,0.6989,0.6501,0.6989,31598
1995-11-24,0.6501,0.6501,0.6501,0.6501,31598
1995-11-27,0.6989,0.6989,0.6501,0.6989,56703
1995-11-28,0.6989,0.6989,0.6501,0.6989,33705
1995-11-29,0.6826,0.6826,0.6501,0.6826,323995
1995-11-30,0.6826,0.6826,0.6501,0.6586,118303
1995-12-01,0.6501,0.6826,0.6501,0.6501,100499
1995-12-04,0.6826,0.6826,0.6501,0.6501,73003
1995-12-05,0.6501,0.6826,0.6501,0.6501,114305
1995-12-06,0.6989,0.6989,0.6501,0.6826,537398
1995-12-07,0.6501,0.6826,0.6501,0.6826,105295
1995-12-08,0.6501,0.6826,0.6501,0.6501,71100
1995-12-11,0.6664,0.6826,0.6501,0.6586,168296
1995-12-12,0.6586,0.6826,0.6586,0.6826,185098
