Date,Open,High,Low,Close,Volume
1983-04-06,1.4795,1.4855,1.4675,1.4795,960000
1983-04-07,1.4855,1.4855,1.4735,1.4795,464000
1983-04-08,1.4795,1.4795,1.4434,1.4494,219200
1983-04-11,1.4494,1.4615,1.4434,1.4494,387200
1983-04-12,1.4615,1.4735,1.4554,1.4735,313600
1983-04-13,1.4795,1.5036,1.4795,1.5036,401600
1983-04-14,1.5156,1.5216,1.5064,1.5156,316800
1983-04-15,1.5216,1.5247,1.5064,1.5064,286400
1983-04-18,1.5064,1.5127,1.4968,1.5127,337600
1983-04-19,1.5127,1.5305,1.5007,1.5305,494400
1983-04-20,1.5305,1.5367,1.5276,1.5336,198400
1983-04-21,1.5336,1.5457,1.5216,1.5216,465600
1983-04-22,1.5247,1.5396,1.5156,1.5216,182400
1983-04-25,1.5216,1.5396,1.5036,1.5276,468800
1983-04-26,1.5367,1.5457,1.5276,1.5396,272000
1983-04-27,1.5577,1.5757,1.5396,1.5488,387200
1983-04-28,1.5517,1.5577,1.5457,1.5546,571200
1983-04-29,1.5637,1.5728,1.5546,1.5728,619200
1983-05-02,1.5728,1.5849,1.5577,1.5608,670400
1983-05-03,1.5488,1.5546,1.5396,1.5546,428800
1983-05-04,1.5425,1.5517,1.5305,1.5367,451200
1983-05-05,1.5276,1.5425,1.5096,1.5156,740800
1983-05-06,1.5216,1.5697,1.5216,1.5577,803200
1983-05-09,1.5457,1.5637,1.5396,1.5608,553600
1983-05-10,1.5666,1.5666,1.5517,1.5517,492800
1983-05-11,1.5546,1.5577,1.5396,1.5488,252800
1983-05-12,1.5488,1.5517,1.5276,1.5305,396800
1983-05-13,1.5367,1.5367,1.5247,1.5336,225600
1983-05-16,1.5276,1.5396,1.5156,1.5396,356800
1983-05-17,1.5396,1.5457,1.5305,1.5457,288000
1983-05-18,1.5425,1.5938,1.5425,1.5517,825600
1983-05-19,1.5336,1.5336,1.5096,1.5216,1417600
1983-05-20,1.5216,1.5425,1.5156,1.5425,321600
1983-05-23,1.5457,1.5637,1.5425,1.5546,488000
1983-05-24,1.5577,1.5849,1.5577,1.5849,355200
1983-05-25,1.5757,1.5849,1.5697,1.5817,580800
1983-05-26,1.5757,1.6359,1.5697,1.6178,1388800
1983-05-27,1.6178,1.6178,1.5998,1.6027,209600
1983-05-31,1.6027,1.6058,1.5697,1.5757,601600
1983-06-01,1.5637,1.5786,1.5637,1.5786,488000
1983-06-02,1.5817,1.5849,1.5336,1.5517,366400
1983-06-03,1.5457,1.5577,1.5276,1.5517,1065600
1983-06-06,1.5637,1.5697,1.5608,1.5666,5444800
1983-06-07,1.5728,1.5728,1.5517,1.5577,457600
1983-06-08,1.5577,1.5608,1.5425,1.5425,444800
1983-06-09,1.5457,1.5488,1.5336,1.5425,427200
1983-06-10,1.5488,1.5637,1.5457,1.5637,1878400
1983-06-13,1.5637,1.5757,1.5637,1.5697,1062400
1983-06-14,1.5697,1.5817,1.5697,1.5817,272000
1983-06-15,1.5817,1.5877,1.5786,1.5849,592000
1983-06-16,1.5877,1.5998,1.5877,1.5998,628800
1983-06-17,1.5998,1.6027,1.5877,1.5877,1081600
1983-06-20,1.5817,1.5938,1.5786,1.5849,222400
1983-06-21,1.5786,1.5849,1.5577,1.5757,340800
1983-06-22,1.5728,1.5817,1.5637,1.5757,435200
1983-06-23,1.5757,1.5817,1.5666,1.5666,145600
1983-06-24,1.5666,1.5757,1.5637,1.5757,212800
1983-06-27,1.5666,1.5728,1.5637,1.5697,609600
1983-06-28,1.5757,1.5817,1.5577,1.5577,428800
1983-06-29,1.5546,1.5546,1.5156,1.5156,1552000
1983-06-30,1.5156,1.5336,1.5096,1.5276,534400
1983-07-01,1.5216,1.5488,1.5216,1.5488,947200
1983-07-05,1.5425,1.5425,1.5276,1.5367,155200
1983-07-06,1.5276,1.5367,1.5156,1.5336,217600
1983-07-07,1.5336,1.5336,1.5096,1.5276,452800
1983-07-08,1.5276,1.5336,1.5247,1.5336,152000
1983-07-11,1.5336,1.5367,1.5305,1.5305,395200
1983-07-12,1.5305,1.5305,1.5036,1.5036,569600
1983-07-13,1.4975,1.5096,1.4855,1.4886,291200
1983-07-14,1.5036,1.5156,1.4915,1.5007,419200
1983-07-15,1.5036,1.5064,1.4675,1.4735,329600
1983-07-18,1.4646,1.4735,1.4554,1.4675,827200
1983-07-19,1.4646,1.4704,1.4615,1.4675,497600
1983-07-20,1.4675,1.4915,1.4675,1.4915,633600
1983-07-21,1.5517,1.5517,1.5396,1.5396,681600
1983-07-22,1.5666,1.5877,1.5457,1.5877,747200
