Date,Open,High,Low,Close,Volume
2001-12-13,14.6400,15.0928,14.5897,14.7406,49466000
2001-12-14,15.0425,15.1431,14.8513,14.9318,9676300
2001-12-17,15.0676,15.0676,14.7909,14.8161,5110900
2001-12-18,14.8412,15.0676,14.7859,15.0676,5167700
2001-12-19,15.0173,15.1883,14.9016,15.1682,3693200
2001-12-20,15.2185,15.5858,15.1531,15.1783,3914200
2001-12-21,15.2940,15.5908,15.2185,15.5908,3429100
2001-12-24,15.4701,15.8424,15.4701,15.8222,976900
2001-12-26,15.8474,16.4712,15.8474,16.1996,2456300
2001-12-27,16.1996,16.5869,15.8575,16.5266,4447500
2001-12-28,16.5316,16.6523,16.3907,16.5719,4174800
2001-12-31,16.6574,16.9743,16.4612,16.6976,5532800
2002-01-02,16.4058,16.5014,15.6562,15.7468,5168900
2002-01-03,16.4763,16.4763,15.5053,15.7216,2906500
2002-01-04,16.0989,16.0989,15.6462,16.0738,3086000
2002-01-07,15.9732,16.1241,15.7820,16.0738,2449300
2002-01-08,15.7216,16.0235,15.7216,15.9883,1766500
2002-01-09,16.0738,16.0738,15.7216,15.7468,1639100
2002-01-10,15.6562,15.9380,15.6009,15.6009,1689400
2002-01-11,15.6009,15.6713,15.4701,15.5455,1966200
2002-01-14,15.4701,15.4701,14.8563,15.1179,3160000
2002-01-15,15.2940,15.6562,15.0525,15.4852,1962400
2002-01-16,15.3846,15.6713,15.3192,15.4349,1881100
2002-01-17,15.5355,15.5959,15.2437,15.3544,1739800
2002-01-18,15.2940,15.3192,14.9670,15.2185,1531400
2002-01-22,15.3393,15.7216,15.2940,15.7216,2322700
2002-01-23,15.9480,15.9480,15.3544,15.3544,2460800
2002-01-24,15.3946,15.4298,15.0928,15.2185,3064100
2002-01-25,15.0928,15.3443,15.0425,15.3091,2373600
2002-01-28,15.6160,15.6160,15.3695,15.5606,2450800
2002-01-29,15.0928,15.5405,15.0928,15.2890,2512800
2002-01-30,15.3443,15.3795,14.9921,15.1682,3533700
2002-01-31,15.3342,15.6864,15.2588,15.6210,3986900
2002-02-01,15.5707,15.5707,15.2940,15.3946,3200100
2002-02-04,15.3946,15.5858,15.3443,15.5355,3193400
2002-02-05,15.5204,15.8977,15.4751,15.6210,2397200
2002-02-06,15.6965,15.6965,15.5405,15.6713,2107700
2002-02-07,15.5707,15.6210,15.3544,15.4047,1801500
2002-02-08,15.3795,15.6109,15.3695,15.6109,1399300
2002-02-11,15.4449,16.0436,15.4298,15.9782,1904300
2002-02-12,15.8021,16.0235,15.7216,15.8474,2038700
2002-02-13,15.6965,16.2096,15.5254,16.1442,3779900
2002-02-14,16.1241,16.2398,16.0486,16.1140,2200800
2002-02-15,16.0637,16.0637,15.6109,15.8474,1649600
2002-02-19,15.5959,15.6462,15.0928,15.2236,2983900
2002-02-20,15.4600,15.4600,15.1431,15.4198,2283100
2002-02-21,15.3192,15.5305,15.3192,15.5154,1929100
2002-02-22,15.3695,15.4198,15.0928,15.2135,1655900
2002-02-25,15.2185,15.2538,15.1280,15.2336,2355800
2002-02-26,15.2839,15.4399,15.2588,15.3443,2309100
2002-02-27,15.3946,15.3996,15.2437,15.2688,2937000
2002-02-28,15.2688,15.4701,15.2688,15.3795,2012600
2002-03-01,15.4399,15.5405,15.2940,15.5204,2189500
2002-03-04,15.5355,15.8373,15.4449,15.4449,2321500
2002-03-05,15.4449,15.8424,15.2990,15.8172,3350200
2002-03-06,15.5959,15.7971,15.5959,15.7971,1593000
2002-03-07,15.6965,15.9329,15.6462,15.8826,2412800
2002-03-08,16.0235,16.1291,15.8222,15.9732,2561600
2002-03-11,16.0235,16.0486,15.6965,15.7719,2237500
2002-03-12,15.7719,15.7719,15.4399,15.5455,2054000
2002-03-13,15.4097,15.5455,15.3946,15.4097,2077400
2002-03-14,15.5959,15.5959,15.4449,15.5808,2493400
2002-03-15,15.4399,15.7870,15.4399,15.6462,3211200
2002-03-18,15.8726,15.8977,15.5707,15.7921,2275600
2002-03-19,15.7468,15.9883,15.7417,15.7971,2259500
2002-03-20,15.7216,15.8424,15.7065,15.7719,2410100
2002-03-21,15.7669,15.7669,15.5908,15.7216,2524800
2002-03-22,15.5204,15.7468,15.5103,15.7216,1674300
2002-03-25,15.6965,15.8222,15.6663,15.7015,930200
2002-03-26,15.6210,15.8373,15.6210,15.8122,1693800
2002-03-27,15.8424,15.8424,15.7116,15.7820,1764400
2002-03-28,15.7820,15.7921,15.5707,15.6210,2681600
