Date,Open,High,Low,Close,Volume
1980-11-18,2.5300,2.5981,2.5300,2.5300,3200
1980-11-19,2.5533,2.6196,2.5533,2.5533,8000
1980-11-20,2.5533,2.5533,2.5300,2.5300,16600
1980-11-21,2.6196,2.6662,2.6196,2.6196,18700
1980-11-24,2.5981,2.5981,2.5300,2.5300,40900
1980-11-25,2.4637,2.4637,2.4189,2.4189,25800
1980-11-26,2.5300,2.5981,2.5300,2.5300,75000
1980-11-28,2.5766,2.5981,2.5766,2.5766,19300
1980-12-01,2.5766,2.5766,2.5085,2.5085,26200
1980-12-02,2.4189,2.4189,2.3293,2.3293,20000
1980-12-03,2.3508,2.4189,2.3508,2.3508,10500
1980-12-04,2.3508,2.3741,2.2845,2.2845,13700
1980-12-05,2.2845,2.3741,2.2845,2.2845,11000
1980-12-08,2.1949,2.1949,2.1053,2.1053,8700
1980-12-09,2.1053,2.2397,2.1053,2.1053,38700
1980-12-10,2.2845,2.4189,2.2845,2.2845,10800
1980-12-11,2.2845,2.3741,2.2397,2.2397,10800
1980-12-12,2.2845,2.3741,2.2845,2.2845,4500
1980-12-15,2.2845,2.2845,2.1501,2.1501,8000
1980-12-16,2.1501,2.2397,2.1501,2.1501,7500
1980-12-17,2.1501,2.2397,2.1501,2.1501,7000
1980-12-18,2.1501,2.2397,2.1053,2.1053,10600
1980-12-19,2.1501,2.2397,2.1501,2.1501,18700
1980-12-22,2.1949,2.2845,2.1949,2.1949,16800
1980-12-23,2.1949,2.2397,2.1949,2.1949,8600
1980-12-24,2.1949,2.2845,2.1949,2.1949,9200
1980-12-26,2.2397,2.3293,2.2397,2.2397,3900
1980-12-29,2.2397,2.3293,2.2397,2.2397,4400
1980-12-30,2.2397,2.3293,2.2397,2.2397,13400
1980-12-31,2.2397,2.2845,2.1949,2.1949,7800
1981-01-02,2.2845,2.3293,2.2845,2.2845,8000
1981-01-05,2.3293,2.4189,2.3293,2.3293,9400
1981-01-06,2.3293,2.4189,2.3293,2.3293,10200
