Date,Open,High,Low,Close,Volume
1998-02-12,7.2136,7.7054,7.2136,7.3775,3903701
1998-02-13,7.4628,7.5415,7.2989,7.3775,504000
1998-02-17,7.6267,7.7907,7.6267,7.7054,132600
1998-02-18,7.7907,8.1973,7.7448,8.1973,140700
1998-02-19,8.2825,8.5252,8.0333,8.0333,235001
1998-02-20,7.9546,8.0333,7.4628,7.6661,204701
1998-02-23,7.7054,7.7907,7.5021,7.7907,60600
1998-02-24,7.7448,7.7907,7.4169,7.5415,261300
1998-02-25,7.6267,7.6267,7.3775,7.5415,129000
1998-02-26,7.4628,7.9546,7.4628,7.8300,87000
1998-02-27,7.8300,7.8694,7.7054,7.8300,29100
1998-03-02,7.7907,7.8694,7.7907,7.8300,151001
1998-03-03,7.8694,8.1973,7.7907,8.1973,71801
1998-03-04,8.1186,8.1973,7.7907,8.0333,31001
1998-03-05,7.9546,7.9546,7.7054,7.9087,51600
1998-03-06,7.9087,7.9546,7.7907,7.9546,15000
1998-03-09,7.9546,8.1186,7.7907,7.7907,30600
1998-03-10,7.7907,7.9546,7.5415,7.7907,208001
1998-03-11,7.7907,8.1186,7.7907,7.8300,77400
1998-03-12,7.8694,8.1973,7.7907,8.1579,100901
1998-03-13,8.2825,8.6891,8.2825,8.5252,163901
1998-03-16,8.5252,8.5252,8.2825,8.3612,191700
1998-03-17,8.2825,8.2825,8.0333,8.0333,31901
1998-03-18,8.0333,8.2825,8.0333,8.1186,26201
1998-03-19,8.2825,8.2825,8.1186,8.2825,112200
1998-03-20,8.1973,8.5252,8.1973,8.4858,29100
1998-03-23,9.0170,10.0007,8.8531,9.8367,497801
1998-03-24,10.0007,10.1646,9.4301,9.5088,100001
1998-03-25,9.5941,10.4138,9.5088,10.4138,198701
1998-03-26,10.4925,10.4925,10.0007,10.4925,104801
1998-03-27,10.5319,10.6171,10.1646,10.4925,72600
1998-03-30,10.3286,10.4532,10.2499,10.3679,62700
1998-03-31,10.4532,10.9843,10.4532,10.9843,124200
1998-04-01,10.9057,11.1483,10.9057,11.1483,226301
