Date,Open,High,Low,Close,Volume
1991-12-16,0.3318,0.3764,0.3318,0.3566,143667200
1991-12-17,0.3665,0.3665,0.3467,0.3517,16176000
1991-12-18,0.3517,0.3616,0.3517,0.3616,10899200
1991-12-19,0.3616,0.3616,0.3467,0.3467,7299200
1991-12-20,0.3467,0.3616,0.3467,0.3566,5235200
1991-12-23,0.3616,0.3616,0.3467,0.3540,7894400
1991-12-24,0.3491,0.3814,0.3467,0.3814,7129600
1991-12-26,0.3715,0.4359,0.3715,0.4359,8672000
1991-12-27,0.4408,0.4408,0.4111,0.4210,6396800
1991-12-30,0.4210,0.4309,0.4111,0.4309,6627200
1991-12-31,0.4309,0.4953,0.4260,0.4903,12572800
1992-01-02,0.4903,0.5498,0.4854,0.5472,22121600
1992-01-03,0.5498,0.5646,0.5349,0.5547,6092800
1992-01-06,0.5696,0.5696,0.4804,0.5201,15987200
1992-01-07,0.5151,0.5300,0.5002,0.5052,4940800
1992-01-08,0.5102,0.5102,0.4309,0.4458,36828800
1992-01-09,0.4606,0.4903,0.4557,0.4903,20809600
1992-01-10,0.4953,0.5002,0.4606,0.4755,7961600
1992-01-13,0.4854,0.5300,0.4705,0.5151,8499200
1992-01-14,0.5300,0.5300,0.5102,0.5201,3628800
1992-01-15,0.5300,0.5399,0.5151,0.5250,5910400
1992-01-16,0.5300,0.5349,0.4903,0.5102,3654400
1992-01-17,0.5002,0.5151,0.5002,0.5002,1574400
1992-01-20,0.4953,0.5052,0.4705,0.4953,3350400
1992-01-21,0.5052,0.5052,0.4656,0.4755,3724800
1992-01-22,0.4755,0.4953,0.4656,0.4953,5132800
1992-01-23,0.5052,0.5052,0.4656,0.4656,3248000
1992-01-24,0.4656,0.4804,0.4656,0.4705,355200
1992-01-27,0.4804,0.4804,0.4507,0.4606,2675200
1992-01-28,0.4606,0.4606,0.4359,0.4458,3673600
1992-01-29,0.4507,0.4656,0.4359,0.4557,1702400
1992-01-30,0.4507,0.4854,0.4507,0.4705,2505600
1992-01-31,0.4705,0.4755,0.4656,0.4755,1702400
1992-02-03,0.4755,0.5102,0.4705,0.4878,2611200
1992-02-04,0.4903,0.5102,0.4804,0.4953,4233600
1992-02-05,0.4903,0.5002,0.4903,0.4903,3280000
1992-02-06,0.5052,0.5052,0.4804,0.4804,7232000
1992-02-07,0.4953,0.4953,0.4309,0.4656,8979200
1992-02-10,0.4507,0.4656,0.4359,0.4458,4940800
1992-02-11,0.4507,0.4656,0.4408,0.4507,1667200
1992-02-12,0.4507,0.4903,0.4408,0.4755,3603200
1992-02-13,0.4854,0.4854,0.4507,0.4507,1398400
1992-02-14,0.4606,0.4606,0.4458,0.4606,2825600
1992-02-18,0.4606,0.4606,0.4408,0.4507,1078400
1992-02-19,0.4359,0.4507,0.4309,0.4359,1408000
1992-02-20,0.4359,0.4606,0.4359,0.4606,5705600
1992-02-21,0.4458,0.4606,0.4160,0.4160,3836800
1992-02-24,0.4160,0.4309,0.3665,0.3887,12384000
1992-02-25,0.4012,0.4111,0.3814,0.3962,3513600
1992-02-26,0.4160,0.4160,0.3962,0.4111,3200000
1992-02-27,0.4111,0.4111,0.3863,0.4012,1209600
1992-02-28,0.4061,0.4111,0.3913,0.4061,3011200
1992-03-02,0.4061,0.4111,0.3913,0.4061,1257600
1992-03-03,0.4111,0.4210,0.3913,0.3913,4022400
1992-03-04,0.3962,0.3962,0.3863,0.3863,5580800
1992-03-05,0.3913,0.3913,0.3715,0.3764,1920000
1992-03-06,0.3863,0.3863,0.3467,0.3665,6329600
1992-03-09,0.3715,0.3715,0.3467,0.3665,2809600
1992-03-10,0.3715,0.3913,0.3665,0.3913,1900800
1992-03-11,0.3913,0.3962,0.3616,0.3665,5577600
1992-03-12,0.3715,0.3913,0.3616,0.3814,1644800
1992-03-13,0.3764,0.3962,0.3715,0.3814,4976000
1992-03-16,0.3814,0.3814,0.3665,0.3665,739200
1992-03-17,0.3715,0.3863,0.3715,0.3715,1865600
1992-03-18,0.3913,0.4111,0.3863,0.4038,3753600
1992-03-19,0.4061,0.4309,0.3962,0.4309,6108800
1992-03-20,0.4359,0.4606,0.4359,0.4408,5392000
1992-03-23,0.4507,0.4557,0.4210,0.4260,5219200
1992-03-24,0.4408,0.4458,0.4210,0.4260,5760000
1992-03-25,0.4359,0.4408,0.4260,0.4359,3718400
1992-03-26,0.4458,0.4458,0.4309,0.4408,2089600
1992-03-27,0.4309,0.4408,0.4260,0.4260,1456000
1992-03-30,0.4260,0.4408,0.4111,0.4260,2339200
1992-03-31,0.4111,0.4606,0.3913,0.4557,5353600
1992-04-01,0.4260,0.4557,0.4260,0.4333,3868800
1992-04-02,0.4408,0.4408,0.3863,0.4111,2947200
1992-04-03,0.4012,0.4359,0.4012,0.4111,3414400
1992-04-06,0.4160,0.4210,0.4012,0.4186,2742400
1992-04-07,0.4309,0.4359,0.4160,0.4210,2579200
1992-04-08,0.4111,0.4359,0.4111,0.4210,3123200
1992-04-09,0.4210,0.4260,0.4085,0.4160,4313600
1992-04-10,0.4260,0.4260,0.4160,0.4260,592000
1992-04-13,0.4260,0.4408,0.4160,0.4359,2115200
1992-04-14,0.4408,0.4606,0.4359,0.4458,1955200
1992-04-15,0.4656,0.4705,0.4408,0.4606,6112000
1992-04-16,0.4705,0.4755,0.4531,0.4531,2646400
1992-04-20,0.4458,0.4854,0.4458,0.4557,3318400
1992-04-21,0.4755,0.4755,0.4557,0.4606,1952000
1992-04-22,0.4705,0.4755,0.4557,0.4755,2198400
1992-04-23,0.4656,0.4755,0.4458,0.4606,1555200
1992-04-24,0.4531,0.4606,0.4507,0.4507,2112000
1992-04-27,0.4606,0.4606,0.4458,0.4458,1984000
1992-04-28,0.4606,0.4606,0.4210,0.4210,1923200
1992-04-29,0.4309,0.4309,0.4210,0.4309,563200
1992-04-30,0.4309,0.4309,0.4061,0.4160,3433600
1992-05-01,0.4210,0.4210,0.4111,0.4210,1120000
1992-05-04,0.4210,0.4309,0.4111,0.4210,3014400
1992-05-05,0.4309,0.4359,0.4210,0.4260,300800
1992-05-06,0.4333,0.4359,0.4210,0.4260,1779200
1992-05-07,0.4359,0.4359,0.4210,0.4210,412800
1992-05-08,0.4210,0.4359,0.4210,0.4210,179200
1992-05-11,0.4359,0.4359,0.4111,0.4210,1318400
1992-05-12,0.4210,0.4210,0.3962,0.3962,1654400
1992-05-13,0.4061,0.4061,0.3764,0.3814,3331200
1992-05-14,0.3913,0.3913,0.3715,0.3814,6102400
1992-05-15,0.3764,0.3814,0.3665,0.3715,1612800
1992-05-18,0.3814,0.3814,0.3665,0.3689,2275200
1992-05-19,0.3764,0.3764,0.3665,0.3665,1500800
1992-05-20,0.3764,0.3764,0.3467,0.3517,7673600
1992-05-21,0.3566,0.3665,0.3418,0.3566,4457600
1992-05-22,0.3566,0.3665,0.3467,0.3616,1846400
1992-05-26,0.3665,0.3738,0.3517,0.3738,3257600
1992-05-27,0.3764,0.3764,0.3566,0.3592,4080000
1992-05-28,0.3566,0.3665,0.3566,0.3566,630400
1992-05-29,0.3665,0.3665,0.3566,0.3641,1504000
1992-06-01,0.3665,0.3814,0.3616,0.3764,2649600
