Date,Open,High,Low,Close,Volume
1993-04-28,5.7902,5.9488,5.7109,5.7902,7821000
1993-04-29,5.7902,5.9076,5.7902,5.9076,2118800
1993-04-30,5.9488,5.9488,5.7902,5.8314,536800
1993-05-03,5.7902,5.8314,5.7489,5.8314,509600
1993-05-04,5.8314,5.8314,5.6728,5.7489,787400
1993-05-05,5.7109,5.7489,5.6316,5.6316,747200
1993-05-06,5.6728,5.7109,5.5903,5.5903,392800
1993-05-07,5.6316,5.6728,5.5903,5.6316,180000
1993-05-10,5.6728,5.7489,5.6316,5.6316,269600
1993-05-11,5.6728,5.6728,5.6316,5.6728,109400
1993-05-12,5.6316,5.6316,5.5142,5.5903,110800
1993-05-13,5.5903,5.5903,5.5522,5.5522,171000
1993-05-14,5.5522,5.6316,5.5522,5.5522,166800
1993-05-17,5.5522,5.5522,5.4317,5.4729,132000
1993-05-18,5.4729,5.4729,5.0763,5.2350,534400
1993-05-19,5.3143,5.4317,5.3143,5.3555,203600
1993-05-20,5.2730,5.3143,5.0383,5.1557,1189000
1993-05-21,5.1969,5.2350,5.0763,5.1969,475600
1993-05-24,5.2350,5.2350,5.0763,5.1557,719200
1993-05-25,5.0763,5.1144,4.9558,5.0383,326600
1993-05-26,5.0763,5.2730,5.0763,5.2350,209200
1993-05-27,5.3143,5.4317,5.2350,5.3936,307800
1993-05-28,5.4729,5.5903,5.3555,5.5142,986400
1993-06-01,5.5522,5.5522,5.3555,5.3936,116800
1993-06-02,5.3936,5.5142,5.3555,5.5142,205200
1993-06-03,5.5142,5.5142,5.3936,5.3936,92000
1993-06-04,5.4317,5.4729,5.3936,5.4317,118200
1993-06-07,5.3936,5.5142,5.3936,5.4729,60000
1993-06-08,5.4729,5.4729,5.3936,5.4317,298200
1993-06-09,5.4317,5.4317,5.3555,5.3555,27400
1993-06-10,5.3555,5.4729,5.3555,5.4317,153600
1993-06-11,5.5142,5.5903,5.4317,5.5903,84200
1993-06-14,5.6728,5.7109,5.5522,5.6728,434000
1993-06-15,5.6316,5.7902,5.5903,5.6316,169600
1993-06-16,5.6316,5.7489,5.6316,5.6728,288200
1993-06-17,5.7109,5.7109,5.5903,5.6728,165400
1993-06-18,5.6728,5.7109,5.5903,5.6316,89400
1993-06-21,5.5903,5.6728,5.5903,5.6316,34200
1993-06-22,5.6728,5.7489,5.5903,5.6316,143000
1993-06-23,5.6316,5.7109,5.5522,5.5522,23600
1993-06-24,5.5522,5.7109,5.5522,5.5903,58200
1993-06-25,5.5903,5.8695,5.5903,5.8314,370000
1993-06-28,5.8314,6.1075,5.7489,6.0662,135200
1993-06-29,6.1868,6.1868,5.9901,6.0281,575600
1993-06-30,6.0281,6.0281,5.9488,6.0281,132000
1993-07-01,6.0281,6.1075,5.9901,6.1075,120800
1993-07-02,6.1075,6.1868,6.0281,6.0281,239400
1993-07-06,6.0281,6.1075,5.9076,5.9076,87200
1993-07-07,5.9488,5.9488,5.8314,5.8695,74400
1993-07-08,5.9076,6.0662,5.8695,6.0281,104000
1993-07-09,6.0281,6.0662,5.9901,6.0281,302600
1993-07-12,6.0662,6.0662,5.9901,6.0281,98200
1993-07-13,6.0281,6.0662,5.9901,6.0281,212400
1993-07-14,6.0281,6.1868,6.0281,6.1868,153200
1993-07-15,6.1868,6.1868,6.1487,6.1868,133800
1993-07-16,6.1868,6.1868,6.1075,6.1868,126000
1993-07-19,6.1487,6.2249,6.1487,6.1868,244800
1993-07-20,6.1868,6.1868,6.1487,6.1868,111000
1993-07-21,6.2249,6.3073,6.1868,6.3073,117400
1993-07-22,6.3073,6.4247,6.3073,6.3835,240600
1993-07-23,6.3835,6.4247,6.2661,6.2661,138200
1993-07-26,6.2661,6.3835,6.1868,6.3835,236200
1993-07-27,6.4247,6.5421,6.4247,6.5041,259200
1993-07-28,6.8213,7.1005,6.7833,7.0180,583200
1993-07-29,7.1005,7.4178,7.0593,7.2592,344800
1993-07-30,7.2972,7.4178,7.2592,7.4178,217800
1993-08-02,7.4178,7.5352,7.3765,7.3765,511400
1993-08-03,7.3765,7.3765,7.0593,7.2972,161000
