Date,Open,High,Low,Close,Volume
1993-10-29,3.7316,3.7568,3.7316,3.7316,1381000
1993-11-01,3.7316,3.7568,3.7316,3.7568,136800
1993-11-02,3.7316,3.7568,3.6114,3.6346,182600
1993-11-03,3.5862,3.6831,3.5629,3.6598,146300
1993-11-04,3.6346,3.6598,3.6346,3.6346,48300
1993-11-05,3.6346,3.6598,3.6346,3.6346,13900
1993-11-08,3.6346,3.6598,3.6346,3.6598,22800
1993-11-09,3.6598,3.6831,3.6346,3.6346,10600
1993-11-10,3.6598,3.6831,3.6598,3.6598,143900
1993-11-11,3.6598,3.6598,3.6598,3.6598,29800
1993-11-12,3.6598,3.6831,3.6598,3.6831,10500
1993-11-15,3.6346,3.6346,3.5629,3.5862,181600
1993-11-16,3.5629,3.5862,3.5629,3.5629,33400
1993-11-17,3.5862,3.5862,3.5377,3.5377,73900
1993-11-18,3.5377,3.5377,3.4175,3.4175,75900
1993-11-19,3.2954,3.3206,3.1752,3.2721,126700
1993-11-22,3.2237,3.2721,3.1985,3.2721,32100
1993-11-23,3.2469,3.3206,3.2469,3.3206,20300
1993-11-24,3.2721,3.3206,3.2721,3.2721,9800
1993-11-26,3.2954,3.2954,3.2954,3.2954,2500
1993-11-29,3.3206,3.3206,3.2721,3.3206,48100
1993-11-30,3.3206,3.3439,3.2721,3.3206,38500
1993-12-01,3.3206,3.3206,3.2954,3.2954,12700
1993-12-02,3.2954,3.3206,3.2721,3.3206,14800
1993-12-03,3.3206,3.4175,3.3206,3.3923,19600
1993-12-06,3.3923,3.3923,3.3439,3.3923,6000
1993-12-07,3.3923,3.3923,3.2954,3.3439,25100
1993-12-08,3.3439,3.3439,3.2721,3.3206,8500
1993-12-09,3.3439,3.3439,3.2237,3.2721,10600
1993-12-10,3.2721,3.2721,3.2469,3.2721,9500
1993-12-13,3.2237,3.2237,3.1752,3.1985,69000
1993-12-14,3.2237,3.2954,3.1985,3.2469,18000
1993-12-15,3.2237,3.2721,3.1985,3.2237,36100
1993-12-16,3.2237,3.2237,3.1985,3.1985,7900
1993-12-17,3.1985,3.2237,3.1752,3.1985,9600
1993-12-20,3.1985,3.1985,3.0531,3.1016,58500
1993-12-21,3.0531,3.1500,3.0531,3.1268,54400
1993-12-22,3.1500,3.1985,3.1500,3.1985,21800
1993-12-23,3.2469,3.2469,3.1985,3.2237,12200
1993-12-27,3.2469,3.2721,3.2469,3.2469,35500
1993-12-28,3.2721,3.2721,3.2469,3.2469,49500
1993-12-29,3.2469,3.2721,3.2237,3.2237,23600
1993-12-30,3.2237,3.2721,3.1985,3.2469,66700
1993-12-31,3.2721,3.2721,3.1985,3.2237,41100
1994-01-03,3.2469,3.2721,3.2469,3.2721,1900
1994-01-04,3.2954,3.2954,3.2721,3.2721,10100
1994-01-05,3.2721,3.2954,3.2469,3.2721,18500
1994-01-06,3.2469,3.2469,3.2237,3.2469,15100
1994-01-07,3.2237,3.2954,3.2237,3.2721,18000
1994-01-10,3.2954,3.4175,3.2954,3.4175,18600
1994-01-11,3.4175,3.4408,3.3923,3.4408,6300
1994-01-12,3.4408,3.4893,3.4408,3.4660,17700
1994-01-13,3.4660,3.4660,3.4175,3.4408,6000
1994-01-14,3.4408,3.4408,3.3923,3.3923,5600
1994-01-17,3.3691,3.3923,3.3691,3.3923,12600
1994-01-18,3.3439,3.3691,3.3439,3.3691,6300
1994-01-19,3.3923,3.4893,3.3923,3.4660,9900
1994-01-20,3.4893,3.4893,3.3923,3.3923,13000
1994-01-21,3.4408,3.4660,3.3923,3.4660,7200
1994-01-24,3.4660,3.4660,3.3923,3.4175,4900
1994-01-25,3.4175,3.4660,3.4175,3.4408,18900
1994-01-26,3.4408,3.4408,3.3923,3.4175,1300
1994-01-27,3.4408,3.4408,3.4175,3.4408,2800
1994-01-28,3.4175,3.4408,3.4175,3.4408,13000
1994-01-31,3.4408,3.4660,3.4408,3.4660,26300
1994-02-01,3.4660,3.4660,3.4408,3.4660,20400
1994-02-02,3.4660,3.4660,3.4175,3.4660,18400
1994-02-03,3.4660,3.4893,3.4660,3.4893,11000
1994-02-04,3.4893,3.4893,3.4408,3.4408,8500
1994-02-07,3.4360,3.5106,3.4360,3.5106,6800
1994-02-08,3.4851,3.5106,3.4615,3.4851,6400
1994-02-09,3.4851,3.6088,3.4851,3.5597,11700
1994-02-10,3.5341,3.5597,3.5341,3.5341,8200
1994-02-11,3.5597,3.5597,3.5106,3.5341,41900
1994-02-14,3.5341,3.5597,3.5341,3.5597,23300
1994-02-15,3.5341,3.5832,3.5341,3.5832,117300
1994-02-16,3.5597,3.7069,3.5597,3.6578,48000
1994-02-17,3.7069,3.7069,3.6578,3.6578,56500
1994-02-18,3.6578,3.6814,3.6578,3.6578,4500
1994-02-22,3.6323,3.6323,3.6323,3.6323,2000
1994-02-23,3.6578,3.6578,3.6323,3.6323,6000
1994-02-24,3.6088,3.6088,3.6088,3.6088,1500
1994-02-25,3.6088,3.6578,3.6088,3.6323,10200
1994-02-28,3.6323,3.6814,3.6323,3.6814,3900
1994-03-01,3.6814,3.6814,3.6088,3.6578,10500
1994-03-02,3.6088,3.6323,3.6088,3.6323,5100
1994-03-03,3.6088,3.6323,3.6088,3.6088,9100
1994-03-04,3.6088,3.6088,3.6088,3.6088,3700
1994-03-07,3.6578,3.6578,3.6088,3.6323,1200
1994-03-08,3.6088,3.6323,3.6088,3.6088,6600
1994-03-09,3.5832,3.6088,3.5597,3.6088,3400
1994-03-10,3.6323,3.6578,3.5832,3.6323,2800
1994-03-11,3.6323,3.6323,3.6323,3.6323,1200
1994-03-14,3.6578,3.6814,3.6323,3.6323,6200
1994-03-15,3.6323,3.6323,3.6088,3.6323,3500
1994-03-16,3.6088,3.6088,3.5341,3.5341,3700
1994-03-17,3.5106,3.5832,3.5106,3.5341,17100
1994-03-18,3.5832,3.5832,3.5341,3.5341,2000
1994-03-21,3.5832,3.6088,3.5597,3.6088,1400
1994-03-22,3.6088,3.6323,3.5597,3.5597,3800
1994-03-23,3.6088,3.6088,3.5597,3.6088,900
1994-03-24,3.6323,3.6323,3.6088,3.6088,52000
1994-03-25,3.6323,3.6814,3.6323,3.6323,4400
1994-03-28,3.5832,3.5832,3.5597,3.5597,2400
1994-03-29,3.5832,3.5832,3.5597,3.5597,1300
1994-03-30,3.5597,3.5597,3.5341,3.5341,101300
1994-03-31,3.5341,3.5341,3.5106,3.5106,16300
1994-04-04,3.4851,3.4851,3.4124,3.4360,6300
1994-04-05,3.4851,3.4851,3.4851,3.4851,700
1994-04-06,3.4851,3.4851,3.4615,3.4615,11900
1994-04-07,3.4851,3.5106,3.4615,3.5106,3300
1994-04-08,3.5341,3.5341,3.4851,3.5106,7400
1994-04-11,3.4851,3.5341,3.4851,3.5341,5100
1994-04-12,3.4851,3.4851,3.4615,3.4615,5300
1994-04-13,3.4851,3.5106,3.4615,3.4615,3300
1994-04-14,3.4615,3.4851,3.4615,3.4615,2100
1994-04-15,3.4615,3.4851,3.4360,3.4851,7800
1994-04-18,3.4851,3.5106,3.4851,3.5106,5900
1994-04-19,3.4851,3.4851,3.4851,3.4851,1300
1994-04-20,3.5341,3.5341,3.5106,3.5341,6100
1994-04-21,3.5106,3.5106,3.5106,3.5106,4500
