Date,Open,High,Low,Close,Volume
1995-06-02,0.6327,0.6327,0.5536,0.5668,14915200
1995-06-05,0.5668,0.5736,0.5372,0.5404,4787200
1995-06-06,0.5536,0.5599,0.5404,0.5404,4769600
1995-06-07,0.5404,0.5404,0.5140,0.5404,4793600
1995-06-08,0.5404,0.5931,0.5272,0.5931,7235200
1995-06-09,0.5931,0.6063,0.5799,0.5931,4771200
1995-06-12,0.6063,0.6063,0.5799,0.6063,4409600
1995-06-13,0.6063,0.6063,0.5799,0.5799,2212800
1995-06-14,0.5931,0.5931,0.5799,0.5799,4632000
1995-06-15,0.5931,0.5931,0.5799,0.5831,896000
1995-06-16,0.5799,0.5931,0.5799,0.5799,388800
1995-06-19,0.5931,0.5931,0.5799,0.5831,374400
1995-06-20,0.5799,0.5931,0.5799,0.5799,201600
1995-06-21,0.5799,0.5931,0.5799,0.5931,481600
1995-06-22,0.5931,0.5931,0.5799,0.5931,5576000
1995-06-23,0.5841,0.6327,0.5799,0.6327,2844800
1995-06-26,0.5931,0.6327,0.5931,0.6063,825600
1995-06-27,0.6327,0.6327,0.5931,0.6327,1020800
1995-06-28,0.5931,0.6327,0.5931,0.6327,193600
1995-06-29,0.6327,0.6327,0.5931,0.6327,104000
1995-06-30,0.6327,0.6327,0.6327,0.6327,14400
1995-07-03,0.6327,0.6327,0.6327,0.6327,32000
1995-07-05,0.6063,0.6854,0.6063,0.6590,417600
1995-07-06,0.6590,0.6986,0.6590,0.6986,691200
1995-07-07,0.6722,0.7513,0.6722,0.7249,1740800
1995-07-10,0.7381,0.7645,0.7249,0.7381,1068800
1995-07-11,0.7645,0.7645,0.6854,0.6854,432000
1995-07-12,0.7117,0.7381,0.7117,0.7381,708800
1995-07-13,0.7381,0.7381,0.7117,0.7381,337600
1995-07-14,0.7381,0.7513,0.7381,0.7513,513600
1995-07-17,0.7249,0.7513,0.7249,0.7513,60800
1995-07-18,0.7513,0.7513,0.6986,0.7381,192000
1995-07-19,0.7381,0.7381,0.6722,0.6986,332800
1995-07-20,0.6986,0.6986,0.6986,0.6986,0
1995-07-21,0.6986,0.6986,0.6722,0.6754,176000
1995-07-24,0.6590,0.6986,0.6590,0.6986,3200
1995-07-25,0.6986,0.6986,0.6722,0.6722,46400
1995-07-26,0.6986,0.7117,0.6722,0.7117,187200
1995-07-27,0.7117,0.7513,0.6986,0.7513,979200
1995-07-28,0.7513,0.7645,0.7513,0.7645,9600
1995-07-31,0.7249,0.7645,0.7249,0.7249,89600
1995-08-01,0.7645,0.7645,0.7645,0.7645,9600
1995-08-02,0.7645,0.7645,0.7249,0.7249,38400
1995-08-03,0.7249,0.7645,0.7249,0.7645,59200
1995-08-04,0.7249,0.7249,0.7249,0.7249,11200
1995-08-07,0.7513,0.7513,0.7249,0.7249,14400
1995-08-08,0.7249,0.7513,0.7249,0.7513,216000
