Date,Open,High,Low,Close,Volume
1981-12-31,1.0367,1.0507,1.0227,1.0427,246603
1982-01-04,1.0386,1.0386,1.0348,1.0348,181804
1982-01-05,1.0227,1.0348,1.0068,1.0068,311402
1982-01-06,0.9908,1.0068,0.9749,0.9832,341104
1982-01-07,0.9791,0.9832,0.9711,0.9749,217798
1982-01-08,0.9832,0.9870,0.9749,0.9791,582303
1982-01-11,0.9673,0.9791,0.9514,0.9514,359997
1982-01-12,0.9313,0.9514,0.9074,0.9272,560703
1982-01-13,0.9195,0.9313,0.9074,0.9112,511203
1982-01-14,0.9154,0.9233,0.9074,0.9154,118798
1982-01-15,0.9233,0.9313,0.9154,0.9233,169203
1982-01-18,0.9154,0.9233,0.9036,0.9036,547196
1982-01-19,0.9272,0.9354,0.9195,0.9313,890102
1982-01-20,0.9552,0.9749,0.9313,0.9673,1232998
1982-01-21,0.9870,0.9950,0.9749,0.9870,890102
1982-01-22,0.9832,0.9870,0.9791,0.9832,768597
1982-01-25,0.9791,0.9832,0.9711,0.9832,570597
1982-01-26,0.9870,0.9950,0.9749,0.9749,591301
1982-01-27,0.9673,0.9749,0.9552,0.9552,786603
1982-01-28,0.9590,0.9673,0.9514,0.9552,346499
1982-01-29,0.9832,0.9991,0.9631,0.9950,696601
1982-02-01,0.9832,0.9908,0.9711,0.9711,612004
1982-02-02,0.9711,0.9791,0.9590,0.9711,315901
1982-02-03,0.9749,0.9870,0.9631,0.9631,319504
1982-02-04,0.9673,0.9711,0.9590,0.9631,210601
1982-02-05,0.9950,1.0068,0.9791,1.0029,336596
1982-02-08,1.0189,1.0268,1.0068,1.0109,398697
1982-02-09,1.0189,1.0227,1.0150,1.0189,243896
1982-02-10,1.0268,1.0386,1.0109,1.0109,673200
1982-02-11,1.0150,1.0150,1.0109,1.0109,312298
1982-02-12,1.0109,1.0150,1.0068,1.0109,95397
1982-02-16,0.9832,0.9870,0.9791,0.9832,581397
1982-02-17,0.9832,0.9908,0.9711,0.9711,497696
1982-02-18,0.9673,0.9749,0.9552,0.9631,227701
1982-02-19,0.9514,0.9590,0.9431,0.9431,572399
1982-02-22,0.9552,0.9631,0.9472,0.9472,393301
1982-02-23,0.9313,0.9431,0.9154,0.9313,632699
1982-02-24,0.9233,0.9313,0.9154,0.9195,468004
1982-02-25,0.9195,0.9233,0.9154,0.9154,911701
1982-02-26,0.9195,0.9233,0.9112,0.9112,161997
1982-03-01,0.9195,0.9272,0.9074,0.9074,646196
1982-03-02,0.9154,0.9195,0.9074,0.9074,279899
1982-03-03,0.9036,0.9036,0.8995,0.8995,591301
1982-03-04,0.8953,0.9036,0.8877,0.8877,354601
1982-03-05,0.8835,0.8915,0.8756,0.8794,403196
1982-03-08,0.8316,0.8597,0.7998,0.7998,1761302
1982-03-09,0.8199,0.8399,0.7998,0.8240,1746899
1982-03-10,0.8597,0.8794,0.8399,0.8676,692998
1982-03-11,0.8676,0.8835,0.8476,0.8476,744300
1982-03-12,0.8399,0.8437,0.8316,0.8358,286199
1982-03-15,0.8399,0.8437,0.8358,0.8437,203404
1982-03-16,0.8558,0.8718,0.8399,0.8597,1392297
1982-03-17,0.8597,0.8676,0.8517,0.8635,241199
1982-03-18,0.8676,0.8718,0.8597,0.8635,128702
1982-03-19,0.8676,0.8718,0.8635,0.8635,189897
1982-03-22,0.8877,0.9036,0.8676,0.8995,369004
1982-03-23,0.8953,0.9074,0.8794,0.8794,378899
1982-03-24,0.8835,0.8953,0.8718,0.8756,534604
1982-03-25,0.8794,0.8835,0.8756,0.8835,486001
1982-03-26,0.8835,0.8877,0.8794,0.8794,273598
