Date,Open,High,Low,Close,Volume
1986-07-09,0.2816,0.3051,0.2788,0.3051,4051200
1986-07-10,0.3051,0.3079,0.2962,0.3023,5110400
1986-07-11,0.3023,0.3023,0.2816,0.2844,2720000
1986-07-14,0.2844,0.2844,0.2758,0.2816,1344000
1986-07-15,0.2844,0.2844,0.2788,0.2816,2230400
1986-07-16,0.2788,0.2816,0.2788,0.2816,774400
1986-07-17,0.2816,0.2816,0.2758,0.2788,2332800
1986-07-18,0.2788,0.2816,0.2788,0.2788,732800
1986-07-21,0.2816,0.2816,0.2727,0.2758,956800
1986-07-22,0.2758,0.2758,0.2727,0.2727,688000
1986-07-23,0.2727,0.2727,0.2523,0.2523,1763200
1986-07-24,0.2523,0.2610,0.2405,0.2464,1571200
1986-07-25,0.2464,0.2464,0.2347,0.2375,1408000
1986-07-28,0.2436,0.2436,0.2375,0.2436,784000
1986-07-29,0.2436,0.2436,0.2375,0.2405,2387200
1986-07-30,0.2375,0.2405,0.2347,0.2405,2601600
1986-07-31,0.2375,0.2436,0.2375,0.2405,2412800
1986-08-01,0.2436,0.2436,0.2375,0.2436,1203200
1986-08-04,0.2436,0.2436,0.2405,0.2436,566400
1986-08-05,0.2436,0.2553,0.2405,0.2523,1612800
1986-08-06,0.2523,0.2523,0.2464,0.2492,1788800
1986-08-07,0.2523,0.2553,0.2492,0.2523,3238400
1986-08-08,0.2492,0.2553,0.2492,0.2492,748800
1986-08-11,0.2464,0.2492,0.2464,0.2492,835200
1986-08-12,0.2464,0.2523,0.2464,0.2492,1811200
1986-08-13,0.2464,0.2523,0.2464,0.2523,1411200
1986-08-14,0.2523,0.2523,0.2436,0.2492,2281600
1986-08-15,0.2492,0.2492,0.2464,0.2464,412800
1986-08-18,0.2464,0.2492,0.2464,0.2492,211200
1986-08-19,0.2492,0.2523,0.2464,0.2523,4278400
1986-08-20,0.2523,0.2523,0.2464,0.2523,131200
1986-08-21,0.2492,0.2553,0.2464,0.2464,2156800
1986-08-22,0.2523,0.2523,0.2464,0.2523,1651200
1986-08-25,0.2523,0.2553,0.2464,0.2492,4022400
1986-08-26,0.2464,0.2492,0.2347,0.2405,2073600
1986-08-27,0.2375,0.2405,0.2347,0.2375,768000
1986-08-28,0.2405,0.2405,0.2347,0.2347,1702400
1986-08-29,0.2347,0.2375,0.2258,0.2288,1865600
1986-09-02,0.2319,0.2319,0.2023,0.2023,2320000
1986-09-03,0.2053,0.2084,0.1877,0.2084,4416000
1986-09-04,0.2053,0.2112,0.1906,0.2053,3968000
1986-09-05,0.2084,0.2112,0.2023,0.2023,1680000
1986-09-08,0.2084,0.2084,0.1967,0.2023,972800
1986-09-09,0.2023,0.2023,0.1967,0.1967,3564800
1986-09-10,0.1995,0.1995,0.1936,0.1995,1993600
1986-09-11,0.1967,0.1967,0.1788,0.1819,3200000
1986-09-12,0.1849,0.1877,0.1760,0.1849,1302400
1986-09-15,0.1849,0.1877,0.1849,0.1877,438400
1986-09-16,0.1849,0.1877,0.1819,0.1849,684800
1986-09-17,0.1877,0.1877,0.1819,0.1849,547200
1986-09-18,0.1849,0.1849,0.1819,0.1819,1523200
1986-09-19,0.1819,0.1849,0.1760,0.1760,396800
1986-09-22,0.1819,0.1819,0.1760,0.1760,947200
1986-09-23,0.1819,0.1819,0.1760,0.1788,10979200
1986-09-24,0.1788,0.1788,0.1760,0.1760,10355200
1986-09-25,0.1760,0.1788,0.1732,0.1760,17702400
1986-09-26,0.1788,0.1819,0.1760,0.1819,4611200
1986-09-29,0.1819,0.1877,0.1788,0.1877,4435200
1986-09-30,0.1877,0.2258,0.1877,0.2084,7555200
1986-10-01,0.2112,0.2140,0.2023,0.2023,3577600
1986-10-02,0.2084,0.2084,0.1936,0.1995,1120000
1986-10-03,0.2023,0.2023,0.1967,0.2023,556800
1986-10-06,0.1995,0.2023,0.1967,0.1967,288000
1986-10-07,0.1995,0.1995,0.1967,0.1967,246400
1986-10-08,0.1995,0.1995,0.1967,0.1967,1004800
1986-10-09,0.1967,0.1995,0.1877,0.1906,3100800
1986-10-10,0.1877,0.1936,0.1877,0.1906,2492800
1986-10-13,0.1906,0.1936,0.1906,0.1936,2380800
1986-10-14,0.1906,0.1936,0.1788,0.1906,26294400
1986-10-15,0.1877,0.1906,0.1819,0.1877,2505600
