Date,Open,High,Low,Close,Volume
1998-07-01,10.7051,10.8917,10.5737,10.8111,20818601
1998-07-02,10.8366,10.9171,10.8111,10.8917,3037200
1998-07-06,10.8917,11.0231,10.8111,10.9722,1737701
1998-07-07,11.0231,11.0231,10.8111,10.8111,1077000
1998-07-08,10.8663,10.9171,10.8111,10.8917,1180500
1998-07-09,10.8663,10.9977,10.8111,10.9722,1443900
1998-07-10,11.0231,11.2097,10.9426,10.9426,1117301
1998-07-13,10.9171,10.9426,10.8111,10.9171,790800
1998-07-14,10.9171,10.9722,10.8366,10.8366,1276301
1998-07-15,10.8111,11.0231,10.8111,11.0231,863400
1998-07-16,10.9171,10.9977,10.8111,10.8917,1084500
1998-07-17,10.8111,11.0782,10.7603,11.0231,1201601
1998-07-20,11.0231,11.6082,11.0231,11.6082,995501
1998-07-21,11.6082,11.6336,11.1291,11.2605,784601
1998-07-22,11.1291,11.2351,10.7857,10.8663,1497900
1998-07-23,10.9171,10.9426,10.4932,10.8111,1248300
1998-07-24,10.9171,11.0486,10.8663,11.0231,1009800
1998-07-27,11.0231,11.1545,10.9171,10.9722,843600
1998-07-28,10.9977,11.0486,10.5992,10.5992,2081801
1998-07-29,10.5992,10.7051,10.3872,10.4423,1331400
1998-07-30,10.5186,10.5992,10.3872,10.5992,1982400
1998-07-31,10.5992,10.8663,10.5483,10.5992,1093601
1998-08-03,10.5992,10.5992,10.3066,10.3363,1009001
1998-08-04,10.3066,10.3066,9.7003,9.7512,1245900
1998-08-05,9.6452,9.8063,9.3018,9.3018,654101
1998-08-06,9.3527,9.4078,9.2764,9.2764,589200
1998-08-07,9.3273,9.5944,9.2764,9.3824,1100201
1998-08-10,9.3824,10.1497,9.3273,9.8063,321701
1998-08-11,9.6452,9.6452,9.3273,9.3273,334001
1998-08-12,9.6452,9.6452,9.3018,9.3018,513600
1998-08-13,9.3273,9.3527,9.2213,9.2213,969000
1998-08-14,9.5392,9.5392,9.3018,9.3273,229301
