Date,Open,High,Low,Close,Volume
1970-01-02,0.5174,0.5272,0.5174,0.5272,243200
1970-01-05,0.5272,0.5305,0.5239,0.5256,172800
1970-01-06,0.5256,0.5256,0.5207,0.5239,281600
1970-01-07,0.5239,0.5239,0.5141,0.5174,124800
1970-01-08,0.5174,0.5222,0.5141,0.5141,102400
1970-01-09,0.5141,0.5239,0.5141,0.5174,134400
1970-01-12,0.5174,0.5222,0.5174,0.5207,80000
1970-01-13,0.5174,0.5174,0.5027,0.5027,608000
1970-01-14,0.5010,0.5010,0.4666,0.4698,745600
1970-01-15,0.4666,0.4666,0.4453,0.4519,694400
1970-01-16,0.4486,0.4486,0.4388,0.4470,700800
1970-01-19,0.4453,0.4453,0.4322,0.4322,473600
1970-01-20,0.4322,0.4322,0.4159,0.4290,912000
1970-01-21,0.4290,0.4436,0.4241,0.4404,512000
1970-01-22,0.4404,0.4584,0.4388,0.4552,457600
1970-01-23,0.4552,0.4584,0.4404,0.4404,387200
1970-01-26,0.4404,0.4453,0.4241,0.4453,528000
1970-01-27,0.4453,0.4486,0.4340,0.4436,700800
1970-01-28,0.4436,0.4617,0.4436,0.4453,457600
1970-01-29,0.4453,0.4453,0.4322,0.4453,982400
1970-01-30,0.4436,0.4436,0.4290,0.4305,272000
1970-02-02,0.4322,0.4453,0.4322,0.4436,275200
1970-02-03,0.4436,0.4453,0.4257,0.4305,515200
1970-02-04,0.4305,0.4322,0.4192,0.4192,492800
1970-02-05,0.4192,0.4192,0.4142,0.4174,160000
1970-02-06,0.4159,0.4159,0.4028,0.4093,633600
1970-02-09,0.4093,0.4093,0.3962,0.3962,406400
1970-02-10,0.3962,0.4011,0.3816,0.3816,652800
1970-02-11,0.3816,0.4110,0.3799,0.4028,873600
1970-02-12,0.4028,0.4028,0.3930,0.4028,1296000
1970-02-13,0.4028,0.4061,0.3930,0.3995,608000
1970-02-16,0.3995,0.4028,0.3930,0.3930,924800
1970-02-17,0.3930,0.3979,0.3897,0.3962,755200
1970-02-18,0.3962,0.4061,0.3947,0.4061,1075200
1970-02-19,0.4192,0.4453,0.4192,0.4290,992000
1970-02-20,0.4290,0.4372,0.4257,0.4372,1177600
1970-02-24,0.4372,0.4421,0.4340,0.4404,841600
1970-02-25,0.4486,0.4912,0.4486,0.4846,2160000
1970-02-26,0.4829,0.4829,0.4617,0.4814,828800
1970-02-27,0.4879,0.5027,0.4879,0.4945,1897600
1970-03-02,0.4945,0.5010,0.4666,0.4698,1737600
1970-03-03,0.4698,0.4814,0.4698,0.4781,464000
1970-03-04,0.4781,0.4846,0.4765,0.4765,620800
1970-03-05,0.4814,0.4846,0.4814,0.4829,396800
1970-03-06,0.4829,0.4829,0.4748,0.4765,880000
1970-03-09,0.4765,0.4797,0.4666,0.4683,361600
1970-03-10,0.4650,0.4650,0.4486,0.4552,563200
1970-03-11,0.4552,0.4552,0.4470,0.4519,313600
1970-03-12,0.4519,0.4535,0.4470,0.4470,227200
1970-03-13,0.4519,0.4617,0.4519,0.4519,441600
1970-03-16,0.4567,0.4683,0.4567,0.4650,316800
1970-03-17,0.4650,0.4765,0.4584,0.4715,556800
1970-03-18,0.4715,0.4715,0.4601,0.4601,230400
1970-03-19,0.4601,0.4617,0.4535,0.4567,227200
1970-03-20,0.4567,0.4617,0.4470,0.4503,140800
1970-03-23,0.4503,0.4584,0.4453,0.4584,230400
1970-03-24,0.4584,0.4650,0.4535,0.4650,448000
1970-03-25,0.4650,0.4846,0.4634,0.4814,1049600
1970-03-26,0.4814,0.4829,0.4748,0.4748,281600
1970-03-30,0.4748,0.4814,0.4715,0.4748,710400
1970-03-31,0.4748,0.4748,0.4698,0.4715,204800
1970-04-01,0.4715,0.4765,0.4683,0.4748,560000
1970-04-02,0.4748,0.4781,0.4650,0.4650,364800
1970-04-03,0.4650,0.4765,0.4634,0.4683,371200
1970-04-06,0.4683,0.4715,0.4650,0.4650,108800
1970-04-07,0.4650,0.4715,0.4584,0.4698,201600
1970-04-08,0.4698,0.4715,0.4666,0.4715,249600
1970-04-09,0.4715,0.4765,0.4698,0.4748,272000
1970-04-10,0.4748,0.4748,0.4584,0.4617,128000
1970-04-13,0.4601,0.4601,0.4503,0.4584,201600
1970-04-14,0.4535,0.4535,0.4470,0.4486,326400
1970-04-15,0.4486,0.4552,0.4453,0.4519,211200
1970-04-16,0.4503,0.4503,0.4436,0.4470,144000
1970-04-17,0.4470,0.4567,0.4436,0.4552,300800
1970-04-20,0.4552,0.4584,0.4453,0.4535,201600
1970-04-21,0.4535,0.4552,0.4486,0.4486,192000
1970-04-22,0.4486,0.4535,0.4453,0.4453,182400
1970-04-23,0.4421,0.4421,0.4241,0.4241,377600
1970-04-24,0.4241,0.4273,0.4142,0.4192,419200
1970-04-27,0.4192,0.4192,0.3995,0.3995,240000
1970-04-28,0.3962,0.3962,0.3864,0.3913,1328000
1970-04-29,0.3913,0.3995,0.3880,0.3979,982400
1970-04-30,0.3979,0.4011,0.3930,0.3930,576000
1970-05-01,0.3930,0.3995,0.3930,0.3995,451200
1970-05-04,0.3962,0.3962,0.3733,0.3733,921600
1970-05-05,0.3766,0.3979,0.3766,0.3897,259200
1970-05-06,0.3897,0.3979,0.3831,0.3897,982400
1970-05-07,0.3897,0.3979,0.3897,0.3962,275200
1970-05-08,0.3962,0.3962,0.3913,0.3930,249600
1970-05-11,0.3930,0.3930,0.3766,0.3816,355200
1970-05-12,0.3782,0.3782,0.3668,0.3717,777600
1970-05-13,0.3717,0.3733,0.3569,0.3668,700800
1970-05-14,0.3668,0.3685,0.3487,0.3685,460800
1970-05-15,0.3685,0.4028,0.3618,0.4028,940800
1970-05-18,0.4028,0.4043,0.3897,0.4028,294400
1970-05-19,0.3995,0.3995,0.3864,0.3864,224000
1970-05-20,0.3864,0.3913,0.3749,0.3816,262400
1970-05-21,0.3816,0.3831,0.3586,0.3700,515200
1970-05-22,0.3700,0.3930,0.3685,0.3685,438400
1970-05-25,0.3635,0.3635,0.3537,0.3569,406400
1970-05-26,0.3569,0.3733,0.3537,0.3537,700800
1970-05-27,0.3537,0.3831,0.3537,0.3749,617600
1970-05-28,0.3749,0.3995,0.3717,0.3913,563200
1970-05-29,0.3913,0.3913,0.3816,0.3913,553600
1970-06-01,0.3930,0.4159,0.3930,0.4126,1152000
1970-06-02,0.4126,0.4192,0.3930,0.3930,598400
1970-06-03,0.3930,0.3930,0.3799,0.3913,646400
1970-06-04,0.3913,0.3962,0.3864,0.3864,412800
1970-06-05,0.3864,0.3864,0.3766,0.3782,329600
1970-06-08,0.3782,0.3831,0.3733,0.3816,236800
1970-06-09,0.3816,0.3831,0.3766,0.3831,204800
1970-06-10,0.3782,0.3782,0.3733,0.3766,368000
1970-06-11,0.3733,0.3733,0.3602,0.3602,153600
1970-06-12,0.3586,0.3586,0.3471,0.3487,710400
1970-06-15,0.3487,0.3602,0.3455,0.3520,659200
1970-06-16,0.3554,0.3651,0.3554,0.3618,726400
1970-06-17,0.3635,0.3749,0.3635,0.3651,726400
1970-06-18,0.3651,0.3864,0.3635,0.3831,329600
1970-06-19,0.3831,0.3897,0.3766,0.3864,419200
1970-06-22,0.3848,0.3848,0.3717,0.3749,348800
1970-06-23,0.3749,0.3831,0.3668,0.3700,326400
1970-06-24,0.3668,0.3668,0.3554,0.3554,396800
1970-06-25,0.3554,0.3618,0.3520,0.3537,211200
1970-06-26,0.3537,0.3635,0.3537,0.3537,96000
