Date,Open,High,Low,Close,Volume
1983-04-06,4.2955,4.3319,4.1673,4.1673,169200
1983-04-07,4.2052,4.2227,4.1499,4.1499,46400
1983-04-08,4.2052,4.2227,4.1673,4.2227,148400
1983-04-11,4.3319,4.4411,4.2780,4.4411,138000
1983-04-12,4.4411,4.5867,4.4411,4.5867,109200
1983-04-13,4.6231,4.6420,4.6042,4.6420,95600
1983-04-14,4.6042,4.6042,4.5139,4.5503,150400
1983-04-15,4.5139,4.5314,4.4047,4.4047,216800
1983-04-18,4.4047,4.4775,4.3508,4.4775,190800
1983-04-19,4.4775,4.5314,4.4236,4.5139,103600
1983-04-20,4.4775,4.5314,4.4775,4.5139,161200
1983-04-21,4.5314,4.6595,4.5139,4.6231,323600
1983-04-22,4.6042,4.6042,4.4775,4.5139,130000
1983-04-25,4.4047,4.4775,4.3319,4.3319,175200
1983-04-26,4.2955,4.3683,4.2227,4.2401,170400
1983-04-27,4.1863,4.2955,4.0596,4.0945,191600
1983-04-28,4.1499,4.2227,4.0771,4.1673,959600
1983-04-29,4.2052,4.2401,4.1499,4.2052,400800
1983-05-02,4.1499,4.2227,4.0771,4.2227,140400
1983-05-03,4.0771,4.1324,4.0407,4.0945,214400
1983-05-04,4.1673,4.2227,4.1135,4.1499,188400
1983-05-05,4.1499,4.1673,4.1135,4.1135,92800
1983-05-06,4.1324,4.3508,4.1324,4.3319,522800
1983-05-09,4.3319,4.3508,4.2780,4.3319,167600
1983-05-10,4.3129,4.3683,4.2401,4.2591,318800
1983-05-11,4.2955,4.2955,4.0771,4.1499,630000
1983-05-12,4.1673,4.1673,4.1135,4.1135,453200
1983-05-13,4.1324,4.3508,4.1324,4.3129,372800
1983-05-16,4.2780,4.2780,4.2052,4.2401,176400
1983-05-17,4.2780,4.3319,4.2227,4.2401,403600
1983-05-18,4.2591,4.2780,4.2052,4.2401,183600
1983-05-19,4.1863,4.2227,4.0596,4.0945,159200
1983-05-20,4.0945,4.1135,3.9868,4.1135,146000
1983-05-23,4.0771,4.2227,4.0596,4.2227,194000
1983-05-24,4.1863,4.2591,4.1673,4.1863,259200
1983-05-25,4.2227,4.3319,4.2227,4.3319,369200
1983-05-26,4.3508,4.3508,4.2591,4.2780,256000
1983-05-27,4.2401,4.2401,4.0771,4.1673,677600
1983-05-31,4.0945,4.1324,3.9140,3.9140,577600
1983-06-01,3.9140,4.0596,3.9140,4.0596,397600
1983-06-02,4.0771,4.1499,3.9868,4.0945,433200
1983-06-03,4.1135,4.1673,4.0771,4.0945,178400
1983-06-06,4.1135,4.3508,4.1135,4.2591,378000
1983-06-07,4.3508,4.3857,4.2955,4.3683,716000
1983-06-08,4.2955,4.4047,4.2955,4.3683,789600
1983-06-09,4.4411,4.6231,4.4411,4.6042,756400
1983-06-10,4.6595,4.6770,4.6420,4.6595,454000
1983-06-13,4.7498,4.8051,4.7148,4.7498,399600
1983-06-14,4.8415,5.1327,4.8051,4.9507,521200
1983-06-15,4.8779,4.9143,4.7687,4.9143,421600
1983-06-16,5.0599,5.0599,4.8779,5.0060,458000
1983-06-17,5.0410,5.0599,4.9507,5.0060,232000
1983-06-20,5.0235,5.0788,4.9507,4.9871,235600
1983-06-21,4.9507,5.0235,4.8604,5.0060,200400
1983-06-22,5.0060,5.0599,4.9507,4.9871,279200
1983-06-23,4.9507,5.0235,4.9143,5.0060,497600
1983-06-24,4.9682,4.9682,4.8415,4.9507,153600
1983-06-27,4.9143,4.9332,4.8604,4.9332,170000
1983-06-28,4.9143,4.9507,4.8051,4.8051,222800
1983-06-29,4.7687,4.8779,4.7687,4.8051,388400
1983-06-30,4.8604,4.8954,4.8051,4.8604,68800
1983-07-01,4.8415,4.9143,4.7687,4.9143,120800
1983-07-05,4.8779,4.9332,4.7687,4.9332,75200
1983-07-06,4.9682,5.0060,4.8954,4.9507,90400
1983-07-07,4.9143,4.9682,4.8779,4.8779,193200
1983-07-08,4.9143,4.9507,4.8604,4.9332,88000
1983-07-11,4.9507,5.1327,4.9507,5.0410,244000
1983-07-12,5.0235,5.0963,5.0235,5.0410,118800
1983-07-13,5.0235,5.0410,4.9332,5.0235,339600
1983-07-14,5.2419,5.3875,5.1517,5.3875,490000
1983-07-15,5.3875,5.4967,5.2594,5.2973,240800
1983-07-18,5.2783,5.2783,5.1866,5.2419,187200
1983-07-19,5.2783,5.3322,5.2594,5.3147,138000
1983-07-20,5.3701,5.4603,5.3701,5.4603,209600
1983-07-21,5.4967,5.5506,5.4778,5.5157,234800
1983-07-22,5.5244,5.5506,5.4967,5.5157,186400
1983-07-25,5.4603,5.4778,5.4050,5.4429,221200
1983-07-26,5.4967,5.5157,5.4050,5.4429,239200
1983-07-27,5.4239,5.4603,5.3147,5.3511,186800
1983-07-28,5.3147,5.3322,5.3147,5.3147,45600
1983-07-29,5.2783,5.2783,4.9507,5.0060,246800
1983-08-01,4.9682,5.0060,4.8051,4.8604,234800
1983-08-02,4.8604,4.9143,4.8226,4.8415,126800
1983-08-03,4.8604,4.8954,4.8415,4.8954,95200
1983-08-04,4.8779,4.8779,4.7498,4.8779,178400
1983-08-05,4.8415,4.8779,4.7687,4.8604,88400
1983-08-08,4.7687,4.8415,4.6420,4.8051,93200
1983-08-09,4.7687,4.8051,4.6959,4.7876,84400
1983-08-10,4.8226,4.8604,4.7876,4.8604,81200
1983-08-11,4.8954,4.9871,4.8415,4.9143,98800
1983-08-12,4.8779,5.1138,4.8779,5.1138,75600
1983-08-15,5.0963,5.2245,5.0963,5.1691,71600
1983-08-16,5.1327,5.1866,5.0788,5.0788,59200
1983-08-17,5.0788,5.1691,5.0788,5.1138,48400
1983-08-18,5.1517,5.2245,5.1327,5.1327,70000
1983-08-19,5.1327,5.1691,5.0963,5.0963,48000
1983-08-22,5.0963,5.1866,5.0963,5.1138,59200
1983-08-23,5.0963,5.1517,5.0963,5.0963,82400
1983-08-24,5.0963,5.0963,5.0599,5.0599,71200
1983-08-25,5.0599,5.0599,4.9143,4.9682,105200
1983-08-26,4.9507,4.9682,4.9143,4.9332,349200
