Date,Open,High,Low,Close,Volume
1999-06-16,8.5423,8.7780,7.6582,8.3651,5718100
1999-06-17,8.2473,8.3651,7.3048,8.1889,542200
1999-06-18,8.0710,8.6008,8.0710,8.4829,557600
1999-06-21,8.5423,9.1898,8.4829,8.7186,218000
1999-06-22,8.5423,8.9542,8.4829,8.5423,281400
1999-06-23,8.4829,8.9542,8.4829,8.8364,395200
1999-06-24,8.8364,9.0720,8.4829,8.6008,238100
1999-06-25,8.6008,8.6894,8.4829,8.6601,172400
1999-06-28,8.4829,8.8364,8.4829,8.7186,81400
1999-06-29,8.8364,9.6611,8.7186,8.8364,321500
1999-06-30,8.8364,9.5480,8.8364,9.1314,429900
1999-07-01,9.2492,9.7837,8.9542,9.3670,363500
1999-07-02,9.5480,10.2549,9.5480,10.2549,460800
1999-07-06,10.2549,10.3680,9.8968,10.0758,565900
1999-07-07,10.0758,10.4906,9.7837,10.2549,270500
1999-07-08,11.0749,12.2531,10.7262,11.5462,1793800
1999-07-09,11.5462,12.9600,11.4897,12.7244,1738400
1999-07-12,13.1957,14.4964,12.8469,13.9591,5465000
1999-07-13,14.4304,14.4304,11.9044,12.6113,2568600
1999-07-14,12.9600,12.9600,11.1975,12.6113,970700
1999-07-15,13.0166,13.1957,12.0175,12.3757,572700
1999-07-16,12.6113,13.4313,12.4322,13.1957,793100
1999-07-19,13.4313,13.5538,12.7244,13.1957,336500
1999-07-20,13.1957,13.2522,11.7819,12.1966,324300
1999-07-21,12.2531,12.5453,11.7819,11.7819,237600
1999-07-22,12.0175,12.0175,11.1975,11.3106,165100
1999-07-23,11.4331,11.5462,10.3680,10.8393,178500
1999-07-26,10.8393,10.8393,9.1898,9.7837,363400
1999-07-27,9.8119,10.2549,9.3077,9.7837,312600
1999-07-28,9.9533,11.1975,9.6611,10.6037,176700
1999-07-29,10.3680,11.0749,9.9533,10.7262,165400
1999-07-30,10.7262,11.3671,9.8968,10.4906,237500
1999-08-02,10.8393,12.4888,10.2549,10.6037,503900
1999-08-03,11.0749,11.7819,10.9618,11.4331,265300
1999-08-04,11.3106,11.3671,10.6037,10.8393,186900
1999-08-05,10.7262,10.9618,9.6611,10.9618,188600
1999-08-06,10.8393,10.8393,9.8968,10.3680,77400
1999-08-09,10.0758,10.8959,9.3077,9.4255,105900
1999-08-10,9.3077,9.6611,8.5423,8.6300,369700
1999-08-11,8.9542,9.4255,8.6008,9.3077,351000
1999-08-12,9.8402,10.8393,9.4255,10.3115,413900
1999-08-13,10.7262,10.9618,10.0193,10.3680,275600
1999-08-16,10.6037,10.6037,10.1324,10.2549,98900
1999-08-17,10.3680,10.8393,10.2549,10.8393,149100
1999-08-18,10.8393,10.9618,10.3115,10.3115,100300
1999-08-19,10.3398,10.6602,10.1324,10.1324,39200
1999-08-20,10.6037,10.7262,10.3680,10.6037,42400
1999-08-23,10.7828,10.8393,10.2549,10.3115,65000
1999-08-24,10.6037,10.6037,10.0193,10.2549,108000
1999-08-25,10.2549,10.6037,10.2549,10.3680,112800
1999-08-26,10.4529,10.4529,10.1324,10.3115,135500
1999-08-27,10.3115,10.4246,10.0193,10.3115,434800
1999-08-30,10.3680,10.6037,10.2549,10.3680,88500
1999-08-31,10.3680,10.7828,10.1889,10.7828,153000
1999-09-01,10.7828,11.2540,10.4906,10.6037,87000
1999-09-02,10.6037,10.7262,10.1889,10.4246,80800
1999-09-03,10.5754,11.0749,10.3680,11.0749,91900
1999-09-07,11.3106,11.3671,10.6037,10.6602,58300
1999-09-08,10.7262,10.7828,10.6037,10.7262,96100
1999-09-09,10.7545,11.9044,10.6602,11.7819,179900
1999-09-10,11.7819,12.7244,11.6028,11.8384,249300
1999-09-13,12.0740,12.1966,11.1315,11.7253,363900
1999-09-14,11.7819,12.2531,11.5462,12.2531,238300
1999-09-15,12.1966,12.7244,12.1400,12.6113,271500
1999-09-16,12.9318,12.9600,12.3757,12.4322,159600
1999-09-17,12.5453,12.9600,12.3757,12.9600,199700
1999-09-20,12.9035,12.9035,11.7819,12.1966,90500
1999-09-21,12.1023,12.4322,11.6687,11.9044,129200
1999-09-22,11.9892,12.7810,11.9609,12.6679,92200
1999-09-23,12.3097,12.7244,11.9044,12.0740,146000
1999-09-24,12.1400,12.2531,11.5462,11.6687,148000
1999-09-27,11.9892,12.4888,11.3106,11.9609,127500
1999-09-28,11.3954,11.9609,11.0749,11.5462,85200
1999-09-29,11.3106,11.4331,10.6037,10.6037,160200
1999-09-30,10.8393,10.9618,9.4255,10.2549,134900
1999-10-01,9.8968,10.4246,9.8968,10.3115,113100
1999-10-04,10.3398,10.4906,10.2549,10.3680,146400
1999-10-05,10.3963,10.8393,9.6611,9.7177,64900
1999-10-06,10.3680,10.7262,10.0193,10.3115,90800
1999-10-07,10.3680,10.4246,9.9533,10.0193,69800
1999-10-08,10.0758,10.4906,10.0193,10.3680,54200
1999-10-11,10.3115,10.3680,10.0193,10.1324,25400
1999-10-12,10.1324,10.3115,9.4820,9.6611,54600
1999-10-13,9.9816,9.9816,9.4255,9.4255,37900
1999-10-14,9.6046,9.8402,9.4255,9.7837,204700
1999-10-15,9.6046,9.8968,8.8958,9.4255,140700
1999-10-18,9.2191,10.3680,9.0136,10.3680,98700
1999-10-19,10.1041,10.4246,9.6611,9.8402,121200
1999-10-20,9.9533,10.2549,9.1314,9.1314,47400
1999-10-21,9.1012,10.1324,8.9542,9.5480,52100
1999-10-22,9.8402,10.0193,9.1898,9.4255,17800
1999-10-25,9.4255,9.6046,9.1898,9.1898,26400
1999-10-26,9.4255,9.6611,9.3077,9.4820,39700
1999-10-27,9.5480,9.5480,9.3670,9.4255,27800
1999-10-28,9.4255,9.4255,8.9542,9.3670,109400
1999-10-29,9.4255,9.8968,9.0136,9.1898,47900
1999-11-01,9.3227,9.4255,8.9542,9.0720,58100
1999-11-02,9.1314,9.6611,9.0720,9.0720,68900
1999-11-03,9.1898,9.4255,8.9542,8.9542,191200
1999-11-04,9.4255,9.5480,8.9542,9.3077,123900
1999-11-05,9.3077,9.4255,9.0720,9.3077,184800
1999-11-08,9.3670,10.0193,9.3077,10.0193,218000
1999-11-09,9.8119,11.3106,9.6611,11.3106,170600
1999-11-10,11.0749,12.6679,10.8393,12.4888,439400
1999-11-11,12.3757,16.7302,12.3757,14.0251,2641000
1999-11-12,14.1382,14.1948,10.8393,11.5462,883700
1999-11-15,12.0175,12.2531,11.4897,11.5462,203400
1999-11-16,11.6687,11.7819,11.0749,11.1975,186100
