Date,Open,High,Low,Close,Volume
1989-06-30,0.1643,0.1643,0.1588,0.1643,2061293
1989-07-03,0.1643,0.1700,0.1643,0.1680,1167585
1989-07-05,0.1718,0.1755,0.1700,0.1755,1137878
1989-07-06,0.1773,0.1812,0.1773,0.1812,4107915
1989-07-07,0.1812,0.1867,0.1812,0.1830,5156992
1989-07-10,0.1830,0.1904,0.1830,0.1885,2131505
1989-07-11,0.1904,0.1904,0.1885,0.1885,1433715
1989-07-12,0.1885,0.1904,0.1885,0.1904,1183805
1989-07-13,0.1885,0.1904,0.1885,0.1904,1360815
1989-07-14,0.1885,0.1904,0.1867,0.1885,3264280
1989-07-17,0.1904,0.1979,0.1885,0.1942,2176202
1989-07-18,0.1979,0.2073,0.1961,0.2054,1848015
1989-07-19,0.2278,0.2278,0.2091,0.2221,5868313
1989-07-20,0.2278,0.2315,0.2258,0.2258,5205607
1989-07-21,0.2278,0.2278,0.2185,0.2203,1787417
1989-07-24,0.2185,0.2185,0.2166,0.2185,1495817
1989-07-25,0.2166,0.2203,0.2166,0.2185,1368880
1989-07-26,0.2189,0.2189,0.2151,0.2189,838213
1989-07-27,0.2207,0.2320,0.2207,0.2302,2095192
1989-07-28,0.2282,0.2375,0.2245,0.2339,3985215
1989-07-31,0.2375,0.2469,0.2357,0.2469,2741678
1989-08-01,0.2487,0.2544,0.2451,0.2451,6969878
1989-08-02,0.2451,0.2507,0.2451,0.2451,2868615
1989-08-03,0.2469,0.2469,0.2394,0.2414,1725315
1989-08-04,0.2432,0.2432,0.2302,0.2339,1876492
1989-08-07,0.2357,0.2414,0.2357,0.2375,2151917
1989-08-08,0.2394,0.2394,0.2357,0.2375,928792
1989-08-09,0.2375,0.2375,0.2357,0.2357,1405193
1989-08-10,0.2339,0.2375,0.2282,0.2375,1952080
1989-08-11,0.2375,0.2394,0.2245,0.2282,3318317
1989-08-14,0.2302,0.2320,0.2282,0.2282,1093500
1989-08-15,0.2302,0.2302,0.2207,0.2282,3146683
1989-08-16,0.2263,0.2282,0.2225,0.2225,2198983
1989-08-17,0.2225,0.2245,0.2189,0.2225,1915493
1989-08-18,0.2225,0.2245,0.2207,0.2225,959683
1989-08-21,0.2245,0.2245,0.2225,0.2225,1147492
1989-08-22,0.2207,0.2207,0.2133,0.2151,2406885
