Date,Open,High,Low,Close,Volume
1994-10-31,10.2771,10.6595,10.2771,10.4398,32800
1994-11-01,10.4398,10.4398,10.2771,10.2771,13200
1994-11-02,10.2771,10.4398,10.2200,10.4398,7000
1994-11-03,10.4398,10.4969,10.3826,10.3826,5400
1994-11-04,10.3826,10.4398,10.1628,10.1628,9800
1994-11-07,10.1628,10.2200,10.1101,10.2200,7200
1994-11-08,10.2200,10.2200,10.1101,10.1101,2200
1994-11-09,10.1628,10.2200,10.1628,10.1628,5600
1994-11-10,10.2178,10.2178,10.1647,10.2178,82800
1994-11-11,10.2178,10.2752,10.1647,10.2178,16400
1994-11-14,10.2178,10.2752,10.1647,10.2178,54600
1994-11-15,10.1647,10.1647,10.1647,10.1647,1800
1994-11-16,10.1647,10.2178,10.1647,10.2178,4600
1994-11-17,10.2178,10.5537,10.1647,10.5537,10600
1994-11-18,10.5537,10.5537,10.3857,10.4388,8400
1994-11-21,10.4388,10.5537,10.3857,10.4962,7000
1994-11-22,10.4962,10.6067,10.3857,10.3857,14800
1994-11-23,10.3857,10.4388,10.3857,10.4388,8000
1994-11-25,10.3857,10.3857,10.3857,10.3857,2000
1994-11-28,10.3857,10.4962,10.3857,10.3857,1400
1994-11-29,10.3857,10.3857,10.3327,10.3327,1800
1994-11-30,10.3327,10.4388,10.3327,10.3327,6000
1994-12-01,10.3327,10.3857,10.0543,10.0543,35400
1994-12-02,10.0543,10.0543,9.9968,10.0543,12600
1994-12-05,10.0543,10.0543,9.9968,9.9968,5400
1994-12-06,9.9438,9.9438,9.7758,9.7758,16000
1994-12-07,9.7758,9.8333,9.6698,9.7758,11600
1994-12-08,9.7758,9.8333,9.7758,9.8333,6000
1994-12-09,9.8333,9.9438,9.7228,9.7228,9000
1994-12-12,9.7228,9.8333,9.6123,9.7758,7600
1994-12-13,9.7758,9.9968,9.7758,9.9968,4600
1994-12-14,10.0543,10.5537,10.0543,10.5537,10800
1994-12-15,10.5537,10.9382,10.5537,10.9382,13400
1994-12-16,10.9382,10.9956,10.7172,10.7746,20400
1994-12-19,10.7746,10.8807,10.6067,10.6067,10000
1994-12-20,10.6597,10.7746,10.6597,10.7746,8000
1994-12-21,10.7746,10.9956,10.7746,10.9956,7800
1994-12-22,10.9956,11.0486,10.9956,10.9956,9000
1994-12-23,10.9956,11.0486,10.9956,11.0486,5400
1994-12-27,10.9956,10.9956,10.8807,10.9382,6000
1994-12-28,10.9382,10.9956,10.8807,10.9382,3200
