Date,Open,High,Low,Close,Volume
1981-12-31,6.8660,6.8968,6.8352,6.8820,449200
1982-01-04,6.7736,6.8820,6.6505,6.7429,630400
1982-01-05,6.5273,6.6357,6.4042,6.4042,1076800
1982-01-06,6.3426,6.3894,6.2810,6.3426,1560400
1982-01-07,6.2662,6.3734,6.1579,6.2194,1303600
1982-01-08,6.3118,6.3586,6.2502,6.2970,991200
1982-01-11,6.2047,6.3734,6.0347,6.0655,1479600
1982-01-12,6.1579,6.2502,6.0507,6.2355,1089600
1982-01-13,6.2355,6.4350,6.0199,6.0963,1231200
1982-01-14,6.1739,6.2355,6.0963,6.2355,1068400
1982-01-15,6.2502,6.2810,6.2047,6.2502,724400
1982-01-18,6.2047,6.2970,6.1123,6.2970,897600
1982-01-19,6.2047,6.2970,6.1123,6.1123,722000
1982-01-20,6.0199,6.1271,5.8968,6.0039,1852800
1982-01-21,5.9731,6.0655,5.8808,5.9423,1187200
1982-01-22,5.9115,5.9891,5.8192,5.8192,868000
1982-01-25,5.9583,6.1431,5.7576,6.1431,1900800
1982-01-26,6.0963,6.1739,6.0039,6.0039,1143200
1982-01-27,6.1431,6.2502,6.0347,6.1739,1310800
1982-01-28,6.3426,6.4510,6.2194,6.4350,1169200
1982-01-29,6.6197,6.6973,6.5433,6.6505,2861600
1982-02-01,6.3734,6.5126,6.2355,6.2662,1345200
1982-02-02,6.2970,6.3586,6.2194,6.2810,1434400
1982-02-03,6.1579,6.3426,5.9731,6.0199,1294800
1982-02-04,6.0655,6.1579,5.9731,6.1579,1818000
1982-02-05,6.2355,6.3426,6.1123,6.2194,1472000
1982-02-08,6.0199,6.1271,5.9115,5.9276,1396400
1982-02-09,5.9583,6.0655,5.8500,5.9891,1279200
1982-02-10,6.0963,6.1887,5.9891,6.0347,1146000
1982-02-11,5.9583,6.0655,5.8500,5.8808,1359200
1982-02-12,5.9276,5.9731,5.8660,5.9115,1182800
1982-02-16,5.9583,6.1271,5.7884,6.1271,1678400
1982-02-17,6.0815,6.1271,6.0199,6.0347,1125200
1982-02-18,6.0655,6.1271,6.0039,6.0815,765200
1982-02-19,6.0507,6.1123,5.9731,6.0199,774800
1982-02-22,5.9276,6.1123,5.7428,5.7576,1422000
1982-02-23,5.7576,5.8660,5.6344,5.7884,1600800
1982-02-24,5.9423,6.0815,5.8044,6.0507,1030000
1982-02-25,5.9583,6.0507,5.8500,5.9583,789200
1982-02-26,5.9276,5.9731,5.8660,5.8968,640000
1982-03-01,5.8192,5.9276,5.6960,5.7884,977600
1982-03-02,5.6344,5.8352,5.4349,5.4497,1373200
1982-03-03,5.2650,5.3265,5.2034,5.2958,2811200
1982-03-04,5.2650,5.3881,5.1418,5.2958,4486800
1982-03-05,5.2650,5.3426,5.1886,5.3118,2571200
1982-03-08,5.1726,5.4041,4.9263,4.9571,2307600
1982-03-09,5.2034,5.4189,4.9731,5.2194,2858800
1982-03-10,5.3265,5.4805,5.1726,5.3573,1601600
1982-03-11,5.3265,5.4041,5.2342,5.3265,1247200
1982-03-12,5.2810,5.3426,5.2194,5.2502,1305600
1982-03-15,5.3426,5.4349,5.2342,5.4189,1224400
1982-03-16,5.4041,5.4805,5.3265,5.3426,1113200
1982-03-17,5.3265,5.4041,5.2342,5.2502,759600
1982-03-18,5.3265,5.4041,5.2502,5.3573,1245200
1982-03-19,5.3573,5.3881,5.2502,5.2810,1400800
1982-03-22,5.3881,5.4497,5.3118,5.4497,1125600
1982-03-23,5.4189,5.4805,5.3426,5.4497,1092800
1982-03-24,5.4805,5.5421,5.4041,5.4805,1596800
1982-03-25,5.4805,5.5729,5.3881,5.4189,1070400
1982-03-26,5.2958,5.4041,5.1886,5.2342,1150400
1982-03-29,5.2342,5.2958,5.1578,5.2958,644800
1982-03-30,5.2502,5.2810,5.2034,5.2502,793200
1982-03-31,5.2650,5.3118,5.2194,5.2502,1119200
1982-04-01,5.3265,5.4497,5.2034,5.4497,1167600
1982-04-02,5.5729,5.6812,5.4657,5.6344,1537200
1982-04-05,5.5421,5.6344,5.4497,5.5113,699600
1982-04-06,5.5729,5.6344,5.5113,5.6197,776000
1982-04-07,5.6812,5.7268,5.6197,5.6812,1457600
1982-04-08,5.7736,5.8500,5.6812,5.7576,1549600
1982-04-12,5.7268,5.7736,5.6652,5.6812,884800
1982-04-13,5.6812,5.7428,5.6197,5.6344,804400
1982-04-14,5.5889,5.6344,5.5421,5.6197,692800
1982-04-15,5.5729,5.6037,5.5273,5.5729,452800
1982-04-16,5.5729,5.6960,5.5581,5.6037,768800
1982-04-19,5.5729,5.6197,5.5113,5.5273,713600
1982-04-20,5.4041,5.5113,5.2958,5.3426,1103600
1982-04-21,5.1886,5.2810,5.0962,5.2034,2250800
1982-04-22,5.4041,5.5273,5.2650,5.5273,2845600
1982-04-23,5.7268,5.8192,5.6344,5.7884,2343200
1982-04-26,5.8968,6.0199,5.7576,5.9115,2468000
