Date,Open,High,Low,Close,Volume
2007-03-29,0.8850,0.9310,0.8660,0.8760,60798000
2007-03-30,0.8830,0.9000,0.8550,0.8990,4195000
2007-04-02,0.9000,1.0590,0.8990,1.0380,7491000
2007-04-03,1.0700,1.1660,1.0400,1.0580,8357000
2007-04-04,1.0400,1.0990,1.0030,1.0160,3095000
2007-04-05,1.0020,1.0250,0.9520,0.9800,4249000
2007-04-09,0.9950,1.0360,0.9880,1.0000,1743000
2007-04-10,0.9960,1.0120,0.9660,0.9800,1068000
2007-04-11,0.9710,0.9860,0.9500,0.9540,1070000
2007-04-12,0.9500,0.9970,0.9500,0.9850,888000
2007-04-13,0.9980,0.9980,0.9660,0.9740,602000
2007-04-16,0.9700,1.0250,0.9600,1.0150,1354000
2007-04-17,1.0250,1.0400,1.0060,1.0250,891000
2007-04-18,1.0430,1.0500,1.0040,1.0370,1008000
2007-04-19,1.0190,1.0290,0.9820,0.9890,719000
2007-04-20,1.0070,1.0070,0.9790,0.9860,1397000
2007-04-23,0.9770,1.0070,0.9770,0.9850,774000
2007-04-24,0.9900,1.0000,0.9730,0.9830,708000
2007-04-25,0.9800,1.0490,0.9800,1.0350,1600000
2007-04-26,1.0470,1.0470,1.0120,1.0190,734000
2007-04-27,1.0110,1.0400,0.9991,1.0200,1122000
2007-04-30,1.0200,1.1060,1.0200,1.0410,2719000
2007-05-01,1.0500,1.0900,1.0100,1.0490,1240000
2007-05-02,1.0530,1.0640,1.0400,1.0400,609000
2007-05-03,1.0412,1.0500,1.0310,1.0430,843000
2007-05-04,1.0400,1.0600,1.0370,1.0580,722000
2007-05-07,1.0760,1.1050,1.0400,1.0570,1741000
2007-05-08,1.0500,1.0600,1.0450,1.0500,1469000
2007-05-09,1.0890,1.1350,1.0500,1.1240,4082000
2007-05-10,1.0870,1.0870,0.9960,1.0150,4910000
2007-05-11,1.0220,1.0500,1.0000,1.0400,2717000
2007-05-14,1.0440,1.0500,1.0200,1.0430,2098000
2007-05-15,1.0200,1.0430,1.0200,1.0240,1336000
2007-05-16,1.0200,1.0390,1.0000,1.0100,861000
2007-05-17,1.0000,1.0081,1.0000,1.0020,1110000
2007-05-18,1.0000,1.0100,0.9740,1.0020,1871000
2007-05-21,1.0010,1.0090,0.9920,1.0040,2156000
2007-05-22,0.9950,1.0110,0.9950,1.0040,825000
2007-05-23,0.9960,1.0120,0.9960,1.0000,763000
2007-05-24,0.9970,1.0080,0.9930,0.9990,606000
2007-05-25,0.9920,1.0050,0.9920,1.0040,617000
2007-05-29,1.0000,1.0060,0.9920,1.0030,659000
2007-05-30,1.0010,1.0030,0.9950,1.0030,800000
2007-05-31,1.0030,1.0080,0.9958,1.0060,1122000
2007-06-01,1.0110,1.0110,1.0010,1.0040,853000
2007-06-04,1.0050,1.0670,1.0020,1.0560,2223000
2007-06-05,1.1300,1.1850,1.1030,1.1430,9190000
2007-06-06,1.1500,1.1540,1.1000,1.1200,3502000
2007-06-07,1.1300,1.1340,1.1100,1.1150,1869000
2007-06-08,1.1330,1.1330,1.0170,1.0650,3656000
2007-06-11,1.0550,1.0800,1.0250,1.0510,1347000
2007-06-12,1.0410,1.1130,1.0410,1.0730,1459000
2007-06-13,1.0990,1.0990,1.0553,1.0660,807000
