Date,Open,High,Low,Close,Volume
1985-07-01,4.2824,4.3373,4.2824,4.3241,149400
1985-07-02,4.3241,4.3373,4.2549,4.2824,50100
1985-07-03,4.2967,4.3373,4.2967,4.3373,30300
1985-07-05,4.3373,4.4471,4.3373,4.4471,47700
1985-07-08,4.4471,4.4888,4.4054,4.4054,66300
1985-07-09,4.4054,4.4196,4.3373,4.3373,80700
1985-07-10,4.3241,4.3241,4.2824,4.2824,21300
1985-07-11,4.2824,4.3241,4.2681,4.3098,53100
1985-07-12,4.3098,4.3241,4.2407,4.2824,79500
1985-07-15,4.2549,4.2549,4.2143,4.2407,86700
1985-07-16,4.2407,4.2407,4.2143,4.2407,59400
1985-07-17,4.2407,4.3790,4.2275,4.2549,234600
1985-07-18,4.2549,4.2681,4.2143,4.2549,147600
1985-07-19,4.2549,4.2824,4.2407,4.2681,246900
1985-07-22,4.2681,4.2824,4.2407,4.2681,30600
1985-07-23,4.2681,4.3922,4.2549,4.3647,162900
1985-07-24,4.3647,4.3922,4.2967,4.2967,149400
1985-07-25,4.3505,4.3922,4.3505,4.3647,70800
1985-07-26,4.3647,4.4328,4.3647,4.4054,22500
1985-07-29,4.4196,4.4614,4.4196,4.4328,62100
1985-07-30,4.4328,4.4471,4.4054,4.4054,68400
1985-07-31,4.4054,4.4328,4.3922,4.4196,63600
1985-08-01,4.4196,4.4614,4.4054,4.4614,60000
1985-08-02,4.4614,4.5020,4.4471,4.4888,100800
1985-08-05,4.4888,4.5020,4.4471,4.4614,54900
1985-08-06,4.4614,4.4888,4.4471,4.4471,72600
1985-08-07,4.4471,4.4471,4.3647,4.3647,45600
1985-08-08,4.3647,4.4196,4.3505,4.3790,101700
1985-08-09,4.3790,4.4196,4.3790,4.3922,40800
1985-08-12,4.3922,4.3922,4.2967,4.2967,41700
1985-08-13,4.3098,4.3790,4.3098,4.3373,66000
1985-08-14,4.3241,4.3241,4.2549,4.2549,18000
1985-08-15,4.2549,4.2824,4.2549,4.2549,34500
1985-08-16,4.2549,4.2681,4.2407,4.2407,54000
1985-08-19,4.2549,4.2824,4.2549,4.2549,37200
1985-08-20,4.2549,4.3241,4.2549,4.3241,27000
1985-08-21,4.3098,4.3098,4.2549,4.2549,32100
1985-08-22,4.2549,4.2681,4.1320,4.1320,56400
1985-08-23,4.1320,4.1320,4.0902,4.1034,71400
1985-08-26,4.1034,4.1594,4.1034,4.1320,27300
1985-08-27,4.1320,4.2143,4.1320,4.2143,19800
1985-08-28,4.2143,4.2275,4.1177,4.1320,147900
1985-08-29,4.1320,4.1726,4.1320,4.1726,94200
1985-08-30,4.1858,4.2407,4.1858,4.2275,54600
1985-09-03,4.2275,4.2824,4.2143,4.2824,64500
1985-09-04,4.2824,4.2967,4.2549,4.2549,52800
1985-09-05,4.2549,4.2824,4.1858,4.1858,112200
1985-09-06,4.2000,4.3098,4.2000,4.2275,132300
1985-09-09,4.2275,4.2275,4.2000,4.2000,58200
1985-09-10,4.2000,4.2275,4.1726,4.1726,54600
1985-09-11,4.1726,4.1726,4.0902,4.0902,109200
1985-09-12,4.0902,4.0902,4.0353,4.0628,49200
1985-09-13,4.0628,4.0628,3.9947,3.9947,127500
1985-09-16,4.0079,4.0760,4.0079,4.0353,29100
1985-09-17,4.0353,4.0760,4.0353,4.0496,23100
1985-09-18,4.0496,4.0628,4.0079,4.0079,52500
1985-09-19,4.0079,4.0902,4.0079,4.0079,77400
1985-09-20,3.9804,3.9804,3.7608,3.7883,256800
1985-09-23,3.7883,3.8563,3.7883,3.8432,150000
1985-09-24,3.8432,3.8432,3.7608,3.7740,330900
1985-09-25,3.7740,3.8157,3.7740,3.8157,23400
1985-09-26,3.8157,3.8432,3.8025,3.8300,96000
1985-09-30,3.8300,3.8432,3.8157,3.8432,98100
1985-10-01,3.8432,3.8706,3.8025,3.8025,147900
1985-10-02,3.8025,3.8300,3.7059,3.7334,269100
1985-10-03,3.7334,3.7334,3.6916,3.7059,196200
1985-10-04,3.7059,3.7334,3.6916,3.7202,28800
1985-10-07,3.7202,3.7608,3.7059,3.7608,84300
1985-10-08,3.7608,3.7740,3.7059,3.7740,396600
1985-10-09,3.7740,3.8300,3.7608,3.8157,126000
1985-10-10,3.8157,3.8157,3.7740,3.8025,114300
1985-10-11,3.8025,3.8157,3.7608,3.7883,84900
1985-10-14,3.7883,3.8157,3.7883,3.8157,34200
1985-10-15,3.8157,3.8300,3.7608,3.7740,120600
1985-10-16,3.7740,3.7740,3.7334,3.7608,53100
1985-10-17,3.8300,3.8981,3.8300,3.8432,375600
1985-10-18,3.8432,3.8432,3.7883,3.7883,67800
1985-10-21,3.8025,3.8432,3.8025,3.8157,54000
1985-10-22,3.8157,3.8706,3.8025,3.8432,154800
1985-10-23,3.8432,3.8432,3.8025,3.8432,224100
1985-10-24,3.8432,3.8432,3.8025,3.8300,101700
1985-10-25,3.8300,3.8432,3.7608,3.8157,60900
1985-10-28,3.8157,3.8157,3.7608,3.7608,84600
1985-10-29,3.7608,3.8300,3.7608,3.8025,32700
1985-10-30,3.8025,3.8300,3.7740,3.8025,405300
1985-10-31,3.8300,3.8706,3.8300,3.8432,134700
1985-11-01,3.8432,3.8849,3.8300,3.8563,437700
1985-11-04,3.8563,3.9113,3.8563,3.8706,232500
1985-11-05,3.8563,3.8563,3.8157,3.8563,89100
1985-11-06,3.8563,3.8706,3.8157,3.8157,122100
1985-11-07,3.8157,3.8432,3.8157,3.8432,135600
1985-11-08,3.8432,3.8981,3.7740,3.8981,114000
1985-11-11,3.8981,3.9255,3.8432,3.8706,216600
1985-11-12,3.9255,4.0079,3.9255,3.9530,248700
1985-11-13,3.9530,3.9530,3.9113,3.9255,142500
1985-11-14,3.9255,3.9947,3.9255,3.9947,144000
1985-11-15,3.9947,4.0496,3.9530,4.0079,57900
1985-11-18,4.0079,4.0628,3.9673,4.0211,196800
1985-11-19,4.0353,4.1320,4.0353,4.1177,113700
1985-11-20,4.1177,4.1858,4.1034,4.1858,47400
1985-11-21,4.1858,4.3098,4.1858,4.3098,67800
1985-11-22,4.3098,4.3098,4.2681,4.2824,200100
1985-11-25,4.2824,4.2967,4.2143,4.2275,80100
1985-11-26,4.2275,4.2549,4.2000,4.2143,147600
1985-11-27,4.2143,4.2407,4.1594,4.2407,221400
1985-11-29,4.2407,4.2824,4.1594,4.2275,122700
1985-12-02,4.2275,4.2407,4.1034,4.1594,46500
