Date,Open,High,Low,Close,Volume
1981-12-31,0.5297,0.5350,0.5241,0.5241,220900
1982-01-04,0.5297,0.5350,0.5241,0.5350,365000
1982-01-05,0.5459,0.5625,0.5241,0.5297,666500
1982-01-06,0.5297,0.5350,0.5241,0.5297,500900
1982-01-07,0.5297,0.5297,0.5241,0.5241,171500
1982-01-08,0.5297,0.5350,0.5241,0.5350,261500
1982-01-11,0.5350,0.5350,0.5297,0.5350,386300
1982-01-12,0.5297,0.5297,0.5241,0.5241,311300
1982-01-13,0.5297,0.5350,0.5188,0.5188,436700
1982-01-14,0.5241,0.5241,0.5188,0.5188,189500
1982-01-15,0.5241,0.5297,0.5188,0.5297,271400
1982-01-18,0.5297,0.5350,0.5241,0.5297,391200
1982-01-19,0.5297,0.5350,0.5241,0.5297,282200
1982-01-20,0.5297,0.5297,0.5241,0.5241,357800
1982-01-21,0.5297,0.5350,0.5241,0.5350,941800
1982-01-22,0.5350,0.5402,0.5241,0.5350,422900
1982-01-25,0.5350,0.5402,0.5297,0.5350,315500
1982-01-26,0.5131,0.5188,0.5079,0.5188,642600
1982-01-27,0.5131,0.5188,0.5079,0.5079,1529200
1982-01-28,0.5022,0.5241,0.4804,0.5188,1475200
1982-01-29,0.5241,0.5297,0.5188,0.5297,331900
1982-02-01,0.5241,0.5297,0.5131,0.5131,311000
1982-02-02,0.5188,0.5241,0.5131,0.5188,300200
1982-02-03,0.5188,0.5241,0.5131,0.5188,252700
1982-02-04,0.5188,0.5188,0.5131,0.5188,241200
1982-02-05,0.5188,0.5241,0.5131,0.5241,215000
1982-02-08,0.5188,0.5241,0.5131,0.5131,295600
1982-02-09,0.5131,0.5188,0.5079,0.5131,223200
1982-02-10,0.5188,0.5188,0.5131,0.5131,171800
1982-02-11,0.5131,0.5188,0.5079,0.5131,318200
1982-02-12,0.5131,0.5188,0.5079,0.5131,140400
1982-02-16,0.5079,0.5131,0.4965,0.5079,382700
1982-02-17,0.5131,0.5131,0.5079,0.5079,218000
1982-02-18,0.5079,0.5131,0.5022,0.5079,1139300
1982-02-19,0.5079,0.5079,0.5022,0.5079,320100
1982-02-22,0.5079,0.5131,0.5022,0.5022,428200
1982-02-23,0.5079,0.5131,0.5022,0.5079,576100
1982-02-24,0.5188,0.5241,0.5079,0.5241,1475200
1982-02-25,0.5241,0.5297,0.5188,0.5241,519500
1982-02-26,0.5241,0.5297,0.5188,0.5297,217700
1982-03-01,0.5297,0.5297,0.5241,0.5297,234700
1982-03-02,0.5350,0.5402,0.5297,0.5350,697300
1982-03-03,0.5350,0.5402,0.5297,0.5350,506100
1982-03-04,0.5350,0.5402,0.5241,0.5402,1009000
1982-03-05,0.5402,0.5402,0.5350,0.5402,839700
1982-03-08,0.5402,0.5459,0.5297,0.5350,484500
1982-03-09,0.5402,0.5459,0.5350,0.5402,619400
1982-03-10,0.5402,0.5459,0.5350,0.5402,402000
1982-03-11,0.5350,0.5402,0.5297,0.5297,405300
1982-03-12,0.5350,0.5350,0.5297,0.5350,299800
1982-03-15,0.5297,0.5350,0.5241,0.5350,237300
1982-03-16,0.5350,0.5402,0.5297,0.5350,502800
1982-03-17,0.5350,0.5402,0.5297,0.5402,339800
1982-03-18,0.5350,0.5402,0.5297,0.5350,864900
1982-03-19,0.5350,0.5402,0.5297,0.5402,315200
1982-03-22,0.5402,0.5459,0.5350,0.5459,1340900
1982-03-23,0.5459,0.5516,0.5350,0.5516,505800
1982-03-24,0.5516,0.5516,0.5459,0.5459,946100
1982-03-25,0.5459,0.5516,0.5402,0.5516,1236800
1982-03-26,0.5516,0.5516,0.5459,0.5459,241600
1982-03-29,0.5516,0.5568,0.5402,0.5568,375800
1982-03-30,0.5625,0.5677,0.5516,0.5677,1638800
