Date,Open,High,Low,Close,Volume
1993-12-14,4.3090,4.3321,4.2840,4.3321,7614001
1993-12-15,4.3321,4.3321,4.2840,4.3321,1809300
1993-12-16,4.3321,4.3572,4.3090,4.3321,616300
1993-12-17,4.3321,4.3321,4.3090,4.3090,484100
1993-12-20,4.3090,4.3321,4.3090,4.3321,538800
1993-12-21,4.3090,4.3321,4.2840,4.3090,307300
1993-12-22,4.3090,4.3321,4.3090,4.3321,271200
1993-12-23,4.3321,4.3321,4.3090,4.3321,145400
1993-12-27,4.3321,4.3321,4.3090,4.3090,162100
1993-12-28,4.3090,4.3321,4.3090,4.3321,279700
1993-12-29,4.3321,4.3572,4.3090,4.3321,253101
1993-12-30,4.3572,4.3572,4.3321,4.3321,151700
1993-12-31,4.3321,4.3572,4.3090,4.3572,198200
1994-01-03,4.3321,4.3572,4.3321,4.3321,308000
1994-01-04,4.3572,4.3572,4.3321,4.3572,233300
1994-01-05,4.3321,4.3803,4.3321,4.3321,236900
1994-01-06,4.3321,4.3572,4.3321,4.3321,148600
1994-01-07,4.3572,4.3803,4.3321,4.3803,308500
1994-01-10,4.3803,4.4534,4.3572,4.4284,430400
1994-01-11,4.4053,4.5247,4.4053,4.4765,507700
1994-01-12,4.5016,4.5016,4.4765,4.4765,359400
1994-01-13,4.4765,4.5497,4.4765,4.5497,414800
1994-01-14,4.5497,4.5728,4.4765,4.5247,411500
1994-01-17,4.5497,4.5497,4.5016,4.5247,163400
1994-01-18,4.5016,4.5497,4.5016,4.5497,338800
1994-01-19,4.5247,4.5247,4.5016,4.5247,252900
1994-01-20,4.5247,4.5497,4.5016,4.5497,217500
1994-01-21,4.5247,4.5728,4.5016,4.5497,249400
1994-01-24,4.5247,4.5497,4.5016,4.5016,358000
1994-01-25,4.4765,4.5497,4.4765,4.5497,263800
1994-01-26,4.5728,4.6691,4.5728,4.6209,841400
1994-01-27,4.6460,4.7422,4.6209,4.7172,585500
1994-01-28,4.7172,4.7422,4.6691,4.7422,449100
1994-01-31,4.7422,4.7422,4.6941,4.7172,372600
1994-02-01,4.7422,4.8135,4.7172,4.8135,465800
1994-02-02,4.8135,4.8135,4.7653,4.7904,233300
1994-02-03,4.8135,4.8616,4.7653,4.7904,1536200
1994-02-04,4.7904,4.7904,4.6460,4.6941,615300
1994-02-07,4.6941,4.7422,4.6460,4.7172,431500
1994-02-08,4.7422,4.8135,4.7422,4.8135,809600
1994-02-09,4.7904,4.8135,4.7422,4.7653,503200
1994-02-10,4.7653,4.7904,4.6691,4.7422,1017500
1994-02-11,4.7653,4.8866,4.7653,4.8616,281100
1994-02-14,4.8616,5.0060,4.8616,4.9348,1014600
1994-02-15,4.9579,4.9829,4.8135,4.8866,1503600
1994-02-16,4.8866,4.9348,4.8616,4.9348,329500
1994-02-17,4.9097,4.9829,4.9097,4.9829,335600
1994-02-18,4.9579,4.9829,4.8866,4.9829,330400
1994-02-22,4.9579,5.0310,4.9579,5.0060,274200
1994-02-23,5.0310,5.0792,4.9829,5.0792,401900
1994-02-24,5.0792,5.1273,5.0310,5.1273,321800
1994-02-25,5.1023,5.1273,5.0541,5.1023,275300
1994-02-28,5.1023,5.1023,4.9579,4.9579,272500
1994-03-01,4.9097,5.0541,4.9097,5.0310,592800
1994-03-02,4.9579,5.0541,4.9097,5.0541,311700
1994-03-03,5.0792,5.0792,4.9579,5.0060,362600
1994-03-04,5.0060,5.0792,4.9579,5.0060,322100
1994-03-07,5.0060,5.1023,5.0060,5.1023,285001
1994-03-08,5.1023,5.1023,5.0792,5.0792,238300
1994-03-09,5.0792,5.1754,5.0541,5.1023,267100
1994-03-10,5.1273,5.1985,5.1023,5.1023,344700
1994-03-11,5.1273,5.2467,5.1023,5.1985,313300
1994-03-14,5.1985,5.2467,5.1754,5.2236,223900
1994-03-15,5.2236,5.2948,5.1504,5.2467,262700
1994-03-16,5.2948,5.3680,5.2467,5.2948,239900
1994-03-17,5.2948,5.3198,5.1504,5.1504,278700
1994-03-18,5.1504,5.3198,5.1504,5.3198,278200
1994-03-21,5.3198,5.3680,5.2717,5.2948,136900
1994-03-22,5.3863,5.3863,5.2648,5.3863,210800
1994-03-23,5.3863,5.4842,5.3863,5.4842,434700
1994-03-24,5.4842,5.4842,5.3628,5.4352,179000
1994-03-25,5.4117,5.4842,5.3863,5.4352,320800
1994-03-28,5.4117,5.4117,5.2159,5.2159,209300
1994-03-29,5.2159,5.2159,5.0435,5.0690,476300
1994-03-30,4.9456,5.0690,4.7007,5.0690,310000
1994-03-31,5.0690,5.1179,4.9945,5.0200,205100
1994-04-04,4.7007,5.0690,4.6283,4.8966,221700
1994-04-05,4.9456,5.0690,4.9456,5.0200,196000
1994-04-06,5.0690,5.1414,4.9710,5.0925,316600
1994-04-07,5.0925,5.0925,5.0690,5.0690,175100
1994-04-08,5.0925,5.0925,5.0435,5.0690,114400
1994-04-11,5.0690,5.0690,5.0200,5.0690,171800
1994-04-12,5.0690,5.0690,5.0200,5.0690,151500
1994-04-13,5.0690,5.0690,5.0200,5.0435,120500
1994-04-14,5.0690,5.1414,5.0435,5.1414,171500
1994-04-15,5.1179,5.1179,5.0200,5.0435,94600
1994-04-18,5.0690,5.1179,5.0200,5.0925,82800
1994-04-19,5.1179,5.1179,5.0435,5.0690,104500
1994-04-20,5.0925,5.0925,5.0200,5.0435,77000
1994-04-21,5.0690,5.1179,5.0200,5.0435,81900
