Date,Open,High,Low,Close,Volume
1998-06-29,5.7184,5.8460,5.6557,5.7812,12615000
1998-06-30,5.7569,5.7569,5.6172,5.6294,3075200
1998-07-01,5.6172,5.6678,5.4917,5.6435,1186200
1998-07-02,5.6172,5.6172,5.5160,5.6051,1127200
1998-07-06,5.6051,5.6051,5.4917,5.5039,1233600
1998-07-07,5.5039,5.5160,5.4533,5.4776,1247000
1998-07-08,5.4776,5.5160,5.4654,5.5160,784600
1998-07-09,5.4917,5.5039,5.4148,5.4654,586200
1998-07-10,5.4654,5.4654,5.3257,5.4654,768600
1998-07-13,5.4148,5.4533,5.3257,5.4411,771000
1998-07-14,5.4269,5.4917,5.3642,5.4654,1336800
1998-07-15,5.4411,5.4533,5.3763,5.4533,465600
1998-07-16,5.4269,5.4411,5.3642,5.3905,807200
1998-07-17,5.3905,5.3905,5.3257,5.3642,1087000
1998-07-20,5.3257,5.3399,5.2630,5.3257,1084000
1998-07-21,5.3014,5.3257,5.2387,5.2630,437600
1998-07-22,5.2751,5.2751,5.2124,5.2751,1013000
1998-07-23,5.2751,5.3399,5.2751,5.3257,892400
1998-07-24,5.2893,5.3014,5.2630,5.2893,1031600
1998-07-27,5.2630,5.3136,5.2245,5.3014,769600
1998-07-28,5.2751,5.3014,5.1375,5.2124,1633800
1998-07-29,5.1739,5.2124,5.0727,5.1618,1044400
1998-07-30,5.1375,5.2508,5.1233,5.2124,935800
1998-07-31,5.2124,5.2124,5.0606,5.0990,773600
1998-08-03,5.0606,5.0869,4.9715,5.0363,1298400
1998-08-04,4.9978,4.9978,4.8075,4.8703,1235200
1998-08-05,4.9087,5.0869,4.9087,5.0869,1002600
1998-08-06,5.0869,5.0869,4.9594,5.0100,1137000
1998-08-07,4.9857,5.0221,4.9087,4.9472,703000
1998-08-10,4.9594,5.0606,4.9594,5.0100,1498800
1998-08-11,4.9594,4.9715,4.8581,4.8966,716800
1998-08-12,4.9594,5.0484,4.8581,5.0484,798000
1998-08-13,5.0363,5.0727,4.9978,5.0484,413000
1998-08-14,4.9978,5.0363,4.9594,5.0100,391400
1998-08-17,5.0606,5.1233,5.0221,5.1112,1041000
1998-08-18,5.0990,5.1112,5.0100,5.0606,901800
1998-08-19,5.0484,5.0484,4.9857,5.0363,605400
1998-08-20,5.0606,5.0869,5.0363,5.0727,1263800
1998-08-21,5.0363,5.1112,5.0221,5.1112,918000
1998-08-24,5.1375,5.1881,5.1233,5.1375,755800
1998-08-25,5.1496,5.2124,5.1375,5.2124,1171600
1998-08-26,5.1881,5.2002,5.1618,5.1881,692000
1998-08-27,5.1861,5.2387,5.1739,5.1739,1447200
1998-08-28,5.1881,5.1881,5.1496,5.1881,692200
1998-08-31,5.1739,5.1739,5.0363,5.1496,2624200
1998-09-01,5.0990,5.1233,4.9715,5.1233,892000
1998-09-02,5.0727,5.0869,4.9857,5.0727,2602000
1998-09-03,5.0221,5.0727,4.9715,5.0606,534400
1998-09-04,5.0869,5.1112,5.0221,5.0869,718600
1998-09-08,5.0727,5.1233,5.0100,5.1233,397400
1998-09-09,5.1233,5.1233,5.0606,5.1112,433400
1998-09-10,5.0869,5.1375,5.0606,5.1233,654400
1998-09-11,5.0869,5.1496,5.0484,5.1375,464600
1998-09-14,5.1618,5.2124,5.1375,5.2124,580600
1998-09-15,5.1739,5.3521,5.1739,5.3257,649800
1998-09-16,5.3136,5.3521,5.2751,5.3521,2367000
1998-09-17,5.3031,5.3544,5.2907,5.3298,3287600
1998-09-18,5.3175,5.4202,5.3031,5.4058,683800
1998-09-21,5.4058,5.4325,5.3544,5.4058,556400
1998-09-22,5.4202,5.4448,5.3544,5.3544,817400
1998-09-23,5.3935,5.4839,5.3688,5.4839,743000
1998-09-24,5.4839,5.4839,5.3544,5.3935,1448200
1998-09-25,5.3421,5.4325,5.3421,5.4202,369800
1998-09-28,5.3812,5.4448,5.3544,5.4448,828200
1998-09-29,5.4325,5.5229,5.4325,5.4962,528400
1998-09-30,5.4448,5.4448,5.3298,5.3544,740600
1998-10-01,5.3688,5.4962,5.3544,5.4839,850200
1998-10-02,5.4962,5.7284,5.4962,5.7140,1270000
1998-10-05,5.7140,5.9071,5.6893,5.8948,1131400
1998-10-06,5.8948,5.9585,5.8167,5.9195,1383400
1998-10-07,5.9339,6.0222,5.9195,5.9975,1077600
1998-10-08,5.9462,5.9462,5.8558,5.9339,882000
1998-10-09,5.9339,5.9339,5.6770,5.7530,478800
1998-10-12,5.7017,5.7017,5.3175,5.3812,639000
1998-10-13,5.4325,5.5743,5.4202,5.5743,2289200
1998-10-14,5.6770,5.7530,5.6257,5.6893,1190400
1998-10-15,5.6626,5.6893,5.5229,5.5743,1503400
1998-10-16,5.5476,5.5476,5.3935,5.4962,1253200
1998-10-19,5.4962,5.4962,5.3935,5.4448,538600
1998-10-20,5.4202,5.4448,5.1757,5.2003,1189000
1998-10-21,5.2271,5.3298,5.2003,5.2147,753000
1998-10-22,5.1880,5.3421,5.1366,5.3421,1981200
1998-10-23,5.3544,5.3688,5.2517,5.3031,1004600
1998-10-26,5.2784,5.3031,5.2003,5.2517,688400
1998-10-27,5.2784,5.3298,5.1490,5.2003,621200
1998-10-28,5.2517,5.3421,5.2517,5.3031,664000
1998-10-29,5.3031,5.3031,5.2394,5.2661,397200
1998-10-30,5.3175,5.3544,5.2907,5.3421,791400
1998-11-02,5.3421,5.4962,5.3421,5.4572,855600
1998-11-03,5.4572,5.6113,5.4572,5.6113,662200
1998-11-04,5.6380,5.6626,5.4448,5.5229,679800
1998-11-05,5.4962,5.4962,5.4448,5.4716,644000
1998-11-06,5.4448,5.5599,5.4448,5.4572,577800
1998-11-09,5.4058,5.4839,5.4058,5.4572,463000
1998-11-10,5.4716,5.4839,5.4058,5.4716,1248600
1998-11-11,5.4572,5.4716,5.4058,5.4058,550800
1998-11-12,5.4448,5.4962,5.4202,5.4448,703000
1998-11-13,5.4716,5.4839,5.2846,5.4448,1223400
1998-11-16,5.4716,5.4716,5.3812,5.4058,429000
1998-11-17,5.4058,5.4572,5.3935,5.4325,634000
1998-11-18,5.4202,5.4202,5.3031,5.3421,624400
1998-11-19,5.3421,5.3421,5.2784,5.3031,318000
1998-11-20,5.3298,5.3298,5.2271,5.3175,418800
1998-11-23,5.3298,5.3544,5.3031,5.3544,460000
1998-11-24,5.3544,5.4058,5.3031,5.3688,289400
1998-11-25,5.3421,5.3812,5.3298,5.3421,495600
1998-11-27,5.3175,5.3298,5.2517,5.2661,235800
1998-11-30,5.1880,5.2147,5.1120,5.1120,1056800
1998-12-01,5.1757,5.2394,5.1490,5.1880,696200
1998-12-02,5.1880,5.2271,5.1757,5.2147,465200
1998-12-03,5.2003,5.2271,5.1757,5.1880,425600
1998-12-04,5.2394,5.3544,5.2271,5.2661,901200
1998-12-07,5.2394,5.3031,5.2394,5.3031,298400
1998-12-08,5.3298,5.3298,5.2517,5.3031,242400
1998-12-09,5.2907,5.3175,5.2784,5.3175,250400
1998-12-10,5.2907,5.3298,5.2394,5.2517,368000
1998-12-11,5.2517,5.3031,5.2003,5.2394,569000
1998-12-14,5.2394,5.2394,5.1757,5.1880,361200
1998-12-15,5.1880,5.2003,5.1490,5.1757,385400
1998-12-16,5.2003,5.2147,5.1366,5.1634,2324600
1998-12-17,5.1929,5.2055,5.1261,5.1408,3853800
1998-12-18,5.1261,5.2180,5.1261,5.2180,1327600
1998-12-21,5.2305,5.4267,5.2180,5.3098,1490800
1998-12-22,5.3223,5.3349,5.2451,5.2702,747400
1998-12-23,5.2827,5.3223,5.2576,5.3098,1037600
1998-12-24,5.3098,5.3495,5.3098,5.3223,93400
1998-12-28,5.3495,5.3495,5.2305,5.2576,433200
1998-12-29,5.2702,5.3223,5.2451,5.3098,554400
1998-12-30,5.2973,5.3495,5.2827,5.2827,364000
1998-12-31,5.2827,5.2973,5.2576,5.2973,496800
1999-01-04,5.2827,5.3620,5.2702,5.3349,645600
1999-01-05,5.4017,5.4267,5.3620,5.4267,882600
1999-01-06,5.4142,5.4142,5.3098,5.3620,882400
1999-01-07,5.3349,5.4142,5.3223,5.3620,714400
1999-01-08,5.3495,5.3620,5.2305,5.2827,925200
1999-01-11,5.2576,5.2702,5.1011,5.1658,914200
1999-01-12,5.1658,5.2180,5.1658,5.2180,1137200
1999-01-13,5.1929,5.3098,5.1929,5.2451,797600
1999-01-14,5.2305,5.2305,5.1408,5.1929,995800
1999-01-15,5.2180,5.2180,5.1533,5.1658,1707800
1999-01-19,5.1783,5.1929,5.1261,5.1408,1221000
1999-01-20,5.1261,5.1658,5.0364,5.0364,1251600
