Date,Open,High,Low,Close,Volume
1992-06-01,1.3728,1.5621,1.3728,1.5621,3012000
1992-06-02,1.5621,1.6095,1.5148,1.5868,1220800
1992-06-03,1.6095,1.8462,1.5621,1.8462,1423200
1992-06-04,1.9408,1.9408,1.7988,1.8462,883200
1992-06-05,1.8462,1.8462,1.6095,1.7515,413600
1992-06-08,1.7515,1.7515,1.6568,1.7515,307200
1992-06-09,1.7515,1.7515,1.4675,1.5148,175200
1992-06-10,1.5148,1.6568,1.5148,1.6568,70400
1992-06-11,1.6568,1.6568,1.5621,1.6568,120800
1992-06-12,1.7042,1.7515,1.6568,1.7515,151600
1992-06-15,1.7515,1.7988,1.7042,1.7988,238800
1992-06-16,1.7988,1.7988,1.6814,1.7515,165200
1992-06-17,1.6095,1.7042,1.4675,1.5148,322800
1992-06-18,1.5621,1.6095,1.4675,1.4921,112000
1992-06-19,1.5621,1.6095,1.5621,1.6095,26800
1992-06-22,1.6095,1.6095,1.4675,1.5148,94800
1992-06-23,1.6095,1.6095,1.5621,1.6095,63200
1992-06-24,1.6095,1.6095,1.5148,1.5148,549600
1992-06-25,1.6568,1.6568,1.5621,1.6095,110800
1992-06-26,1.6568,1.6568,1.5621,1.6568,20000
1992-06-29,1.6568,1.7515,1.6095,1.7515,59600
1992-06-30,1.7515,1.7515,1.6814,1.7515,26800
1992-07-01,1.7515,1.8462,1.7042,1.7515,644800
1992-07-02,1.8462,1.8462,1.4921,1.5621,1184400
1992-07-06,1.6095,1.6095,1.5148,1.6095,66400
1992-07-07,1.6095,1.6095,1.4675,1.4675,70000
1992-07-08,1.5148,1.5148,1.4201,1.5148,523200
1992-07-09,1.5621,1.5621,1.5148,1.5621,15600
1992-07-10,1.5621,1.6568,1.5621,1.6568,27200
1992-07-13,1.6568,1.6568,1.6095,1.6568,42000
1992-07-14,1.6095,1.6568,1.5621,1.6568,122000
1992-07-15,1.6568,1.7988,1.6095,1.6568,91200
1992-07-16,1.7988,1.7988,1.6568,1.6568,23600
1992-07-17,1.6568,1.7988,1.6568,1.7515,44000
1992-07-20,1.7042,1.7515,1.6568,1.7515,47200
1992-07-21,1.7988,1.8935,1.7042,1.8462,382800
1992-07-22,1.8462,1.8462,1.7042,1.7042,113200
1992-07-23,1.6568,1.7515,1.6568,1.6814,56400
1992-07-24,1.7042,1.7042,1.6095,1.7042,82000
1992-07-27,1.7042,1.7515,1.6568,1.6568,38800
1992-07-28,1.7042,1.8462,1.7042,1.8462,144000
1992-07-29,1.8462,1.9408,1.7515,1.8935,251200
1992-07-30,1.9408,1.9882,1.7988,1.9408,152000
1992-07-31,1.9882,1.9882,1.8935,1.9408,216800
1992-08-03,1.9408,1.9882,1.8935,1.9882,206400
1992-08-04,1.8935,1.9882,1.8935,1.8935,29600
1992-08-05,1.8935,2.0829,1.8935,2.0355,188000
1992-08-06,2.0355,2.0355,1.9882,1.9882,86000
1992-08-07,2.0355,2.0829,1.9408,2.0109,72400
1992-08-10,2.0355,2.0355,2.0355,2.0355,10400
1992-08-11,2.0355,2.0829,1.9408,1.9882,67600
1992-08-12,2.0355,2.0355,1.9408,1.9408,65200
1992-08-13,1.9408,1.9882,1.9408,1.9882,36400
1992-08-14,1.9882,1.9882,1.9408,1.9408,6400
1992-08-17,1.9882,2.0355,1.9408,2.0355,48400
1992-08-18,2.0355,2.0829,1.9882,2.0829,44800
1992-08-19,2.0829,2.0829,1.9882,2.0829,198800
1992-08-20,2.1302,2.1302,2.0355,2.0355,78800
1992-08-21,2.0829,2.0829,1.8935,1.9882,215600
1992-08-24,1.9408,1.9408,1.8935,1.9408,26400
1992-08-25,1.9408,1.9882,1.9162,1.9882,46800
1992-08-26,1.9882,1.9882,1.7988,1.8935,207200
1992-08-27,1.9408,2.0355,1.8935,1.9882,242800
1992-08-28,2.0355,2.1302,1.9408,2.1302,282800
1992-08-31,2.1302,2.1775,2.0829,2.1302,62800
1992-09-01,2.1302,2.1775,2.0829,2.1775,192800
1992-09-02,2.1775,2.1775,2.0829,2.1302,119200
1992-09-03,2.2249,2.3669,2.1302,2.2722,586800
1992-09-04,2.2722,2.4616,2.2249,2.4616,208800
1992-09-08,2.4616,2.5089,2.3669,2.4142,592400
1992-09-09,2.1302,2.3669,2.1302,2.3669,194000
1992-09-10,2.3195,2.3195,2.2249,2.2722,271200
1992-09-11,2.2722,2.3195,2.2722,2.2722,93200
1992-09-14,2.2722,2.4142,2.2722,2.3195,172000
1992-09-15,2.3669,2.4616,2.2722,2.3669,107600
1992-09-16,2.3195,2.6982,2.3195,2.4616,346000
1992-09-17,2.4616,2.6036,2.4616,2.6036,313600
1992-09-18,2.6036,2.6036,2.4142,2.4142,362000
1992-09-21,2.5089,2.5562,2.4142,2.5562,486400
1992-09-22,2.5562,2.5562,2.4142,2.4616,216000
1992-09-23,2.5089,2.5089,2.3195,2.3669,957600
1992-09-24,2.4142,2.4616,2.3669,2.4388,179600
1992-09-25,2.4616,2.4616,2.3195,2.4142,196000
1992-09-28,2.2722,2.3669,2.2722,2.3442,206000
1992-09-29,2.3195,2.3669,2.2722,2.3195,124800
1992-09-30,2.3195,2.3195,2.2002,2.2249,369200
1992-10-01,2.2249,2.2722,2.0829,2.1302,472800
1992-10-02,2.1775,2.1775,2.0355,2.0829,407200
1992-10-05,2.1302,2.1302,1.8462,2.0355,348400
1992-10-06,1.9408,2.1302,1.9408,2.1302,96800
1992-10-07,2.1302,2.2249,2.0355,2.2249,157600
1992-10-08,2.2249,2.3669,2.2249,2.3195,240000
1992-10-09,2.3195,2.4142,2.3195,2.3669,87600
1992-10-12,2.3195,2.3669,2.3195,2.3669,31600
1992-10-13,2.3195,2.4142,2.3195,2.3195,51200
1992-10-14,2.4142,2.4142,2.3195,2.3195,196800
1992-10-15,2.4142,2.4843,2.3669,2.4616,95200
1992-10-16,2.5089,2.5089,2.4142,2.4616,382400
1992-10-19,2.5089,2.5562,2.4142,2.5562,63600
1992-10-20,2.5562,2.6036,2.4616,2.5089,1140800
1992-10-21,2.6509,2.6509,2.5089,2.6509,90800
1992-10-22,2.5562,2.6982,2.5562,2.6036,158000
1992-10-23,2.7456,2.8403,2.6982,2.7929,204800
1992-10-26,2.7929,2.7929,2.6982,2.6982,45200
1992-10-27,2.7456,2.7929,2.6036,2.6036,225600
1992-10-28,2.6036,2.6982,2.6036,2.6982,489200
1992-10-29,2.6982,2.8403,2.6036,2.6982,227600
1992-10-30,2.8403,2.8403,2.6982,2.8403,110800
1992-11-02,2.8403,2.8876,2.7456,2.7929,118400
1992-11-03,2.8876,2.8876,2.7456,2.7456,220800
1992-11-04,2.7929,2.7929,2.6982,2.7456,224400
1992-11-05,2.6982,2.8403,2.6982,2.8175,168000
1992-11-06,2.8403,2.8403,2.7456,2.8403,78000
1992-11-09,2.8876,2.8876,2.7456,2.7929,124400
1992-11-10,2.7929,2.8876,2.7929,2.8630,106400
1992-11-11,2.7929,2.8876,2.6509,2.6982,343600
1992-11-12,2.7456,2.8403,2.6509,2.7456,2137200
1992-11-13,2.7929,2.7929,2.6509,2.6982,46000
1992-11-16,2.7456,2.7456,2.6509,2.7456,54400
1992-11-17,2.7456,2.7456,2.6509,2.6509,24000
1992-11-18,2.6509,2.8403,2.6509,2.7929,310400
1992-11-19,2.7929,2.9349,2.7456,2.9349,200800
1992-11-20,2.8876,3.0769,2.8876,3.0769,209200
1992-11-23,3.0769,3.2663,2.9823,3.2190,400400
1992-11-24,3.2663,3.3610,3.1716,3.2663,228000
1992-11-25,3.2663,3.3610,3.0769,3.0769,259600
1992-11-27,3.1716,3.1716,3.0296,3.0296,72400
1992-11-30,3.0769,3.0769,2.8876,2.9576,724000
1992-12-01,3.0296,3.0296,2.9349,2.9823,178800
1992-12-02,2.9349,3.1243,2.9349,3.0296,1240800
1992-12-03,3.1243,3.1243,3.0296,3.0523,144400
