Date,Open,High,Low,Close,Volume
1996-11-22,2.8220,3.0026,2.7220,3.0026,16753600
1996-11-25,2.9220,2.9832,2.7414,2.8833,3246400
1996-11-26,2.9220,2.9220,2.8026,2.8413,1731600
1996-11-27,2.9026,2.9026,2.8220,2.8220,626400
1996-11-29,2.9026,2.9429,2.8220,2.9429,374000
1996-12-02,2.9429,2.9429,2.8220,2.8413,490400
1996-12-03,2.9026,2.9026,2.8220,2.9026,803200
1996-12-04,2.8623,2.9026,2.7817,2.9026,299200
1996-12-05,2.9429,2.9429,2.8220,2.8623,568000
1996-12-06,2.7817,2.8833,2.7010,2.8833,551600
1996-12-09,2.8220,2.9026,2.8220,2.8220,886800
1996-12-10,2.8220,2.9429,2.8220,2.8413,971200
1996-12-11,2.9220,2.9220,2.8220,2.9026,202800
1996-12-12,2.8220,2.9026,2.8220,2.8833,398000
1996-12-13,2.8220,2.9026,2.8220,2.8833,465200
1996-12-16,2.8413,2.9429,2.8220,2.8220,862000
1996-12-17,2.8026,2.9220,2.8026,2.8623,696800
1996-12-18,2.9429,3.0026,2.8833,3.0026,224000
1996-12-19,3.0236,3.3864,2.9429,3.1445,1774800
1996-12-20,3.2251,3.2251,3.1042,3.1848,679600
1996-12-23,3.1848,3.1848,3.1042,3.1638,422800
1996-12-24,3.1638,3.1638,3.0639,3.1042,64400
1996-12-26,2.9228,2.9228,2.8018,2.8421,166400
1996-12-27,2.9026,2.9026,2.8220,2.8220,346000
1996-12-30,3.0639,3.1251,3.0639,3.1251,136400
1996-12-31,3.1251,3.1251,3.0236,3.0832,77200
1997-01-02,3.0848,3.0848,3.0236,3.0639,267200
1997-01-03,3.0639,3.1848,3.0639,3.1445,223600
1997-01-06,3.2251,3.2864,3.1251,3.2654,296800
1997-01-07,3.3670,3.6492,3.2461,3.5073,1013600
1997-01-08,3.4880,3.5476,3.3670,3.5073,1590800
1997-01-09,3.4477,3.6283,3.4477,3.5686,778800
1997-01-10,3.6283,3.8508,3.5476,3.8298,946000
1997-01-13,3.7895,3.8911,3.7702,3.8508,761200
1997-01-14,3.8701,3.8701,3.7492,3.7895,253200
1997-01-15,3.7895,3.7895,3.6283,3.6686,448000
1997-01-16,3.7299,3.7299,3.6686,3.7299,556400
1997-01-17,3.7299,3.7702,3.6895,3.7702,83200
1997-01-20,3.7895,3.9508,3.7089,3.9314,396000
1997-01-21,3.9911,4.0927,3.9105,3.9717,768400
1997-01-22,3.9911,3.9911,3.6283,3.7492,508000
1997-01-23,3.6686,3.7492,3.4267,3.4880,603200
1997-01-24,3.5073,3.5073,3.3461,3.5073,884800
1997-01-27,3.5476,3.5879,3.4880,3.5879,192000
1997-01-28,3.5879,3.5879,3.5073,3.5879,149200
1997-01-29,3.5073,3.6492,3.5073,3.5879,127200
1997-01-30,3.5476,3.5879,3.4880,3.5476,50800
1997-01-31,3.5879,3.7492,3.5073,3.7492,1196400
1997-02-03,3.7299,3.7492,3.5879,3.6492,522800
1997-02-04,3.6492,3.6492,3.5073,3.5476,152400
1997-02-05,3.5686,3.5879,3.5073,3.5283,47600
1997-02-06,3.5879,3.7089,3.5476,3.6492,218800
1997-02-07,3.6283,3.7089,3.6283,3.6686,336800
1997-02-10,3.6686,3.6686,3.4670,3.5073,195200
1997-02-11,3.5476,3.5476,3.3461,3.4670,484000
1997-02-12,3.5879,3.6283,3.4267,3.5476,170400
1997-02-13,3.5476,3.5476,3.2251,3.2461,955600
