Date,Open,High,Low,Close,Volume
1986-07-09,1.8481,1.8728,1.8481,1.8647,232000
1986-07-10,1.8728,1.8728,1.8481,1.8561,715200
1986-07-11,1.8521,1.8561,1.8521,1.8561,152000
1986-07-14,1.8481,1.8521,1.8270,1.8270,598400
1986-07-15,1.8227,1.8270,1.8020,1.8104,187200
1986-07-16,1.8104,1.8227,1.8060,1.8227,238400
1986-07-17,1.8147,1.8314,1.8104,1.8314,1124800
1986-07-18,1.8354,1.8604,1.8314,1.8521,364800
1986-07-21,1.8437,1.8481,1.8104,1.8104,209600
1986-07-22,1.8227,1.8354,1.8187,1.8270,350400
1986-07-23,1.8314,1.8314,1.8227,1.8314,192000
1986-07-24,1.8314,1.8314,1.8227,1.8227,420800
1986-07-25,1.8270,1.8314,1.8187,1.8187,323200
1986-07-28,1.8187,1.8187,1.7603,1.7646,424000
1986-07-29,1.7646,1.7646,1.7479,1.7479,158400
1986-07-30,1.7393,1.7436,1.7269,1.7353,235200
1986-07-31,1.7313,1.7353,1.6558,1.6602,587200
1986-08-01,1.6645,1.6645,1.6518,1.6645,41600
1986-08-04,1.6645,1.6645,1.6518,1.6558,238400
1986-08-05,1.6518,1.6518,1.6145,1.6145,321600
1986-08-06,1.6352,1.6852,1.6185,1.6765,219200
1986-08-07,1.6685,1.6685,1.6518,1.6685,294400
1986-08-08,1.6685,1.6685,1.6518,1.6685,167200
1986-08-11,1.6685,1.6685,1.6518,1.6685,329600
1986-08-12,1.6765,1.7019,1.6605,1.6939,444000
1986-08-13,1.7019,1.7019,1.6852,1.6939,608800
1986-08-14,1.6939,1.7273,1.6852,1.7273,300800
1986-08-15,1.7273,1.7353,1.7186,1.7353,253600
1986-08-18,1.7353,1.7353,1.6939,1.7099,339200
1986-08-19,1.7099,1.7273,1.7019,1.7186,795200
1986-08-20,1.7099,1.7186,1.7019,1.7186,296000
1986-08-21,1.7186,1.7186,1.6852,1.6852,231200
1986-08-22,1.6939,1.7099,1.6765,1.7099,156800
1986-08-25,1.7099,1.7186,1.6939,1.7099,188000
1986-08-26,1.7099,1.7273,1.7019,1.7186,254400
1986-08-27,1.7186,1.7686,1.7186,1.7520,819200
1986-08-28,1.7353,1.7606,1.7353,1.7353,371200
1986-08-29,1.7273,1.7433,1.7273,1.7353,621600
1986-09-02,1.7433,1.7520,1.7273,1.7353,192800
1986-09-03,1.7353,1.7433,1.6852,1.6939,171200
1986-09-04,1.6852,1.6939,1.6852,1.6939,315200
1986-09-05,1.6852,1.6939,1.6185,1.6352,8400000
1986-09-08,1.6352,1.6352,1.5270,1.5350,328800
1986-09-09,1.5270,1.5604,1.5017,1.5270,820000
1986-09-10,1.5184,1.5184,1.4937,1.5017,341600
1986-09-11,1.4937,1.5017,1.4016,1.4016,523200
1986-09-12,1.4096,1.4096,1.2848,1.3762,1635200
1986-09-15,1.3762,1.4349,1.3602,1.3849,640000
1986-09-16,1.4016,1.4016,1.3849,1.4016,710400
1986-09-17,1.4016,1.4763,1.3936,1.4763,665600
1986-09-18,1.4683,1.5097,1.4516,1.4763,335200
1986-09-19,1.4850,1.4850,1.4516,1.4763,263200
1986-09-22,1.4763,1.6518,1.4763,1.6432,1414400
1986-09-23,1.6271,1.6432,1.5684,1.5851,244000
1986-09-24,1.5938,1.6098,1.5764,1.6018,412800
1986-09-25,1.6018,1.6098,1.5270,1.5431,753600
1986-09-26,1.5431,1.5431,1.5097,1.5097,240000
1986-09-29,1.5270,1.5270,1.4683,1.4683,689600
1986-09-30,1.4683,1.4763,1.4516,1.4603,1217600
1986-10-01,1.4516,1.4683,1.4516,1.4516,96800
