Date,Open,High,Low,Close,Volume
1992-03-17,1.3861,1.3861,1.3589,1.3589,156000
1992-03-18,1.3773,1.4140,1.3685,1.4140,617604
1992-03-19,1.4324,1.4508,1.4140,1.4412,984000
1992-03-20,1.4236,1.4603,1.4236,1.4603,260004
1992-03-23,1.4691,1.4963,1.4691,1.4691,658404
1992-03-24,1.4691,1.5338,1.4691,1.5058,230400
1992-03-25,1.4963,1.5242,1.4963,1.5147,388800
1992-03-26,1.5058,1.5147,1.5058,1.5058,116004
1992-03-27,1.5058,1.5058,1.4963,1.4963,219204
1992-03-30,1.4963,1.5058,1.4875,1.4875,128004
1992-03-31,1.4875,1.4875,1.4787,1.4875,81600
1992-04-01,1.4875,1.4963,1.4691,1.4875,864804
1992-04-02,1.4963,1.4963,1.4787,1.4787,146400
1992-04-03,1.4963,1.4963,1.4691,1.4691,135204
1992-04-06,1.4875,1.4875,1.4412,1.4691,92004
1992-04-07,1.4691,1.4875,1.4691,1.4691,197604
1992-04-08,1.4508,1.4508,1.4045,1.4236,48804
1992-04-09,1.4324,1.5058,1.4140,1.4787,142404
1992-04-10,1.4963,1.4963,1.4875,1.4875,67200
1992-04-13,1.4963,1.6344,1.4963,1.6344,316800
1992-04-14,1.6160,1.7167,1.5977,1.6711,472800
1992-04-15,1.6807,1.6807,1.6439,1.6528,226404
1992-04-16,1.6344,1.6344,1.5793,1.6065,55200
1992-04-20,1.6160,1.6160,1.4691,1.5242,132000
1992-04-21,1.5147,1.5705,1.5147,1.5705,224004
1992-04-22,1.5514,1.5889,1.5426,1.5793,70404
1992-04-23,1.5793,1.5889,1.5609,1.5889,230400
1992-04-24,1.5889,1.6248,1.5889,1.6248,72000
1992-04-27,1.6072,1.6072,1.6072,1.6072,804
1992-04-28,1.6065,1.6065,1.5977,1.6065,159204
1992-04-29,1.6065,1.6160,1.5977,1.6160,142404
1992-04-30,1.6160,1.6895,1.6160,1.6711,413604
1992-05-01,1.6711,1.7167,1.6528,1.7167,484800
1992-05-04,1.7078,1.7167,1.6895,1.7167,159204
1992-05-05,1.7174,1.7174,1.7174,1.7174,0
1992-05-06,1.8364,1.8364,1.7813,1.7813,187200
1992-05-07,1.7813,1.7909,1.7813,1.7813,406404
1992-05-08,1.7813,1.7813,1.7629,1.7813,24000
1992-05-11,1.7629,1.7813,1.7629,1.7629,189600
1992-05-12,1.7629,1.7725,1.7629,1.7725,260004
1992-05-13,1.7813,1.7813,1.7446,1.7446,292800
1992-05-14,1.7629,1.7997,1.7446,1.7813,821604
1992-05-15,1.7997,1.7997,1.7446,1.7725,448800
1992-05-18,1.7629,1.7725,1.7446,1.7725,34404
1992-05-19,1.7725,1.7725,1.7446,1.7629,292800
1992-05-20,1.7629,1.7725,1.7446,1.7725,720804
1992-05-21,1.7541,1.7725,1.7446,1.7725,183204
1992-05-22,1.7629,1.7725,1.7446,1.7725,1551204
1992-05-26,1.7629,1.7629,1.7446,1.7541,473604
1992-05-27,1.7446,1.7446,1.7446,1.7446,171204
1992-05-28,1.7446,1.7446,1.6344,1.6711,513600
1992-05-29,1.6711,1.7078,1.6711,1.7078,681600
1992-06-01,1.6711,1.7078,1.6711,1.7078,280800
1992-06-02,1.7078,1.7078,1.6711,1.7078,84804
1992-06-03,1.6895,1.7446,1.6895,1.7446,977604
1992-06-04,1.7446,1.7629,1.7262,1.7629,688800
1992-06-05,1.7629,1.7629,1.7262,1.7629,852804
1992-06-08,1.7629,1.7997,1.7541,1.7813,955200
1992-06-09,1.7813,1.7813,1.7262,1.7446,783204
1992-06-10,1.7629,1.7813,1.7446,1.7629,1491204
1992-06-11,1.7813,1.7813,1.7629,1.7725,668004
1992-06-12,1.7813,1.7813,1.7629,1.7629,439200
1992-06-15,1.7813,1.7813,1.7446,1.7446,1444800
1992-06-16,1.7629,1.7629,1.7446,1.7446,250404
1992-06-17,1.7446,1.7446,1.6528,1.7078,761604
1992-06-18,1.6528,1.7078,1.5977,1.6160,926400
1992-06-19,1.6160,1.6528,1.6160,1.6344,36804
1992-06-22,1.6344,1.6344,1.5793,1.6160,172800
1992-06-23,1.5977,1.5977,1.5609,1.5977,106404
1992-06-24,1.5426,1.5426,1.5426,1.5426,28800
1992-06-25,1.5426,1.5426,1.5242,1.5242,77604
1992-06-26,1.5242,1.5609,1.5058,1.5242,255204
1992-06-29,1.5338,1.6160,1.5338,1.6160,1275204
1992-06-30,1.6160,1.6160,1.5793,1.6160,336804
1992-07-01,1.5977,1.6160,1.5793,1.5793,113604
1992-07-02,1.6160,1.6160,1.5705,1.5705,117600
1992-07-06,1.5609,1.5609,1.4875,1.5242,852804
1992-07-07,1.5242,1.5609,1.4787,1.5058,202404
1992-07-08,1.5242,1.5242,1.4875,1.5242,115200
1992-07-09,1.4691,1.5242,1.4691,1.5147,543204
1992-07-10,1.5242,1.5242,1.5058,1.5058,345600
1992-07-13,1.4875,1.5242,1.4875,1.5058,1306404
1992-07-14,1.4875,1.5058,1.4875,1.4963,3024000
1992-07-15,1.5058,1.5058,1.4875,1.4963,128004
1992-07-16,1.4875,1.5058,1.4875,1.5058,17604
1992-07-17,1.5058,1.5058,1.4875,1.4875,117600
1992-07-20,1.5058,1.5426,1.4875,1.5242,233604
1992-07-21,1.5977,1.6252,1.5701,1.6120,111464
1992-07-22,1.6252,1.6252,1.5701,1.5844,18400
1992-07-23,1.5977,1.5977,1.5977,1.5977,3200
1992-07-24,1.5977,1.5977,1.5701,1.5701,53600
1992-07-27,1.5977,1.5977,1.5701,1.5701,204800
1992-07-28,1.5701,1.5977,1.5426,1.5701,656800
1992-07-29,1.5977,1.6252,1.5426,1.5977,307200
1992-07-30,1.6252,1.6252,1.5701,1.5701,77600
1992-07-31,1.5977,1.5977,1.5569,1.5977,27200
1992-08-03,1.5426,1.5977,1.5426,1.5977,165600
1992-08-04,1.5977,1.5977,1.5977,1.5977,117600
