Date,Open,High,Low,Close,Volume
1984-09-07,5.0394,5.0394,5.0035,5.0035,11400
1984-09-10,5.0035,5.0394,4.8323,4.8323,7401
1984-09-11,4.8323,4.9013,4.7964,4.8654,27000
1984-09-12,4.7964,4.7964,4.6252,4.6942,7800
1984-09-13,4.6942,4.6942,4.6252,4.6942,10401
1984-09-14,4.7274,4.7964,4.7274,4.7964,10800
1984-09-17,4.7632,4.7632,4.6942,4.6942,1200
1984-09-18,4.6583,4.6583,4.5893,4.5893,10401
1984-09-19,4.5893,4.6583,4.5893,4.5893,15201
1984-09-20,4.5893,4.6252,4.5893,4.6252,10800
1984-09-21,4.6252,4.7274,4.5893,4.5893,9600
1984-09-24,4.5562,4.5562,4.4181,4.4181,22401
1984-09-25,4.3849,4.3849,4.2800,4.2800,40800
1984-09-26,4.2800,4.2800,4.1420,4.1420,14001
1984-09-27,4.1420,4.1420,4.0729,4.1088,6801
1984-09-28,4.1088,4.1779,4.1088,4.1779,3600
1984-10-01,4.1779,4.1779,4.1779,4.1779,2400
1984-10-02,4.1420,4.1420,4.1420,4.1420,3801
1984-10-03,4.1420,4.1779,4.0729,4.1420,35400
1984-10-04,3.5897,3.5897,3.2804,3.3136,156600
1984-10-05,3.3136,3.3826,3.2114,3.3495,120000
1984-10-08,3.3495,3.3495,3.2804,3.3136,64200
1984-10-09,3.3495,3.4185,3.3495,3.4185,79800
1984-10-10,3.4185,3.5207,3.3826,3.4516,47001
1984-10-11,3.4516,3.4875,3.3826,3.4516,6600
1984-10-12,3.4516,3.5207,3.4516,3.4516,19401
1984-10-15,3.4875,3.5897,3.4875,3.5207,215400
1984-10-16,3.4516,3.4516,3.4185,3.4516,6600
1984-10-17,3.4185,3.4185,3.3826,3.3826,3801
1984-10-18,3.3826,3.3826,3.3826,3.3826,5400
1984-10-19,3.4185,3.4875,3.4185,3.4516,87801
1984-10-22,3.5207,3.5207,3.5207,3.5207,201
1984-10-23,3.4516,3.4516,3.4516,3.4516,801
1984-10-24,3.4516,3.4516,3.4185,3.4516,30600
1984-10-25,3.4516,3.4516,3.3826,3.3826,14601
1984-10-26,3.3826,3.4516,3.3826,3.4185,32001
1984-10-29,3.4185,3.4185,3.3136,3.4185,15600
1984-10-30,3.4185,3.4185,3.3826,3.3826,14001
1984-10-31,3.3495,3.3495,3.3495,3.3495,6000
1984-11-01,3.3495,3.3826,3.3495,3.3495,8400
1984-11-02,3.3826,3.4185,3.3826,3.4185,6000
1984-11-05,3.4185,3.4516,3.4185,3.4516,7401
1984-11-06,3.5207,3.6256,3.5207,3.6256,43200
1984-11-07,3.6256,3.7278,3.5897,3.7278,100800
1984-11-08,3.7278,3.7968,3.6946,3.6946,8601
1984-11-09,3.6946,3.7637,3.6946,3.7637,6000
1984-11-12,3.7637,3.7637,3.7278,3.7637,4800
1984-11-13,3.7637,3.7637,3.6587,3.6587,11400
1984-11-14,3.6587,3.6587,3.6587,3.6587,0
1984-11-15,3.6587,3.6587,3.6587,3.6587,6201
1984-11-16,3.6946,3.6946,3.6946,3.6946,801
1984-11-19,3.6256,3.6256,3.5566,3.5566,1401
1984-11-20,3.4875,3.4875,3.4185,3.4185,75801
1984-11-21,3.3495,3.3495,3.3136,3.3495,3201
1984-11-23,3.3136,3.3136,3.1755,3.3136,43200
1984-11-26,3.3136,3.3136,3.2804,3.2804,137601
1984-11-27,3.2445,3.2445,2.8303,2.9684,207600
1984-11-28,2.8994,2.8994,2.7972,2.7972,232800
1984-11-29,2.7972,2.7972,2.6591,2.6591,213600
1984-11-30,2.6591,2.7613,2.6232,2.7613,60801
1984-12-03,2.7613,2.9684,2.7613,2.9684,57000
1984-12-04,2.8994,2.8994,2.7613,2.7972,97200
1984-12-05,2.7972,2.8303,2.7613,2.7613,127200
1984-12-06,2.7613,2.8303,2.7613,2.7972,7800
1984-12-07,2.7613,2.7613,2.7613,2.7613,6000
1984-12-10,2.7613,2.7613,2.7613,2.7613,16800
1984-12-11,2.7613,2.7972,2.6923,2.7972,23001
1984-12-12,2.7972,2.7972,2.6923,2.7972,29601
1984-12-13,2.7972,2.7972,2.6923,2.7613,107400
1984-12-14,2.7613,2.7613,2.7282,2.7613,34401
1984-12-17,2.7613,2.7972,2.6923,2.7972,12000
1984-12-18,2.7972,2.8994,2.7613,2.8994,16401
1984-12-19,2.9684,3.0374,2.9684,3.0374,31200
1984-12-20,3.0374,3.0374,2.9353,2.9353,42000
1984-12-21,2.8994,2.8994,2.8303,2.8303,12000
1984-12-24,2.8994,2.9353,2.8994,2.8994,48600
1984-12-26,2.9684,3.0043,2.9684,3.0043,3600
1984-12-27,2.9684,2.9684,2.8662,2.8662,26001
1984-12-28,2.8662,2.9684,2.8662,2.9353,219801
1984-12-31,2.9353,3.1424,2.9353,3.1424,44400
1985-01-02,3.1755,3.2114,3.1755,3.2114,1800
1985-01-03,3.0803,3.0803,3.0443,3.0443,29001
1985-01-04,3.0111,3.0111,2.9751,2.9751,22401
1985-01-07,2.9751,2.9751,2.9751,2.9751,0
1985-01-08,2.9751,2.9751,2.8036,2.8036,6201
1985-01-09,2.7676,2.7676,2.7676,2.7676,19401
1985-01-10,2.7676,2.8368,2.7344,2.8368,9000
1985-01-11,2.8368,2.9060,2.8368,2.8727,9600
1985-01-14,2.9060,3.0803,2.9060,3.0443,23400
1985-01-15,3.1135,3.3211,3.1135,3.2879,58800
1985-01-16,3.2879,3.3211,3.2879,3.2879,5400
1985-01-17,3.2519,3.2519,3.2187,3.2187,3600
1985-01-18,3.2187,3.2879,3.2187,3.2879,8001
1985-01-21,3.2879,3.3571,3.1495,3.1495,12201
1985-01-22,3.0803,3.0803,2.8727,2.8727,189201
1985-01-23,2.8727,3.0111,2.8368,3.0111,97800
1985-01-24,3.0111,3.2187,3.0111,3.2187,54201
1985-01-25,3.2187,3.2187,3.1827,3.1827,19800
1985-01-28,3.1827,3.2879,3.1135,3.2879,51600
1985-01-29,3.2879,3.2879,3.1135,3.2187,42600
1985-01-30,3.2519,3.3903,3.2519,3.3211,124800
1985-01-31,3.3211,3.3571,3.2519,3.2519,134400
1985-02-01,3.1827,3.1827,3.0443,3.1495,489201
1985-02-04,3.1495,3.1495,2.9060,3.0443,218001
1985-02-05,3.1135,3.2879,3.1135,3.2187,53001
1985-02-06,3.2519,3.5287,3.2519,3.5287,69000
