Date,Open,High,Low,Close,Volume
2014-07-31,18.7616,19.5773,18.4353,18.7616,56477500
2014-08-01,18.6800,18.7616,18.4924,18.7616,6458100
2014-08-04,18.8432,18.8676,18.6800,18.7616,3453900
2014-08-05,18.7534,18.7697,18.4924,18.7616,4449000
2014-08-06,18.5984,18.7453,18.4924,18.7453,6993400
2014-08-07,18.6719,18.7616,18.5984,18.7045,3186900
2014-08-08,18.7045,18.7861,18.5984,18.7208,2855000
2014-08-11,18.6800,18.7045,18.5984,18.7045,1767500
2014-08-12,18.6719,18.7616,18.6229,18.7616,1549700
2014-08-13,18.7616,18.9492,18.6637,18.9084,1659100
2014-08-14,18.9247,18.9410,18.7208,18.7697,1391700
2014-08-15,18.7779,18.8268,18.7616,18.7616,1948100
2014-08-18,18.8105,18.9003,18.7779,18.9003,1073700
2014-08-19,18.9247,19.9281,18.9247,19.9118,2851800
2014-08-20,19.8220,20.8743,19.7894,20.5480,3544500
2014-08-21,20.7764,20.8172,20.3278,20.7112,2358000
2014-08-22,20.5970,20.7438,20.4746,20.6867,891600
2014-08-25,20.6948,20.7193,20.2951,20.4909,1185400
2014-08-26,20.3930,20.4746,20.3441,20.4338,951000
2014-08-27,20.3930,20.8335,20.3522,20.7764,1230600
2014-08-28,20.7193,21.0782,20.6459,20.9559,981700
2014-08-29,21.0538,21.1598,20.7601,21.0375,981200
2014-09-02,20.9640,21.1272,20.8172,21.0375,1873200
2014-09-03,21.2006,21.2088,20.9069,21.0375,996500
2014-09-04,20.8254,21.0048,20.8090,20.9640,1117500
2014-09-05,20.9640,21.2251,20.8988,21.0211,1089800
2014-09-08,21.0619,21.1924,20.0831,20.2625,2534800
2014-09-09,20.6377,20.8825,20.1483,20.4257,3608600
2014-09-10,20.5480,20.6459,20.1402,20.1483,1974600
2014-09-11,20.1891,20.4093,20.0912,20.1075,2029100
2014-09-12,20.0096,20.1891,19.9362,19.9852,1106800
2014-09-15,19.8628,19.8873,19.5121,19.6997,1125600
2014-09-16,19.7731,19.8710,19.4794,19.8302,1512100
2014-09-17,19.9444,20.1402,19.8710,20.0260,940400
2014-09-18,20.0423,20.2625,20.0341,20.1238,879100
2014-09-19,20.2707,20.7927,20.1565,20.7275,5257900
2014-09-22,20.6214,20.6867,20.1891,20.2625,735765
2014-09-23,20.1157,20.1483,19.7241,20.0504,939952
2014-09-24,20.1728,20.3930,20.1279,20.3278,964606
2014-09-25,20.3767,20.3767,20.0749,20.0912,1349775
2014-09-26,20.0749,20.2299,19.8547,20.2054,1252820
2014-09-29,20.0423,20.2095,19.8547,20.1483,1482038
2014-09-30,20.2870,20.4909,19.7486,20.0260,8795069
2014-10-01,19.9362,20.0586,19.7241,19.7568,1196643
2014-10-02,19.8628,20.1402,19.3815,20.0504,1252964
2014-10-03,20.2136,20.4664,19.9118,20.2544,1737477
2014-10-06,20.2788,20.4787,20.1891,20.3930,1057137
2014-10-07,20.3441,20.3661,20.0260,20.2707,803747
2014-10-08,20.2380,20.4093,20.1483,20.4093,1074471
2014-10-09,20.4093,20.4420,19.9281,20.0260,2536330
2014-10-10,19.9852,20.1646,19.6915,19.7405,1561676
2014-10-13,19.7894,20.2054,19.7405,19.9525,1726060
2014-10-14,20.0912,20.3522,20.0505,20.2707,1036448
2014-10-15,20.1809,20.3686,19.6018,20.0015,1529454
2014-10-16,19.7405,20.2299,19.6834,20.0667,1888961
2014-10-17,20.1646,20.4746,20.1075,20.2136,981663
2014-10-20,20.1891,20.2748,19.9036,20.1565,938297
2014-10-21,20.2054,20.6051,20.1565,20.5317,1699674
2014-10-22,20.5970,20.7601,20.5154,20.7030,1546051
2014-10-23,20.7764,21.1353,20.7519,21.0538,970103
2014-10-24,21.0048,21.5024,21.0048,21.2985,1223120
2014-10-27,21.2740,21.8564,21.2251,21.6411,1011418
2014-10-28,21.8042,22.1082,21.7002,21.9021,1002285
2014-10-29,21.8695,22.0897,21.7553,22.0245,730107
2014-10-30,22.0897,22.3895,21.6248,21.8532,1038922
2014-10-31,22.0653,22.1142,21.9021,22.0408,934642
2014-11-03,22.0897,22.6444,21.9021,22.3018,983695
2014-11-04,22.2692,22.3915,21.4127,22.0326,999259
2014-11-05,22.1795,22.4323,21.7806,22.4079,587333
2014-11-06,22.4405,22.6526,22.2447,22.4976,993082
2014-11-07,22.6118,22.9789,22.2284,22.9626,1165771
2014-11-10,23.0278,23.5499,22.8402,23.4683,1474182
2014-11-11,23.4928,23.8680,23.4112,23.7456,1643700
2014-11-12,23.6559,23.7864,23.3629,23.6804,1033749
2014-11-13,23.6641,23.8435,23.5091,23.6478,1656777
2014-11-14,23.5907,24.1127,23.5336,23.6967,1912049
2014-11-17,23.6967,23.8598,23.5172,23.7620,1010340
2014-11-18,23.8272,24.0067,23.4805,23.6151,948922
2014-11-19,23.6478,23.6559,23.3704,23.6070,2141818
2014-11-20,23.6233,23.9414,23.5825,23.8517,1300558
2014-11-21,23.9006,23.9822,23.6641,23.7946,1003929
2014-11-24,23.8762,23.9904,23.5336,23.6314,1177464
2014-11-25,23.5988,23.9169,22.8647,23.3786,5938515
2014-11-26,23.5172,23.7212,23.4438,23.4928,1327421
2014-11-28,23.4520,23.6804,23.4520,23.6641,425175
2014-12-01,23.6559,23.7620,23.4357,23.5580,1020970
2014-12-02,23.6070,23.9047,23.5639,23.6967,1091159
2014-12-03,23.7538,23.7701,23.5743,23.6559,730226
2014-12-04,23.6641,23.9333,23.5825,23.7783,828984
2014-12-05,23.8843,23.8925,23.5988,23.8598,818673
2014-12-08,23.8925,24.3411,23.6722,24.0719,1644063
2014-12-09,24.0882,24.1739,23.8170,24.0801,1086930
2014-12-10,24.1046,24.3901,24.0638,24.1861,759983
2014-12-11,24.2024,24.4716,24.0083,24.0801,1057901
2014-12-12,23.9251,24.0475,23.5988,23.6559,1632487
2014-12-15,23.7783,23.8272,22.9707,23.3541,1310487
2014-12-16,23.3296,23.3786,22.9626,23.1991,2241546
2014-12-17,23.2644,23.6478,23.1012,23.5743,1311935
2014-12-18,23.9659,24.3738,23.6070,24.2677,1015666
2014-12-19,24.3248,24.5124,24.3003,24.4716,1338635
2014-12-22,24.1535,24.4472,24.0679,24.3493,770971
2014-12-23,24.5043,24.7164,24.2432,24.4716,504084
2014-12-24,24.5614,24.6103,24.4472,24.5614,78580
2014-12-26,24.6103,24.9774,24.5255,24.8795,426545
2014-12-29,24.8387,24.9937,24.6919,24.8469,299211
2014-12-30,24.8713,24.8795,24.3819,24.4716,518111
2014-12-31,24.5614,24.5777,24.2106,24.2677,429964
2015-01-02,24.3003,24.3085,23.9414,24.0475,579959
2015-01-05,23.9659,24.1617,23.3949,23.8598,1593916
2015-01-06,23.9822,24.0067,23.2073,23.5336,2198339
2015-01-07,24.0801,24.2106,23.5825,23.8191,1365129
2015-01-08,24.0882,24.5532,24.0556,24.4553,835026
2015-01-09,24.5287,24.5287,24.0556,24.2269,472157
2015-01-12,24.2759,24.3085,24.0882,24.0882,756826
2015-01-13,24.2840,24.4716,24.0311,24.2351,630157
2015-01-14,23.9740,24.1453,23.7130,23.7783,866825
2015-01-15,23.8109,23.8598,22.7749,23.2644,1094307
2015-01-16,23.1175,23.6967,23.0082,23.6478,425216
2015-01-20,23.6478,23.8150,23.3378,23.7375,958207
2015-01-21,23.7375,23.8925,23.6314,23.8027,863735
2015-01-22,23.8354,24.0638,23.1910,23.6967,2514827
2015-01-23,24.4716,26.1031,23.6559,25.2629,3174311
2015-01-26,25.1242,25.6626,25.0590,25.5565,3123229
2015-01-27,25.4423,25.6951,25.1976,25.5484,1401782
2015-01-28,25.9073,25.9073,25.3689,25.4913,1038068
2015-01-29,25.4668,25.6871,25.2874,25.4750,1383433
2015-01-30,25.3771,25.5565,25.0997,25.1732,1255059
2015-02-02,25.1568,25.4423,25.0345,25.4179,758830
2015-02-03,25.5321,25.6952,25.2547,25.3934,919994
2015-02-04,25.3771,25.5973,25.2710,25.4913,1276172
2015-02-05,25.5076,26.1683,25.3934,26.1031,1114358
2015-02-06,26.1602,26.6578,26.0745,26.2173,1115925
2015-02-09,26.2010,26.4334,26.1112,26.4294,1118072
2015-02-10,26.6088,27.0248,26.4049,27.0085,2354003
2015-02-11,27.1227,27.4164,26.9270,27.3674,2110842
2015-02-12,27.5224,27.7019,27.3511,27.4164,2334621
2015-02-13,27.2369,27.3838,26.6088,26.7557,1234821
2015-02-17,26.7557,26.7638,25.9807,26.0378,1728014
2015-02-18,25.9399,26.2662,25.8992,26.0297,1054540
2015-02-19,26.0541,26.1683,25.9318,26.0052,556185
2015-02-20,26.0705,26.7312,25.8380,26.5844,2082271
2015-02-23,26.5599,26.6829,26.3070,26.6088,868710
2015-02-24,26.4783,26.9188,26.0297,26.3967,1028756
2015-02-25,26.3723,26.5844,26.1847,26.3396,672495
2015-02-26,26.5354,26.6822,26.3967,26.4702,356757
2015-02-27,26.4049,26.5517,26.0460,26.0623,553121
2015-03-02,25.8339,26.1357,25.4678,26.0705,785989
2015-03-03,26.2336,26.3070,25.9807,26.2173,484593
2015-03-04,26.1439,26.1439,25.9563,26.0134,439583
2015-03-05,26.0868,26.4865,25.9236,26.0705,485965
2015-03-06,26.0541,26.1031,25.4423,25.4505,694099
2015-03-09,25.5647,26.2295,25.4913,26.0868,776250
2015-03-10,25.9399,26.0460,25.3567,25.3689,912289
2015-03-11,25.4913,25.8747,25.3771,25.7360,588889
2015-03-12,25.9236,26.1194,25.7442,26.0134,503184
2015-03-13,25.9970,26.0541,25.4994,25.9563,889927
2015-03-16,26.1031,26.1031,25.9318,26.0623,628174
2015-03-17,25.8420,26.4620,25.7605,26.2907,818485
2015-03-18,26.2744,26.2744,25.8013,26.0378,630626
2015-03-19,26.0378,26.4294,25.9726,26.4049,657002
2015-03-20,26.5109,26.8250,26.2744,26.3070,1498010
2015-03-23,26.2581,26.5354,25.9155,25.9236,653907
2015-03-24,25.9236,26.0378,25.6952,25.8176,723565
2015-03-25,25.5973,25.7034,25.1487,25.2221,1175374
2015-03-26,25.2955,25.3118,24.7735,24.9692,887918
2015-03-27,25.0753,25.0753,24.4145,24.5206,960646
2015-03-30,24.6022,24.8061,24.5206,24.7082,577155
2015-03-31,24.6674,24.8713,24.4472,24.7571,1384355
2015-04-01,24.5777,25.0345,24.3982,24.8061,1138728
2015-04-02,24.7979,25.0508,24.6674,24.9692,841350
2015-04-06,24.8795,25.1486,24.2188,24.3411,1070757
2015-04-07,24.5777,25.0590,24.0638,24.2759,1467380
2015-04-08,24.3085,24.5940,24.2494,24.4472,734317
2015-04-09,24.4880,24.7571,24.3901,24.5858,839598
2015-04-10,24.6674,25.0834,24.5940,24.9529,1288773
2015-04-13,24.8877,25.1283,24.7979,24.9937,1199517
2015-04-14,25.0182,25.1568,24.8877,24.8958,806462
2015-04-15,24.8877,25.1324,24.8632,25.0263,389864
2015-04-16,25.0426,25.2384,24.7164,25.0997,1208431
2015-04-17,25.2874,25.2874,24.6511,24.8958,1362547
2015-04-20,25.3689,25.5158,24.9611,25.2058,2179450
2015-04-21,25.2710,25.5729,25.2058,25.4505,1879755
2015-04-22,25.9399,26.1357,25.3037,25.3200,2040650
2015-04-23,25.7115,25.7360,25.1487,25.2547,1391268
2015-04-24,25.2303,25.3852,24.9855,25.1405,661697
2015-04-27,25.1487,25.2955,24.9284,24.9774,625480
2015-04-28,25.1324,25.1895,24.8795,25.0100,567723
2015-04-29,24.9366,25.3363,24.6919,25.0753,1600425
2015-04-30,25.0508,25.6136,24.9937,25.4097,1228557
2015-05-01,25.6055,25.7360,25.4872,25.7115,594781
2015-05-04,25.7360,25.8747,25.6544,25.8665,609980
2015-05-05,26.0215,26.3070,25.8910,26.0541,1271574
2015-05-06,26.2418,26.2907,25.9236,26.1765,943264
2015-05-07,26.1520,26.6415,25.9481,26.6333,1095478
2015-05-08,26.6986,27.0901,26.6251,27.0819,936180
2015-05-11,27.0575,27.1717,26.7434,26.8291,549231
2015-05-12,26.3804,27.1961,26.1357,27.0167,2022512
2015-05-13,27.0167,27.2614,26.7067,26.8372,1075821
2015-05-14,26.9025,27.0248,26.4049,26.7312,1448969
2015-05-15,26.8046,26.8413,25.9114,25.9481,1300124
2015-05-18,25.9563,25.9970,25.6952,25.9726,796481
2015-05-19,25.9726,26.1520,25.9401,26.1520,743144
2015-05-20,26.2581,26.7230,26.0917,26.6333,634498
2015-05-21,26.5844,26.7393,26.4212,26.4865,430394
