Date,Open,High,Low,Close,Volume
1984-07-19,0.6183,0.6195,0.6144,0.6144,934800
1984-07-20,0.6169,0.6209,0.6131,0.6157,1557600
1984-07-23,0.6131,0.6183,0.6079,0.6157,3313200
1984-07-24,0.6183,0.6248,0.6169,0.6209,1549200
1984-07-25,0.6209,0.6350,0.6195,0.6286,1828800
1984-07-26,0.6286,0.6416,0.6248,0.6260,4942800
1984-07-27,0.6248,0.6248,0.6195,0.6195,1039200
1984-07-30,0.6183,0.6234,0.6157,0.6195,1165200
1984-07-31,0.6195,0.6286,0.6183,0.6286,1059600
1984-08-01,0.6260,0.6441,0.6248,0.6441,2842800
1984-08-02,0.6416,0.6714,0.6260,0.6648,3843600
1984-08-03,0.6623,0.6700,0.6545,0.6597,3099600
1984-08-06,0.6571,0.6571,0.6416,0.6416,2974800
1984-08-07,0.6403,0.6493,0.6390,0.6416,3500400
1984-08-08,0.6428,0.6455,0.6390,0.6390,2011200
1984-08-09,0.6403,0.6493,0.6390,0.6455,1474800
1984-08-10,0.6467,0.6545,0.6467,0.6493,2324400
1984-08-13,0.6493,0.6506,0.6441,0.6493,1255200
1984-08-14,0.6467,0.6519,0.6467,0.6480,1123200
1984-08-15,0.6455,0.6532,0.6441,0.6467,1593600
1984-08-16,0.6441,0.6519,0.6428,0.6493,748800
1984-08-17,0.6506,0.6545,0.6441,0.6493,841200
1984-08-20,0.6493,0.6583,0.6493,0.6583,1508400
1984-08-21,0.6558,0.6700,0.6545,0.6661,2520000
1984-08-22,0.6635,0.6674,0.6623,0.6648,916800
1984-08-23,0.6623,0.6635,0.6597,0.6610,1303200
1984-08-24,0.6610,0.6610,0.6571,0.6583,3434400
1984-08-27,0.6558,0.6597,0.6532,0.6558,800400
1984-08-28,0.6558,0.6597,0.6558,0.6571,672000
1984-08-29,0.6571,0.6610,0.6571,0.6571,1238400
1984-08-30,0.6545,0.6571,0.6532,0.6558,860400
1984-08-31,0.6545,0.6571,0.6545,0.6571,1142400
1984-09-04,0.6558,0.6571,0.6532,0.6545,488400
1984-09-05,0.6519,0.6532,0.6493,0.6493,1646400
1984-09-06,0.6532,0.6597,0.6519,0.6571,9136800
1984-09-07,0.6583,0.6597,0.6545,0.6545,850800
1984-09-10,0.6519,0.6583,0.6506,0.6571,5924400
1984-09-11,0.6532,0.6558,0.6532,0.6532,4959600
1984-09-12,0.6532,0.6571,0.6532,0.6558,520800
1984-09-13,0.6583,0.6648,0.6545,0.6623,8888400
1984-09-14,0.6674,0.6688,0.6635,0.6661,1719600
1984-09-17,0.6635,0.6688,0.6610,0.6648,8122800
1984-09-18,0.6661,0.6674,0.6635,0.6635,1195200
1984-09-19,0.6635,0.6765,0.6623,0.6714,10376400
1984-09-20,0.6714,0.6816,0.6700,0.6765,4149600
1984-09-21,0.6765,0.6829,0.6765,0.6790,17424000
1984-09-24,0.6661,0.6700,0.6648,0.6648,4518000
1984-09-25,0.6635,0.6688,0.6597,0.6661,1038000
1984-09-26,0.6648,0.6700,0.6635,0.6661,882000
1984-09-27,0.6674,0.6700,0.6648,0.6661,2452800
1984-09-28,0.6674,0.6700,0.6661,0.6688,1099200
1984-10-01,0.6688,0.6714,0.6674,0.6688,2667600
1984-10-02,0.6674,0.6700,0.6661,0.6688,2679600
1984-10-03,0.6688,0.6688,0.6661,0.6661,1186800
1984-10-04,0.6674,0.6674,0.6648,0.6661,645600
1984-10-05,0.6661,0.6674,0.6610,0.6623,1424400
1984-10-08,0.6635,0.6635,0.6558,0.6571,387600
1984-10-09,0.6583,0.6610,0.6545,0.6558,697200
1984-10-10,0.6571,0.6583,0.6545,0.6571,1156800
1984-10-11,0.6583,0.6623,0.6571,0.6597,945600
1984-10-12,0.6623,0.6688,0.6623,0.6674,1153200
1984-10-15,0.6674,0.6790,0.6661,0.6778,2437200
1984-10-16,0.6778,0.6829,0.6778,0.6829,1532400
1984-10-17,0.6829,0.6933,0.6816,0.6907,1105200
1984-10-18,0.6945,0.7036,0.6933,0.7024,2139600
1984-10-19,0.7088,0.7166,0.7062,0.7114,2269200
1984-10-22,0.7101,0.7114,0.7011,0.7024,918000
1984-10-23,0.6985,0.6985,0.6726,0.6790,4645200
1984-10-24,0.6804,0.6816,0.6726,0.6726,2960400
1984-10-25,0.6752,0.6843,0.6726,0.6829,3832800
1984-10-26,0.6790,0.6804,0.6765,0.6778,1412400
1984-10-29,0.6752,0.6790,0.6726,0.6790,1432800
1984-10-30,0.6752,0.6804,0.6738,0.6778,1582800
1984-10-31,0.6752,0.6804,0.6738,0.6778,1681200
1984-11-01,0.6752,0.6804,0.6752,0.6778,2248800
1984-11-02,0.6765,0.6829,0.6765,0.6804,1880400
1984-11-05,0.6778,0.6829,0.6778,0.6790,1656000
1984-11-06,0.6790,0.6881,0.6790,0.6869,2364000
1984-11-07,0.6881,0.6894,0.6816,0.6829,2061600
1984-11-08,0.6804,0.6816,0.6752,0.6778,1171200
1984-11-09,0.6790,0.6829,0.6752,0.6752,1527600
1984-11-12,0.6752,0.6752,0.6726,0.6726,607200
1984-11-13,0.6700,0.6714,0.6648,0.6661,708000
1984-11-14,0.6661,0.6674,0.6610,0.6661,2053200
1984-11-15,0.6688,0.6765,0.6688,0.6738,2473200
1984-11-16,0.6752,0.6778,0.6738,0.6752,2316000
1984-11-19,0.6752,0.6765,0.6714,0.6714,1629600
1984-11-20,0.6738,0.6778,0.6726,0.6778,1586400
1984-11-21,0.6778,0.6843,0.6765,0.6816,1113600
1984-11-23,0.6843,0.7036,0.6843,0.7011,1538400
1984-11-26,0.7036,0.7062,0.6998,0.7011,2275200
1984-11-27,0.7024,0.7088,0.7011,0.7049,2329200
1984-11-28,0.7049,0.7179,0.7024,0.7024,3546000
1984-11-29,0.7011,0.7036,0.6959,0.6971,2065200
1984-11-30,0.6959,0.6959,0.6894,0.6894,1332000
1984-12-03,0.6907,0.6933,0.6894,0.6921,1128000
1984-12-04,0.6894,0.6921,0.6881,0.6881,1030800
1984-12-05,0.6894,0.6907,0.6881,0.6881,1162800
1984-12-06,0.6881,0.6933,0.6881,0.6881,874800
1984-12-07,0.6869,0.6907,0.6855,0.6869,556800
1984-12-10,0.6869,0.6894,0.6829,0.6894,1146000
1984-12-11,0.6907,0.6933,0.6894,0.6921,698400
1984-12-12,0.6921,0.6933,0.6881,0.6894,1358400
1984-12-13,0.6869,0.6933,0.6869,0.6894,1278000
1984-12-14,0.6894,0.7036,0.6894,0.7011,1268400
1984-12-17,0.7011,0.7126,0.7011,0.7126,2233200
1984-12-18,0.7243,0.7347,0.7218,0.7334,3314400
1984-12-19,0.7321,0.7399,0.7321,0.7321,1642800
