Date,Open,High,Low,Close,Volume
1984-09-07,2.2414,2.2611,2.2200,2.2414,44200
1984-09-10,2.2200,2.2200,2.2200,2.2200,62200
1984-09-11,2.2200,2.2414,2.2200,2.2200,21200
1984-09-12,2.2414,2.2414,2.2414,2.2414,53600
1984-09-13,2.2825,2.2825,2.2825,2.2825,49800
1984-09-14,2.2825,2.3236,2.2825,2.3023,106000
1984-09-17,2.3236,2.3434,2.3236,2.3236,87400
1984-09-18,2.3236,2.3236,2.3236,2.3236,93000
1984-09-19,2.4881,2.5078,2.4881,2.4881,346200
1984-09-20,2.5292,2.5900,2.5292,2.5292,654000
1984-09-21,2.5292,2.5489,2.4059,2.4256,140200
1984-09-24,2.4667,2.4881,2.4667,2.4667,125200
1984-09-25,2.4667,2.4881,2.4667,2.4667,37800
1984-09-26,2.4667,2.4881,2.4470,2.4470,100800
1984-09-27,2.4667,2.4667,2.4667,2.4667,62000
1984-09-28,2.4667,2.4667,2.3845,2.3845,47200
1984-10-01,2.4256,2.4470,2.4256,2.4256,155200
1984-10-02,2.4256,2.4256,2.3647,2.3647,95400
1984-10-03,2.3647,2.3845,2.3236,2.3236,423800
1984-10-04,2.3236,2.3647,2.3236,2.3236,39600
1984-10-05,2.3236,2.3647,2.3236,2.3434,25800
1984-10-08,2.3845,2.3845,2.3845,2.3845,17800
1984-10-09,2.3845,2.3845,2.3647,2.3647,69200
1984-10-10,2.3647,2.3647,2.3434,2.3434,16800
1984-10-11,2.3845,2.4470,2.3845,2.3845,22200
1984-10-12,2.3845,2.4470,2.3647,2.4256,49600
1984-10-15,2.4881,2.5292,2.4881,2.4881,136000
1984-10-16,2.4881,2.5078,2.4059,2.4059,101600
1984-10-17,2.4470,2.4470,2.4470,2.4470,12600
1984-10-18,2.5292,2.5292,2.5292,2.5292,50400
1984-10-19,2.5292,2.5489,2.4881,2.4881,56000
1984-10-22,2.4881,2.4881,2.4667,2.4667,36600
1984-10-23,2.4667,2.4881,2.4256,2.4256,54800
1984-10-24,2.4667,2.4881,2.4667,2.4667,49200
1984-10-25,2.4667,2.5078,2.4470,2.4470,159200
1984-10-26,2.4470,2.4470,2.4059,2.4256,34800
1984-10-29,2.4256,2.4667,2.4256,2.4256,57000
1984-10-30,2.4881,2.5292,2.4881,2.4881,139600
1984-10-31,2.4881,2.5078,2.4667,2.4667,52800
1984-11-01,2.4667,2.5078,2.4256,2.4256,117600
1984-11-02,2.4256,2.4256,2.4059,2.4256,45000
1984-11-05,2.4881,2.5078,2.4881,2.4881,80000
1984-11-06,2.4881,2.5078,2.4667,2.4667,18200
1984-11-07,2.5292,2.5489,2.5292,2.5292,114800
1984-11-08,2.5900,2.5900,2.5900,2.5900,144800
1984-11-09,2.5900,2.6311,2.5703,2.5900,326800
1984-11-12,2.5900,2.6114,2.5900,2.5900,49400
1984-11-13,2.5900,2.6114,2.5489,2.5489,103200
1984-11-14,2.5489,2.5703,2.5489,2.5489,90000
1984-11-15,2.5489,2.5900,2.5489,2.5489,232600
1984-11-16,2.5900,2.6311,2.5900,2.5900,87200
