Date,Open,High,Low,Close,Volume
2006-03-15,9.4035,9.6940,9.2072,9.4624,7251200
2006-03-16,9.4624,9.5606,9.3799,9.5291,649100
2006-03-17,9.5213,9.8629,9.4820,9.8197,287000
2006-03-20,9.8825,10.0553,9.7176,9.7765,282800
2006-03-21,9.7726,9.7726,9.4231,9.5017,274700
2006-03-22,9.4428,9.5409,9.4231,9.4860,103000
2006-03-23,9.4585,9.5017,9.4192,9.4624,106200
2006-03-24,9.5409,9.8118,9.5174,9.6194,101300
2006-03-27,9.6783,10.1102,9.5998,9.7176,111700
2006-03-28,9.7098,9.7608,9.6391,9.6980,115400
2006-03-29,9.7961,9.8354,9.7176,9.7765,81900
2006-03-30,9.7961,9.9924,9.7961,9.9924,132400
2006-03-31,10.0121,10.1927,10.0121,10.1102,100100
2006-04-03,10.1299,10.1299,9.7372,9.7765,291800
2006-04-04,9.7726,9.7765,9.6980,9.7372,220200
2006-04-05,9.7176,9.7215,9.6705,9.6901,122200
2006-04-06,9.6194,9.6901,9.4428,9.5213,130100
2006-04-07,9.5213,9.5213,9.3839,9.4663,33700
2006-04-10,9.4428,9.5606,9.4271,9.5448,43800
2006-04-11,9.5331,9.5331,9.4035,9.4624,163800
2006-04-12,9.9532,9.9532,9.4506,9.4624,664800
2006-04-13,9.4820,9.5998,9.4271,9.5723,214700
2006-04-17,9.5763,9.6980,9.5763,9.6587,203100
2006-04-18,9.6273,9.6509,9.4153,9.5213,186400
2006-04-19,9.5213,9.8158,9.5213,9.7176,241600
2006-04-20,9.7372,10.1848,9.7098,10.0513,166400
2006-04-21,10.0906,10.2477,9.8982,9.9924,401800
2006-04-24,9.9924,10.1691,9.9336,10.0160,92400
2006-04-25,10.0042,10.2869,10.0042,10.1299,232500
2006-04-26,10.0710,10.2084,10.0121,10.1102,145000
2006-04-27,10.1142,10.1495,9.9178,9.9689,52300
2006-04-28,9.9689,9.9728,9.4742,9.7098,232200
2006-05-01,9.7098,9.8825,9.7098,9.8707,151000
2006-05-02,9.8747,9.8943,9.7137,9.7176,124000
2006-05-03,9.7176,9.7215,9.6430,9.6666,110100
2006-05-04,9.6273,9.6626,9.4663,9.6509,95500
2006-05-05,9.6194,9.6744,9.5095,9.6391,104900
2006-05-08,9.6194,9.8158,9.6037,9.7608,106200
2006-05-09,9.7686,9.8158,9.6783,9.7844,85400
2006-05-10,9.8354,9.8550,9.7294,9.8118,74200
2006-05-11,9.8511,10.1299,9.8158,10.1299,57100
2006-05-12,9.9728,10.0121,9.7922,10.0003,49300
2006-05-15,9.9689,9.9728,9.8707,9.9257,72200
2006-05-16,9.9139,10.1063,9.9100,10.0278,84600
2006-05-17,9.9924,9.9924,9.9139,9.9728,98200
2006-05-18,9.9453,10.0828,9.9453,9.9767,68800
2006-05-19,9.9375,9.9728,9.8354,9.9728,165700
2006-05-22,9.9571,10.0239,9.8393,10.0160,66100
2006-05-23,9.9532,9.9924,9.9021,9.9139,47300
2006-05-24,9.8943,9.9728,9.7726,9.9336,37600
2006-05-25,9.9139,9.9375,9.7804,9.8472,50200
2006-05-26,9.8158,9.8354,9.7922,9.8158,44200
2006-05-30,9.8079,9.8472,9.7294,9.8079,68500
2006-05-31,9.8158,9.9296,9.7961,9.8904,69000
2006-06-01,9.8511,10.2084,9.8236,10.2084,40100
2006-06-02,10.1691,10.4047,10.1299,10.4047,69500
2006-06-05,10.3654,10.4165,10.2830,10.3969,67400
2006-06-06,10.3969,10.3969,10.1966,10.2280,62300
2006-06-07,10.2280,10.2673,10.0710,10.1574,52700
2006-06-08,10.1181,10.1377,9.9532,10.1377,40600
2006-06-09,10.1495,10.1731,9.7372,9.7372,145000
2006-06-12,9.7569,9.7569,9.3250,9.4271,55300
2006-06-13,9.3799,9.4271,9.0384,9.0462,301500
2006-06-14,9.0305,9.0305,8.4101,8.7282,230800
2006-06-15,8.7674,8.8695,8.7085,8.8146,185600
2006-06-16,8.8381,9.2661,8.8342,9.2072,90600
2006-06-19,9.2857,9.3839,8.5790,8.9912,105100
2006-06-20,9.0815,9.3368,8.9598,9.2936,62300
2006-06-21,9.2739,9.6587,9.2072,9.5959,49000
2006-06-22,9.6312,9.7569,9.6234,9.6705,35900
2006-06-23,9.6980,10.1652,9.6666,9.9650,86700
2006-06-26,9.9728,10.2594,9.9493,10.2320,36400
2006-06-27,10.1416,10.4950,10.1416,10.2516,118100
2006-06-28,10.2712,10.2712,9.9846,10.0003,106100
2006-06-29,10.0003,10.2084,10.0003,10.1613,91600
2006-06-30,10.1691,10.1691,9.4035,9.4035,765000
2006-07-03,9.5017,9.5802,9.1483,9.2386,173500
2006-07-05,9.1993,9.2386,9.0698,9.2190,54900
2006-07-06,9.2190,9.2268,9.0030,9.0462,83100
2006-07-07,9.0148,9.1483,8.9834,9.0305,72800
2006-07-10,9.0305,9.1247,9.0187,9.0933,42200
2006-07-11,9.0776,9.2190,9.0501,9.2150,51200
2006-07-12,9.2111,9.2936,9.0698,9.2464,60800
2006-07-13,9.1993,9.3289,9.1444,9.2190,52400
2006-07-14,9.1169,9.1640,8.9284,9.0737,42300
2006-07-17,9.0698,9.1679,9.0619,9.1051,28900
2006-07-18,9.1090,9.2857,9.1051,9.2857,21700
