Date,Open,High,Low,Close,Volume
1992-12-09,0.8290,0.8290,0.8159,0.8159,520000
1992-12-10,0.8422,0.8422,0.7895,0.8159,292800
1992-12-11,0.7895,0.8159,0.7895,0.7895,97600
1992-12-14,0.8159,0.8159,0.7895,0.7895,536000
1992-12-15,0.7895,0.8027,0.7632,0.7632,435200
1992-12-16,0.7632,0.8027,0.7632,0.7632,142400
1992-12-17,0.7895,0.8027,0.7632,0.8027,168000
1992-12-18,0.8027,0.8290,0.7764,0.7895,536000
1992-12-21,0.8290,0.8290,0.7632,0.8290,507200
1992-12-22,0.7895,0.8553,0.7895,0.8290,1345600
1992-12-23,0.8553,0.9343,0.8159,0.9148,2777600
1992-12-24,0.9211,0.9211,0.8948,0.9211,459200
1992-12-28,0.9211,0.9211,0.8553,0.8948,640000
1992-12-29,0.8948,0.9211,0.8685,0.9211,579200
1992-12-30,0.9211,0.9211,0.8817,0.9211,225600
1992-12-31,0.9211,0.9211,0.8817,0.8948,2414400
1993-01-04,0.8948,0.9211,0.8817,0.9080,433600
1993-01-05,0.9080,0.9211,0.8817,0.8817,172800
1993-01-06,0.9211,0.9211,0.8817,0.8817,1617600
1993-01-07,0.8685,0.9080,0.8553,0.8753,1078400
1993-01-08,0.8817,0.9080,0.8553,0.9080,681600
1993-01-11,0.9080,0.9080,0.8817,0.8817,542400
1993-01-12,0.8948,0.8948,0.8817,0.8817,985600
1993-01-13,0.8817,0.9211,0.8817,0.9211,942400
1993-01-14,0.9080,0.9211,0.8948,0.9017,1140800
1993-01-15,0.8948,0.9211,0.8948,0.9211,446400
1993-01-18,0.8948,0.9211,0.8948,0.9211,147200
1993-01-19,0.8948,0.9211,0.8948,0.9211,1116800
1993-01-20,0.9211,0.9475,0.9080,0.9475,1304000
1993-01-21,0.9475,0.9738,0.9211,0.9738,1169600
1993-01-22,0.9738,0.9738,0.9475,0.9475,340800
1993-01-25,0.9738,0.9738,0.9475,0.9475,320000
1993-01-26,0.9475,0.9606,0.9343,0.9411,1662400
1993-01-27,0.9606,0.9606,0.9080,0.9080,1601600
1993-01-28,0.9343,0.9343,0.8948,0.9080,1305600
1993-01-29,0.8948,0.9343,0.8948,0.9080,718400
1993-02-01,0.9080,0.9343,0.9080,0.9211,716800
1993-02-02,0.8948,0.9475,0.8948,0.9475,598400
1993-02-03,0.9475,0.9738,0.9211,0.9738,619200
1993-02-04,0.9738,0.9738,0.9475,0.9475,729600
1993-02-05,0.9475,0.9738,0.9343,0.9411,1432000
1993-02-08,0.9606,0.9606,0.9343,0.9343,318400
1993-02-09,0.9606,0.9606,0.9080,0.9475,1091200
1993-02-10,0.9343,0.9343,0.8553,0.8553,2385600
1993-02-11,0.8948,0.8948,0.8553,0.8622,2830400
1993-02-12,0.8948,0.8948,0.8553,0.8553,131200
1993-02-16,0.8422,0.8685,0.7632,0.8027,984000
1993-02-17,0.8027,0.8027,0.7764,0.7895,225600
1993-02-18,0.8159,0.8290,0.7632,0.7764,1032000
1993-02-19,0.8027,0.8027,0.7764,0.7895,1496000
1993-02-22,0.7895,0.8027,0.6843,0.7043,1889600
1993-02-23,0.7369,0.7764,0.7306,0.7764,859200
1993-02-24,0.7501,0.7764,0.7238,0.7632,483200
1993-02-25,0.7632,0.7895,0.7438,0.7632,478400
1993-02-26,0.7895,0.7895,0.7569,0.7895,793600
1993-03-01,0.7701,0.7895,0.7501,0.7632,662400
1993-03-02,0.7764,0.7895,0.7369,0.7832,1313600
1993-03-03,0.7895,0.7895,0.7632,0.7832,174400
1993-03-04,0.7632,0.7895,0.7632,0.7895,195200
1993-03-05,0.7632,0.7895,0.7632,0.7895,108800
1993-03-08,0.7895,0.8027,0.7632,0.7764,1958400
1993-03-09,0.7632,0.7964,0.7632,0.7832,371200
1993-03-10,0.7832,0.8027,0.7832,0.8027,1076800
1993-03-11,0.7895,0.8027,0.7832,0.7832,732800
1993-03-12,0.7764,0.8027,0.7501,0.7701,739200
1993-03-15,0.8027,0.8027,0.7501,0.7764,326400
1993-03-16,0.7895,0.7895,0.7501,0.7764,1139200
