Date,Open,High,Low,Close,Volume
2007-06-14,27.3393,29.0092,27.3393,28.7062,662600
2007-06-15,28.8909,28.8909,28.2629,28.6693,1150000
2007-06-18,28.8540,28.8909,27.4501,27.4501,853600
2007-06-19,27.4501,27.8565,26.6742,27.1176,951000
2007-06-20,27.2136,27.2136,26.1053,26.5634,1721800
2007-06-21,26.6004,27.1176,26.4156,27.1176,537700
2007-06-22,27.3393,29.1865,27.1915,28.7801,250300
2007-06-25,28.8909,29.5560,28.2629,29.0018,203200
2007-06-26,29.0461,29.4082,28.9648,29.1865,119600
2007-06-27,29.1865,29.4082,28.8171,29.3712,270700
2007-06-28,29.3712,29.5190,29.1865,29.2604,151200
2007-06-29,29.4303,29.4821,28.6323,28.8614,1701900
2007-07-02,28.9648,30.0215,28.8023,29.5338,2000500
2007-07-03,29.5412,30.0067,28.8762,29.3047,3752400
2007-07-05,29.2604,30.5017,28.9944,29.1496,4277800
2007-07-06,29.1126,29.4968,28.6693,29.4230,3950700
2007-07-09,29.2234,29.8515,28.4328,29.7776,5369500
2007-07-10,29.1865,29.1865,28.4328,28.8171,5483200
2007-07-11,28.8171,29.0018,28.5954,28.8614,5964800
2007-07-12,28.7801,28.8614,28.3072,28.8244,4094400
2007-07-13,28.2998,29.4747,28.0782,29.1643,2064600
2007-07-16,28.0782,29.4451,27.3910,29.0387,2514800
2007-07-17,28.8318,29.1865,28.2777,28.7136,3913400
2007-07-18,27.3023,28.7136,27.0437,28.0338,4909400
2007-07-19,28.1077,28.4107,27.8048,28.1520,2078400
2007-07-20,28.1520,28.2112,27.9821,28.1003,3406800
2007-07-23,25.9353,28.8171,25.9353,28.7506,2164400
2007-07-24,28.6102,28.9796,28.1742,28.3737,2119000
2007-07-25,28.2629,28.4993,28.0782,28.4254,2421500
2007-07-26,28.0782,28.2998,27.1324,27.7530,3610800
2007-07-27,26.6004,28.1742,26.4009,27.3023,2912600
2007-07-30,26.8959,26.9329,26.2900,26.6373,2915500
2007-07-31,26.6373,26.6595,26.3787,26.4674,2148800
2007-08-01,25.8023,26.6004,25.6841,26.0240,3771700
2007-08-02,25.5733,26.2309,25.1891,26.0610,2519100
2007-08-03,25.9353,26.1792,25.8615,25.9280,2445000
2007-08-06,26.0092,26.0979,25.8467,25.9723,3896600
2007-08-07,25.7506,26.1422,25.1226,25.7506,2624200
2007-08-08,23.7113,26.2087,23.7113,25.6693,3355800
2007-08-09,25.3442,25.6915,24.8418,24.9231,2058600
2007-08-10,24.9231,24.9231,23.9255,24.2433,6034600
2007-08-13,24.3837,24.5684,23.9329,24.3763,3860000
2007-08-14,24.4797,24.5684,23.7334,23.9773,6021900
2007-08-15,24.0364,24.5610,24.0142,24.3541,4280500
2007-08-16,23.6891,24.5684,23.6448,24.4132,4133300
2007-08-17,25.0487,26.0314,24.7531,25.9353,3026600
2007-08-20,25.7654,26.5856,25.5659,25.8245,1948800
2007-08-21,25.0487,25.8393,25.0117,25.6176,2257600
2007-08-22,25.6767,26.1127,25.3442,25.7580,2233000
2007-08-23,26.0462,26.2531,25.7654,26.1275,3054100
2007-08-24,26.0683,27.3393,25.9353,26.7999,2105000
2007-08-27,26.7481,27.0141,26.1570,26.2087,1431200
2007-08-28,25.8245,26.3270,25.7876,25.9501,2243100
2007-08-29,26.0979,26.2309,25.7211,26.1275,1615900
2007-08-30,25.9206,26.5782,25.5881,25.8319,1590000
2007-08-31,25.5142,26.2679,25.1226,25.7654,2286900
2007-09-04,25.7654,25.8762,25.3442,25.7950,1909800
2007-09-05,25.4920,25.6915,25.0856,25.6324,2133000
2007-09-06,23.6448,27.1102,23.6448,26.0314,3414500
2007-09-07,25.7137,25.7211,24.4945,24.7531,1869400
2007-09-10,24.6866,25.0856,24.5093,24.5314,2339000
2007-09-11,24.5832,24.7236,24.0881,24.4132,1921100
2007-09-12,24.2507,24.5241,23.9403,24.0585,2867900
2007-09-13,24.3910,24.5462,24.1250,24.3024,2351800
2007-09-14,24.1472,24.8935,24.1103,24.4280,2744500
2007-09-17,24.2359,24.6127,24.0807,24.4871,2246100
2007-09-18,24.4058,25.8541,24.1029,24.8196,2236900
2007-09-19,25.0856,25.5585,24.0438,24.4354,13839200
2007-09-20,24.4354,24.8713,24.2359,24.7236,1813000
2007-09-21,25.0191,25.1004,24.5167,24.7162,2627700
2007-09-24,24.7753,24.9083,24.4058,24.6718,1549200
2007-09-25,24.6275,24.9526,24.4871,24.9526,1516500
2007-09-26,25.3073,26.1201,25.2851,25.5216,3838100
2007-09-27,25.6693,26.4156,25.5216,25.9945,2099800
2007-09-28,25.9785,26.3568,25.8524,26.2826,1689100
2007-10-01,26.4829,27.1802,25.9117,26.9132,2717400
2007-10-02,26.7055,26.8909,26.4978,26.6684,3089200
2007-10-03,26.6758,26.7055,26.1491,26.4532,2326900
2007-10-04,26.4532,27.0541,25.9043,26.6313,3080200
