Date,Open,High,Low,Close,Volume
1987-03-11,5.2008,5.2887,5.2008,5.2286,134000
1987-03-12,5.2008,5.2008,5.1430,5.1430,48800
1987-03-13,5.1430,5.1430,5.0275,5.1430,412400
1987-03-16,5.1130,5.1130,5.0275,5.1130,198800
1987-03-17,5.1130,5.5475,5.0852,5.5475,482800
1987-03-18,5.5475,5.7209,5.5475,5.5475,870800
1987-03-19,5.6053,5.9520,5.6053,5.9520,1842000
1987-03-20,5.9821,6.1254,5.9821,6.1254,773600
1987-03-23,6.1254,6.1254,6.0098,6.0098,257200
1987-03-24,5.8943,6.0098,5.8943,5.8943,400000
1987-03-25,5.8943,5.9220,5.7209,5.7209,1154400
1987-03-26,5.7209,5.8064,5.7209,5.7209,112400
1987-03-27,5.7209,5.8064,5.6631,5.6631,724000
1987-03-30,5.5475,5.5475,5.4042,5.4597,112000
1987-03-31,5.4320,5.6053,5.4320,5.4597,679200
1987-04-01,5.4597,5.5475,5.3742,5.5475,388400
1987-04-02,5.5198,5.5198,5.4597,5.5198,141200
1987-04-03,5.5198,5.5475,5.4320,5.5475,554000
1987-04-06,5.5475,5.6053,5.5198,5.5475,334000
1987-04-07,5.5475,5.5475,5.4320,5.4597,178000
1987-04-08,5.4597,5.5475,5.4320,5.4320,227200
1987-04-09,5.4320,5.4597,5.1130,5.1430,548800
1987-04-10,5.1430,5.3164,5.0852,5.3164,948400
1987-04-13,5.3164,5.3164,5.2008,5.2008,249600
1987-04-14,5.1731,5.1731,4.9119,4.9974,533600
1987-04-15,5.0852,5.4320,5.0852,5.3164,882000
1987-04-16,5.4320,5.8365,5.4320,5.8064,1328400
1987-04-20,5.7509,5.7509,5.6053,5.6053,1136000
1987-04-21,5.6053,5.9520,5.5475,5.8365,416400
1987-04-22,5.8365,5.8943,5.7209,5.7209,583600
1987-04-23,5.7209,5.7509,5.6631,5.6631,110400
1987-04-24,5.6631,5.6631,5.5475,5.6053,419600
1987-04-27,5.5475,5.5475,5.4042,5.4898,266000
1987-04-28,5.4898,5.8365,5.4898,5.7787,438400
1987-04-29,5.8365,6.1832,5.8365,6.0676,607600
1987-04-30,6.0676,6.2988,6.0676,6.2410,952400
1987-05-01,6.2410,6.6455,6.2132,6.5299,1901200
1987-05-04,6.5299,6.7033,6.4444,6.4444,644000
1987-05-05,6.5877,6.7911,6.5877,6.7911,1289600
1987-05-06,6.7033,6.7033,6.6154,6.6455,247200
1987-05-07,6.6154,6.6154,6.5600,6.5600,364800
1987-05-08,6.5877,6.7033,6.5877,6.5877,772800
1987-05-11,6.5877,6.7611,6.3843,6.3843,685600
1987-05-12,6.3843,6.3843,6.2132,6.2410,135200
1987-05-13,6.2132,6.2132,6.1254,6.1531,256000
1987-05-14,6.1531,6.2410,6.1254,6.1254,612000
1987-05-15,6.1254,6.1254,5.7509,5.7509,335200
1987-05-18,5.7509,5.8665,5.6631,5.8665,1107200
1987-05-19,5.8665,6.0676,5.6631,5.7209,432800
1987-05-20,5.7209,5.9220,5.6631,5.9220,228000
1987-05-21,5.9220,5.9821,5.8943,5.9520,881200
1987-05-22,5.9520,6.0676,5.8064,5.8365,546000
1987-05-26,5.8943,6.0977,5.8943,6.0977,700400
1987-05-27,6.0977,6.3566,6.0376,6.3288,631200
1987-05-28,6.3288,6.6154,6.2988,6.5877,1440000
1987-05-29,6.6755,6.9922,6.6755,6.8188,4343600
1987-06-01,6.7611,6.7611,6.5600,6.6154,179200
1987-06-02,6.5877,6.5877,6.3566,6.3566,643600
1987-06-03,6.3566,6.5600,6.3288,6.3288,318400
1987-06-04,6.3288,6.3566,6.1832,6.1832,358400
1987-06-05,6.1832,6.2132,6.1254,6.1531,240400
1987-06-08,6.1531,6.3566,6.0977,6.3566,503200
1987-06-09,6.4721,6.6455,6.4721,6.4999,744800
1987-06-10,6.4999,6.5600,6.4721,6.4721,222400
1987-06-11,6.4721,6.5600,6.4143,6.4999,382400
1987-06-12,6.4999,6.5299,6.3566,6.4721,198000
1987-06-15,6.4721,6.4999,6.2988,6.3288,41200
1987-06-16,6.2988,6.2988,6.1531,6.2410,422000
1987-06-17,6.2132,6.2988,6.1531,6.2410,177200
1987-06-18,6.2132,6.2132,5.9520,6.0376,330800
1987-06-19,6.0098,6.0977,6.0098,6.0676,142000
1987-06-22,6.0098,6.0977,5.9520,6.0098,554800
1987-06-23,6.0676,6.0676,5.9821,6.0098,188400
