Date,Open,High,Low,Close,Volume
1990-03-26,2.0865,2.0865,2.0133,2.0133,30800
1990-03-27,2.0133,2.1231,2.0133,2.0865,7400
1990-03-28,2.0133,2.0865,2.0133,2.0865,17600
1990-03-29,2.0675,2.0675,2.0133,2.0133,7600
1990-03-30,2.0133,2.0865,2.0133,2.0865,8400
1990-04-02,2.0133,2.0865,2.0133,2.0865,22600
1990-04-03,2.0133,2.0865,2.0133,2.0133,9200
1990-04-04,2.0865,2.0865,2.0133,2.0133,13800
1990-04-05,2.0675,2.0865,2.0133,2.0865,38400
1990-04-06,2.0133,2.0865,1.9943,2.0499,25200
1990-04-09,1.9914,2.0651,1.9914,1.9914,13800
1990-04-10,2.0651,2.0651,1.9545,1.9545,16200
1990-04-11,1.9545,1.9545,1.9545,1.9545,7800
1990-04-12,1.9545,2.0282,1.9545,1.9914,21800
1990-04-16,1.9176,2.0282,1.9176,1.9545,22000
1990-04-17,1.9914,1.9914,1.8807,1.8807,20200
1990-04-18,1.8807,1.9353,1.8807,1.8807,19000
1990-04-19,1.8807,1.9545,1.8807,1.9176,27200
1990-04-20,1.9176,1.9353,1.9176,1.9176,26200
1990-04-23,1.9176,1.9914,1.9176,1.9914,7400
1990-04-24,1.9914,1.9914,1.9914,1.9914,2200
1990-04-25,1.9176,1.9737,1.9176,1.9737,15400
1990-04-26,1.9176,1.9176,1.8807,1.9176,12400
1990-04-27,1.8439,1.8999,1.8439,1.8439,12000
1990-04-30,1.8439,1.9545,1.8439,1.8807,22600
1990-05-01,1.9545,1.9545,1.8439,1.8439,16200
1990-05-02,1.8439,1.8807,1.8439,1.8807,21600
1990-05-03,1.8439,1.9176,1.8439,1.8439,67600
1990-05-04,1.9176,1.9176,1.8807,1.8807,9600
1990-05-07,1.9176,1.9176,1.9176,1.9176,7200
1990-05-08,1.9176,1.9176,1.9176,1.9176,1400
1990-05-09,1.9353,1.9545,1.8807,1.9176,12200
1990-05-10,1.9176,1.9545,1.9176,1.9353,18400
1990-05-11,1.9545,1.9545,1.8807,1.8807,44600
1990-05-14,1.8807,1.9914,1.8807,1.9545,9600
1990-05-15,1.8807,1.9545,1.8807,1.8999,22600
1990-05-16,1.8807,1.9545,1.8807,1.9545,6600
1990-05-17,1.8807,1.9176,1.8807,1.8807,34000
1990-05-18,1.8807,1.9545,1.8807,1.8807,2400
1990-05-21,1.8807,1.9545,1.8807,1.8999,8000
1990-05-22,1.8807,1.9176,1.8807,1.8807,9400
1990-05-23,1.8807,1.9176,1.8439,1.9176,12800
1990-05-24,1.8439,1.8807,1.8439,1.8807,29000
1990-05-25,1.9545,1.9545,1.8439,1.8439,2600
1990-05-29,1.8439,1.9545,1.8439,1.8807,13800
1990-05-30,1.8439,1.8807,1.8439,1.8807,4800
1990-05-31,1.8807,1.9545,1.8439,1.9545,10600
1990-06-01,1.8807,1.8807,1.8807,1.8807,600
1990-06-04,1.9545,1.9545,1.8807,1.8807,1600
1990-06-05,1.8807,1.8999,1.8807,1.8807,9200
1990-06-06,1.8807,1.9545,1.8807,1.9545,15000
1990-06-07,1.8807,1.9545,1.8807,1.8807,26400
