Date,Open,High,Low,Close,Volume
1983-04-06,1.3585,1.3687,1.3535,1.3687,1752000
1983-04-07,1.3788,1.4194,1.3788,1.4169,2992800
1983-04-08,1.4169,1.4244,1.4116,1.4143,2265600
1983-04-11,1.4143,1.4346,1.4092,1.4295,945600
1983-04-12,1.4295,1.4498,1.4295,1.4498,1855200
1983-04-13,1.4650,1.4903,1.4650,1.4903,1920000
1983-04-14,1.4853,1.4930,1.4751,1.4802,2805600
1983-04-15,1.4599,1.4599,1.4396,1.4396,2042400
1983-04-18,1.4396,1.4447,1.4321,1.4321,1104000
1983-04-19,1.4194,1.4295,1.4017,1.4194,1329600
1983-04-20,1.4346,1.4674,1.4346,1.4599,1807200
1983-04-21,1.4599,1.4599,1.4143,1.4295,372000
1983-04-22,1.4244,1.4346,1.3636,1.4041,1401600
1983-04-25,1.3991,1.4194,1.3788,1.3889,1980000
1983-04-26,1.3839,1.3991,1.3687,1.3991,1324800
1983-04-27,1.3865,1.3991,1.3737,1.3737,1168800
1983-04-28,1.3737,1.3762,1.3687,1.3762,11100000
1983-04-29,1.3762,1.3812,1.3687,1.3788,3960000
1983-05-02,1.3889,1.3940,1.3812,1.3839,2337600
1983-05-03,1.3812,1.3889,1.3737,1.3788,1468800
1983-05-04,1.3687,1.3812,1.3535,1.3585,5558400
1983-05-05,1.3687,1.3889,1.3484,1.3839,5668800
1983-05-06,1.3889,1.4498,1.3889,1.4447,4298400
1983-05-09,1.4295,1.4396,1.4143,1.4244,1504800
1983-05-10,1.4194,1.4396,1.4194,1.4346,2001600
1983-05-11,1.4396,1.4396,1.4143,1.4194,2083200
1983-05-12,1.4194,1.4346,1.4092,1.4244,1876800
1983-05-13,1.4244,1.4599,1.4244,1.4524,5138400
1983-05-16,1.4295,1.4674,1.4295,1.4650,2474400
1983-05-17,1.4802,1.4877,1.4700,1.4828,1428000
1983-05-18,1.5106,1.5157,1.4954,1.5005,3602400
1983-05-19,1.5005,1.5005,1.4751,1.4751,4766400
1983-05-20,1.4751,1.4751,1.4548,1.4700,3333600
1983-05-23,1.4700,1.4700,1.4396,1.4599,655200
1983-05-24,1.4650,1.4700,1.4447,1.4498,2160000
1983-05-25,1.4498,1.4650,1.4447,1.4548,4615200
1983-05-26,1.4599,1.4599,1.4473,1.4498,1689600
1983-05-27,1.4498,1.4498,1.4194,1.4244,1212000
1983-05-31,1.4194,1.4244,1.4017,1.4017,1104000
1983-06-01,1.4092,1.4092,1.3812,1.3812,2402400
1983-06-02,1.3865,1.4244,1.3865,1.4244,2224800
1983-06-03,1.4269,1.4473,1.4269,1.4473,897600
1983-06-06,1.4473,1.4473,1.4321,1.4396,720000
1983-06-07,1.4396,1.4421,1.4092,1.4143,1368000
1983-06-08,1.4169,1.4396,1.4092,1.4370,1852800
1983-06-09,1.4421,1.4599,1.4396,1.4599,2028000
1983-06-10,1.4650,1.5055,1.4625,1.5005,2107200
1983-06-13,1.5082,1.5258,1.5029,1.5258,852000
1983-06-14,1.5309,1.5664,1.5282,1.5613,3285600
1983-06-15,1.5637,1.5842,1.5436,1.5842,2832000
1983-06-16,1.5917,1.6323,1.5917,1.6170,6146400
1983-06-17,1.6221,1.6221,1.6069,1.6120,1003200
1983-06-20,1.6221,1.6323,1.6120,1.6221,986400
1983-06-21,1.6272,1.6323,1.6018,1.6298,2889600
1983-06-22,1.6298,1.6475,1.6120,1.6272,3645600
1983-06-23,1.6272,1.6298,1.6069,1.6093,818400
1983-06-24,1.5816,1.5816,1.5613,1.5714,2265600
1983-06-27,1.5714,1.5765,1.5690,1.5690,1708800
1983-06-28,1.5690,1.5765,1.5258,1.5309,1303200
1983-06-29,1.5157,1.5386,1.5106,1.5309,2392800
1983-06-30,1.5359,1.5386,1.5106,1.5157,3732000
1983-07-01,1.5157,1.5207,1.4853,1.5005,2954400
1983-07-05,1.4954,1.4954,1.4396,1.4473,1785600
1983-07-06,1.4625,1.4903,1.4625,1.4802,3028800
1983-07-07,1.4903,1.5055,1.4802,1.5005,2167200
1983-07-08,1.5106,1.5258,1.5082,1.5157,1008000
1983-07-11,1.5309,1.5512,1.5309,1.5512,974400
1983-07-12,1.5562,1.5562,1.5157,1.5181,1327200
1983-07-13,1.5106,1.5106,1.4853,1.4853,2258400
1983-07-14,1.4853,1.5106,1.4853,1.4853,3573600
1983-07-15,1.4853,1.4903,1.4700,1.4853,1027200
1983-07-18,1.4903,1.4978,1.4777,1.4777,852000
1983-07-19,1.4828,1.4978,1.4751,1.4877,888000
1983-07-20,1.5207,1.5538,1.5157,1.5538,1096800
1983-07-21,1.5587,1.5866,1.5562,1.5714,2126400
1983-07-22,1.5574,1.5690,1.5461,1.5613,1185600
1983-07-25,1.5512,1.5816,1.5459,1.5763,388800
1983-07-26,1.5714,1.6120,1.5613,1.6120,1396800
1983-07-27,1.6120,1.6120,1.5410,1.5512,807600
1983-07-28,1.5005,1.5512,1.5005,1.5155,944400
1983-07-29,1.4700,1.4903,1.4194,1.4802,1776000
1983-08-01,1.4802,1.5005,1.4396,1.4498,874800
1983-08-02,1.4348,1.4348,1.4092,1.4194,1718400
1983-08-03,1.4194,1.4242,1.3938,1.3991,1227600
1983-08-04,1.4043,1.4092,1.3078,1.3537,3735600
1983-08-05,1.3585,1.3687,1.3484,1.3634,2322000
1983-08-08,1.3585,1.3585,1.3281,1.3382,472800
1983-08-09,1.3382,1.3484,1.3281,1.3484,2272800
1983-08-10,1.3382,1.4092,1.3382,1.4092,3458400
1983-08-11,1.4145,1.4396,1.4145,1.4145,2144400
1983-08-12,1.4242,1.4498,1.4194,1.4396,2004000
1983-08-15,1.4599,1.4903,1.4599,1.4753,1902000
1983-08-16,1.4802,1.4802,1.4242,1.4295,1059600
1983-08-17,1.4194,1.4546,1.3991,1.4445,1527600
1983-08-18,1.4498,1.4498,1.4092,1.4145,1456800
1983-08-19,1.3788,1.4194,1.3788,1.4194,1227600
1983-08-22,1.4194,1.4295,1.3382,1.3585,2289600
1983-08-23,1.3382,1.3537,1.3078,1.3180,1700400
1983-08-24,1.3228,1.3382,1.3131,1.3330,1952400
1983-08-25,1.3281,1.3281,1.2827,1.2977,4069200
1983-08-26,1.2977,1.3788,1.2876,1.3634,3008400
1983-08-29,1.3484,1.3537,1.3382,1.3484,494400
1983-08-30,1.3484,1.3484,1.3180,1.3382,1675200
1983-08-31,1.3484,1.3537,1.3382,1.3537,1713600
1983-09-01,1.3788,1.3889,1.3634,1.3788,2401200
1983-09-02,1.3837,1.3938,1.3788,1.3938,974400
1983-09-06,1.4396,1.4396,1.4145,1.4242,1712400
1983-09-07,1.4242,1.4348,1.3991,1.3991,1615200
1983-09-08,1.3788,1.3837,1.3585,1.3687,351600
1983-09-09,1.3484,1.3634,1.3382,1.3435,2452800
1983-09-12,1.3687,1.3739,1.2774,1.2827,3370800
1983-09-13,1.2774,1.2774,1.2470,1.2620,5446800
1983-09-14,1.2721,1.3281,1.2721,1.3228,3076800
1983-09-15,1.3330,1.3382,1.3078,1.3131,1393200
1983-09-16,1.3228,1.3687,1.3131,1.3687,2848800
1983-09-19,1.3687,1.4396,1.3687,1.4194,3186000
1983-09-20,1.4092,1.4599,1.4092,1.4498,1634400
1983-09-21,1.4396,1.4498,1.4092,1.4194,685200
1983-09-22,1.4092,1.4599,1.4092,1.4242,1636800
1983-09-23,1.4396,1.4396,1.4295,1.4348,2130000
1983-09-26,1.4396,1.4396,1.3889,1.4194,3079200
1983-09-27,1.4194,1.4194,1.3687,1.3788,1053600
1983-09-28,1.3889,1.3938,1.3537,1.3585,3556800
1983-09-29,1.3687,1.3687,1.3537,1.3537,1480800
1983-09-30,1.3634,1.3687,1.3484,1.3585,373200
1983-10-03,1.3484,1.3585,1.3382,1.3585,2109600
1983-10-04,1.3585,1.4194,1.3585,1.4043,2542800
1983-10-05,1.4092,1.4295,1.3889,1.4242,2878800
1983-10-06,1.4396,1.4599,1.4348,1.4445,2624400
1983-10-07,1.4599,1.5207,1.4498,1.5207,3951600
1983-10-10,1.5155,1.5459,1.5005,1.5459,1279200
1983-10-11,1.5459,1.5459,1.5207,1.5260,1479600
1983-10-12,1.5155,1.5260,1.4802,1.4956,1426800
1983-10-13,1.5005,1.5005,1.4700,1.4802,1047600
1983-10-14,1.4802,1.4850,1.4498,1.4599,1521600
1983-10-17,1.4700,1.4956,1.4599,1.4802,930000
1983-10-18,1.4802,1.4802,1.4194,1.4194,1456800
1983-10-19,1.4194,1.4242,1.3938,1.4242,2223600
1983-10-20,1.4295,1.4700,1.4295,1.4700,2979600
1983-10-21,1.4802,1.4850,1.4599,1.4652,2810400
1983-10-24,1.4652,1.4802,1.4445,1.4700,2001600
1983-10-25,1.4802,1.5155,1.4802,1.4802,760800
1983-10-26,1.4700,1.5155,1.4700,1.5106,1117200
1983-10-27,1.5005,1.5053,1.4599,1.4700,1596000
1983-10-28,1.4802,1.5005,1.4498,1.4546,1096800
1983-10-31,1.4599,1.4700,1.4498,1.4599,6591600
1983-11-01,1.4599,1.4850,1.4599,1.4753,2284800
1983-11-02,1.4802,1.5005,1.4599,1.4903,1231200
1983-11-03,1.5207,1.5309,1.5053,1.5155,3147600
1983-11-04,1.5155,1.5155,1.4802,1.4802,964800
1983-11-07,1.4700,1.4850,1.4652,1.4850,301200
1983-11-08,1.4850,1.4956,1.4700,1.4700,314400
1983-11-09,1.4599,1.5106,1.4599,1.5106,2098800
1983-11-10,1.5106,1.5207,1.5005,1.5053,1480800
1983-11-11,1.5053,1.5053,1.4700,1.4753,3763200
1983-11-14,1.4802,1.4850,1.4498,1.4599,8304000
1983-11-15,1.4599,1.4599,1.4295,1.4348,2264400
1983-11-16,1.4348,1.4348,1.4145,1.4295,2395200
1983-11-17,1.4348,1.4348,1.4194,1.4348,1048800
1983-11-18,1.4348,1.4396,1.4145,1.4194,1208400
1983-11-21,1.4194,1.4396,1.4145,1.4396,3110400
1983-11-22,1.4396,1.4546,1.3537,1.4348,1365600
1983-11-23,1.4396,1.4599,1.4348,1.4445,2644800
1983-11-25,1.4348,1.4348,1.4092,1.4145,1968000
1983-11-28,1.4145,1.4145,1.3938,1.3938,3176400
1983-11-29,1.3788,1.3991,1.3484,1.3991,2109600
1983-11-30,1.3889,1.4145,1.3634,1.3687,2494800
1983-12-01,1.3484,1.3634,1.3484,1.3484,3255600
1983-12-02,1.3484,1.3484,1.3180,1.3180,2655600
1983-12-05,1.2977,1.3131,1.2928,1.2928,5545200
1983-12-06,1.2928,1.2977,1.2571,1.2571,3738000
1983-12-07,1.2571,1.2977,1.2571,1.2928,6334800
1983-12-08,1.2928,1.3026,1.2827,1.2876,3006000
1983-12-09,1.2827,1.2876,1.2571,1.2673,4494000
1983-12-12,1.2876,1.2977,1.2774,1.2977,3422400
1983-12-13,1.3078,1.3330,1.3026,1.3228,3391200
1983-12-14,1.3228,1.3281,1.2774,1.2827,2374800
1983-12-15,1.2673,1.2827,1.2320,1.2470,3008400
1983-12-16,1.2369,1.2673,1.2320,1.2620,3343200
1983-12-19,1.2673,1.2977,1.2620,1.2827,2190000
1983-12-20,1.2876,1.2928,1.2470,1.2523,2665200
1983-12-21,1.2470,1.2470,1.2267,1.2267,3220800
1983-12-22,1.2470,1.2673,1.2470,1.2620,2220000
1983-12-23,1.2673,1.2774,1.2571,1.2774,613200
1983-12-27,1.2774,1.2977,1.2673,1.2977,780000
1983-12-28,1.2977,1.2977,1.2523,1.2673,717600
1983-12-29,1.2774,1.2774,1.2571,1.2620,1089600
1983-12-30,1.2620,1.2721,1.2523,1.2620,1366800
1984-01-03,1.2523,1.2620,1.2417,1.2470,1518000
1984-01-04,1.2369,1.2977,1.2267,1.2876,2415600
1984-01-05,1.2876,1.3131,1.2774,1.3026,4959600
1984-01-06,1.2876,1.3131,1.2827,1.2928,5178000
1984-01-09,1.2977,1.3026,1.2673,1.2721,1710000
1984-01-10,1.2721,1.2876,1.2620,1.2774,2185200
1984-01-11,1.2774,1.2774,1.2267,1.2369,6692400
1984-01-12,1.2620,1.2876,1.2620,1.2774,13036800
1984-01-13,1.2876,1.3026,1.2721,1.2774,3074400
1984-01-16,1.2774,1.2827,1.2571,1.2571,1675200
1984-01-17,1.2571,1.2721,1.2571,1.2673,1942800
1984-01-18,1.2673,1.2774,1.2523,1.2673,2706000
1984-01-19,1.2721,1.2721,1.2369,1.2369,2149200
1984-01-20,1.2369,1.2369,1.2065,1.2113,3238800
1984-01-23,1.1862,1.1963,1.1760,1.1809,2079600
1984-01-24,1.2065,1.2166,1.1809,1.2065,2810400
1984-01-25,1.2166,1.2166,1.1760,1.1862,4081200
1984-01-26,1.1963,1.2219,1.1963,1.2113,2533200
1984-01-27,1.2166,1.2267,1.1914,1.2113,4900800
1984-01-30,1.2166,1.2219,1.1760,1.1963,2061600
1984-01-31,1.2065,1.2267,1.1558,1.2219,3296400
1984-02-01,1.2267,1.2523,1.2166,1.2523,2558400
1984-02-02,1.2673,1.3078,1.2673,1.2977,7412400
1984-02-03,1.3180,1.3180,1.2571,1.2571,4513200
1984-02-06,1.2470,1.2827,1.2470,1.2827,1527600
1984-02-07,1.2721,1.2928,1.2571,1.2673,5774400
1984-02-08,1.2673,1.2721,1.2320,1.2369,5602800
1984-02-09,1.2369,1.2523,1.2166,1.2369,3297600
1984-02-10,1.2267,1.2523,1.2219,1.2523,1830000
1984-02-13,1.2571,1.2571,1.2320,1.2369,1700400
1984-02-14,1.2470,1.2977,1.2369,1.2977,3240000
1984-02-15,1.2928,1.3078,1.2876,1.2876,1915200
1984-02-16,1.2827,1.2876,1.2673,1.2876,2348400
1984-02-17,1.2827,1.2977,1.2774,1.2876,3181200
1984-02-21,1.2876,1.2876,1.2571,1.2571,1828800
1984-02-22,1.2571,1.2721,1.2470,1.2470,799200
1984-02-23,1.2523,1.2571,1.1914,1.2571,5233200
1984-02-24,1.2571,1.2774,1.2320,1.2673,2095200
1984-02-27,1.2673,1.2774,1.2417,1.2571,2347200
1984-02-28,1.2673,1.2673,1.2113,1.2166,4096800
1984-02-29,1.2166,1.2320,1.2065,1.2065,2756400
1984-03-01,1.2065,1.2267,1.1963,1.2166,702000
1984-03-02,1.2369,1.2571,1.2369,1.2571,1623600
1984-03-05,1.2470,1.2571,1.2369,1.2369,2403600
1984-03-06,1.2417,1.2523,1.2267,1.2320,1860000
1984-03-07,1.2267,1.2267,1.1963,1.2166,2914800
1984-03-08,1.2166,1.2166,1.1963,1.2113,2541600
1984-03-09,1.2113,1.2113,1.1760,1.1963,780000
1984-03-12,1.1963,1.2267,1.1809,1.2065,1659600
1984-03-13,1.2065,1.2470,1.2065,1.2166,4062000
1984-03-14,1.2166,1.2166,1.1862,1.2012,951600
1984-03-15,1.2065,1.2065,1.1862,1.1963,1248000
1984-03-16,1.2369,1.2523,1.2219,1.2369,1632000
1984-03-19,1.2166,1.2166,1.1914,1.2065,1790400
1984-03-20,1.2166,1.2320,1.2113,1.2267,2172000
1984-03-21,1.2267,1.2267,1.1914,1.1914,2193600
1984-03-22,1.1558,1.1862,1.1558,1.1760,2328000
1984-03-23,1.1760,1.1862,1.1610,1.1610,3748800
1984-03-26,1.1712,1.1862,1.1659,1.1809,2295600
1984-03-27,1.1963,1.1963,1.1558,1.1558,3469200
1984-03-28,1.1610,1.1610,1.1558,1.1610,6513600
1984-03-29,1.1659,1.1760,1.1456,1.1659,5661600
1984-03-30,1.1659,1.1659,1.1403,1.1558,1161600
1984-04-02,1.1610,1.1610,1.1253,1.1456,2302800
1984-04-03,1.1558,1.1558,1.1403,1.1456,2354400
1984-04-04,1.1456,1.1558,1.1355,1.1456,3276000
1984-04-05,1.1355,1.1505,1.1152,1.1253,1302000
1984-04-06,1.1253,1.1456,1.1201,1.1403,5446800
1984-04-09,1.1505,1.1610,1.1355,1.1558,1514400
1984-04-10,1.1659,1.1862,1.1558,1.1760,2811600
1984-04-11,1.1712,1.1712,1.1558,1.1558,1399200
1984-04-12,1.1610,1.1963,1.1456,1.1963,2034000
