Date,Open,High,Low,Close,Volume
1987-09-01,6.3628,6.3628,6.1814,6.1814,50500
1987-09-02,6.1524,6.1524,5.9396,5.9396,175601
1987-09-03,5.9710,6.0001,5.9106,5.9396,39299
1987-09-04,6.0001,6.0315,5.9710,5.9710,49501
1987-09-08,5.9106,5.9396,5.6083,5.7606,93700
1987-09-09,5.7292,5.7292,5.6083,5.6397,78401
1987-09-10,5.5478,5.7897,5.4874,5.7897,547300
1987-09-11,5.7897,6.0315,5.7897,6.0315,60899
1987-09-14,6.0605,6.0605,5.8791,5.9396,55299
1987-09-15,6.0315,6.0315,5.8791,5.9106,54101
1987-09-16,5.9710,6.0315,5.9106,5.9106,173401
1987-09-17,6.0315,6.0315,5.7897,5.8187,83700
1987-09-18,5.8187,5.8501,5.6687,5.6687,22201
1987-09-21,5.6397,5.7897,5.6397,5.6687,49899
1987-09-22,5.6687,5.7002,5.6083,5.6083,149401
1987-09-23,5.6687,5.7606,5.6687,5.7606,141001
1987-09-24,5.7292,5.7897,5.7002,5.7292,249301
1987-09-25,5.7002,5.7002,5.6397,5.6397,45401
1987-09-28,5.7002,5.7292,5.6687,5.6687,257101
1987-09-29,5.6397,5.6687,5.6397,5.6397,61601
1987-09-30,5.6687,5.6687,5.5793,5.6397,176101
1987-10-01,5.7002,5.7292,5.6687,5.7292,93099
1987-10-02,5.7292,5.7292,5.7002,5.7292,18900
1987-10-05,5.7292,5.7292,5.7002,5.7002,27901
1987-10-06,5.6687,5.7002,5.6397,5.6397,119701
1987-10-07,5.6397,5.6397,5.5188,5.5188,29801
1987-10-08,5.4874,5.5478,5.4583,5.4874,154001
1987-10-09,5.4583,5.4583,5.3979,5.3979,95401
1987-10-12,5.3374,5.3374,5.2165,5.2165,91800
1987-10-13,5.3374,5.3979,5.2770,5.3664,137700
1987-10-14,5.3060,5.3060,5.2479,5.3060,39299
1987-10-15,5.2770,5.2770,5.1560,5.2479,52599
1987-10-16,5.1875,5.1875,4.6433,4.6748,172901
1987-10-19,4.3410,4.4329,3.9807,3.9807,544600
1987-10-20,3.9807,4.1016,3.4366,3.8308,630399
1987-10-21,3.8888,4.1016,3.6784,3.8308,306399
1987-10-22,3.8598,3.8598,3.5575,3.6784,315900
1987-10-23,3.4970,3.5889,3.4680,3.5575,420701
1987-10-26,3.4366,3.4366,2.8948,2.8948,315401
1987-10-27,2.8948,3.0762,2.7739,2.8948,521201
