Date,Open,High,Low,Close,Volume
2007-04-19,33.0560,36.3616,32.2658,36.0850,15862400
2007-04-20,36.0850,37.9288,35.6899,37.5995,3054700
2007-04-23,37.6654,38.1131,37.2571,37.8629,1876400
2007-04-24,37.5468,38.7189,37.5468,38.4556,1532900
2007-04-25,38.9165,39.1799,37.5468,37.6785,1225300
2007-04-26,38.5214,38.5741,35.9533,37.1386,639700
2007-04-27,37.1386,37.5337,36.4143,37.4020,178100
2007-04-30,37.5073,38.1395,36.8752,36.9410,182500
2007-05-01,36.8752,37.5337,36.6118,36.7435,459200
2007-05-02,36.6118,37.6917,36.5591,37.0859,428500
2007-05-03,37.0727,37.8366,36.9542,37.7312,182600
2007-05-04,37.8893,38.3239,37.4151,37.9288,139800
2007-05-07,37.7971,38.3239,37.5337,38.2843,293300
2007-05-08,38.4292,38.7189,38.1922,38.5873,259600
2007-05-09,38.8111,41.1817,38.5741,40.6286,594800
2007-05-10,40.6286,40.6286,39.1535,40.0491,568600
2007-05-11,40.6286,41.6295,40.4310,40.7076,646200
2007-05-14,41.4846,42.1431,40.8261,42.0377,390900
2007-05-15,44.7770,45.6989,44.3688,45.0536,1224700
2007-05-16,45.7647,45.9491,44.9746,45.2511,239500
2007-05-17,45.3697,48.3065,45.3565,47.9377,592000
2007-05-18,48.0694,49.0572,47.0817,48.1748,905100
2007-05-21,48.3065,48.5831,44.1712,45.4882,708900
2007-05-22,45.8306,46.0940,41.9324,44.3951,1950600
2007-05-23,45.1063,45.9228,44.1185,44.2239,620900
2007-05-24,44.4873,45.4355,44.3819,44.6848,600000
2007-05-25,44.6848,46.3574,44.5795,46.1072,381600
2007-05-29,47.5953,47.5953,44.1844,44.6453,443000
2007-05-30,44.7375,47.2398,44.3292,47.1739,431500
2007-05-31,47.3451,48.7279,46.4891,46.9632,533300
2007-06-01,46.8578,48.3855,46.8183,48.1880,406600
2007-06-04,47.9773,48.3065,46.2915,48.3065,287000
2007-06-05,48.1880,48.6621,46.3837,46.4364,431100
2007-06-06,45.7121,45.8306,43.6839,44.6321,653300
2007-06-07,45.1063,45.1984,42.8016,42.8411,614900
2007-06-08,43.0650,43.4600,42.3011,42.8674,258800
2007-06-11,43.4864,45.1063,43.3283,44.4741,492000
2007-06-12,43.9868,44.4083,42.8016,43.6181,580600
2007-06-13,42.8016,44.5795,42.8016,44.5005,363900
2007-06-14,44.7770,45.0009,42.8806,43.3679,547800
2007-06-15,43.4600,47.2134,43.3283,46.8842,936100
2007-06-18,47.1607,48.5304,45.8438,46.9105,808700
2007-06-19,47.1476,47.1476,44.6058,44.7638,429800
2007-06-20,44.6585,44.8692,42.8806,42.9859,598400
2007-06-21,43.2888,44.7507,42.8674,44.2766,380400
2007-06-22,43.9473,44.7770,43.1703,44.5531,1329000
2007-06-25,44.4741,46.1598,44.0395,46.0940,301500
2007-06-26,45.8438,46.0281,44.4478,45.7779,264700
2007-06-27,45.7779,46.5022,44.9877,45.8964,282600
2007-06-28,46.0018,46.0018,44.3161,44.3161,213300
2007-06-29,44.3424,44.8824,43.2625,43.5127,383900
2007-07-02,43.5391,44.1185,43.4074,43.4996,207200
2007-07-03,43.4996,45.6330,43.4996,45.2248,179000
2007-07-05,45.4092,45.4618,44.1844,45.0272,119700
2007-07-06,45.2380,46.3574,44.9877,46.3179,329000
2007-07-09,46.1335,47.1212,45.1326,46.3310,310600
2007-07-10,46.0281,47.4110,45.9360,46.8973,197400
2007-07-11,47.1871,48.0563,46.7393,47.6348,353700
2007-07-12,47.7665,49.6498,47.7665,48.9386,323400
2007-07-13,47.8060,49.4786,47.6744,49.0045,189000
2007-07-16,49.4786,51.8887,49.0045,50.5190,375200
2007-07-17,50.0186,53.2056,49.9791,53.1134,755500
2007-07-18,51.3750,52.4550,50.1766,51.7833,610700
2007-07-19,51.9940,52.7052,51.5594,52.0862,264200
2007-07-20,52.1521,53.8246,51.4277,51.8492,278200
2007-07-23,52.2838,53.0608,50.9536,51.3750,193200
2007-07-24,50.7692,50.9800,49.2152,49.7157,390300
2007-07-25,49.8342,50.5058,46.7788,46.9368,458500
2007-07-26,46.9368,47.8060,45.3828,46.6866,1040000
2007-07-27,46.5418,47.7929,44.9351,46.3574,510300
2007-07-30,47.7402,50.4663,47.4373,49.1099,569300
2007-07-31,50.3083,50.5322,47.4505,48.2275,436700
2007-08-01,48.6226,49.4786,46.8578,48.5304,322700
2007-08-02,48.3328,51.6253,48.0299,51.3882,624900
2007-08-03,41.9192,44.5005,38.3239,41.0368,3253300
2007-08-06,41.6163,43.9868,39.6672,40.2861,1531400
2007-08-07,40.5627,42.6172,40.3520,42.1431,1208400
2007-08-08,38.1922,42.4723,32.5950,41.8270,3643500
2007-08-09,39.5091,41.0632,35.8875,36.8620,714000
2007-08-10,36.8752,38.3634,33.2535,36.2167,957200
2007-08-13,37.1254,38.8506,37.1254,37.9683,487600
2007-08-14,37.9683,38.0473,36.3747,36.5328,414500
2007-08-15,36.9542,36.9542,33.3852,33.9647,438000
2007-08-16,33.9779,33.9779,30.6196,31.8049,1001600
2007-08-17,34.2412,36.9147,33.2930,34.4783,929000
2007-08-20,34.5705,34.8207,31.6205,33.8462,340900
2007-08-21,33.7408,34.2412,32.6082,33.7013,521000
2007-08-22,33.8462,34.4915,33.2930,33.6354,382300
2007-08-23,33.9120,33.9120,32.1999,33.6223,519600
2007-08-24,33.5169,37.7444,33.4906,37.3361,818300
2007-08-27,36.8752,40.8129,36.8489,40.3915,607500
2007-08-28,39.8384,40.7603,38.4160,39.4169,569900
2007-08-29,39.5882,39.6277,36.5064,37.2703,680800
2007-08-30,36.7172,37.1386,34.9919,35.4660,590400
2007-08-31,36.1113,36.7172,35.8743,35.9401,285900
2007-09-04,37.5337,38.8243,36.0192,37.7312,3609100
2007-09-05,38.3239,38.8243,36.8752,38.0473,985300
2007-09-06,38.4556,38.5477,36.8752,36.9937,616500
2007-09-07,37.0069,37.0727,34.5046,35.8480,897400
2007-09-10,37.8629,37.8629,34.9129,35.2290,374700
2007-09-11,35.4924,35.5714,34.4783,35.0973,723200
2007-09-12,35.2290,35.2290,34.2676,34.2676,928800
2007-09-13,34.5968,34.8602,32.4370,32.6477,2917500
2007-09-14,32.6609,33.3852,31.6073,33.0560,1051300
2007-09-17,33.5169,33.5169,32.2395,33.1745,723000
2007-09-18,33.1877,33.8725,33.1877,33.5301,1176400
2007-09-19,33.5301,34.8075,33.2799,33.7803,1163300
2007-09-20,33.8462,35.3475,33.8330,34.8207,603700
2007-09-21,35.0183,35.6504,34.2149,34.8997,1086000
2007-09-24,34.8997,35.3738,34.6627,35.1763,704400
2007-09-25,35.1631,36.0192,34.6232,35.7953,703900
2007-09-26,35.5977,35.9533,34.9129,35.5450,338600
2007-09-27,35.6504,36.6645,35.5582,36.2562,422800
2007-09-28,36.2562,36.4538,35.4397,35.9270,399600
2007-10-01,35.4265,36.4143,35.2290,35.8743,333600
2007-10-02,36.0587,36.9279,35.8480,36.6776,371800
2007-10-03,36.6776,37.2044,36.1377,36.4406,325300
2007-10-04,36.4406,36.8225,36.0982,36.3484,475500
2007-10-05,35.9533,35.9533,32.3843,32.6477,2813900
