Date,Open,High,Low,Close,Volume
1987-12-31,3.2584,3.2584,3.2584,3.2584,1000
1988-01-04,3.2913,3.2913,3.2913,3.2913,28500
1988-01-05,3.2913,3.2913,3.2913,3.2913,2000
1988-01-06,3.2913,3.2913,3.2913,3.2913,0
1988-01-07,3.2913,3.2913,3.2913,3.2913,0
1988-01-08,3.3084,3.3084,3.3084,3.3084,4000
1988-01-11,3.2913,3.2913,3.2913,3.2913,5000
1988-01-12,3.2913,3.2913,3.2913,3.2913,3500
1988-01-13,3.3084,3.3084,3.3084,3.3084,2500
1988-01-14,3.3242,3.3242,3.3242,3.3242,2000
1988-01-15,3.3571,3.3571,3.3571,3.3571,1500
1988-01-18,3.3400,3.3400,3.3242,3.3242,3000
1988-01-19,3.3400,3.3400,3.3400,3.3400,25000
1988-01-20,3.3400,3.3400,3.3400,3.3400,2000
1988-01-21,3.3400,3.3400,3.3400,3.3400,0
1988-01-22,3.3729,3.3729,3.3729,3.3729,3500
1988-01-25,3.3900,3.3900,3.3900,3.3900,5000
1988-01-26,3.3900,3.4229,3.3900,3.4229,22000
1988-01-27,3.4558,3.5217,3.4558,3.5217,5500
1988-01-28,3.5546,3.6204,3.5546,3.6204,11000
1988-01-29,3.6533,3.6862,3.6533,3.6862,7000
1988-02-01,3.6691,3.7020,3.6691,3.6691,18000
1988-02-02,3.6533,3.6533,3.6533,3.6533,2500
1988-02-03,3.6691,3.6691,3.6691,3.6691,500
1988-02-04,3.6862,3.6862,3.6533,3.6533,10500
1988-02-05,3.6691,3.6691,3.6691,3.6691,3000
1988-02-08,3.6533,3.6533,3.6533,3.6533,2000
1988-02-09,3.6375,3.6533,3.6375,3.6533,4500
1988-02-10,3.6533,3.6691,3.6533,3.6691,2500
1988-02-11,3.6862,3.6862,3.6862,3.6862,3000
1988-02-12,3.7020,3.7020,3.7020,3.7020,6000
1988-02-16,3.6862,3.6862,3.6862,3.6862,1500
1988-02-17,3.6862,3.6862,3.6862,3.6862,3000
1988-02-18,3.6862,3.6862,3.6533,3.6533,6000
1988-02-19,3.6375,3.6375,3.6375,3.6375,1000
1988-02-22,3.6204,3.6691,3.6204,3.6691,3500
1988-02-23,3.6691,3.6691,3.6691,3.6691,0
1988-02-24,3.6375,3.6375,3.6204,3.6204,7000
1988-02-25,3.6033,3.6033,3.5875,3.5875,16000
1988-02-26,3.6204,3.6204,3.6204,3.6204,9500
1988-02-29,3.6204,3.6862,3.6204,3.6862,6000
1988-03-01,3.6731,3.6731,3.6731,3.6731,1000
1988-03-02,3.7064,3.7064,3.7064,3.7064,5000
1988-03-03,3.6904,3.6904,3.6904,3.6904,4000
1988-03-04,3.6904,3.6904,3.6731,3.6731,7000
1988-03-07,3.6557,3.6731,3.6557,3.6731,2000
1988-03-08,3.7064,3.7064,3.7064,3.7064,4000
1988-03-09,3.6731,3.7732,3.6731,3.7732,12500
1988-03-10,3.8066,3.8400,3.8066,3.8066,9000
1988-03-11,3.8400,3.8734,3.8400,3.8734,4000
1988-03-14,3.8574,3.8574,3.8574,3.8574,17000
1988-03-15,3.8734,3.8734,3.8574,3.8574,2500
1988-03-16,3.8400,3.8574,3.8400,3.8574,5000
1988-03-17,3.8400,3.8400,3.8400,3.8400,3000
1988-03-18,3.8400,3.8400,3.8400,3.8400,1000
1988-03-21,3.8400,3.8400,3.8400,3.8400,0
1988-03-22,3.8734,3.8734,3.8400,3.8400,6500
1988-03-23,3.8400,3.8574,3.8400,3.8574,63000
1988-03-24,3.8574,3.8574,3.8400,3.8400,64500
1988-03-25,3.8400,3.8400,3.8400,3.8400,17500
1988-03-28,3.8066,3.8400,3.8066,3.8400,29000
1988-03-29,3.8734,3.8734,3.8734,3.8734,500
1988-03-30,3.8734,3.8734,3.8734,3.8734,0
1988-03-31,3.8734,3.9068,3.8734,3.9068,17500
1988-04-04,3.8734,3.8734,3.8734,3.8734,0
1988-04-05,3.9402,3.9402,3.9068,3.9068,3000
1988-04-06,3.9068,3.9068,3.9068,3.9068,1000
1988-04-07,3.8894,3.9402,3.8894,3.9068,7500
1988-04-08,3.9068,3.9402,3.9068,3.9402,9000
1988-04-11,3.9242,3.9242,3.9242,3.9242,5500
1988-04-12,3.9402,3.9402,3.9242,3.9242,1500
1988-04-13,3.9242,3.9242,3.9242,3.9242,4000
1988-04-14,3.9402,3.9402,3.9242,3.9242,11000
1988-04-15,3.9242,3.9402,3.9242,3.9242,8500
1988-04-18,3.9242,3.9402,3.9242,3.9242,18000
1988-04-19,3.9402,3.9402,3.9402,3.9402,6000
1988-04-20,3.9402,3.9402,3.9402,3.9402,1500
1988-04-21,3.9402,3.9402,3.9402,3.9402,4000
1988-04-22,3.9402,3.9575,3.9402,3.9575,1500
1988-04-25,3.9402,3.9575,3.9242,3.9242,39500
1988-04-26,3.9242,3.9242,3.9242,3.9242,0
1988-04-27,3.9242,3.9402,3.9242,3.9402,2500
1988-04-28,3.9402,3.9402,3.9402,3.9402,0
1988-04-29,3.9402,3.9402,3.9242,3.9242,21500
1988-05-02,3.9242,3.9242,3.9242,3.9242,25000
1988-05-03,3.9242,3.9242,3.9242,3.9242,7500
1988-05-04,3.9242,3.9242,3.9242,3.9242,2500
1988-05-05,3.9242,3.9575,3.9242,3.9575,7500
1988-05-06,3.9575,3.9575,3.9575,3.9575,1000
1988-05-09,3.9402,3.9402,3.9402,3.9402,3000
1988-05-10,3.9402,3.9575,3.9402,3.9402,14000
1988-05-11,3.9402,3.9402,3.9402,3.9402,2000
1988-05-12,3.9402,3.9402,3.9402,3.9402,2500
1988-05-13,3.9402,3.9402,3.9402,3.9402,9500
1988-05-16,3.9242,3.9575,3.9242,3.9575,8500
1988-05-17,3.9575,3.9575,3.9575,3.9575,0
1988-05-18,3.9575,3.9575,3.9575,3.9575,15000
1988-05-19,3.9575,3.9575,3.9575,3.9575,20000
1988-05-20,3.9402,3.9402,3.9402,3.9402,7500
1988-05-23,3.9402,3.9402,3.9402,3.9402,23000
1988-05-24,3.9242,3.9242,3.9242,3.9242,8000
1988-05-25,3.9402,3.9402,3.9402,3.9402,9000
1988-05-26,3.9402,3.9402,3.9402,3.9402,500
1988-05-27,3.9402,3.9402,3.9402,3.9402,0
1988-05-31,3.9402,3.9402,3.9402,3.9402,1500
1988-06-01,3.9736,4.0243,3.9736,4.0070,3500
1988-06-02,3.9736,3.9736,3.9575,3.9575,51500
1988-06-03,3.9575,4.0070,3.9575,4.0070,7000
1988-06-06,4.0070,4.0070,4.0070,4.0070,7000
1988-06-07,4.0070,4.0070,4.0070,4.0070,0
1988-06-08,4.0070,4.0070,4.0070,4.0070,0
1988-06-09,4.0243,4.0243,4.0243,4.0243,2500
1988-06-10,4.0243,4.0564,4.0243,4.0243,2000
1988-06-13,4.0243,4.0243,4.0243,4.0243,0
1988-06-14,4.0243,4.0243,4.0243,4.0243,4500
1988-06-15,4.0070,4.0070,4.0070,4.0070,5500
1988-06-16,4.0070,4.0070,4.0070,4.0070,4000
1988-06-17,4.0070,4.0070,4.0070,4.0070,9500
1988-06-20,4.0070,4.0070,4.0070,4.0070,3500
1988-06-21,4.0243,4.0243,4.0243,4.0243,2500
1988-06-22,4.0564,4.0564,4.0564,4.0564,2500
1988-06-23,4.0564,4.0737,4.0404,4.0737,6000
1988-06-24,4.0737,4.0898,4.0564,4.0737,4000
1988-06-27,4.0737,4.1245,4.0737,4.1245,5000
1988-06-28,4.1245,4.1245,4.1245,4.1245,0
1988-06-29,4.0898,4.0898,4.0737,4.0737,1500
1988-06-30,4.0737,4.0737,4.0737,4.0737,0
1988-07-01,4.0243,4.0243,4.0243,4.0243,15000
1988-07-05,4.0243,4.0243,4.0243,4.0243,8500
1988-07-06,4.0404,4.0404,4.0404,4.0404,1500
1988-07-07,4.0404,4.0404,4.0404,4.0404,0
1988-07-08,4.0404,4.0404,4.0404,4.0404,0
1988-07-11,4.0404,4.0404,4.0243,4.0404,8000
1988-07-12,4.0564,4.0898,4.0564,4.0898,2500
1988-07-13,4.0564,4.0564,4.0564,4.0564,4500
1988-07-14,4.0564,4.0737,4.0404,4.0737,7000
1988-07-15,4.0737,4.0737,4.0737,4.0737,3000
1988-07-18,4.1071,4.1071,4.1071,4.1071,500
1988-07-19,4.1245,4.1245,4.0898,4.0898,1500
1988-07-20,4.0898,4.1245,4.0898,4.1245,5500
1988-07-21,4.1245,4.1245,4.1245,4.1245,500
1988-07-22,4.1245,4.1245,4.1245,4.1245,0
1988-07-25,4.1245,4.1245,4.1245,4.1245,12500
1988-07-26,4.1405,4.1405,4.1405,4.1405,1000
1988-07-27,4.1405,4.1405,4.1071,4.1071,5000
1988-07-28,4.0737,4.0737,4.0404,4.0404,42500
1988-07-29,4.0404,4.0404,4.0404,4.0404,0
1988-08-01,4.0404,4.0404,4.0404,4.0404,2000
1988-08-02,4.0404,4.0404,4.0404,4.0404,6000
1988-08-03,4.0243,4.0243,4.0070,4.0070,6500
1988-08-04,4.0070,4.0070,4.0070,4.0070,1000
1988-08-05,4.0070,4.0243,4.0070,4.0243,16000
1988-08-08,4.0243,4.0243,4.0243,4.0243,0
1988-08-09,4.0243,4.0243,4.0243,4.0243,5500
1988-08-10,4.0243,4.0243,4.0243,4.0243,3000
1988-08-11,4.0243,4.0243,4.0243,4.0243,2000
1988-08-12,4.0243,4.0243,4.0243,4.0243,1500
1988-08-15,4.0243,4.0243,4.0243,4.0243,2500
1988-08-16,4.0243,4.0243,4.0243,4.0243,500
1988-08-17,4.0243,4.0243,4.0243,4.0243,17500
1988-08-18,4.0243,4.0243,4.0243,4.0243,1000
1988-08-19,4.0243,4.0243,4.0070,4.0070,24000
1988-08-22,4.0070,4.0243,4.0070,4.0243,11500
1988-08-23,4.0243,4.0243,4.0243,4.0243,51500
1988-08-24,4.0243,4.0243,4.0243,4.0243,2500
1988-08-25,4.0243,4.0243,4.0243,4.0243,0
1988-08-26,4.0243,4.0243,4.0243,4.0243,6000
1988-08-29,4.0243,4.0243,4.0243,4.0243,9500
1988-08-30,4.0404,4.0404,4.0404,4.0404,500
1988-08-31,4.0243,4.0737,4.0243,4.0737,18000
1988-09-01,4.0737,4.0737,4.0737,4.0737,3500
1988-09-02,4.0564,4.0564,4.0564,4.0564,2500
1988-09-06,4.0737,4.0737,4.0737,4.0737,5000
1988-09-07,4.1071,4.1071,4.1071,4.1071,0
1988-09-08,4.0737,4.0737,4.0737,4.0737,1500
1988-09-09,4.0898,4.0898,4.0737,4.0737,6000
1988-09-12,4.0564,4.0564,4.0564,4.0564,5000
1988-09-13,4.0898,4.0898,4.0564,4.0564,2000
1988-09-14,4.0737,4.0737,4.0404,4.0404,5500
1988-09-15,4.0564,4.0564,4.0564,4.0564,6500
1988-09-16,4.0564,4.0564,4.0564,4.0564,5000
1988-09-19,4.0898,4.0898,4.0898,4.0898,500
1988-09-20,4.0898,4.0898,4.0898,4.0898,0
1988-09-21,4.0898,4.0898,4.0898,4.0898,0
1988-09-22,4.0737,4.0737,4.0737,4.0737,5000
1988-09-23,4.0737,4.0737,4.0737,4.0737,6500
1988-09-26,4.0564,4.0564,4.0404,4.0404,347000
1988-09-27,4.0404,4.0404,4.0404,4.0404,13000
1988-09-28,4.0404,4.0404,4.0404,4.0404,1500
1988-09-29,4.0404,4.0404,4.0404,4.0404,0
1988-09-30,4.0564,4.0564,4.0564,4.0564,500
1988-10-03,4.0404,4.0404,4.0243,4.0243,10500
1988-10-04,4.0243,4.0243,4.0243,4.0243,8000
1988-10-05,4.0243,4.0243,4.0243,4.0243,500
1988-10-06,4.0243,4.0243,4.0243,4.0243,1000
1988-10-07,4.0243,4.0243,4.0243,4.0243,6000
1988-10-10,4.0070,4.0404,4.0070,4.0404,6500
1988-10-11,4.0564,4.0564,4.0404,4.0404,2500
1988-10-12,4.0404,4.0404,4.0404,4.0404,0
1988-10-13,4.0243,4.0404,4.0243,4.0404,9500
1988-10-14,4.0404,4.0404,4.0404,4.0404,1000
1988-10-17,4.0404,4.0404,4.0404,4.0404,500
1988-10-18,4.0404,4.0404,4.0404,4.0404,1500
1988-10-19,4.0404,4.0404,4.0404,4.0404,1500
1988-10-20,4.0404,4.0404,4.0404,4.0404,1500
