Date,Open,High,Low,Close,Volume
1989-09-13,0.7327,0.7429,0.7327,0.7327,211200
1989-09-14,0.7361,0.7361,0.7292,0.7292,70400
1989-09-15,0.7292,0.7327,0.7224,0.7327,192000
1989-09-18,0.7224,0.7258,0.7224,0.7224,662400
1989-09-19,0.7292,0.7292,0.7224,0.7292,12800
1989-09-20,0.7224,0.7242,0.7224,0.7242,214400
1989-09-21,0.7292,0.7292,0.7292,0.7292,12800
1989-09-22,0.7253,0.7253,0.7219,0.7219,400000
1989-09-25,0.7219,0.7219,0.7048,0.7048,304000
1989-09-26,0.7048,0.7116,0.7048,0.7116,12800
1989-09-27,0.7048,0.7150,0.7048,0.7150,227200
1989-09-28,0.7082,0.7082,0.7082,0.7082,12800
1989-09-29,0.7150,0.7271,0.7150,0.7271,512000
1989-10-02,0.7219,0.7390,0.7219,0.7356,336000
1989-10-03,0.7390,0.7390,0.7390,0.7390,44800
1989-10-04,0.7321,0.7390,0.7321,0.7390,32000
1989-10-05,0.7321,0.7458,0.7321,0.7390,86400
1989-10-06,0.7356,0.7390,0.7356,0.7390,764800
1989-10-09,0.7390,0.7493,0.7390,0.7493,51200
1989-10-10,0.7390,0.7493,0.7390,0.7390,28800
1989-10-11,0.7390,0.7458,0.7390,0.7458,124800
1989-10-12,0.7390,0.7458,0.7390,0.7458,48000
1989-10-13,0.7390,0.7458,0.7390,0.7390,217600
1989-10-16,0.7321,0.7321,0.7116,0.7116,592000
1989-10-17,0.7219,0.7287,0.7150,0.7253,502400
1989-10-18,0.7185,0.7287,0.7185,0.7253,262400
1989-10-19,0.7287,0.7287,0.7219,0.7219,140800
1989-10-20,0.7219,0.7287,0.7219,0.7235,1766400
1989-10-23,0.7287,0.7287,0.7219,0.7219,96000
1989-10-24,0.7287,0.7287,0.7185,0.7185,163200
1989-10-25,0.7150,0.7185,0.7150,0.7185,76800
1989-10-26,0.7150,0.7219,0.7082,0.7082,156800
1989-10-27,0.7082,0.7116,0.7014,0.7014,153600
1989-10-30,0.7014,0.7048,0.6945,0.6945,147200
1989-10-31,0.7048,0.7048,0.7048,0.7048,9600
1989-11-01,0.6945,0.7048,0.6945,0.7048,38400
1989-11-02,0.6979,0.7014,0.6911,0.6911,198400
1989-11-03,0.7014,0.7014,0.6911,0.6979,166400
1989-11-06,0.7014,0.7014,0.6945,0.7014,35200
1989-11-07,0.7014,0.7014,0.6945,0.7014,112000
1989-11-08,0.6945,0.7150,0.6945,0.7150,259200
1989-11-09,0.7048,0.7150,0.7048,0.7150,272000
1989-11-10,0.7116,0.7219,0.7116,0.7219,38400
1989-11-13,0.7116,0.7219,0.7116,0.7116,73600
1989-11-14,0.7219,0.7219,0.7219,0.7219,28800
1989-11-15,0.7116,0.7219,0.7116,0.7116,32000
1989-11-16,0.7116,0.7219,0.7116,0.7219,505600
1989-11-17,0.7116,0.7219,0.7116,0.7219,131200
1989-11-20,0.7219,0.7219,0.7150,0.7150,230400
1989-11-21,0.7150,0.7150,0.7150,0.7150,48000
1989-11-22,0.7150,0.7150,0.7150,0.7150,352000
1989-11-24,0.7150,0.7150,0.7150,0.7150,0
1989-11-27,0.7219,0.7219,0.7116,0.7116,224000
1989-11-28,0.7185,0.7185,0.7116,0.7185,2323200
1989-11-29,0.7116,0.7185,0.7116,0.7185,115200
1989-11-30,0.7116,0.7185,0.7116,0.7185,288000
1989-12-01,0.7185,0.7185,0.7116,0.7185,83200
1989-12-04,0.7185,0.7185,0.7082,0.7082,384000
1989-12-05,0.7014,0.7116,0.7014,0.7014,505600
1989-12-06,0.7014,0.7014,0.7014,0.7014,6400
1989-12-07,0.7014,0.7014,0.7014,0.7014,0
1989-12-08,0.7014,0.7014,0.7014,0.7014,0
1989-12-11,0.7014,0.7116,0.7014,0.7014,160000
1989-12-12,0.7082,0.7082,0.7014,0.7082,57600
1989-12-13,0.7082,0.7082,0.7014,0.7082,332800
1989-12-14,0.7082,0.7082,0.7048,0.7048,60800
1989-12-15,0.7082,0.7082,0.7014,0.7082,3635200
1989-12-18,0.7116,0.7116,0.7048,0.7116,208000
1989-12-19,0.7014,0.7014,0.7014,0.7014,6400
1989-12-20,0.7014,0.7116,0.7014,0.7048,336000
1989-12-21,0.7048,0.7219,0.7048,0.7116,1139200
1989-12-22,0.7294,0.7363,0.7294,0.7328,297600
1989-12-26,0.7432,0.7569,0.7328,0.7569,432000
1989-12-27,0.7638,0.7844,0.7638,0.7776,265600
1989-12-28,0.7810,0.7879,0.7776,0.7879,1030400
1989-12-29,0.7913,0.8085,0.7913,0.8051,425600
1990-01-02,0.8188,0.8257,0.7982,0.8257,296800
1990-01-03,0.8326,0.8464,0.8188,0.8395,1057600
1990-01-04,0.8395,0.8601,0.8188,0.8601,358400
1990-01-05,0.8464,0.8670,0.8464,0.8532,361600
1990-01-08,0.8532,0.8670,0.8532,0.8601,660800
1990-01-09,0.8601,0.8601,0.8532,0.8532,115200
1990-01-10,0.8499,0.8601,0.8464,0.8464,353600
1990-01-11,0.8532,0.8532,0.8464,0.8532,148800
1990-01-12,0.8532,0.8532,0.8257,0.8362,308800
1990-01-15,0.8326,0.8326,0.7913,0.7913,216000
1990-01-16,0.7844,0.7982,0.7776,0.7913,104000
1990-01-17,0.7913,0.7913,0.7776,0.7844,113600
1990-01-18,0.7638,0.7707,0.7500,0.7638,292800
1990-01-19,0.7500,0.7776,0.7500,0.7707,160000
1990-01-22,0.7707,0.7707,0.7569,0.7569,36800
1990-01-23,0.7707,0.7707,0.7432,0.7500,152000
1990-01-24,0.7225,0.7225,0.6881,0.6881,1192000
1990-01-25,0.7087,0.7087,0.6881,0.6950,510400
1990-01-26,0.6950,0.7087,0.6950,0.7087,361600
1990-01-29,0.6950,0.7087,0.6950,0.7087,241600
1990-01-30,0.6950,0.7019,0.6950,0.7019,89600
1990-01-31,0.6950,0.7156,0.6950,0.7087,480000
1990-02-01,0.7156,0.7189,0.7156,0.7156,145600
1990-02-02,0.7087,0.7363,0.7087,0.7294,110400
1990-02-05,0.7225,0.7363,0.7225,0.7363,347200
1990-02-06,0.7225,0.7294,0.7225,0.7225,339200
