Date,Open,High,Low,Close,Volume
1986-07-09,3.7592,3.8240,3.7592,3.7808,1478000
1986-07-10,3.8024,3.8456,3.7920,3.8240,589200
1986-07-11,3.8240,3.8240,3.7808,3.8024,320400
1986-07-14,3.7808,3.8024,3.7160,3.7160,434000
1986-07-15,3.7376,3.7592,3.5647,3.5647,741600
1986-07-16,3.5647,3.6511,3.5647,3.6295,606400
1986-07-17,3.6728,3.7376,3.6511,3.7160,584000
1986-07-18,3.7160,3.7592,3.6944,3.6944,246800
1986-07-21,3.7376,3.7376,3.6944,3.6944,168000
1986-07-22,3.6944,3.7592,3.6944,3.7376,286400
1986-07-23,3.7376,3.7592,3.7160,3.7160,480000
1986-07-24,3.7376,3.7808,3.7160,3.7160,516800
1986-07-25,3.6944,3.7376,3.6944,3.7160,288800
1986-07-28,3.7160,3.7160,3.6295,3.6295,512400
1986-07-29,3.6295,3.6295,3.5647,3.5647,363600
1986-07-30,3.5647,3.6079,3.4999,3.5647,1024800
1986-07-31,3.5647,3.5647,3.3271,3.4783,3426000
1986-08-01,3.4567,3.5431,3.4567,3.4999,1432400
1986-08-04,3.4999,3.5647,3.3919,3.4135,812400
1986-08-05,3.4135,3.4783,3.4135,3.4351,990000
1986-08-06,3.4567,3.4567,3.3271,3.4135,1485600
1986-08-07,3.3703,3.4135,3.3703,3.3919,1701200
1986-08-08,3.3919,3.4567,3.2623,3.3055,2858400
1986-08-11,3.3271,3.4135,3.3055,3.3374,1228800
1986-08-12,3.3703,3.3703,3.2407,3.3055,2822800
1986-08-13,3.3055,3.4351,3.2839,3.4135,4560000
1986-08-14,3.3703,3.4351,3.3703,3.4135,2767600
1986-08-15,3.4135,3.4999,3.4031,3.4999,1017200
1986-08-18,3.4999,3.5215,3.4351,3.4567,765200
1986-08-19,3.4567,3.4567,3.3487,3.4135,1069600
1986-08-20,3.4135,3.4351,3.3919,3.4135,625600
1986-08-21,3.4351,3.4463,3.3703,3.3919,1936800
1986-08-22,3.4135,3.4351,3.3919,3.4351,583600
1986-08-25,3.4351,3.4351,3.3487,3.3487,627200
1986-08-26,3.3919,3.4783,3.3703,3.4783,1796800
1986-08-27,3.4999,3.6079,3.4567,3.5863,1865200
1986-08-28,3.6079,3.7160,3.5863,3.6944,1195200
1986-08-29,3.6944,3.7160,3.6511,3.7160,1402400
1986-09-02,3.7160,3.7592,3.6944,3.6944,1400000
1986-09-03,3.6728,3.6831,3.6079,3.6295,1788800
1986-09-04,3.6511,3.6728,3.6295,3.6728,1042800
1986-09-05,3.6511,3.6728,3.5535,3.5647,2570800
1986-09-08,3.5431,3.5431,3.3919,3.3919,1161600
1986-09-09,3.4351,3.4999,3.4135,3.4567,2043200
1986-09-10,3.4567,3.4783,3.4351,3.4783,826400
1986-09-11,3.4671,3.4783,3.3271,3.3271,1991200
1986-09-12,3.3271,3.3487,3.1326,3.1326,1473200
1986-09-15,3.1542,3.1758,3.1326,3.1542,661200
1986-09-16,3.1975,3.2191,3.1542,3.2191,220000
1986-09-17,3.2407,3.3055,3.2191,3.2623,786800
1986-09-18,3.3055,3.3055,3.2623,3.3055,816000
1986-09-19,3.2839,3.4351,3.2839,3.4135,868000
1986-09-22,3.4351,3.4351,3.3487,3.3703,1065200
1986-09-23,3.3703,3.4135,3.3703,3.3807,1162000
1986-09-24,3.3703,3.3919,3.3599,3.3703,717200
1986-09-25,3.3703,3.3703,3.2839,3.3055,646000
1986-09-26,3.2839,3.3055,3.2191,3.2623,636800
1986-09-29,3.2191,3.2191,3.0894,3.1758,965600
1986-09-30,3.1542,3.2623,3.1542,3.2407,790000
