Date,Open,High,Low,Close,Volume
1986-07-09,4.4815,5.0325,4.4815,4.9958,1572300
1986-07-10,4.9591,5.1795,4.8489,4.9591,1107900
1986-07-11,4.9591,4.9591,4.7387,4.8489,572400
1986-07-14,4.8121,4.8121,4.4081,4.5183,957902
1986-07-15,4.5183,4.7019,4.5006,4.5183,637502
1986-07-16,4.5183,4.8489,4.5183,4.7387,594000
1986-07-17,4.8121,5.0325,4.7387,4.9958,484200
1986-07-18,4.9958,5.0325,4.6285,4.7754,832802
1986-07-21,4.8121,4.8121,4.6652,4.7019,407102
1986-07-22,4.4448,4.4815,4.1877,4.4081,2781000
1986-07-23,4.4081,4.4815,4.2979,4.3713,922802
1986-07-24,4.3346,4.5917,4.3170,4.5917,877802
1986-07-25,4.5550,4.7019,4.4815,4.7019,559800
1986-07-28,4.7019,4.7019,4.4815,4.4815,422100
1986-07-29,4.5183,4.5183,4.3346,4.4081,629402
1986-07-30,4.3713,4.4081,4.2979,4.3346,574200
1986-07-31,4.4081,4.4448,4.3346,4.3713,495302
1986-08-01,4.3713,4.4081,4.1142,4.1877,873302
1986-08-04,4.1877,4.2611,4.1142,4.1509,801900
1986-08-05,4.1877,4.3346,4.1509,4.3346,339602
1986-08-06,4.2979,4.5183,4.2979,4.4448,462902
1986-08-07,4.4448,4.5917,4.4448,4.4815,714600
1986-08-08,4.5183,4.6652,4.3713,4.3713,474602
1986-08-11,4.4448,4.4448,4.2979,4.3713,409802
1986-08-12,4.3904,4.5183,4.3713,4.4448,529200
1986-08-13,4.4448,4.5550,4.4081,4.4815,425102
1986-08-14,4.5183,4.5550,4.4081,4.5183,214200
1986-08-15,4.4081,4.5183,4.4081,4.4081,167400
1986-08-18,4.4448,4.4815,4.3713,4.4081,232200
1986-08-19,4.3713,4.3713,4.2244,4.2244,643802
1986-08-20,4.2979,4.2979,4.1877,4.2611,324302
1986-08-21,4.2244,4.2979,4.1700,4.1877,402300
1986-08-22,4.2053,4.2611,3.8938,4.1142,986400
1986-08-25,3.8938,4.0775,3.7469,3.8938,1368900
1986-08-26,3.8938,3.8938,3.7101,3.7469,1662602
1986-08-27,3.7469,4.0775,3.7469,3.9673,1614600
1986-08-28,3.9673,4.0407,3.8938,4.0407,531302
1986-08-29,4.0407,4.1142,4.0040,4.0775,347702
1986-09-02,4.1142,4.2244,4.0775,4.1142,487800
1986-09-03,4.0775,4.1509,3.9305,4.0040,234900
1986-09-04,4.0040,4.1509,3.9305,4.0775,287402
1986-09-05,4.1142,4.2611,4.0407,4.1142,144000
1986-09-08,4.0775,4.1142,3.9305,3.9673,309002
1986-09-09,4.0040,4.0407,3.9305,4.0040,270000
1986-09-10,3.9673,3.9673,3.8938,3.9673,123602
1986-09-11,3.9673,3.9673,3.6367,3.6367,876902
1986-09-12,3.6734,3.7469,3.3061,3.4897,1716300
1986-09-15,3.4530,3.4897,3.3061,3.3428,1524002
1986-09-16,3.3795,3.3795,3.1958,3.3061,1849802
1986-09-17,3.3061,3.6367,3.2693,3.5999,1271700
1986-09-18,3.5999,3.8938,3.5823,3.7836,1033502
1986-09-19,3.7836,3.8571,3.5441,3.5632,881100
1986-09-22,3.5265,3.7101,3.4530,3.7101,745200
1986-09-23,3.7469,3.8203,3.6734,3.8203,269100
1986-09-24,3.8027,3.8571,3.7101,3.7836,482702
1986-09-25,3.7836,3.8203,3.6367,3.7101,461700
1986-09-26,3.6367,3.6734,3.5632,3.6367,440402
1986-09-29,3.5265,3.5999,3.4897,3.5632,332100
1986-09-30,3.5632,3.5632,3.4897,3.5265,219902
1986-10-01,3.5632,3.5823,3.4897,3.5632,143100
1986-10-02,3.5632,3.6734,3.4897,3.6734,261900
1986-10-03,3.5999,3.7101,3.5999,3.6734,158400
1986-10-06,3.6367,3.6367,3.5265,3.5999,193500
1986-10-07,3.5999,3.5999,3.5265,3.5999,342900
1986-10-08,3.5999,3.6734,3.5265,3.5999,188100
1986-10-09,3.6734,3.7101,3.5999,3.6367,360302
1986-10-10,3.6367,3.7469,3.6367,3.6734,173102
1986-10-13,3.6734,3.7469,3.6367,3.6734,57002
1986-10-14,3.6367,3.7836,3.6367,3.7836,257400
1986-10-15,3.7836,3.8203,3.7101,3.8203,251402
1986-10-16,3.7836,3.8571,3.7469,3.7836,156902
1986-10-17,3.7469,3.7836,3.7101,3.7469,164700
1986-10-20,3.7836,3.7836,3.6734,3.7292,147902
1986-10-21,3.6734,3.7469,3.6367,3.6734,240300
1986-10-22,3.6367,3.7101,3.5265,3.7101,256802
1986-10-23,3.7101,3.8203,3.6734,3.7469,478800
1986-10-24,3.7469,3.8203,3.7469,3.7469,243000
1986-10-27,3.7469,3.8203,3.7469,3.8203,179100
1986-10-28,3.8203,3.8571,3.7469,3.8203,249602
1986-10-29,3.8203,3.8938,3.7836,3.7836,544802
1986-10-30,3.8027,3.8571,3.7836,3.8203,219002
1986-10-31,3.7836,3.8394,3.7469,3.8394,435600
1986-11-03,3.8394,3.8571,3.8027,3.8394,296100
1986-11-04,3.8394,3.8747,3.8394,3.8394,94802
1986-11-05,3.8571,3.8571,3.8203,3.8203,185702
1986-11-06,3.8571,3.8571,3.7292,3.8027,302702
1986-11-07,3.8027,3.8394,3.7836,3.8394,196502
1986-11-10,3.8394,3.8394,3.7292,3.7645,191102
1986-11-11,3.8203,3.8394,3.6734,3.7469,425102
1986-11-12,3.7292,3.7645,3.5823,3.6367,477302
1986-11-13,3.6734,3.7101,3.6176,3.6734,281102
1986-11-14,3.5999,3.6367,3.5632,3.6367,194702
1986-11-17,3.5999,3.6367,3.5632,3.5823,123602
1986-11-18,3.5823,3.6367,3.5265,3.5265,248702
1986-11-19,3.5632,3.5823,3.4897,3.5823,463500
1986-11-20,3.5999,3.6734,3.5632,3.6734,603000
1986-11-21,3.6734,3.6734,3.5632,3.5632,365400
1986-11-24,3.6176,3.6367,3.5632,3.6176,153000
1986-11-25,3.6176,3.6176,3.4897,3.5265,315900
1986-11-26,3.5823,3.5823,3.5088,3.5441,344102
1986-11-28,3.5265,3.5632,3.4530,3.4706,346500
1986-12-01,3.5088,3.5088,3.4339,3.4706,341100
1986-12-02,3.4706,3.7836,3.4530,3.7645,762602
1986-12-03,3.8203,3.8394,3.7292,3.7469,494402
1986-12-04,3.7292,3.7469,3.6367,3.6734,363002
1986-12-05,3.5999,3.6367,3.5632,3.5632,405900
1986-12-08,3.5632,3.6367,3.5441,3.5999,370202
1986-12-09,3.6176,3.6367,3.5823,3.6176,165600
1986-12-10,3.6176,3.6176,3.5632,3.5632,302400
1986-12-11,3.5632,3.5999,3.5265,3.5441,324000
1986-12-12,3.5265,3.5632,3.4530,3.5088,433202
1986-12-15,3.5265,3.5265,3.4706,3.5088,399600
1986-12-16,3.4706,3.5088,3.4706,3.5088,392400
1986-12-17,3.5265,3.5265,3.4706,3.4706,288000
1986-12-18,3.4706,3.5265,3.4530,3.4897,715500
1986-12-19,3.4897,3.6558,3.4897,3.5823,559800
1986-12-22,3.6176,3.7101,3.5823,3.6558,889502
1986-12-23,3.6910,3.6910,3.6176,3.6176,885902
1986-12-24,3.6558,3.6910,3.6176,3.6910,197100
1986-12-26,3.6910,3.7645,3.6734,3.7469,416102
1986-12-29,3.7469,3.8571,3.7292,3.8571,917402
1986-12-30,3.9129,4.1142,3.8747,4.0407,1245002
1986-12-31,4.0598,4.0951,3.8938,4.0040,1191902
1987-01-02,4.0775,4.0775,3.9673,3.9864,268200
1987-01-05,4.0407,4.0775,3.9864,4.0407,209102
1987-01-06,4.1142,4.1877,4.0775,4.1142,751500
1987-01-07,4.1142,4.2611,4.0951,4.2244,454802
1987-01-08,4.2053,4.4081,4.2053,4.4081,1299002
1987-01-09,4.4081,4.4081,4.3522,4.3713,508802
1987-01-12,4.3713,4.4081,4.3346,4.3713,387000
1987-01-13,4.3522,4.3904,4.2611,4.2788,513000
1987-01-14,4.2788,4.2979,4.1700,4.2244,700502
1987-01-15,4.2244,4.2435,4.0407,4.1142,650102
1987-01-16,4.1509,4.1509,4.0775,4.0775,333302
1987-01-19,4.0775,4.1509,3.9864,4.1509,584402
1987-01-20,4.1509,4.2053,4.1142,4.1142,741002
1987-01-21,4.1509,4.1700,4.0951,4.1509,247500
1987-01-22,4.1318,4.2435,4.0951,4.2435,453600
1987-01-23,4.2611,4.3713,4.1877,4.1877,867902
1987-01-26,4.1509,4.2435,4.0951,4.1142,700200
1987-01-27,4.1700,4.2244,4.1142,4.1509,421200
1987-01-28,4.1877,4.1877,4.1509,4.1509,596700
1987-01-29,4.1509,4.1877,4.1142,4.1142,184500
1987-01-30,4.1877,4.1877,4.0951,4.1142,246600
1987-02-02,4.1142,4.1877,4.1142,4.1509,142200
1987-02-03,4.1318,4.1877,4.0951,4.1142,355802
1987-02-04,4.0951,4.1509,4.0951,4.1142,364802
1987-02-05,4.1318,4.1318,4.0775,4.0951,442202
1987-02-06,4.0951,4.1318,4.0598,4.0598,339300
1987-02-09,4.0598,4.1142,4.0407,4.1142,361800
1987-02-10,4.0951,4.3346,4.0775,4.2788,430502
1987-02-11,4.3170,4.5359,4.3170,4.4815,893700
1987-02-12,4.4639,4.6285,4.4639,4.5359,795600
1987-02-13,4.5183,4.5550,4.4815,4.5550,378000
1987-02-17,4.5550,4.6285,4.5006,4.5917,594000
1987-02-18,4.6285,4.6285,4.4448,4.4815,510300
1987-02-19,4.5183,4.5183,4.4448,4.5006,395402
1987-02-20,4.5183,4.5917,4.4815,4.5741,662702
1987-02-23,4.5741,4.7019,4.5741,4.7019,1061402
1987-02-24,4.7019,4.7754,4.6828,4.7019,714902
1987-02-25,4.8121,4.8489,4.7387,4.7930,789300
1987-02-26,4.7387,4.8121,4.7019,4.7754,738000
1987-02-27,4.7754,4.7754,4.4081,4.4081,1412100
1987-03-02,4.4639,4.7754,4.4081,4.4815,2108700
1987-03-03,4.5550,4.5917,4.4815,4.5550,525600
1987-03-04,4.5550,4.5917,4.2979,4.3713,1200902
1987-03-05,4.3713,4.4815,4.3346,4.4081,457200
1987-03-06,4.4815,4.4815,4.3713,4.4081,312602
1987-03-09,4.4448,4.4448,4.3713,4.4448,244800
1987-03-10,4.4448,4.5917,4.4081,4.5183,395402
1987-03-11,4.5917,4.5917,4.5550,4.5550,363002
1987-03-12,4.5917,4.5917,4.5183,4.5550,249602
1987-03-13,4.5550,4.5550,4.4448,4.4815,230702
1987-03-16,4.5183,4.5550,4.4815,4.5550,115502
1987-03-17,4.5550,4.7019,4.5183,4.7019,431100
1987-03-18,4.6828,4.8856,4.6828,4.8489,1374602
1987-03-19,4.8121,4.9958,4.7754,4.9591,790200
1987-03-20,4.9223,4.9958,4.7387,4.8121,1188302
1987-03-23,4.8121,4.9591,4.8121,4.9223,348602
1987-03-24,4.9591,4.9591,4.8489,4.8489,426600
1987-03-25,4.9223,4.9223,4.7019,4.8121,252302
1987-03-26,4.8489,4.8489,4.7754,4.8489,188100
1987-03-27,4.8121,4.8489,4.7019,4.7019,506700
1987-03-30,4.6652,4.7387,4.3713,4.6652,1047002
1987-03-31,4.6652,4.9591,4.6285,4.9591,487800
1987-04-01,4.8121,4.9223,4.7754,4.8489,383702
1987-04-02,4.9223,4.9591,4.8489,4.8665,134100
1987-04-03,4.8489,4.9591,4.8489,4.9223,440100
1987-04-06,4.9591,5.0325,4.9223,5.0325,1356300
1987-04-07,4.9591,5.0693,4.9591,4.9958,442800
1987-04-08,4.9958,5.1427,4.9958,5.0693,531900
1987-04-09,5.0693,5.1427,5.0693,5.1251,306000
1987-04-10,5.0693,5.1060,4.9958,5.0693,291002
1987-04-13,5.0693,5.1060,5.0325,5.0325,547200
1987-04-14,5.0693,5.0693,4.7754,4.8489,906602
1987-04-15,4.8121,4.9591,4.8121,4.9591,440100
1987-04-16,4.9040,5.2897,4.9040,4.9040,715200
1987-04-20,4.9591,5.0693,4.9040,5.0142,682800
1987-04-21,5.0142,5.0142,4.9591,5.0142,589800
1987-04-22,5.0142,5.0142,4.9040,4.9591,423600
1987-04-23,4.9877,4.9877,4.7938,4.8489,522600
1987-04-24,4.9040,4.9040,4.7387,4.7387,386400
1987-04-27,4.7387,4.8753,4.5734,4.8753,561300
1987-04-28,4.8753,4.9877,4.8224,4.8489,473400
1987-04-29,4.9040,4.9591,4.7938,4.9304,328500
1987-04-30,4.9040,4.9591,4.8489,4.9040,209100
1987-05-01,4.8489,4.9591,4.8489,4.8753,173100
1987-05-04,4.9040,4.9040,4.7387,4.8489,206400
1987-05-05,4.8489,4.8489,4.5734,4.6836,387000
1987-05-06,4.5998,4.6836,4.4081,4.5183,599400
1987-05-07,4.4632,4.6836,4.4081,4.6285,525300
1987-05-08,4.6836,4.6836,4.5447,4.5734,351300
1987-05-11,4.6285,4.6285,4.5183,4.6285,443100
1987-05-12,4.5998,4.6836,4.5183,4.6836,371400
1987-05-13,4.6285,4.6836,4.5734,4.6285,256200
1987-05-14,4.5998,4.6836,4.5734,4.5998,184200
1987-05-15,4.5998,4.8753,4.5998,4.6571,359700
1987-05-18,4.6285,4.8753,4.5998,4.7938,591300
1987-05-19,4.8224,4.8489,4.6285,4.6571,299700
1987-05-20,4.6571,4.7651,4.6285,4.6836,339900
1987-05-21,4.7122,4.7122,4.6285,4.6285,199800
1987-05-22,4.6285,4.6571,4.5734,4.5734,349800
1987-05-26,4.5998,4.6285,4.5447,4.5998,132600
1987-05-27,4.5734,4.5998,4.4918,4.5447,392700
1987-05-28,4.5183,4.6285,4.5183,4.5998,425400
1987-05-29,4.5734,4.5998,4.5447,4.5734,176100
1987-06-01,4.5447,4.5734,4.4345,4.4345,411600
1987-06-02,4.4081,4.4632,4.1877,4.1877,907800
1987-06-03,4.2141,4.2979,4.1326,4.1877,1212300
1987-06-04,4.2141,4.2692,4.1612,4.2428,547500
1987-06-05,4.2141,4.2428,4.2141,4.2141,309900
1987-06-08,4.2141,4.2979,4.2141,4.2979,382500
1987-06-09,4.2428,4.2979,4.2428,4.2428,435000
1987-06-10,4.2428,4.2692,4.2428,4.2692,660300
1987-06-11,4.2428,4.3530,4.2428,4.3265,543000
1987-06-12,4.2692,4.3265,4.2141,4.2428,1252500
1987-06-15,4.2428,4.2692,4.1877,4.2141,229500
1987-06-16,4.2428,4.2428,4.0775,4.1326,749700
1987-06-17,4.1326,4.1326,3.8835,3.9959,995100
1987-06-18,4.0224,4.1039,3.9959,4.0510,660000
1987-06-19,4.0510,4.0510,3.9673,3.9673,458400
1987-06-22,3.9959,4.0224,3.9386,3.9673,466500
1987-06-23,3.9673,4.0510,3.9386,4.0510,303300
1987-06-24,4.0510,4.4081,4.0224,4.2979,1011300
1987-06-25,4.3265,4.3530,4.2979,4.3530,503100
1987-06-26,4.3530,4.3530,4.2141,4.2692,383700
1987-06-29,4.2428,4.2692,4.1612,4.2141,468000
1987-06-30,4.2141,4.2141,4.0775,4.1326,418500
1987-07-01,4.0775,4.1326,4.0224,4.0510,566100
1987-07-02,4.0775,4.0775,3.9673,4.0224,657900
1987-07-06,4.0510,4.0510,3.9673,3.9959,307200
1987-07-07,3.9959,4.0224,3.9386,4.0224,452100
1987-07-08,4.0224,4.0224,3.8835,3.9386,767100
1987-07-09,3.9122,3.9122,3.7469,3.7469,1290600
1987-07-10,3.7733,3.8020,3.6918,3.7469,1174800
1987-07-13,3.7469,3.7733,3.7204,3.7733,720300
1987-07-14,3.7733,3.9673,3.7469,3.9386,705900
1987-07-15,3.9673,4.1039,3.9386,4.0775,705600
1987-07-16,4.0510,4.3265,4.0224,4.2692,953700
1987-07-17,4.2979,4.3816,4.2692,4.3265,717300
1987-07-20,4.3530,4.3530,4.0510,4.1039,1243800
1987-07-21,4.0775,4.1326,3.9959,4.0224,1004400
1987-07-22,4.0510,4.0775,3.9673,4.0775,612600
1987-07-23,4.0510,4.2428,4.0510,4.1326,1744200
1987-07-24,4.1039,4.1612,4.1039,4.1612,776400
1987-07-27,4.1326,4.1877,4.0510,4.1039,881700
1987-07-28,4.0775,4.1326,3.9673,3.9959,769200
1987-07-29,3.9673,4.0224,3.9673,4.0224,311100
1987-07-30,4.0510,4.1612,3.9959,4.0775,185400
1987-07-31,4.1326,4.1326,4.0775,4.0775,156900
1987-08-03,4.1039,4.1039,4.0224,4.0224,226200
1987-08-04,4.0510,4.0510,3.9386,3.9673,321000
1987-08-05,3.9673,4.0224,3.9673,3.9959,418800
1987-08-06,3.9959,4.0510,3.9386,3.9959,393300
1987-08-07,3.9673,3.9959,3.9386,3.9386,225300
1987-08-10,3.9386,4.0224,3.9386,3.9673,232800
1987-08-11,3.9959,3.9959,3.9386,3.9673,602100
1987-08-12,3.9959,3.9959,3.9386,3.9386,377100
1987-08-13,3.9673,3.9959,3.9122,3.9386,351000
1987-08-14,3.9386,3.9673,3.9386,3.9673,244800
1987-08-17,3.9673,4.0224,3.9386,3.9673,510600
1987-08-18,3.9959,3.9959,3.9386,3.9959,262200
1987-08-19,3.9959,4.2692,3.9673,4.2428,660600
1987-08-20,4.2428,4.5447,4.2428,4.4918,1601400
1987-08-21,4.4632,4.4632,4.3530,4.4345,1191600
1987-08-24,4.4345,4.7387,4.4081,4.5998,1034700
1987-08-25,4.5998,4.6836,4.5734,4.5998,508500
1987-08-26,4.6285,4.6285,4.5734,4.6285,491700
1987-08-27,4.6285,4.6285,4.4632,4.4918,418200
1987-08-28,4.5183,4.5447,4.4345,4.4345,436500
1987-08-31,4.4632,4.5183,4.4081,4.5183,370800
1987-09-01,4.5183,4.5183,4.4632,4.4918,382200
1987-09-02,4.4632,4.5447,4.4632,4.5183,476100
1987-09-03,4.5447,4.5447,4.4632,4.4632,440400
1987-09-04,4.5183,4.5734,4.4918,4.4918,662400
1987-09-08,4.4918,4.5183,4.3816,4.4345,902400
1987-09-09,4.4081,4.4632,4.4081,4.4081,236100
1987-09-10,4.4345,4.5183,4.4081,4.5183,459900
1987-09-11,4.5183,4.6571,4.4918,4.6285,845400
1987-09-14,4.5998,4.7122,4.5998,4.7122,547500
1987-09-15,4.6836,4.9304,4.6836,4.8753,855600
1987-09-16,4.8753,5.1244,4.8489,5.0142,818100
1987-09-17,5.0142,5.0693,4.9304,5.0428,556200
1987-09-18,5.0693,5.2059,4.9877,5.1795,1224900
1987-09-21,5.1795,5.2059,4.9877,5.0142,736200
1987-09-22,4.9877,5.0142,4.8753,4.9304,737400
1987-09-23,4.9304,4.9304,4.7938,4.8224,881400
1987-09-24,4.8224,4.8489,4.5183,4.5998,828000
1987-09-25,4.5998,4.7387,4.5447,4.6571,1303800
1987-09-28,4.7122,4.7387,4.6571,4.6836,396600
1987-09-29,4.6836,4.7938,4.6571,4.7387,567600
1987-09-30,4.7651,4.7651,4.6836,4.7387,400800
1987-10-01,4.7387,4.8489,4.7387,4.8489,216000
1987-10-02,4.8224,4.8753,4.7387,4.7651,596700
1987-10-05,4.7387,4.7938,4.6836,4.6836,97800
1987-10-06,4.6836,4.7122,4.4345,4.4345,357300
1987-10-07,4.4632,4.5183,4.3530,4.4632,529200
1987-10-08,4.5183,4.5183,4.3816,4.3816,224100
1987-10-09,4.4081,4.4345,4.3530,4.3816,258900
1987-10-12,4.3530,4.3530,4.2141,4.2979,427800
1987-10-13,4.2692,4.3530,4.2428,4.3530,185700
1987-10-14,4.3530,4.3530,4.1877,4.1877,632400
1987-10-15,4.1877,4.2979,4.1039,4.1877,369600
1987-10-16,4.1877,4.2428,4.1039,4.1039,532200
1987-10-19,3.9673,4.0510,3.4714,3.5265,1906800
1987-10-20,3.4714,3.5265,3.0592,3.4714,1451400
1987-10-21,3.5529,4.0510,3.5265,3.8020,848400
1987-10-22,3.7204,3.7469,3.5265,3.5816,946200
1987-10-23,3.4714,3.5816,3.3612,3.5265,1032600
1987-10-26,3.4714,3.5265,3.3612,3.4427,529800
1987-10-27,3.4427,3.6080,3.4163,3.5000,838800
1987-10-28,3.5000,3.6080,3.4714,3.5529,626700
1987-10-29,3.5529,3.6367,3.4714,3.5529,826500
1987-10-30,3.6367,3.7733,3.6080,3.7469,861300
1987-11-02,3.7733,3.8571,3.7204,3.7733,173400
