Date,Open,High,Low,Close,Volume
2020-02-24,105.4555,106.5565,104.4512,105.6935,2108141
2020-03-02,97.0278,101.1945,94.9253,96.9796,1840238
2020-03-03,97.5004,105.6408,96.7530,102.2940,4094322
2020-03-04,105.0910,113.9064,104.2905,113.6364,3380353
2020-03-05,110.1449,111.8521,107.5601,108.4378,3181443
2020-03-06,106.5570,109.4698,103.4707,108.5342,3251243
2020-03-09,103.7504,103.8179,99.7284,101.5417,3377554
2020-03-10,103.4417,104.5605,96.8542,103.2681,2582128
2020-03-11,100.6158,105.3321,99.5741,103.2006,3001248
2020-03-12,97.0186,99.8795,89.2311,93.4206,3885031
2020-03-13,97.3968,101.4894,93.4594,100.3159,2770444
2020-03-16,87.4661,99.9086,87.4661,89.4057,2747460
2020-03-17,89.9973,91.4617,85.6041,90.3949,3582856
2020-03-18,86.1763,87.4370,68.2059,80.5029,3013532
2020-03-19,78.6118,83.0244,75.4018,79.2616,2217543
2020-03-20,79.6301,81.5697,71.1977,73.3943,2670582
2020-03-23,71.6196,73.1616,67.8859,69.1078,2112082
2020-03-24,72.6088,76.6044,71.1832,74.4902,2254022
2020-03-25,74.5387,84.6343,73.9239,82.5492,2103121
2020-03-26,81.9867,89.6312,81.6715,84.2561,2377441
2020-03-27,81.8510,82.4328,78.0687,80.1732,1610216
2020-03-30,79.2131,83.0341,78.8737,81.7540,1714506
2020-03-31,80.3478,81.7540,78.1318,80.0956,2048124
2020-04-01,76.0516,79.3974,74.6745,78.4470,1900109
2020-04-02,78.2336,80.7260,77.8360,80.3575,1403930
2020-04-03,79.1937,81.5891,76.1970,77.6129,1654521
2020-04-06,81.4630,85.4683,80.5986,84.4112,2026939
2020-04-07,87.3788,89.7548,85.0028,85.5071,1511975
2020-04-08,85.2937,86.5448,83.9263,85.2162,1740907
2020-04-09,86.9909,91.4617,86.5351,88.8335,1281645
2020-04-13,87.9413,88.6201,85.1629,87.0976,1051886
2020-04-14,88.8626,89.8760,88.1062,89.3475,1026903
2020-04-15,86.7484,87.8443,83.9069,84.1009,1120482
2020-04-16,84.1979,84.5858,82.0886,83.1796,1910834
2020-04-17,85.7883,88.9111,84.1106,87.1945,2561744
2020-04-20,83.4705,85.0998,81.4630,82.4522,1400988
2020-04-21,81.5794,81.5988,77.5645,78.0687,1931599
2020-04-22,79.3974,79.9599,78.2627,79.3683,1554812
2020-04-23,80.7648,82.2098,79.7950,81.1624,1878154
2020-04-24,81.6570,82.0352,80.2168,81.4921,1215229
2020-04-27,81.8801,83.9651,81.8316,83.7615,1547911
2020-04-28,85.1386,86.8551,84.2561,84.9931,1948711
2020-04-29,87.2721,88.3292,86.2344,87.6116,1125090
2020-04-30,86.0405,86.6709,84.5179,84.7797,1215547
2020-05-01,83.3251,84.3433,82.4425,84.1882,960146
