Date,Open,High,Low,Close,Volume
1972-06-01,0.9201,0.9224,0.9146,0.9209,825600
1972-06-02,0.9308,0.9400,0.9308,0.9379,2496000
1972-06-05,0.9379,0.9485,0.9358,0.9393,960000
1972-06-06,0.9393,0.9414,0.8998,0.8998,1824000
1972-06-07,0.8998,0.9040,0.8963,0.8963,604800
1972-06-08,0.8963,0.9076,0.8956,0.8977,1180800
1972-06-09,0.8977,0.8991,0.8864,0.8935,451200
1972-06-12,0.8970,0.8998,0.8970,0.8991,153600
1972-06-13,0.9034,0.9365,0.9034,0.9365,700800
1972-06-14,0.9414,0.9569,0.9414,0.9527,787200
1972-06-15,0.9527,0.9640,0.9485,0.9520,787200
1972-06-16,0.9492,0.9492,0.9372,0.9456,576000
1972-06-19,0.9421,0.9421,0.9358,0.9414,720000
1972-06-20,0.9485,0.9569,0.9485,0.9569,460800
1972-06-21,0.9569,0.9654,0.9513,0.9513,1872000
1972-06-22,0.9513,0.9527,0.9470,0.9520,604800
1972-06-23,0.9541,0.9633,0.9541,0.9625,787200
1972-06-26,0.9611,0.9611,0.9562,0.9611,470400
1972-06-27,0.9611,0.9640,0.9470,0.9541,1008000
1972-06-28,0.9527,0.9527,0.9470,0.9470,57600
1972-06-29,0.9393,0.9393,0.9330,0.9344,326400
1972-06-30,0.9379,0.9569,0.9379,0.9513,441600
1972-07-03,0.9499,0.9499,0.9442,0.9470,422400
1972-07-05,0.9470,0.9837,0.9456,0.9766,1065600
1972-07-06,0.9809,0.9907,0.9809,0.9893,1008000
1972-07-07,0.9893,1.0034,0.9879,1.0034,1094400
1972-07-10,0.9992,0.9992,0.9809,0.9809,1344000
1972-07-11,0.9809,0.9886,0.9766,0.9809,739200
1972-07-12,0.9809,0.9886,0.9752,0.9752,604800
1972-07-13,0.9752,0.9752,0.9654,0.9682,422400
1972-07-14,0.9696,0.9774,0.9696,0.9696,364800
1972-07-17,0.9696,0.9696,0.9428,0.9428,547200
1972-07-18,0.9372,0.9372,0.9175,0.9295,1161600
1972-07-19,0.9386,0.9541,0.9386,0.9442,1219200
1972-07-20,0.9421,0.9421,0.9358,0.9358,643200
1972-07-21,0.9358,0.9576,0.9336,0.9576,1420800
1972-07-24,0.9675,0.9893,0.9675,0.9851,2448000
1972-07-25,0.9851,0.9851,0.9787,0.9830,316800
1972-07-26,0.9830,0.9921,0.9823,0.9921,806400
1972-07-27,0.9921,0.9999,0.9879,0.9893,700800
1972-07-28,0.9851,0.9851,0.9760,0.9766,355200
1972-07-31,0.9766,0.9795,0.9640,0.9675,902400
1972-08-01,0.9675,0.9851,0.9661,0.9851,1843200
1972-08-02,0.9879,0.9964,0.9879,0.9964,1286400
1972-08-03,0.9964,1.0020,0.9921,0.9999,662400
1972-08-04,1.0034,1.0260,1.0034,1.0231,902400
1972-08-07,1.0231,1.0401,1.0203,1.0401,700800
1972-08-08,1.0401,1.0499,1.0274,1.0499,1123200
1972-08-09,1.0499,1.0711,1.0478,1.0661,2054400
1972-08-10,1.0661,1.0676,1.0612,1.0654,547200
1972-08-11,1.0619,1.0619,1.0527,1.0619,297600
1972-08-14,1.0612,1.0612,1.0372,1.0372,499200
1972-08-15,1.0372,1.0457,1.0147,1.0147,5212800
1972-08-16,1.0147,1.0175,0.9992,1.0006,844800
1972-08-17,1.0006,1.0062,0.9921,0.9921,518400
1972-08-18,0.9950,1.0027,0.9950,1.0013,134400
1972-08-21,0.9999,0.9999,0.9787,0.9802,796800
1972-08-22,0.9802,0.9809,0.9752,0.9760,2409600
1972-08-23,0.9760,0.9851,0.9760,0.9760,384000
1972-08-24,0.9760,0.9781,0.9760,0.9760,499200
1972-08-25,0.9766,0.9865,0.9766,0.9837,960000
1972-08-28,0.9837,0.9914,0.9766,0.9766,1584000
1972-08-29,0.9766,0.9858,0.9766,0.9858,537600
1972-08-30,0.9858,0.9886,0.9766,0.9781,211200
1972-08-31,0.9781,0.9872,0.9696,0.9865,681600
1972-09-01,0.9879,0.9999,0.9879,0.9907,499200
1972-09-05,0.9907,0.9914,0.9815,0.9815,144000
1972-09-06,0.9795,0.9795,0.9654,0.9696,201600
1972-09-07,0.9668,0.9668,0.9400,0.9470,2112000
1972-09-08,0.9470,0.9513,0.9414,0.9414,336000
1972-09-11,0.9330,0.9330,0.9203,0.9217,2486400
1972-09-12,0.9217,0.9287,0.8998,0.9076,2544000
1972-09-13,0.9076,0.9295,0.9040,0.9295,1478400
1972-09-14,0.9280,0.9280,0.9118,0.9245,2803200
1972-09-15,0.9224,0.9224,0.9146,0.9189,681600
1972-09-18,0.9175,0.9175,0.9062,0.9132,489600
1972-09-19,0.9160,0.9189,0.9160,0.9189,979200
1972-09-20,0.9189,0.9196,0.9005,0.9196,1113600
1972-09-21,0.9203,0.9492,0.9203,0.9492,1046400
1972-09-22,0.9492,0.9605,0.9492,0.9591,1017600
1972-09-25,0.9591,0.9625,0.9485,0.9485,316800
1972-09-26,0.9485,0.9569,0.9485,0.9541,393600
1972-09-27,0.9541,0.9774,0.9414,0.9774,2323200
1972-09-28,0.9774,1.0421,0.9696,1.0421,1507200
1972-09-29,1.0309,1.0309,0.9865,0.9936,3465600
1972-10-02,0.9936,0.9964,0.9844,0.9929,480000
1972-10-03,0.9921,0.9921,0.9809,0.9879,336000
1972-10-04,0.9879,0.9893,0.9809,0.9858,1478400
1972-10-05,0.9844,0.9844,0.9654,0.9654,835200
1972-10-06,0.9654,0.9717,0.9358,0.9527,2409600
1972-10-09,0.9541,0.9605,0.9541,0.9569,441600
1972-10-10,0.9597,0.9787,0.9597,0.9661,931200
1972-10-11,0.9661,0.9682,0.9534,0.9591,528000
1972-10-12,0.9562,0.9562,0.9436,0.9436,364800
1972-10-13,0.9436,0.9442,0.9358,0.9386,960000
1972-10-16,0.9365,0.9365,0.9266,0.9266,326400
1972-10-17,0.9266,0.9323,0.9266,0.9301,652800
1972-10-18,0.9301,0.9414,0.9287,0.9400,1017600
1972-10-19,0.9400,0.9499,0.9386,0.9386,835200
1972-10-20,0.9386,0.9464,0.9344,0.9436,1094400
1972-10-23,0.9527,0.9879,0.9527,0.9837,1555200
1972-10-24,0.9837,0.9971,0.9710,0.9921,1430400
1972-10-25,0.9921,1.0013,0.9851,0.9858,15072
1972-10-26,0.9858,0.9978,0.9837,0.9844,4838400
1972-10-27,0.9823,0.9823,0.9781,0.9787,249600
1972-10-30,0.9787,0.9851,0.9766,0.9837,451200
1972-10-31,0.9844,1.0020,0.9844,1.0013,1296000
1972-11-01,1.0013,1.0048,0.9921,0.9978,1248000
1972-11-02,0.9978,1.0006,0.9879,0.9978,470400
1972-11-03,0.9936,0.9936,0.9907,0.9907,892800
1972-11-06,0.9907,0.9950,0.9513,0.9569,3609600
1972-11-08,0.9569,0.9675,0.9196,0.9266,2668800
1972-11-09,0.9224,0.9224,0.9019,0.9118,6172800
1972-11-10,0.9118,0.9217,0.8921,0.8921,5097600
1972-11-13,0.8921,0.9005,0.8850,0.8985,4108800
1972-11-14,0.9076,0.9407,0.9076,0.9358,1968000
1972-11-15,0.9358,0.9372,0.9034,0.9160,2496000
1972-11-16,0.9160,0.9259,0.9160,0.9245,1036800
1972-11-17,0.9245,0.9330,0.9175,0.9231,931200
1972-11-20,0.9231,0.9231,0.9189,0.9231,288000
1972-11-21,0.9231,0.9231,0.9167,0.9203,556800
1972-11-22,0.9203,0.9273,0.9146,0.9209,1344000
1972-11-24,0.9209,0.9231,0.9167,0.9167,1017600
1972-11-27,0.9167,0.9266,0.9160,0.9189,825600
1972-11-28,0.9224,0.9330,0.9224,0.9231,1430400
1972-11-29,0.9252,0.9344,0.9252,0.9295,1564800
1972-11-30,0.9315,0.9611,0.9315,0.9611,1276800
1972-12-01,0.9640,0.9717,0.9640,0.9717,1420800
1972-12-04,0.9717,0.9717,0.9668,0.9689,864000
1972-12-05,0.9668,0.9668,0.9541,0.9654,720000
1972-12-06,0.9654,0.9682,0.9640,0.9675,508800
1972-12-07,0.9675,0.9675,0.9640,0.9654,508800
1972-12-08,0.9654,0.9668,0.9611,0.9640,816000
1972-12-11,0.9640,0.9710,0.9569,0.9569,3014400
1972-12-12,0.9583,0.9654,0.9583,0.9605,3273600
1972-12-13,0.9605,0.9710,0.9562,0.9696,1411200
1972-12-14,0.9752,0.9787,0.9752,0.9766,998400
1972-12-15,0.9752,0.9752,0.9710,0.9724,1478400
1972-12-18,0.9696,0.9696,0.9541,0.9597,1584000
1972-12-19,0.9597,0.9633,0.9534,0.9633,1286400
1972-12-20,0.9633,0.9696,0.9583,0.9654,883200
1972-12-21,0.9654,0.9696,0.9548,0.9548,604800
1972-12-22,0.9548,0.9569,0.9449,0.9562,1008000
1972-12-26,0.9661,0.9724,0.9661,0.9724,576000
1972-12-27,0.9738,0.9914,0.9738,0.9907,614400
1972-12-29,0.9992,1.0252,0.9992,1.0252,1075200
1973-01-02,1.0316,1.0471,1.0316,1.0408,1574400
1973-01-03,1.0408,1.0485,1.0408,1.0408,1200000
1973-01-04,1.0372,1.0372,1.0105,1.0372,1641600
1973-01-05,1.0372,1.0429,1.0274,1.0401,1200000
1973-01-08,1.0401,1.0457,1.0316,1.0443,595200
1973-01-09,1.0443,1.0513,1.0372,1.0485,662400
1973-01-10,1.0485,1.0562,1.0372,1.0372,432000
1973-01-11,1.0372,1.0577,1.0372,1.0380,1526400
1973-01-12,1.0365,1.0365,1.0147,1.0182,393600
1973-01-15,1.0182,1.0330,0.9886,0.9886,787200
1973-01-16,0.9886,1.0070,0.9675,0.9956,1420800
1973-01-17,0.9956,0.9999,0.9893,0.9999,1027200
1973-01-18,0.9999,1.0330,0.9992,1.0330,960000
1973-01-19,1.0330,1.0337,1.0161,1.0302,1257600
1973-01-22,1.0302,1.0415,1.0260,1.0316,806400
1973-01-23,1.0316,1.0633,1.0260,1.0612,1142400
1973-01-24,1.0612,1.0654,1.0492,1.0520,1056000
1973-01-26,1.0520,1.0542,1.0485,1.0485,1286400
1973-01-29,1.0485,1.0492,1.0436,1.0485,355200
1973-01-30,1.0513,1.0689,1.0513,1.0513,1228800
1973-01-31,1.0520,1.0668,1.0520,1.0556,528000
1973-02-01,1.0556,1.0598,1.0260,1.0260,3475200
1973-02-02,1.0246,1.0246,1.0105,1.0147,1180800
1973-02-05,1.0126,1.0126,0.9936,1.0062,1238400
1973-02-06,1.0147,1.0316,1.0147,1.0260,1075200
1973-02-07,1.0260,1.0365,1.0147,1.0175,864000
1973-02-08,1.0175,1.0182,1.0048,1.0182,1382400
1973-02-09,1.0217,1.0351,1.0217,1.0288,825600
1973-02-12,1.0316,1.0534,1.0316,1.0534,1430400
1973-02-13,1.0542,1.0654,1.0542,1.0562,2649600
1973-02-14,1.0527,1.0527,1.0415,1.0464,652800
1973-02-15,1.0443,1.0443,1.0401,1.0401,182400
1973-02-16,1.0401,1.0443,1.0372,1.0401,537600
1973-02-20,1.0372,1.0372,1.0288,1.0316,1987200
1973-02-21,1.0295,1.0295,1.0154,1.0161,163200
1973-02-22,1.0161,1.0231,1.0048,1.0203,1084800
1973-02-23,1.0203,1.0239,1.0091,1.0098,633600
1973-02-26,0.9999,0.9999,0.9774,0.9823,1728000
1973-02-27,0.9823,0.9907,0.9696,0.9717,1161600
1973-02-28,0.9717,0.9893,0.9591,0.9823,1056000
1973-03-01,0.9823,0.9936,0.9499,0.9513,1795200
1973-03-02,0.9513,0.9696,0.9492,0.9696,1526400
1973-03-05,0.9710,0.9865,0.9710,0.9795,1180800
