Date,Open,High,Low,Close,Volume
1984-10-24,2.7465,2.9868,2.7465,2.8152,17392000
1984-10-25,2.8152,2.8413,2.6696,2.6779,9512000
1984-10-26,2.6092,2.6435,2.5234,2.5577,5972800
1984-10-29,2.5920,2.6010,2.4719,2.5234,5658400
1984-10-30,2.5323,2.6779,2.5144,2.5323,4671200
1984-10-31,2.5749,2.6010,2.4547,2.5062,7843200
1984-11-01,2.5062,2.5920,2.5062,2.5920,2288000
1984-11-02,2.5749,2.6264,2.5749,2.5831,1428000
1984-11-05,2.6092,2.6174,2.5577,2.5577,971200
1984-11-06,2.5666,2.6264,2.5577,2.6264,2307200
1984-11-07,2.6092,2.6264,2.5920,2.6092,888800
1984-11-08,2.6092,2.6696,2.6092,2.6607,1760800
1984-11-09,2.6435,2.6607,2.5577,2.5666,1597600
1984-11-12,2.5749,2.5920,2.5488,2.5920,351200
1984-11-13,2.5831,2.5920,2.5323,2.5577,1725600
1984-11-14,2.5749,2.5831,2.5488,2.5577,386400
1984-11-15,2.5488,2.5666,2.4890,2.4980,1172000
1984-11-16,2.4801,2.4801,2.3950,2.4204,2438400
1984-11-19,2.4293,2.4375,2.3771,2.3950,336000
1984-11-20,2.4204,2.4547,2.4204,2.4547,264000
1984-11-21,2.4547,2.4719,2.4375,2.4719,396800
1984-11-23,2.4547,2.4801,2.4375,2.4719,460800
1984-11-26,2.4890,2.4890,2.4547,2.4719,168800
1984-11-27,2.4547,2.4636,2.3860,2.4375,838400
1984-11-28,2.4293,2.4458,2.4114,2.4114,256800
1984-11-29,2.4114,2.4204,2.3860,2.3860,453600
1984-11-30,2.2487,2.3345,2.2315,2.3085,10840000
1984-12-03,2.1972,2.2659,2.1972,2.2055,3474400
1984-12-04,2.2055,2.2487,2.1972,2.2233,1960000
1984-12-05,2.2487,2.2487,2.2315,2.2398,1814400
1984-12-06,2.2576,2.2741,2.2315,2.2398,1164000
1984-12-07,2.2576,2.3002,2.2487,2.2659,1740800
1984-12-10,2.2315,2.2315,2.1972,2.2055,3161600
