Date,Open,High,Low,Close,Volume
1990-03-07,1.1782,1.1782,1.1509,1.1689,7600
1990-03-08,1.1509,1.1782,1.1509,1.1782,30200
1990-03-09,1.1782,1.1782,1.1509,1.1509,26600
1990-03-12,1.1509,1.1782,1.1509,1.1509,99400
1990-03-13,1.1689,1.1689,1.1509,1.1509,27000
1990-03-14,1.1689,1.1689,1.1509,1.1689,18800
1990-03-15,1.1689,1.1689,1.1509,1.1509,92600
1990-03-16,1.1422,1.1595,1.1235,1.1235,22600
1990-03-19,1.1235,1.1595,1.1235,1.1509,16800
1990-03-20,1.1509,1.1509,1.1329,1.1509,20800
1990-03-21,1.1509,1.1509,1.1422,1.1509,7600
1990-03-22,1.1509,1.1595,1.1422,1.1422,43200
1990-03-23,1.1595,1.1595,1.1422,1.1595,51600
1990-03-26,1.1595,1.1689,1.1422,1.1689,42800
1990-03-27,1.1509,1.1689,1.1509,1.1689,4400
1990-03-28,1.1689,1.1689,1.1509,1.1689,5200
1990-03-29,1.1509,1.1595,1.1509,1.1595,6400
1990-03-30,1.1689,1.1689,1.1422,1.1509,10200
1990-04-02,1.1422,1.1595,1.1422,1.1595,5800
1990-04-03,1.1595,1.1595,1.1422,1.1509,200600
1990-04-04,1.1595,1.1689,1.1422,1.1689,100800
1990-04-05,1.1689,1.1689,1.1422,1.1595,25600
1990-04-06,1.1644,1.1820,1.1548,1.1732,32600
1990-04-09,1.1732,1.1732,1.1548,1.1548,8200
1990-04-10,1.1548,1.1732,1.1548,1.1548,19000
1990-04-11,1.1548,1.1732,1.1453,1.1453,22800
1990-04-12,1.1548,1.1644,1.1365,1.1644,44400
1990-04-16,1.1644,1.1644,1.1365,1.1644,13200
1990-04-17,1.1365,1.1644,1.1365,1.1365,24000
1990-04-18,1.1644,1.1644,1.1365,1.1644,18200
1990-04-19,1.1365,1.1644,1.1365,1.1365,17200
1990-04-20,1.1365,1.1644,1.1365,1.1644,80200
1990-04-23,1.1644,1.1644,1.1365,1.1453,25400
1990-04-24,1.1548,1.1548,1.1365,1.1548,108600
1990-04-25,1.1548,1.1548,1.1365,1.1548,52000
1990-04-26,1.1365,1.1453,1.1365,1.1453,34400
1990-04-27,1.1453,1.1453,1.1365,1.1365,14400
1990-04-30,1.1453,1.1453,1.1365,1.1453,54200
1990-05-01,1.1453,1.1453,1.1365,1.1453,62600
1990-05-02,1.1453,1.1548,1.1365,1.1365,103200
1990-05-03,1.1548,1.1548,1.1365,1.1548,71400
1990-05-04,1.1365,1.1548,1.1365,1.1365,46800
1990-05-07,1.1365,1.1365,1.1182,1.1182,16400
1990-05-08,1.1182,1.1182,1.1086,1.1086,22200
1990-05-09,1.1182,1.1182,1.1086,1.1086,24000
