Date,Open,High,Low,Close,Volume
1990-03-26,0.9722,0.9722,0.9444,0.9578,60800
1990-03-27,0.9444,0.9444,0.9444,0.9444,2400
1990-03-28,0.9444,0.9578,0.9444,0.9444,77600
1990-03-29,0.9578,0.9578,0.9444,0.9444,517600
1990-03-30,0.9444,0.9444,0.9444,0.9444,4800
1990-04-02,0.9444,0.9444,0.9311,0.9311,192000
1990-04-03,0.9311,0.9444,0.9311,0.9311,200800
1990-04-04,0.9444,0.9444,0.9311,0.9311,120800
1990-04-05,0.9311,0.9311,0.9311,0.9311,2400
1990-04-06,0.9578,0.9578,0.9311,0.9311,16800
1990-04-09,0.9311,0.9444,0.9311,0.9444,530400
1990-04-10,0.9311,0.9311,0.9311,0.9311,11200
1990-04-11,0.9311,0.9311,0.9022,0.9022,376800
1990-04-12,0.9022,0.9167,0.9022,0.9167,28800
1990-04-16,0.9022,0.9311,0.9022,0.9022,165600
1990-04-17,0.9167,0.9311,0.9022,0.9167,1324000
1990-04-18,0.9167,0.9167,0.8755,0.9022,268000
1990-04-19,0.9022,0.9022,0.8889,0.9022,100800
1990-04-20,0.9167,0.9167,0.8889,0.8889,161600
1990-04-23,0.8889,0.8889,0.8467,0.8467,101600
1990-04-24,0.8755,0.8755,0.8333,0.8467,168800
1990-04-25,0.8467,0.8611,0.8333,0.8611,399200
1990-04-26,0.8755,0.8755,0.8611,0.8611,19200
1990-04-27,0.8611,0.8611,0.8467,0.8467,268000
1990-04-30,0.8611,0.8611,0.8467,0.8467,15200
1990-05-01,0.8611,0.8889,0.8611,0.8611,208000
1990-05-02,0.8755,0.9022,0.8755,0.8889,307200
1990-05-03,0.8889,0.9167,0.8889,0.9022,1784000
1990-05-04,0.9167,0.9311,0.8755,0.8755,624800
1990-05-07,0.8755,0.9022,0.8755,0.8889,116800
1990-05-08,0.9022,0.9022,0.8889,0.9022,492000
1990-05-09,0.8889,0.9167,0.8889,0.9022,5385600
1990-05-10,0.8889,0.9167,0.8889,0.9022,726400
1990-05-11,0.8889,0.9167,0.8889,0.9022,1715200
1990-05-14,0.8889,0.8889,0.8889,0.8889,28800
1990-05-15,0.8889,0.9167,0.8889,0.9167,928000
1990-05-16,0.9022,0.9578,0.9022,0.9444,389600
1990-05-17,0.9311,0.9578,0.9311,0.9578,179200
1990-05-18,0.9444,0.9578,0.9444,0.9578,205600
1990-05-21,0.9311,0.9578,0.9311,0.9311,217600
1990-05-22,0.9578,0.9867,0.9311,0.9578,842400
1990-05-23,0.9578,1.0422,0.9578,1.0278,407200
1990-05-24,1.0133,1.0422,1.0133,1.0422,80000
1990-05-25,1.0555,1.0555,1.0278,1.0278,304000
1990-05-29,1.0278,1.0555,1.0278,1.0422,156000
1990-05-30,1.0278,1.0555,1.0278,1.0555,110400
1990-05-31,1.0278,1.0555,1.0278,1.0555,14400
1990-06-01,1.0555,1.0555,1.0278,1.0278,14400
1990-06-04,1.0278,1.0278,1.0278,1.0278,48000
1990-06-05,1.0278,1.0555,1.0278,1.0422,110400
1990-06-06,1.0278,1.0278,1.0278,1.0278,10400
1990-06-07,1.0555,1.0555,1.0000,1.0000,100800
1990-06-08,1.0000,1.0000,1.0000,1.0000,40000
1990-06-11,1.0000,1.0000,1.0000,1.0000,15200
1990-06-12,1.0000,1.0278,1.0000,1.0133,454400
1990-06-13,1.0000,1.0422,1.0000,1.0133,24800
1990-06-14,1.0422,1.0422,1.0133,1.0133,61600
1990-06-15,1.0133,1.0422,1.0133,1.0133,44800
1990-06-18,1.0133,1.0278,1.0133,1.0133,220800
1990-06-19,1.0133,1.0422,1.0133,1.0422,587200
1990-06-20,1.0133,1.0278,1.0133,1.0133,116800
1990-06-21,1.0278,1.0422,1.0133,1.0278,824800
1990-06-22,1.0133,1.0422,1.0133,1.0422,151200
1990-06-25,1.0278,1.0422,1.0133,1.0278,377600
1990-06-26,1.0133,1.0133,1.0133,1.0133,82400
1990-06-27,1.0133,1.0278,1.0133,1.0278,244800
1990-06-28,1.0133,1.0422,1.0133,1.0133,408000
1990-06-29,1.0133,1.0422,1.0133,1.0422,8800
