Date,Open,High,Low,Close,Volume
1990-03-26,0.2344,0.2344,0.2315,0.2315,412800
1990-03-27,0.2315,0.2435,0.2315,0.2435,3913600
1990-03-28,0.2435,0.2435,0.2374,0.2374,1561600
1990-03-29,0.2435,0.2435,0.2406,0.2406,537600
1990-03-30,0.2435,0.2435,0.2374,0.2406,1756800
1990-04-02,0.2374,0.2435,0.2315,0.2435,2451200
1990-04-03,0.2468,0.2529,0.2406,0.2468,2812800
1990-04-04,0.2500,0.2529,0.2435,0.2468,4003200
1990-04-05,0.2500,0.2561,0.2500,0.2529,3961600
1990-04-06,0.2561,0.2591,0.2529,0.2561,1273600
1990-04-09,0.2561,0.2591,0.2500,0.2500,2873600
1990-04-10,0.2500,0.2529,0.2435,0.2435,2118400
1990-04-11,0.2500,0.2529,0.2468,0.2500,3440000
1990-04-12,0.2529,0.2591,0.2500,0.2591,3254400
1990-04-16,0.2591,0.2620,0.2529,0.2561,4595200
1990-04-17,0.2561,0.2620,0.2561,0.2561,7257600
1990-04-18,0.2561,0.2591,0.2529,0.2529,2291200
1990-04-19,0.2529,0.2529,0.2500,0.2529,896000
1990-04-20,0.2500,0.2529,0.2468,0.2500,1168000
1990-04-23,0.2435,0.2468,0.2406,0.2468,998400
1990-04-24,0.2468,0.2500,0.2435,0.2435,700800
1990-04-25,0.2468,0.2500,0.2468,0.2500,758400
1990-04-26,0.2500,0.2561,0.2500,0.2529,1228800
1990-04-27,0.2500,0.2529,0.2468,0.2468,1888000
1990-04-30,0.2561,0.2714,0.2529,0.2653,12281600
1990-05-01,0.2682,0.2808,0.2682,0.2776,11120000
1990-05-02,0.2776,0.2899,0.2746,0.2899,3782400
1990-05-03,0.2929,0.2929,0.2838,0.2838,5475200
1990-05-04,0.2899,0.3023,0.2899,0.2961,11257600
1990-05-07,0.3055,0.3176,0.3023,0.3146,37350400
1990-05-08,0.3176,0.3269,0.3114,0.3240,15411200
1990-05-09,0.3208,0.3269,0.3114,0.3176,12224000
1990-05-10,0.3176,0.3208,0.3146,0.3146,11753600
1990-05-11,0.3176,0.3240,0.3176,0.3176,10361600
1990-05-14,0.3176,0.3240,0.3176,0.3240,5904000
1990-05-15,0.3240,0.3240,0.3176,0.3240,7558400
1990-05-16,0.3240,0.3393,0.3208,0.3302,9673600
1990-05-17,0.3361,0.3361,0.3302,0.3331,12099200
1990-05-18,0.3302,0.3361,0.3302,0.3302,11516800
1990-05-21,0.3302,0.3393,0.3302,0.3393,8473600
1990-05-22,0.3455,0.3548,0.3422,0.3548,29398400
1990-05-23,0.3548,0.3607,0.3487,0.3607,21696000
1990-05-24,0.3578,0.3701,0.3578,0.3669,11273600
1990-05-25,0.3640,0.3669,0.3607,0.3607,13379200
1990-05-29,0.3578,0.3669,0.3548,0.3669,8790400
1990-05-30,0.3640,0.3733,0.3640,0.3701,11872000
1990-05-31,0.3669,0.3825,0.3669,0.3733,10528000
1990-06-01,0.3763,0.3795,0.3701,0.3701,14604800
1990-06-04,0.3763,0.3795,0.3701,0.3763,8803200
1990-06-05,0.3825,0.3916,0.3763,0.3916,17158400
1990-06-06,0.3916,0.3916,0.3795,0.3795,12720000
1990-06-07,0.3795,0.3854,0.3640,0.3669,9024000
1990-06-08,0.3640,0.3669,0.3487,0.3487,11971200
1990-06-11,0.3487,0.3548,0.3455,0.3487,4179200
1990-06-12,0.3548,0.3640,0.3455,0.3640,4617600
1990-06-13,0.3640,0.3886,0.3640,0.3825,11865600
1990-06-14,0.3854,0.3854,0.3733,0.3795,3059200
1990-06-15,0.3733,0.3795,0.3701,0.3763,3216000
1990-06-18,0.3701,0.3763,0.3669,0.3669,3872000
1990-06-19,0.3701,0.3825,0.3640,0.3825,4499200
1990-06-20,0.3825,0.3948,0.3825,0.3886,12121600
1990-06-21,0.3916,0.3916,0.3763,0.3916,12384000
1990-06-22,0.3948,0.4163,0.3916,0.4042,22441600
1990-06-25,0.4071,0.4256,0.4010,0.4195,18537600
1990-06-26,0.4227,0.4227,0.4042,0.4101,11984000
1990-06-27,0.4071,0.4101,0.3886,0.4010,4652800
1990-06-28,0.3980,0.4133,0.3980,0.4133,6742400
1990-06-29,0.4195,0.4256,0.4163,0.4256,2352000
1990-07-02,0.4195,0.4289,0.4133,0.4227,3568000
1990-07-03,0.4256,0.4318,0.4195,0.4318,3494400
1990-07-05,0.4318,0.4380,0.4227,0.4318,3728000
1990-07-06,0.4348,0.4348,0.4289,0.4318,1948800
1990-07-09,0.4348,0.4348,0.4195,0.4227,1372800
1990-07-10,0.4227,0.4289,0.4071,0.4101,3488000
1990-07-11,0.4071,0.4318,0.4010,0.4318,7532800
1990-07-12,0.4348,0.4720,0.4289,0.4656,10278400
1990-07-13,0.4720,0.4967,0.4720,0.4750,15769600
1990-07-16,0.4782,0.4812,0.4750,0.4782,5536000
1990-07-17,0.4782,0.4812,0.4594,0.4627,3900800
1990-07-18,0.4594,0.4656,0.4474,0.4503,3363200
1990-07-19,0.4442,0.4442,0.4163,0.4256,9750400
1990-07-20,0.4289,0.4409,0.4256,0.4318,7068800
1990-07-23,0.4227,0.4256,0.4010,0.4163,5977600
1990-07-24,0.4163,0.4535,0.4133,0.4535,12300800
1990-07-25,0.4594,0.4720,0.4565,0.4656,11206400
1990-07-26,0.4688,0.4688,0.4594,0.4656,1513600
1990-07-27,0.4656,0.4656,0.4565,0.4565,4284800
1990-07-30,0.4565,0.4720,0.4565,0.4656,2748800
1990-07-31,0.4688,0.4750,0.4688,0.4688,7145600
1990-08-01,0.4720,0.4720,0.4474,0.4535,4547200
1990-08-02,0.4474,0.4474,0.4318,0.4380,3625600
1990-08-03,0.4318,0.4318,0.3640,0.4042,16796800
1990-08-06,0.4010,0.4010,0.3795,0.3948,6483200
1990-08-07,0.4318,0.4318,0.4010,0.4289,15225600
1990-08-08,0.4318,0.4348,0.4010,0.4101,35004800
1990-08-09,0.4133,0.4380,0.4101,0.4380,6044800
1990-08-10,0.4318,0.4380,0.4256,0.4318,2441600
1990-08-13,0.4289,0.4594,0.4289,0.4565,5820800
1990-08-14,0.4565,0.4594,0.4318,0.4318,5923200
1990-08-15,0.4409,0.4474,0.4348,0.4380,3062400
1990-08-16,0.4318,0.4409,0.4318,0.4348,4448000
1990-08-17,0.4289,0.4380,0.4289,0.4380,3884800
1990-08-20,0.4318,0.4348,0.3980,0.4163,7104000
