Date,Open,High,Low,Close,Volume
1980-01-02,1.5003,1.5212,1.5003,1.5030,1165600
1980-01-03,1.4925,1.4925,1.4691,1.4821,1453600
1980-01-04,1.4846,1.5083,1.4846,1.5083,1382400
1980-01-07,1.5083,1.5212,1.5003,1.5003,1087200
1980-01-08,1.5003,1.5135,1.4454,1.4454,1213200
1980-01-09,1.4454,1.4611,1.4035,1.4349,9965200
1980-01-10,1.4349,1.4377,1.4245,1.4245,5922400
1980-01-11,1.4245,1.4324,1.4192,1.4272,5394400
1980-01-14,1.4272,1.4611,1.4272,1.4559,4000000
1980-01-15,1.4664,1.5030,1.4664,1.5030,1886800
1980-01-16,1.5083,1.5265,1.5083,1.5162,5077600
1980-01-17,1.5162,1.5212,1.5083,1.5162,1208800
1980-01-18,1.5162,1.5449,1.5162,1.5372,1122800
1980-01-21,1.5527,1.5789,1.5527,1.5789,1487200
1980-01-22,1.5789,1.6078,1.5738,1.5868,1380000
1980-01-23,1.5868,1.5973,1.5763,1.5841,899200
1980-01-24,1.6419,1.6654,1.6419,1.6444,2329200
1980-01-25,1.6392,1.6392,1.6182,1.6314,863600
1980-01-28,1.6314,1.6522,1.6235,1.6392,1727200
1980-01-29,1.6392,1.6629,1.6392,1.6392,949200
1980-01-30,1.6392,1.6444,1.6339,1.6392,701600
1980-01-31,1.6392,1.6629,1.6235,1.6235,987200
1980-02-01,1.6235,1.6419,1.6235,1.6419,623200
1980-02-04,1.6419,1.6549,1.4794,1.6392,758800
1980-02-05,1.6497,1.7230,1.6497,1.7230,1955600
1980-02-06,1.7544,1.8749,1.7544,1.8120,3205200
1980-02-07,1.8120,1.9429,1.8120,1.9272,8009200
1980-02-08,1.9272,2.0163,1.8644,2.0110,3726000
1980-02-11,2.0110,2.0529,1.9691,1.9771,4266400
1980-02-12,1.9744,1.9744,1.9220,1.9639,3612000
1980-02-13,1.9639,1.9744,1.9429,1.9691,2558000
1980-02-14,1.9666,1.9666,1.8749,1.8958,2776800
1980-02-15,1.8958,1.9245,1.8749,1.9220,3792800
1980-02-19,1.9220,1.9559,1.9193,1.9559,3395200
1980-02-20,1.9559,1.9848,1.9509,1.9848,1641600
1980-02-21,1.9848,2.0477,1.9771,2.0163,2108000
1980-02-22,2.0163,2.1158,1.9848,2.0686,3788000
1980-02-25,2.0686,2.0868,2.0058,2.0110,1284800
1980-02-26,2.0110,2.0424,1.9953,2.0347,1701200
1980-02-27,2.0347,2.0581,1.9612,1.9796,1665600
1980-02-28,1.9796,2.0137,1.9429,1.9534,2041600
1980-02-29,1.9586,2.0058,1.9586,1.9744,1901200
1980-03-03,1.9744,1.9873,1.9586,1.9586,1408400
1980-03-04,1.9586,1.9744,1.9509,1.9744,1513200
1980-03-05,1.9744,2.0083,1.9639,1.9691,1308400
1980-03-06,1.9639,1.9639,1.9010,1.9035,1779600
1980-03-07,1.9010,1.9010,1.8330,1.8487,2258000
1980-03-10,1.8487,1.8591,1.8095,1.8330,1758400
1980-03-11,1.8330,1.8382,1.7624,1.7858,2493600
1980-03-12,1.7858,1.7963,1.7701,1.7963,1891600
1980-03-13,1.7963,1.8120,1.7806,1.7963,920800
1980-03-14,1.7911,1.7911,1.7676,1.7701,1401200
1980-03-17,1.7701,1.7701,1.6863,1.6916,1146800
1980-03-18,1.6916,1.7073,1.6679,1.7073,1613200
1980-03-19,1.7282,1.8015,1.7282,1.7676,2260400
1980-03-20,1.7676,1.7728,1.7125,1.7360,2629200
1980-03-21,1.7230,1.7230,1.7048,1.7073,1180000
1980-03-24,1.7073,1.7125,1.6576,1.6679,2419600
1980-03-25,1.6679,1.7020,1.6549,1.6916,1932000
1980-03-26,1.6916,1.7098,1.6838,1.6838,796800
1980-03-27,1.6838,1.6968,1.6339,1.6706,1656000
1980-03-28,1.6706,1.7309,1.6706,1.7177,1213200
1980-03-31,1.7335,1.7676,1.7335,1.7569,920800
1980-04-01,1.7517,1.7517,1.7125,1.7282,2017600
1980-04-02,1.7282,1.7596,1.7230,1.7335,1322800
1980-04-03,1.7335,1.7360,1.6863,1.7073,1353600
1980-04-07,1.7020,1.7020,1.6654,1.6706,1149200
1980-04-08,1.6706,1.6811,1.6497,1.6733,1541600
1980-04-09,1.6733,1.6968,1.6654,1.6968,1344400
1980-04-10,1.6968,1.7020,1.6758,1.6811,842000
1980-04-11,1.6811,1.6916,1.6576,1.6679,663600
1980-04-14,1.6629,1.6629,1.6367,1.6444,432800
1980-04-15,1.6444,1.6706,1.6444,1.6497,628000
1980-04-16,1.6497,1.6733,1.6208,1.6235,1368000
1980-04-17,1.6052,1.6052,1.5083,1.5372,6688800
1980-04-18,1.5372,1.5711,1.5265,1.5292,1325200
1980-04-21,1.5292,1.5397,1.4925,1.4925,694800
1980-04-22,1.5187,1.5973,1.5187,1.5973,1299200
1980-04-23,1.6025,1.6287,1.6025,1.6103,1122800
1980-04-24,1.5816,1.5816,1.5292,1.5634,2253200
1980-04-25,1.5634,1.6182,1.5187,1.6078,2050800
1980-04-28,1.6078,1.6103,1.5606,1.5634,1303600
1980-04-29,1.5634,1.5763,1.5554,1.5634,561200
1980-04-30,1.5634,1.5659,1.5319,1.5659,1039600
1980-05-01,1.5659,1.5789,1.5397,1.5502,737600
1980-05-02,1.5502,1.5868,1.5502,1.5868,537600
1980-05-05,1.5868,1.6025,1.5789,1.5816,1016000
1980-05-06,1.5816,1.6130,1.5816,1.5973,1118000
1980-05-07,1.5973,1.6314,1.5973,1.6314,806400
1980-05-08,1.6339,1.6549,1.6339,1.6339,606400
1980-05-09,1.6339,1.6339,1.6103,1.6208,975600
1980-05-12,1.6444,1.6444,1.5975,1.6289,398400
1980-05-13,1.6289,1.6654,1.6235,1.6339,729200
1980-05-14,1.6339,1.6499,1.6025,1.6130,976400
1980-05-15,1.6130,1.6180,1.5866,1.5921,510400
1980-05-16,1.5921,1.6025,1.5866,1.5921,372000
1980-05-19,1.5921,1.6025,1.5816,1.5975,267600
1980-05-20,1.5975,1.6180,1.5761,1.6025,535200
1980-05-21,1.6025,1.6289,1.5866,1.6130,487600
1980-05-22,1.6180,1.6654,1.6180,1.6499,780400
1980-05-23,1.6758,1.7806,1.6758,1.7596,1331200
1980-05-27,1.8225,1.8485,1.8225,1.8275,1588000
1980-05-28,1.8275,1.8384,1.8015,1.8384,513600
1980-05-29,1.8120,1.8120,1.7228,1.7542,558800
1980-05-30,1.7542,1.7911,1.7073,1.7911,856400
1980-06-02,1.7911,1.8070,1.7701,1.7806,552000
1980-06-03,1.7806,1.7806,1.7282,1.7492,919600
1980-06-04,1.7542,1.8384,1.7542,1.8225,1586800
1980-06-05,1.8225,1.8958,1.8175,1.8434,1794000
1980-06-06,1.8434,1.8434,1.8225,1.8225,396000
1980-06-09,1.8225,1.8593,1.8175,1.8175,649600
1980-06-10,1.8330,1.8485,1.8330,1.8384,415200
1980-06-11,1.8384,1.8694,1.8275,1.8644,1057600
1980-06-12,1.8644,1.8904,1.8644,1.8749,2532800
1980-06-13,1.8749,1.8904,1.8330,1.8384,544800
1980-06-16,1.8384,1.8539,1.8225,1.8434,625600
1980-06-17,1.8384,1.8384,1.8015,1.8015,1508400
1980-06-18,1.8015,1.8330,1.7911,1.8225,893200
1980-06-19,1.8225,1.8384,1.7806,1.7806,2094800
1980-06-20,1.7756,1.7756,1.6863,1.7018,2846800
1980-06-23,1.6968,1.6968,1.6549,1.6654,3628400
1980-06-24,1.6654,1.7177,1.6499,1.7177,1628400
1980-06-25,1.7177,1.7387,1.7123,1.7282,1408400
1980-06-26,1.7596,1.8434,1.7596,1.8120,3609600
1980-06-27,1.8120,1.8175,1.7756,1.8015,976400
1980-06-30,1.8015,1.8070,1.7806,1.7911,856400
1980-07-01,1.7911,1.7911,1.7651,1.7701,838400
1980-07-02,1.7701,1.7965,1.7651,1.7701,429200
1980-07-03,1.7965,1.8434,1.7965,1.8434,776800
1980-07-07,1.8694,1.8904,1.8694,1.8904,1066000
1980-07-08,1.8904,1.9272,1.8644,1.8644,1316800
1980-07-09,1.8644,1.9012,1.8593,1.8694,1531200
1980-07-10,1.8694,1.8799,1.8485,1.8485,788800
1980-07-11,1.8485,1.8799,1.8434,1.8799,553200
1980-07-14,1.9012,1.9901,1.9012,1.9901,2127200
1980-07-15,1.9850,1.9850,1.9482,1.9691,3106400
1980-07-16,1.9691,2.0005,1.9532,1.9951,1520400
1980-07-17,2.0424,2.0898,2.0424,2.0789,2437600
1980-07-18,2.0843,2.1367,2.0843,2.1003,1794000
1980-07-21,2.1003,2.1313,2.0898,2.1313,1152800
1980-07-22,2.1313,2.1313,2.1003,2.1053,1045600
1980-07-23,2.1003,2.1003,2.0269,2.0320,1697600
1980-07-24,2.0320,2.0320,1.9901,2.0056,1446400
1980-07-25,2.0005,2.0005,1.9482,1.9796,862400
1980-07-28,1.9796,2.0110,1.9482,1.9901,651600
1980-07-29,1.9901,2.0056,1.9850,1.9951,634000
1980-07-30,2.0110,2.0424,2.0110,2.0269,1134800
1980-07-31,1.9796,1.9796,1.9327,1.9691,1804800
1980-08-01,1.9641,1.9641,1.9063,1.9482,1192000
1980-08-04,1.9482,1.9482,1.9218,1.9482,418400
1980-08-05,1.9482,1.9586,1.9272,1.9272,835200
1980-08-06,1.9272,1.9377,1.9113,1.9377,1402400
1980-08-07,1.9377,1.9641,1.9327,1.9641,820800
1980-08-08,1.9746,2.0165,1.9746,1.9901,812400
1980-08-11,1.9901,2.0269,1.9901,2.0056,872000
1980-08-12,2.0110,2.0688,2.0110,2.0424,1331200
1980-08-13,2.0424,2.0424,2.0165,2.0215,2035600
1980-08-14,2.0215,2.0424,2.0110,2.0320,2279200
1980-08-15,2.0424,2.0739,2.0424,2.0634,982400
1980-08-18,2.0579,2.0579,2.0215,2.0269,746800
1980-08-19,2.0269,2.0320,2.0005,2.0110,704000
1980-08-20,2.0110,2.0215,1.9901,2.0215,616000
1980-08-21,2.0215,2.0529,2.0110,2.0529,519600
1980-08-22,2.0529,2.0843,2.0529,2.0634,767200
1980-08-25,2.0634,2.0634,2.0215,2.0424,1409600
1980-08-26,2.0424,2.0789,2.0320,2.0634,461600
1980-08-27,2.0529,2.0529,1.9951,2.0056,1456000
1980-08-28,2.0056,2.0056,1.9691,1.9691,674400
1980-08-29,1.9746,2.0269,1.9746,2.0110,1046800
1980-09-02,2.0110,2.0948,1.9850,2.0634,2411600
1980-09-03,2.0634,2.0739,2.0424,2.0739,1503600
1980-09-04,2.0739,2.0948,2.0215,2.0370,2204400
1980-09-05,2.0370,2.0475,2.0269,2.0475,464000
1980-09-08,2.0370,2.0370,2.0005,2.0005,647200
1980-09-09,2.0005,2.0215,1.9691,2.0215,1228800
1980-09-10,2.0215,2.0320,2.0005,2.0320,790800
1980-09-11,2.0320,2.0320,1.9850,2.0005,317600
1980-09-12,2.0005,2.0110,1.9951,2.0005,179600
1980-09-15,2.0005,2.0634,1.9796,2.0579,2190000
1980-09-16,2.0898,2.2414,2.0898,2.1891,2456800
1980-09-17,2.2155,2.3357,2.2155,2.3357,2212800
1980-09-18,2.3357,2.3881,2.3303,2.3303,2786400
1980-09-19,2.3303,2.3516,2.3202,2.3202,1282400
1980-09-22,2.3202,2.3671,2.2938,2.3671,1025200
1980-09-23,2.3671,2.5297,2.3567,2.4664,1685600
1980-09-24,2.4664,2.5557,2.4560,2.5347,1763200
1980-09-25,2.5347,2.5397,2.4614,2.4614,2061600
1980-09-26,2.4459,2.4459,2.3776,2.3881,1043200
1980-09-29,2.3516,2.3516,2.3202,2.3252,1250400
1980-09-30,2.3252,2.3567,2.3148,2.3357,916000
1980-10-01,2.3357,2.4509,2.3148,2.4300,1541600
1980-10-02,2.4404,2.4878,2.4404,2.4719,2079600
1980-10-03,2.4719,2.5452,2.4719,2.5033,2434000
1980-10-06,2.5138,2.5452,2.5138,2.5347,996800
1980-10-07,2.5347,2.6135,2.5297,2.5716,1592800
1980-10-08,2.5716,2.6080,2.5347,2.5347,2065200
1980-10-09,2.5347,2.5871,2.5242,2.5716,1535600
1980-10-10,2.5661,2.5661,2.5138,2.5242,672000
1980-10-13,2.5242,2.5611,2.5033,2.5611,513600
1980-10-14,2.5611,2.5611,2.4978,2.5033,818400
1980-10-15,2.5033,2.5661,2.4878,2.5557,1066000
1980-10-16,2.5976,2.7023,2.5976,2.6290,3219200
1980-10-17,2.6290,2.6604,2.6080,2.6604,742400
1980-10-20,2.6604,2.7756,2.6604,2.7756,1227600
1980-10-21,2.8121,2.8858,2.8121,2.8699,1904800
1980-10-22,2.8699,2.9746,2.8489,2.9746,1512000
1980-10-23,2.9746,2.9746,2.8749,2.9168,2378000
1980-10-24,2.9168,2.9432,2.8908,2.9068,1114800
1980-10-27,2.9013,2.9013,2.8385,2.8489,931200
1980-10-28,2.8489,2.8804,2.8330,2.8540,848000
1980-10-29,2.8540,2.8699,2.8439,2.8489,823200
1980-10-30,2.8489,2.8699,2.8439,2.8489,517200
1980-10-31,2.8489,2.8540,2.8230,2.8439,707600
1980-11-03,2.8594,2.8858,2.8594,2.8804,546000
1980-11-05,2.9746,3.0165,2.9746,3.0006,1850000
1980-11-06,2.9851,2.9851,2.9432,2.9587,1879600
1980-11-07,2.9587,2.9956,2.9432,2.9851,494800
1980-11-10,2.9851,2.9851,2.9432,2.9641,831600
1980-11-11,2.9696,3.1108,2.9696,3.0953,1232400
1980-11-12,3.1108,3.2625,3.1108,3.2520,1331200
1980-11-13,3.2520,3.2625,3.2155,3.2314,1002800
1980-11-14,3.2314,3.3098,3.1682,3.2838,1320400
1980-11-17,3.2838,3.5088,3.2260,3.4983,1043200
1980-11-18,3.4983,3.6869,3.4879,3.6764,2867200
1980-11-19,3.6764,3.6869,3.5193,3.5402,3510800
1980-11-20,3.5402,3.6554,3.3622,3.6081,2798000
1980-11-21,3.6450,3.7078,3.6450,3.7078,2068800
1980-11-24,3.7078,3.7078,3.6450,3.6923,1298000
1980-11-25,3.6923,3.6973,3.6031,3.6450,1088400
1980-11-26,3.8021,4.0325,3.8021,3.8335,3959200
1980-11-28,3.8335,3.8544,3.7392,3.8230,2944400
1980-12-01,3.7602,3.7602,3.6345,3.6345,2982400
1980-12-02,3.6345,3.6764,3.4774,3.5507,2015200
1980-12-03,3.5507,3.5926,3.5193,3.5193,1363200
1980-12-04,3.5193,3.5352,3.4615,3.4933,1118000
